"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,5346.0,5595.3,"AZPS"
"01-01-2010",1,5369.0,5643.099999999999,"AZPS"
"01-01-2010",2,5380.0,5623.500000000001,"AZPS"
"01-01-2010",3,5397.0,5655.700000000001,"AZPS"
"01-01-2010",4,5389.0,5652.0,"AZPS"
"01-01-2010",5,5419.0,5688.799999999999,"AZPS"
"01-01-2010",6,5461.0,5726.871999999999,"AZPS"
"01-01-2010",7,5485.0,5762.1,"AZPS"
"01-01-2010",8,5577.0,5767.9039999999995,"AZPS"
"01-01-2010",9,5628.0,5834.8,"AZPS"
"01-01-2010",10,5605.0,5795.057,"AZPS"
"01-01-2010",11,5460.0,5757.699999999999,"AZPS"
"01-01-2010",12,5458.0,5738.299999999999,"AZPS"
"01-01-2010",13,5433.0,5677.2,"AZPS"
"01-01-2010",14,5441.0,5681.799999999999,"AZPS"
"01-01-2010",15,5423.0,5636.0,"AZPS"
"01-01-2010",16,5425.0,5676.099999999999,"AZPS"
"01-01-2010",17,5603.0,5859.308999999999,"AZPS"
"01-01-2010",18,6064.0,6290.480000000001,"AZPS"
"01-01-2010",19,6005.0,6233.429,"AZPS"
"01-01-2010",20,6026.0,6294.700000000001,"AZPS"
"01-01-2010",21,6004.0,6198.6,"AZPS"
"01-01-2010",22,5999.0,6202.400000000001,"AZPS"
"01-01-2010",23,6016.0,6254.6,"AZPS"
"01-02-2010",0,5941.0,6172.000000000001,"AZPS"
"01-02-2010",1,5779.0,5987.4,"AZPS"
"01-02-2010",2,5878.0,6091.599999999999,"AZPS"
"01-02-2010",3,5905.0,6125.7,"AZPS"
"01-02-2010",4,5939.0,6146.6,"AZPS"
"01-02-2010",5,6008.0,6251.200000000001,"AZPS"
"01-02-2010",6,6013.0,6293.9,"AZPS"
"01-02-2010",7,5845.0,6068.200000000001,"AZPS"
"01-02-2010",8,5904.0,6117.1,"AZPS"
"01-02-2010",9,6053.0,6295.999999999999,"AZPS"
"01-02-2010",10,6094.0,6329.9,"AZPS"
"01-02-2010",11,6044.0,6266.599999999999,"AZPS"
"01-02-2010",12,5922.0,6114.099999999999,"AZPS"
"01-02-2010",13,5805.0,6019.200000000001,"AZPS"
"01-02-2010",14,5781.0,5966.299999999999,"AZPS"
"01-02-2010",15,5784.0,5979.399999999999,"AZPS"
"01-02-2010",16,5877.0,6098.5,"AZPS"
"01-02-2010",17,5892.0,6072.445999999999,"AZPS"
"01-02-2010",18,6219.0,6341.427999999999,"AZPS"
"01-02-2010",19,6043.0,6259.652,"AZPS"
"01-02-2010",20,6007.0,6249.2,"AZPS"
"01-02-2010",21,5920.0,6164.8,"AZPS"
"01-02-2010",22,5917.0,6174.4,"AZPS"
"01-02-2010",23,5957.0,6204.999999999999,"AZPS"
"01-03-2010",0,5898.0,6124.3,"AZPS"
"01-03-2010",1,5943.0,6153.400000000001,"AZPS"
"01-03-2010",2,5848.0,6077.100000000001,"AZPS"
"01-03-2010",3,5881.0,6115.0,"AZPS"
"01-03-2010",4,6038.0,6235.329,"AZPS"
"01-03-2010",5,6023.0,6211.657,"AZPS"
"01-03-2010",6,5955.0,6276.9,"AZPS"
"01-03-2010",7,5966.0,6219.8,"AZPS"
"01-03-2010",8,6015.0,6283.989999999999,"AZPS"
"01-03-2010",9,6164.0,6430.0,"AZPS"
"01-03-2010",10,6129.0,6397.400000000001,"AZPS"
"01-03-2010",11,6062.0,6299.6,"AZPS"
"01-03-2010",12,6144.0,6368.200000000001,"AZPS"
"01-03-2010",13,6108.0,6329.600000000001,"AZPS"
"01-03-2010",14,6045.0,6261.2,"AZPS"
"01-03-2010",15,6058.0,6281.400000000001,"AZPS"
"01-03-2010",16,6013.0,6262.6,"AZPS"
"01-03-2010",17,5987.0,6206.600000000001,"AZPS"
"01-03-2010",18,6152.0,6344.376000000001,"AZPS"
"01-03-2010",19,6173.0,6394.8,"AZPS"
"01-03-2010",20,6146.0,6388.299999999999,"AZPS"
"01-03-2010",21,6133.0,6372.900000000001,"AZPS"
"01-03-2010",22,6045.0,6276.8,"AZPS"
"01-03-2010",23,5783.0,6007.7,"AZPS"
"01-04-2010",0,5778.0,6000.2,"AZPS"
"01-04-2010",1,5815.0,6006.200000000001,"AZPS"
"01-04-2010",2,5960.0,6183.5999999999985,"AZPS"
"01-04-2010",3,5942.0,6174.200000000001,"AZPS"
"01-04-2010",4,5825.0,6029.700000000001,"AZPS"
"01-04-2010",5,5902.0,6064.112,"AZPS"
"01-04-2010",6,6268.0,6227.977999999999,"AZPS"
"01-04-2010",7,6463.0,6545.0700000000015,"AZPS"
"01-04-2010",8,6318.0,6452.947000000001,"AZPS"
"01-04-2010",9,6119.0,6296.409000000001,"AZPS"
"01-04-2010",10,6112.0,6296.0,"AZPS"
"01-04-2010",11,6096.0,6273.4,"AZPS"
"01-04-2010",12,5940.0,6098.4,"AZPS"
"01-04-2010",13,5686.0,5813.099999999999,"AZPS"
"01-04-2010",14,5643.0,5761.0,"AZPS"
"01-04-2010",15,5684.0,5766.700000000001,"AZPS"
"01-04-2010",16,5719.0,5713.5,"AZPS"
"01-04-2010",17,5921.0,5917.400000000001,"AZPS"
"01-04-2010",18,6378.0,6421.2,"AZPS"
"01-04-2010",19,6412.0,6414.5,"AZPS"
"01-04-2010",20,6394.0,6434.100000000001,"AZPS"
"01-04-2010",21,6188.0,6282.495,"AZPS"
"01-04-2010",22,5951.0,6135.199999999999,"AZPS"
"01-04-2010",23,5938.0,6111.999999999999,"AZPS"
"01-05-2010",0,5915.0,6063.3,"AZPS"
"01-05-2010",1,5842.0,6013.2,"AZPS"
"01-05-2010",2,5783.0,5963.999999999999,"AZPS"
"01-05-2010",3,5794.0,5975.300000000001,"AZPS"
"01-05-2010",4,5829.0,6009.800000000001,"AZPS"
"01-05-2010",5,5880.0,6038.7,"AZPS"
"01-05-2010",6,6104.0,6199.196,"AZPS"
"01-05-2010",7,6245.0,6365.089999999999,"AZPS"
"01-05-2010",8,6136.0,6303.294,"AZPS"
"01-05-2010",9,6079.0,6209.199999999999,"AZPS"
"01-05-2010",10,6013.0,6204.400000000001,"AZPS"
"01-05-2010",11,5943.0,6099.599999999999,"AZPS"
"01-05-2010",12,5981.0,6120.4,"AZPS"
"01-05-2010",13,5775.0,5929.000000000001,"AZPS"
"01-05-2010",14,5763.0,5864.2,"AZPS"
"01-05-2010",15,5715.0,5851.299999999999,"AZPS"
"01-05-2010",16,5736.0,5854.1,"AZPS"
"01-05-2010",17,5819.0,5933.9,"AZPS"
"01-05-2010",18,6082.0,6200.700000000001,"AZPS"
"01-05-2010",19,6137.0,6253.5,"AZPS"
"01-05-2010",20,6134.0,6257.8,"AZPS"
"01-05-2010",21,6135.0,6288.8,"AZPS"
"01-05-2010",22,5851.0,5995.2,"AZPS"
"01-05-2010",23,5709.0,5866.199999999999,"AZPS"
"01-06-2010",0,5769.0,5934.200000000001,"AZPS"
"01-06-2010",1,5804.0,5976.700000000001,"AZPS"
"01-06-2010",2,5892.0,6082.6,"AZPS"
"01-06-2010",3,6057.0,6149.719999999998,"AZPS"
"01-06-2010",4,5941.0,6075.2339999999995,"AZPS"
"01-06-2010",5,5963.0,6150.400000000001,"AZPS"
"01-06-2010",6,6041.0,6183.116,"AZPS"
"01-06-2010",7,6094.0,6242.199999999999,"AZPS"
"01-06-2010",8,6105.0,6261.600000000001,"AZPS"
"01-06-2010",9,6109.0,6271.4,"AZPS"
"01-06-2010",10,6112.0,6229.100000000001,"AZPS"
"01-06-2010",11,6063.0,6210.799999999999,"AZPS"
"01-06-2010",12,6031.0,6169.599999999999,"AZPS"
"01-06-2010",13,5818.0,5975.1,"AZPS"
"01-06-2010",14,5818.0,5967.4,"AZPS"
"01-06-2010",15,5866.0,5991.199999999999,"AZPS"
"01-06-2010",16,5832.0,5954.699999999999,"AZPS"
"01-06-2010",17,5864.0,5996.1,"AZPS"
"01-06-2010",18,6121.0,6291.9000000000015,"AZPS"
"01-06-2010",19,6134.0,6295.500000000001,"AZPS"
"01-06-2010",20,6048.0,6225.1,"AZPS"
"01-06-2010",21,5798.0,6002.18,"AZPS"
"01-06-2010",22,5573.0,5819.800000000002,"AZPS"
"01-06-2010",23,5459.0,5676.31,"AZPS"
"01-07-2010",0,5448.0,5637.300000000001,"AZPS"
"01-07-2010",1,5558.0,5779.2,"AZPS"
"01-07-2010",2,5571.0,5795.3,"AZPS"
"01-07-2010",3,5536.0,5752.299999999999,"AZPS"
