"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,904.0,391.044,"BPAT"
"01-01-2010",1,810.0,367.5,"BPAT"
"01-01-2010",2,810.0,367.29999999999995,"BPAT"
"01-01-2010",3,808.0,366.59999999999997,"BPAT"
"01-01-2010",4,808.0,366.9,"BPAT"
"01-01-2010",5,810.0,367.0,"BPAT"
"01-01-2010",6,808.0,367.1,"BPAT"
"01-01-2010",7,806.0,366.8,"BPAT"
"01-01-2010",8,803.0,365.8,"BPAT"
"01-01-2010",9,799.0,364.79999999999995,"BPAT"
"01-01-2010",10,798.0,364.1,"BPAT"
"01-01-2010",11,799.0,364.1,"BPAT"
"01-01-2010",12,799.0,364.5,"BPAT"
"01-01-2010",13,799.0,364.4,"BPAT"
"01-01-2010",14,800.0,364.5,"BPAT"
"01-01-2010",15,799.0,364.29999999999995,"BPAT"
"01-01-2010",16,800.0,364.5,"BPAT"
"01-01-2010",17,802.0,365.8,"BPAT"
"01-01-2010",18,802.0,365.8,"BPAT"
"01-01-2010",19,804.0,366.3,"BPAT"
"01-01-2010",20,805.0,366.5,"BPAT"
"01-01-2010",21,805.0,366.5,"BPAT"
"01-01-2010",22,806.0,367.00000000000006,"BPAT"
"01-01-2010",23,802.0,365.0,"BPAT"
"01-02-2010",0,668.0,309.4,"BPAT"
"01-02-2010",1,653.0,304.4,"BPAT"
"01-02-2010",2,653.0,304.70000000000005,"BPAT"
"01-02-2010",3,654.0,304.79999999999995,"BPAT"
"01-02-2010",4,654.0,304.29999999999995,"BPAT"
"01-02-2010",5,653.0,304.40000000000003,"BPAT"
"01-02-2010",6,654.0,304.5,"BPAT"
"01-02-2010",7,653.0,304.4,"BPAT"
"01-02-2010",8,705.0,326.3,"BPAT"
"01-02-2010",9,736.0,340.5,"BPAT"
"01-02-2010",10,809.0,367.6,"BPAT"
"01-02-2010",11,809.0,367.30000000000007,"BPAT"
"01-02-2010",12,808.0,366.79999999999995,"BPAT"
"01-02-2010",13,807.0,366.3,"BPAT"
"01-02-2010",14,806.0,365.79999999999995,"BPAT"
"01-02-2010",15,806.0,366.6,"BPAT"
"01-02-2010",16,809.0,367.5,"BPAT"
"01-02-2010",17,811.0,368.6,"BPAT"
"01-02-2010",18,813.0,369.1,"BPAT"
"01-02-2010",19,814.0,379.02,"BPAT"
"01-02-2010",20,814.0,397.1,"BPAT"
"01-02-2010",21,834.0,405.40000000000003,"BPAT"
"01-02-2010",22,862.0,411.9,"BPAT"
"01-02-2010",23,963.0,438.8,"BPAT"
"01-03-2010",0,1063.0,472.09999999999997,"BPAT"
"01-03-2010",1,1066.0,472.7,"BPAT"
"01-03-2010",2,1068.0,473.9,"BPAT"
"01-03-2010",3,1068.0,473.4,"BPAT"
"01-03-2010",4,1091.0,482.2,"BPAT"
"01-03-2010",5,1025.0,456.8,"BPAT"
"01-03-2010",6,1061.0,471.2,"BPAT"
"01-03-2010",7,1098.0,484.1,"BPAT"
"01-03-2010",8,1096.0,484.0,"BPAT"
"01-03-2010",9,1095.0,483.50000000000006,"BPAT"
"01-03-2010",10,1092.0,482.8,"BPAT"
"01-03-2010",11,1089.0,481.2,"BPAT"
"01-03-2010",12,1086.0,480.00000000000006,"BPAT"
"01-03-2010",13,1084.0,479.2,"BPAT"
"01-03-2010",14,1083.0,479.3,"BPAT"
"01-03-2010",15,1083.0,479.40000000000003,"BPAT"
"01-03-2010",16,1087.0,481.7,"BPAT"
"01-03-2010",17,1110.0,491.59999999999997,"BPAT"
"01-03-2010",18,1112.0,492.69999999999993,"BPAT"
"01-03-2010",19,1113.0,493.09999999999997,"BPAT"
"01-03-2010",20,1112.0,493.40000000000003,"BPAT"
"01-03-2010",21,1103.0,487.6,"BPAT"
"01-03-2010",22,1087.0,480.6,"BPAT"
"01-03-2010",23,1075.0,473.77,"BPAT"
"01-04-2010",0,1104.0,501.59999999999997,"BPAT"
"01-04-2010",1,1105.0,500.30000000000007,"BPAT"
"01-04-2010",2,1103.0,499.4,"BPAT"
"01-04-2010",3,1108.0,501.29999999999995,"BPAT"
"01-04-2010",4,1143.0,515.0,"BPAT"
"01-04-2010",5,1188.0,530.0999999999999,"BPAT"
"01-04-2010",6,1259.0,552.5999999999999,"BPAT"
"01-04-2010",7,1350.0,582.3,"BPAT"
"01-04-2010",8,1353.0,583.0,"BPAT"
"01-04-2010",9,1350.0,581.8,"BPAT"
"01-04-2010",10,1348.0,580.8,"BPAT"
"01-04-2010",11,1348.0,580.7,"BPAT"
"01-04-2010",12,1350.0,580.5999999999999,"BPAT"
"01-04-2010",13,1343.0,579.6,"BPAT"
"01-04-2010",14,1342.0,578.8,"BPAT"
"01-04-2010",15,1341.0,579.2,"BPAT"
"01-04-2010",16,1363.0,590.2,"BPAT"
"01-04-2010",17,1364.0,590.2,"BPAT"
"01-04-2010",18,1365.0,589.9,"BPAT"
"01-04-2010",19,1365.0,590.5,"BPAT"
"01-04-2010",20,1366.0,590.0,"BPAT"
"01-04-2010",21,1364.0,590.1,"BPAT"
"01-04-2010",22,1364.0,590.2,"BPAT"
"01-04-2010",23,1345.0,579.8,"BPAT"
"01-05-2010",0,1318.0,569.5,"BPAT"
"01-05-2010",1,1290.0,560.2,"BPAT"
"01-05-2010",2,1292.0,561.2,"BPAT"
"01-05-2010",3,1292.0,561.0999999999999,"BPAT"
"01-05-2010",4,1292.0,561.4000000000001,"BPAT"
"01-05-2010",5,1292.0,561.4000000000001,"BPAT"
"01-05-2010",6,1333.0,576.8,"BPAT"
"01-05-2010",7,1343.0,579.8,"BPAT"
"01-05-2010",8,1342.0,579.7,"BPAT"
"01-05-2010",9,1267.0,555.3,"BPAT"
"01-05-2010",10,1243.0,548.2,"BPAT"
"01-05-2010",11,1240.0,546.4,"BPAT"
"01-05-2010",12,1233.0,544.3,"BPAT"
"01-05-2010",13,1225.0,541.2,"BPAT"
"01-05-2010",14,1223.0,540.8000000000001,"BPAT"
"01-05-2010",15,1242.0,546.8,"BPAT"
"01-05-2010",16,1335.0,576.6,"BPAT"
"01-05-2010",17,1336.0,577.9,"BPAT"
"01-05-2010",18,1339.0,578.5,"BPAT"
"01-05-2010",19,1340.0,578.9000000000001,"BPAT"
"01-05-2010",20,1340.0,579.3,"BPAT"
"01-05-2010",21,1341.0,579.7,"BPAT"
"01-05-2010",22,1322.0,570.1,"BPAT"
"01-05-2010",23,1243.0,538.5,"BPAT"
"01-06-2010",0,1175.0,514.0,"BPAT"
