"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,2425.0,2511.3990000000003,"BREC"
"01-01-2010",1,2439.0,2526.8,"BREC"
"01-01-2010",2,2441.0,2524.599,"BREC"
"01-01-2010",3,2469.0,2550.7990000000004,"BREC"
"01-01-2010",4,2711.0,2769.901,"BREC"
"01-01-2010",5,2776.0,2826.201,"BREC"
"01-01-2010",6,2772.0,2813.4,"BREC"
"01-01-2010",7,2775.0,2810.501,"BREC"
"01-01-2010",8,2805.0,2837.7999999999997,"BREC"
"01-01-2010",9,2825.0,2859.6000000000004,"BREC"
"01-01-2010",10,2836.0,2850.199,"BREC"
"01-01-2010",11,2848.0,2880.4989999999993,"BREC"
"01-01-2010",12,2826.0,2854.2,"BREC"
"01-01-2010",13,2674.0,2704.2000000000003,"BREC"
"01-01-2010",14,2517.0,2581.301,"BREC"
"01-01-2010",15,2523.0,2581.701,"BREC"
"01-01-2010",16,2723.0,2756.601,"BREC"
"01-01-2010",17,2895.0,2912.401,"BREC"
"01-01-2010",18,2884.0,2901.002000000001,"BREC"
"01-01-2010",19,2891.0,2899.7989999999995,"BREC"
"01-01-2010",20,2900.0,2905.999,"BREC"
"01-01-2010",21,2935.0,2953.6,"BREC"
"01-01-2010",22,2941.0,2975.076,"BREC"
"01-01-2010",23,2896.0,2928.498,"BREC"
"01-02-2010",0,2803.0,2855.8979999999997,"BREC"
"01-02-2010",1,2832.0,2895.5009999999997,"BREC"
"01-02-2010",2,2837.0,2900.9989999999993,"BREC"
"01-02-2010",3,2873.0,2943.2990000000004,"BREC"
"01-02-2010",4,2909.0,2962.4980000000005,"BREC"
"01-02-2010",5,2915.0,2958.8989999999994,"BREC"
"01-02-2010",6,2921.0,2965.299,"BREC"
"01-02-2010",7,2932.0,2958.4999999999995,"BREC"
"01-02-2010",8,2946.0,2967.2989999999995,"BREC"
"01-02-2010",9,2955.0,3003.2,"BREC"
"01-02-2010",10,3022.0,3067.999,"BREC"
"01-02-2010",11,3009.0,3053.3989999999994,"BREC"
"01-02-2010",12,3097.0,3144.2009999999996,"BREC"
"01-02-2010",13,3154.0,3229.5,"BREC"
"01-02-2010",14,3002.0,3019.5009999999993,"BREC"
"01-02-2010",15,2889.0,2940.0,"BREC"
"01-02-2010",16,2983.0,3033.1,"BREC"
"01-02-2010",17,3080.0,3141.4,"BREC"
"01-02-2010",18,3020.0,3059.001,"BREC"
"01-02-2010",19,3023.0,3079.6,"BREC"
"01-02-2010",20,3063.0,3115.602,"BREC"
"01-02-2010",21,3069.0,3131.3,"BREC"
"01-02-2010",22,3059.0,3116.7999999999997,"BREC"
"01-02-2010",23,2949.0,3015.701,"BREC"
"01-03-2010",0,2951.0,3026.6999999999994,"BREC"
"01-03-2010",1,2913.0,2986.5989999999997,"BREC"
"01-03-2010",2,2947.0,2997.5000000000005,"BREC"
"01-03-2010",3,2978.0,3050.9990000000003,"BREC"
"01-03-2010",4,3001.0,3067.801,"BREC"
"01-03-2010",5,3063.0,3132.1000000000004,"BREC"
"01-03-2010",6,3114.0,3173.1009999999997,"BREC"
"01-03-2010",7,3122.0,3160.1020000000003,"BREC"
