"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,394.0,398.3,"DPC"
"01-01-2010",1,340.0,347.2,"DPC"
"01-01-2010",2,329.0,352.5,"DPC"
"01-01-2010",3,337.0,374.4,"DPC"
"01-01-2010",4,331.0,362.70000000000005,"DPC"
"01-01-2010",5,330.0,361.5,"DPC"
"01-01-2010",6,355.0,391.3,"DPC"
"01-01-2010",7,390.0,415.5,"DPC"
"01-01-2010",8,429.0,443.5,"DPC"
"01-01-2010",9,449.0,466.8,"DPC"
"01-01-2010",10,449.0,463.09999999999997,"DPC"
"01-01-2010",11,448.0,462.6,"DPC"
"01-01-2010",12,415.0,432.2,"DPC"
"01-01-2010",13,360.0,378.20000000000005,"DPC"
"01-01-2010",14,353.0,385.8,"DPC"
"01-01-2010",15,354.0,386.0,"DPC"
"01-01-2010",16,415.0,435.1,"DPC"
"01-01-2010",17,457.0,480.7,"DPC"
"01-01-2010",18,452.0,476.1,"DPC"
"01-01-2010",19,452.0,475.5,"DPC"
"01-01-2010",20,453.0,475.5,"DPC"
"01-01-2010",21,454.0,473.2,"DPC"
"01-01-2010",22,451.0,470.5,"DPC"
"01-01-2010",23,430.0,451.1,"DPC"
"01-02-2010",0,378.0,409.1,"DPC"
"01-02-2010",1,315.0,321.9,"DPC"
"01-02-2010",2,309.0,306.8,"DPC"
"01-02-2010",3,328.0,324.8,"DPC"
"01-02-2010",4,331.0,326.7,"DPC"
"01-02-2010",5,336.0,334.5,"DPC"
"01-02-2010",6,367.0,364.40000000000003,"DPC"
"01-02-2010",7,380.0,398.7,"DPC"
"01-02-2010",8,410.0,425.1,"DPC"
"01-02-2010",9,421.0,444.8,"DPC"
"01-02-2010",10,381.0,389.3,"DPC"
"01-02-2010",11,408.0,408.9,"DPC"
"01-02-2010",12,408.0,406.7,"DPC"
"01-02-2010",13,378.0,376.8,"DPC"
"01-02-2010",14,325.0,331.3,"DPC"
"01-02-2010",15,319.0,323.9,"DPC"
"01-02-2010",16,373.0,373.3,"DPC"
"01-02-2010",17,415.0,410.8,"DPC"
"01-02-2010",18,456.0,492.9,"DPC"
"01-02-2010",19,456.0,502.29999999999995,"DPC"
"01-02-2010",20,451.0,495.9,"DPC"
"01-02-2010",21,458.0,476.7,"DPC"
"01-02-2010",22,450.0,469.6,"DPC"
"01-02-2010",23,442.0,470.6,"DPC"
"01-03-2010",0,420.0,457.0,"DPC"
"01-03-2010",1,370.0,408.1,"DPC"
"01-03-2010",2,402.0,440.29999999999995,"DPC"
"01-03-2010",3,431.0,474.4,"DPC"
