"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,1074.0,1147.9,"EEI"
"01-01-2010",1,1076.0,1150.6999999999998,"EEI"
"01-01-2010",2,1075.0,1151.1000000000001,"EEI"
"01-01-2010",3,1079.0,1153.3,"EEI"
"01-01-2010",4,1079.0,1148.6000000000001,"EEI"
"01-01-2010",5,1078.0,1149.0,"EEI"
"01-01-2010",6,1083.0,1158.8,"EEI"
"01-01-2010",7,1083.0,1136.7,"EEI"
"01-01-2010",8,1082.0,1154.6999999999998,"EEI"
"01-01-2010",9,1081.0,1152.6999999999998,"EEI"
"01-01-2010",10,1081.0,1151.0,"EEI"
"01-01-2010",11,1081.0,1148.5,"EEI"
"01-01-2010",12,1080.0,1146.0,"EEI"
"01-01-2010",13,1079.0,1146.0,"EEI"
"01-01-2010",14,1082.0,1146.4,"EEI"
"01-01-2010",15,1082.0,1153.3,"EEI"
"01-01-2010",16,1082.0,1151.6,"EEI"
"01-01-2010",17,1081.0,1150.5,"EEI"
"01-01-2010",18,1080.0,1151.9,"EEI"
"01-01-2010",19,1076.0,1150.3,"EEI"
"01-01-2010",20,1077.0,1151.1000000000001,"EEI"
"01-01-2010",21,1079.0,1155.6,"EEI"
"01-01-2010",22,1078.0,1153.8,"EEI"
"01-01-2010",23,1079.0,1155.7,"EEI"
"01-02-2010",0,1079.0,1157.9,"EEI"
"01-02-2010",1,1078.0,1155.4,"EEI"
"01-02-2010",2,1043.0,1122.9,"EEI"
"01-02-2010",3,1039.0,1116.5,"EEI"
"01-02-2010",4,1040.0,1119.9,"EEI"
"01-02-2010",5,1055.0,1132.1999999999998,"EEI"
"01-02-2010",6,1074.0,1152.3,"EEI"
"01-02-2010",7,1083.0,1142.5,"EEI"
"01-02-2010",8,1080.0,1160.8999999999999,"EEI"
"01-02-2010",9,1081.0,1160.7999999999997,"EEI"
"01-02-2010",10,1081.0,1159.2,"EEI"
"01-02-2010",11,1081.0,1159.4,"EEI"
"01-02-2010",12,1080.0,1156.3,"EEI"
"01-02-2010",13,1082.0,1157.0,"EEI"
"01-02-2010",14,1082.0,1156.6000000000001,"EEI"
"01-02-2010",15,1081.0,1158.8999999999999,"EEI"
"01-02-2010",16,1084.0,1162.3000000000002,"EEI"
"01-02-2010",17,1084.0,1161.4,"EEI"
"01-02-2010",18,1087.0,1166.4,"EEI"
"01-02-2010",19,1084.0,1166.1,"EEI"
"01-02-2010",20,1084.0,1166.4,"EEI"
"01-02-2010",21,1084.0,1170.2,"EEI"
"01-02-2010",22,1084.0,1165.7,"EEI"
"01-02-2010",23,1083.0,1164.9,"EEI"
"01-03-2010",0,1084.0,1165.6,"EEI"
"01-03-2010",1,1083.0,1170.9,"EEI"
"01-03-2010",2,1084.0,1169.5,"EEI"
"01-03-2010",3,1086.0,1172.7,"EEI"
"01-03-2010",4,1086.0,1173.1999999999998,"EEI"
"01-03-2010",5,1086.0,1174.5,"EEI"
"01-03-2010",6,1092.0,1181.4,"EEI"
"01-03-2010",7,1088.0,1138.0,"EEI"
"01-03-2010",8,1088.0,1168.9,"EEI"
"01-03-2010",9,1086.0,1165.6,"EEI"
"01-03-2010",10,1084.0,1158.3000000000002,"EEI"
"01-03-2010",11,1038.0,1102.6999999999998,"EEI"
"01-03-2010",12,1084.0,1157.4,"EEI"
"01-03-2010",13,1090.0,1162.5,"EEI"
"01-03-2010",14,1092.0,1161.9,"EEI"
"01-03-2010",15,1094.0,1169.0,"EEI"
"01-03-2010",16,1095.0,1169.8000000000002,"EEI"
"01-03-2010",17,1094.0,1166.6000000000001,"EEI"
"01-03-2010",18,1094.0,1167.3,"EEI"
"01-03-2010",19,1088.0,1164.1,"EEI"
"01-03-2010",20,1091.0,1167.3,"EEI"
"01-03-2010",21,1088.0,1167.1999999999998,"EEI"
"01-03-2010",22,1089.0,1168.6000000000001,"EEI"
"01-03-2010",23,1088.0,1166.5,"EEI"
"01-04-2010",0,1088.0,1171.4,"EEI"
"01-04-2010",1,1088.0,1170.1,"EEI"
"01-04-2010",2,1089.0,1171.6,"EEI"
"01-04-2010",3,1090.0,1175.9,"EEI"
"01-04-2010",4,1091.0,1179.5,"EEI"
"01-04-2010",5,1093.0,1181.5,"EEI"
"01-04-2010",6,1093.0,1180.3,"EEI"
"01-04-2010",7,1091.0,1154.6999999999998,"EEI"
"01-04-2010",8,1090.0,1168.7,"EEI"
"01-04-2010",9,1090.0,1167.3,"EEI"
"01-04-2010",10,1090.0,1174.1,"EEI"
"01-04-2010",11,1088.0,1160.8,"EEI"
"01-04-2010",12,1090.0,1162.2,"EEI"
"01-04-2010",13,1090.0,1170.2,"EEI"
"01-04-2010",14,1089.0,1167.7,"EEI"
"01-04-2010",15,1090.0,1164.1,"EEI"
"01-04-2010",16,1090.0,1166.6,"EEI"
"01-04-2010",17,1091.0,1168.6,"EEI"
"01-04-2010",18,1092.0,1172.7,"EEI"
"01-04-2010",19,1090.0,1173.4,"EEI"
"01-04-2010",20,1089.0,1172.1,"EEI"
"01-04-2010",21,1091.0,1173.0,"EEI"
"01-04-2010",22,1092.0,1174.9,"EEI"
"01-04-2010",23,1090.0,1176.2,"EEI"
"01-05-2010",0,1092.0,1174.3999999999999,"EEI"
"01-05-2010",1,1091.0,1176.6,"EEI"
"01-05-2010",2,1091.0,1177.5,"EEI"
"01-05-2010",3,1092.0,1178.1000000000001,"EEI"
"01-05-2010",4,1092.0,1174.5,"EEI"
"01-05-2010",5,1092.0,1182.2,"EEI"
"01-05-2010",6,1091.0,1178.5,"EEI"
"01-05-2010",7,1089.0,1155.0,"EEI"
"01-05-2010",8,1087.0,1173.2,"EEI"
"01-05-2010",9,1088.0,1169.6,"EEI"
"01-05-2010",10,1087.0,1166.4,"EEI"
"01-05-2010",11,1087.0,1164.0,"EEI"
"01-05-2010",12,1086.0,1164.0,"EEI"
"01-05-2010",13,1086.0,1169.8000000000002,"EEI"
"01-05-2010",14,1087.0,1165.6999999999998,"EEI"
"01-05-2010",15,1089.0,1167.5,"EEI"
"01-05-2010",16,1090.0,1166.5,"EEI"
"01-05-2010",17,1087.0,1169.5,"EEI"
"01-05-2010",18,1086.0,1169.9999999999998,"EEI"
"01-05-2010",19,1088.0,1172.1000000000001,"EEI"
"01-05-2010",20,1087.0,1170.6,"EEI"
"01-05-2010",21,1087.0,1170.9,"EEI"
"01-05-2010",22,1086.0,1173.8999999999999,"EEI"
"01-05-2010",23,1085.0,1168.9,"EEI"
"01-06-2010",0,1088.0,1169.7,"EEI"
"01-06-2010",1,1083.0,1166.7,"EEI"
"01-06-2010",2,1084.0,1168.0,"EEI"
"01-06-2010",3,1086.0,1172.3999999999999,"EEI"
"01-06-2010",4,1086.0,1172.7,"EEI"
"01-06-2010",5,1081.0,1168.0,"EEI"
"01-06-2010",6,1078.0,1162.2,"EEI"
"01-06-2010",7,1077.0,1136.6,"EEI"
"01-06-2010",8,1080.0,1166.3,"EEI"
"01-06-2010",9,1083.0,1163.3999999999999,"EEI"
"01-06-2010",10,1083.0,1161.6,"EEI"
"01-06-2010",11,1082.0,1156.9,"EEI"
"01-06-2010",12,1084.0,1162.6,"EEI"
"01-06-2010",13,1084.0,1165.5,"EEI"
"01-06-2010",14,1086.0,1163.3000000000002,"EEI"
"01-06-2010",15,1085.0,1163.7,"EEI"
"01-06-2010",16,1089.0,1166.0,"EEI"
"01-06-2010",17,1089.0,1165.3000000000002,"EEI"
"01-06-2010",18,1088.0,1168.6,"EEI"
"01-06-2010",19,1086.0,1166.7,"EEI"
"01-06-2010",20,1088.0,1166.4,"EEI"
"01-06-2010",21,1089.0,1166.9999999999998,"EEI"
"01-06-2010",22,1080.0,1159.4,"EEI"
"01-06-2010",23,1072.0,1148.8,"EEI"
"01-07-2010",0,1078.0,1153.1,"EEI"
"01-07-2010",1,1079.0,1157.6,"EEI"
"01-07-2010",2,1079.0,1157.0,"EEI"
"01-07-2010",3,1079.0,1154.3000000000002,"EEI"
"01-07-2010",4,1077.0,1157.4,"EEI"
"01-07-2010",5,1078.0,1152.3,"EEI"
"01-07-2010",6,1083.0,1157.3000000000002,"EEI"
"01-07-2010",7,1080.0,1135.3,"EEI"
"01-07-2010",8,1081.0,1161.3000000000002,"EEI"
"01-07-2010",9,1080.0,1162.3,"EEI"
"01-07-2010",10,1083.0,1165.1999999999998,"EEI"
"01-07-2010",11,1073.0,1149.9,"EEI"
"01-07-2010",12,1052.0,1128.1,"EEI"
"01-07-2010",13,1076.0,1101.3,"EEI"
"01-07-2010",14,1073.0,1153.1999999999998,"EEI"
"01-07-2010",15,1072.0,1154.5,"EEI"
"01-07-2010",16,1071.0,1148.8,"EEI"
"01-07-2010",17,1071.0,1149.5,"EEI"
"01-07-2010",18,1069.0,1152.5,"EEI"
"01-07-2010",19,1073.0,1156.6999999999998,"EEI"
"01-07-2010",20,1073.0,1157.0,"EEI"
"01-07-2010",21,1069.0,1150.7,"EEI"
"01-07-2010",22,1075.0,1159.3999999999999,"EEI"
"01-07-2010",23,1073.0,1158.3000000000002,"EEI"
"01-08-2010",0,1070.0,1150.5,"EEI"
"01-08-2010",1,1066.0,1147.0,"EEI"
"01-08-2010",2,1065.0,1148.6,"EEI"
"01-08-2010",3,1066.0,1151.5,"EEI"
"01-08-2010",4,1066.0,1151.3,"EEI"
"01-08-2010",5,1068.0,1153.7,"EEI"
"01-08-2010",6,1064.0,1146.3000000000002,"EEI"
"01-08-2010",7,1076.0,1138.8,"EEI"
"01-08-2010",8,1078.0,1159.8,"EEI"
"01-08-2010",9,1074.0,1156.7,"EEI"
"01-08-2010",10,1072.0,1154.7,"EEI"
"01-08-2010",11,1073.0,1157.9,"EEI"
"01-08-2010",12,1070.0,1150.5,"EEI"
"01-08-2010",13,1071.0,1152.6,"EEI"
"01-08-2010",14,1072.0,1149.7,"EEI"
"01-08-2010",15,1072.0,1147.5,"EEI"
"01-08-2010",16,1073.0,1149.8000000000002,"EEI"
"01-08-2010",17,1073.0,1152.9,"EEI"
"01-08-2010",18,1070.0,1150.5,"EEI"
"01-08-2010",19,1068.0,1148.7,"EEI"
"01-08-2010",20,1072.0,1152.6,"EEI"
"01-08-2010",21,1074.0,1155.3000000000002,"EEI"
"01-08-2010",22,1064.0,1141.2,"EEI"
"01-08-2010",23,1025.0,1102.3,"EEI"
"01-09-2010",0,1059.0,1145.4,"EEI"
"01-09-2010",1,1072.0,1161.8000000000002,"EEI"
"01-09-2010",2,1071.0,1161.8,"EEI"
"01-09-2010",3,1070.0,1159.1999999999998,"EEI"
"01-09-2010",4,1071.0,1158.1,"EEI"
"01-09-2010",5,1072.0,1163.8,"EEI"
"01-09-2010",6,1072.0,1160.7,"EEI"
"01-09-2010",7,1072.0,1133.6999999999998,"EEI"
"01-09-2010",8,1072.0,1153.1,"EEI"
"01-09-2010",9,1073.0,1151.6000000000001,"EEI"
"01-09-2010",10,1073.0,1155.6000000000001,"EEI"
"01-09-2010",11,1073.0,1153.6,"EEI"
"01-09-2010",12,1074.0,1149.5,"EEI"
"01-09-2010",13,1072.0,1152.7,"EEI"
"01-09-2010",14,1075.0,1150.8,"EEI"
"01-09-2010",15,1075.0,1156.1000000000001,"EEI"
"01-09-2010",16,1074.0,1155.1,"EEI"
"01-09-2010",17,1074.0,1156.0,"EEI"
"01-09-2010",18,1074.0,1157.1,"EEI"
"01-09-2010",19,1076.0,1162.7,"EEI"
"01-09-2010",20,1074.0,1160.6,"EEI"
"01-09-2010",21,1074.0,1158.5,"EEI"
"01-09-2010",22,1074.0,1158.3,"EEI"
"01-09-2010",23,1070.0,1154.3,"EEI"
"01-10-2010",0,1073.0,1162.6999999999998,"EEI"
"01-10-2010",1,1076.0,1164.8,"EEI"
"01-10-2010",2,1074.0,1167.5,"EEI"
"01-10-2010",3,1073.0,1167.7,"EEI"
"01-10-2010",4,1075.0,1167.8,"EEI"
"01-10-2010",5,1076.0,1168.8,"EEI"
"01-10-2010",6,1074.0,1163.6,"EEI"
"01-10-2010",7,1074.0,1135.8999999999999,"EEI"
"01-10-2010",8,1072.0,1160.1,"EEI"
"01-10-2010",9,1075.0,1150.4,"EEI"
"01-10-2010",10,1074.0,1156.0,"EEI"
"01-10-2010",11,1076.0,1146.6000000000001,"EEI"
"01-10-2010",12,1074.0,1151.8,"EEI"
"01-10-2010",13,1074.0,1152.7,"EEI"
"01-10-2010",14,1075.0,1152.3999999999999,"EEI"
"01-10-2010",15,1076.0,1150.1,"EEI"
"01-10-2010",16,1075.0,1155.4,"EEI"
"01-10-2010",17,1076.0,1153.8000000000002,"EEI"
"01-10-2010",18,1075.0,1150.6000000000001,"EEI"
"01-10-2010",19,1076.0,1154.8000000000002,"EEI"
"01-10-2010",20,1076.0,1153.0,"EEI"
"01-10-2010",21,1073.0,1146.0,"EEI"
"01-10-2010",22,1076.0,1148.6999999999998,"EEI"
"01-10-2010",23,1073.0,1145.8,"EEI"
"01-11-2010",0,1078.0,1159.5,"EEI"
"01-11-2010",1,1079.0,1153.2,"EEI"
"01-11-2010",2,1081.0,1152.9,"EEI"
"01-11-2010",3,1080.0,1154.5,"EEI"
