"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,24554.0,20059.474000000002,"ERCO"
"01-01-2010",1,24804.0,20237.442999999992,"ERCO"
"01-01-2010",2,24581.0,20086.539999999994,"ERCO"
"01-01-2010",3,24353.0,20029.272000000026,"ERCO"
"01-01-2010",4,24538.0,20394.6,"ERCO"
"01-01-2010",5,25134.0,20497.886999999995,"ERCO"
"01-01-2010",6,25727.0,20875.223999999995,"ERCO"
"01-01-2010",7,26917.0,21587.000999999997,"ERCO"
"01-01-2010",8,27539.0,21914.999,"ERCO"
"01-01-2010",9,27370.0,21676.49199999999,"ERCO"
"01-01-2010",10,27132.0,21608.23400000001,"ERCO"
"01-01-2010",11,25902.0,20884.503000000004,"ERCO"
"01-01-2010",12,23977.0,19961.23599999999,"ERCO"
"01-01-2010",13,22909.0,19248.132999999998,"ERCO"
"01-01-2010",14,21778.0,18460.800000000003,"ERCO"
"01-01-2010",15,21323.0,17951.40000000001,"ERCO"
"01-01-2010",16,21966.0,18468.899999999998,"ERCO"
"01-01-2010",17,23975.0,19723.58,"ERCO"
"01-01-2010",18,26129.0,20801.537000000004,"ERCO"
"01-01-2010",19,26312.0,20769.930999999993,"ERCO"
"01-01-2010",20,26111.0,20623.7,"ERCO"
"01-01-2010",21,25793.0,20788.101000000013,"ERCO"
"01-01-2010",22,25495.0,20619.082,"ERCO"
"01-01-2010",23,24659.0,19836.854999999996,"ERCO"
"01-02-2010",0,24112.0,19582.701000000005,"ERCO"
"01-02-2010",1,24478.0,19751.049999999996,"ERCO"
"01-02-2010",2,24974.0,20047.390999999996,"ERCO"
"01-02-2010",3,24772.0,19839.349999999995,"ERCO"
"01-02-2010",4,25718.0,20628.083000000006,"ERCO"
"01-02-2010",5,27081.0,21518.304999999986,"ERCO"
"01-02-2010",6,28391.0,22218.001999999997,"ERCO"
"01-02-2010",7,29834.0,22860.627999999986,"ERCO"
"01-02-2010",8,30266.0,23093.569999999996,"ERCO"
"01-02-2010",9,30262.0,23056.200999999994,"ERCO"
"01-02-2010",10,29072.0,22434.376000000004,"ERCO"
"01-02-2010",11,27349.0,21576.639,"ERCO"
"01-02-2010",12,25791.0,20986.66000000001,"ERCO"
"01-02-2010",13,24165.0,20119.770999999997,"ERCO"
"01-02-2010",14,23034.0,19406.676000000003,"ERCO"
"01-02-2010",15,22321.0,18768.749,"ERCO"
"01-02-2010",16,22773.0,18990.90999999999,"ERCO"
"01-02-2010",17,25475.0,20445.000999999986,"ERCO"
"01-02-2010",18,26830.0,21083.01999999999,"ERCO"
"01-02-2010",19,27021.0,21192.967,"ERCO"
"01-02-2010",20,26588.0,21043.400999999998,"ERCO"
"01-02-2010",21,26465.0,21025.300000000007,"ERCO"
"01-02-2010",22,26333.0,21127.686,"ERCO"
"01-02-2010",23,25562.0,20608.08200000001,"ERCO"
"01-03-2010",0,24729.0,20075.728999999992,"ERCO"
"01-03-2010",1,24445.0,19924.699000000008,"ERCO"
"01-03-2010",2,24700.0,19985.7,"ERCO"
"01-03-2010",3,24682.0,20074.05,"ERCO"
"01-03-2010",4,25002.0,20296.480000000014,"ERCO"
"01-03-2010",5,25665.0,20615.211000000003,"ERCO"
"01-03-2010",6,25993.0,20826.06,"ERCO"
"01-03-2010",7,27075.0,21595.020000000008,"ERCO"
"01-03-2010",8,28046.0,22047.742,"ERCO"
"01-03-2010",9,28991.0,22462.898999999994,"ERCO"
"01-03-2010",10,29140.0,22494.975000000006,"ERCO"
"01-03-2010",11,28588.0,22179.144999999997,"ERCO"
"01-03-2010",12,27633.0,21545.576999999997,"ERCO"
"01-03-2010",13,27499.0,21872.500999999993,"ERCO"
"01-03-2010",14,27535.0,21937.25200000002,"ERCO"
"01-03-2010",15,27548.0,21719.960000000003,"ERCO"
"01-03-2010",16,28070.0,22234.76300000001,"ERCO"
"01-03-2010",17,29490.0,22785.70899999999,"ERCO"
"01-03-2010",18,30595.0,23248.099000000006,"ERCO"
"01-03-2010",19,30662.0,23447.634000000002,"ERCO"
"01-03-2010",20,30169.0,23274.003999999997,"ERCO"
"01-03-2010",21,29679.0,22900.90400000001,"ERCO"
"01-03-2010",22,28489.0,22402.363000000016,"ERCO"
"01-03-2010",23,27022.0,21565.039999999986,"ERCO"
"01-04-2010",0,25962.0,21336.966999999997,"ERCO"
"01-04-2010",1,25631.0,21290.032999999996,"ERCO"
"01-04-2010",2,25940.0,21451.521,"ERCO"
"01-04-2010",3,26369.0,21682.22599999999,"ERCO"
"01-04-2010",4,27938.0,22518.872000000003,"ERCO"
"01-04-2010",5,30381.0,23878.606000000014,"ERCO"
"01-04-2010",6,33940.0,25540.106,"ERCO"
