"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,29.0,20.0,"IID"
"01-01-2010",1,26.0,18.2,"IID"
"01-01-2010",2,23.0,16.3,"IID"
"01-01-2010",3,21.0,15.1,"IID"
"01-01-2010",4,21.0,15.1,"IID"
"01-01-2010",5,21.0,15.2,"IID"
"01-01-2010",6,21.0,15.2,"IID"
"01-01-2010",7,21.0,15.2,"IID"
"01-01-2010",8,21.0,15.2,"IID"
"01-01-2010",9,21.0,15.2,"IID"
"01-01-2010",10,21.0,15.2,"IID"
"01-01-2010",11,21.0,15.1,"IID"
"01-01-2010",12,21.0,15.2,"IID"
"01-01-2010",13,21.0,15.2,"IID"
"01-01-2010",14,21.0,15.2,"IID"
"01-01-2010",15,21.0,15.3,"IID"
"01-01-2010",16,21.0,15.4,"IID"
"01-01-2010",17,21.0,15.4,"IID"
"01-01-2010",18,21.0,15.3,"IID"
"01-01-2010",19,21.0,15.3,"IID"
"01-01-2010",20,21.0,15.2,"IID"
"01-01-2010",21,21.0,15.3,"IID"
"01-01-2010",22,21.0,15.3,"IID"
"01-01-2010",23,21.0,15.2,"IID"
"01-02-2010",0,21.0,15.2,"IID"
"01-02-2010",1,21.0,15.3,"IID"
"01-02-2010",2,21.0,15.2,"IID"
"01-02-2010",3,21.0,15.3,"IID"
"01-02-2010",4,21.0,15.3,"IID"
"01-02-2010",5,21.0,15.2,"IID"
"01-02-2010",6,21.0,15.2,"IID"
"01-02-2010",7,21.0,15.2,"IID"
"01-02-2010",8,21.0,15.2,"IID"
"01-02-2010",9,26.0,17.8,"IID"
"01-02-2010",10,23.0,16.0,"IID"
"01-02-2010",11,22.0,15.3,"IID"
"01-02-2010",12,22.0,15.4,"IID"
"01-02-2010",13,22.0,15.5,"IID"
"01-02-2010",14,22.0,15.4,"IID"
"01-02-2010",15,22.0,15.4,"IID"
"01-02-2010",16,22.0,15.5,"IID"
"01-02-2010",17,22.0,15.6,"IID"
"01-02-2010",18,22.0,15.7,"IID"
"01-02-2010",19,22.0,15.7,"IID"
"01-02-2010",20,22.0,15.7,"IID"
"01-02-2010",21,22.0,15.6,"IID"
"01-02-2010",22,22.0,15.6,"IID"
"01-02-2010",23,22.0,15.6,"IID"
"01-03-2010",0,22.0,15.5,"IID"
"01-03-2010",1,22.0,15.6,"IID"
"01-03-2010",2,22.0,15.5,"IID"
"01-03-2010",3,22.0,15.5,"IID"
"01-03-2010",4,22.0,15.5,"IID"
"01-03-2010",5,22.0,15.5,"IID"
"01-03-2010",6,22.0,15.5,"IID"
"01-03-2010",7,22.0,15.4,"IID"
"01-03-2010",8,22.0,15.4,"IID"
"01-03-2010",9,22.0,15.4,"IID"
"01-03-2010",10,22.0,15.5,"IID"
"01-03-2010",11,21.0,15.3,"IID"
"01-03-2010",12,21.0,15.3,"IID"
"01-03-2010",13,21.0,15.3,"IID"
"01-03-2010",14,21.0,15.2,"IID"
"01-03-2010",15,21.0,15.2,"IID"
"01-03-2010",16,21.0,15.3,"IID"
"01-03-2010",17,21.0,15.4,"IID"
"01-03-2010",18,21.0,15.4,"IID"
"01-03-2010",19,21.0,15.3,"IID"
"01-03-2010",20,29.0,19.279999999999998,"IID"
"01-03-2010",21,93.0,56.0,"IID"
"01-03-2010",22,48.0,19.079,"IID"
"01-03-2010",23,22.0,15.3,"IID"
"01-04-2010",0,22.0,15.4,"IID"
"01-04-2010",1,22.0,15.4,"IID"
"01-04-2010",2,22.0,15.5,"IID"
"01-04-2010",3,22.0,15.4,"IID"
"01-04-2010",4,22.0,15.4,"IID"
