"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,224.0,257.3,"LES"
"01-01-2010",1,224.0,257.0,"LES"
"01-01-2010",2,224.0,258.9,"LES"
"01-01-2010",3,225.0,257.9,"LES"
"01-01-2010",4,224.0,256.70000000000005,"LES"
"01-01-2010",5,224.0,256.7,"LES"
"01-01-2010",6,220.0,253.9,"LES"
"01-01-2010",7,223.0,255.0,"LES"
"01-01-2010",8,219.0,250.9,"LES"
"01-01-2010",9,223.0,256.4,"LES"
"01-01-2010",10,211.0,238.1,"LES"
"01-01-2010",11,224.0,257.20000000000005,"LES"
"01-01-2010",12,220.0,253.3,"LES"
"01-01-2010",13,201.0,228.5,"LES"
"01-01-2010",14,170.0,190.1,"LES"
"01-01-2010",15,170.0,190.6,"LES"
"01-01-2010",16,172.0,194.10000000000002,"LES"
"01-01-2010",17,199.0,230.8,"LES"
"01-01-2010",18,224.0,258.9,"LES"
"01-01-2010",19,224.0,259.7,"LES"
"01-01-2010",20,225.0,258.5,"LES"
"01-01-2010",21,225.0,260.0,"LES"
"01-01-2010",22,225.0,257.6,"LES"
"01-01-2010",23,224.0,258.0,"LES"
"01-02-2010",0,224.0,257.1,"LES"
"01-02-2010",1,216.0,246.5,"LES"
"01-02-2010",2,224.0,257.8,"LES"
"01-02-2010",3,215.0,241.70000000000002,"LES"
"01-02-2010",4,223.0,256.4,"LES"
"01-02-2010",5,223.0,257.5,"LES"
"01-02-2010",6,223.0,261.1,"LES"
"01-02-2010",7,236.0,267.572,"LES"
"01-02-2010",8,248.0,274.5,"LES"
"01-02-2010",9,260.0,280.2,"LES"
"01-02-2010",10,257.0,277.5,"LES"
"01-02-2010",11,246.0,272.7,"LES"
"01-02-2010",12,242.0,272.90000000000003,"LES"
"01-02-2010",13,222.0,259.0,"LES"
"01-02-2010",14,222.0,257.6,"LES"
"01-02-2010",15,223.0,258.9,"LES"
"01-02-2010",16,233.0,267.9,"LES"
"01-02-2010",17,252.0,277.4,"LES"
"01-02-2010",18,252.0,278.5,"LES"
"01-02-2010",19,255.0,278.7,"LES"
"01-02-2010",20,264.0,282.6,"LES"
"01-02-2010",21,235.0,276.254,"LES"
"01-02-2010",22,222.0,258.5,"LES"
"01-02-2010",23,220.0,257.3,"LES"
"01-03-2010",0,217.0,252.2,"LES"
"01-03-2010",1,220.0,254.8,"LES"
"01-03-2010",2,220.0,255.20000000000002,"LES"
"01-03-2010",3,220.0,254.5,"LES"
"01-03-2010",4,220.0,252.7,"LES"
"01-03-2010",5,220.0,256.70000000000005,"LES"
"01-03-2010",6,218.0,253.89999999999998,"LES"
"01-03-2010",7,220.0,255.4,"LES"
"01-03-2010",8,220.0,255.5,"LES"
"01-03-2010",9,220.0,256.0,"LES"
"01-03-2010",10,220.0,255.0,"LES"
"01-03-2010",11,220.0,256.1,"LES"
"01-03-2010",12,219.0,255.8,"LES"
"01-03-2010",13,220.0,255.60000000000002,"LES"
"01-03-2010",14,219.0,255.4,"LES"
"01-03-2010",15,220.0,256.70000000000005,"LES"
"01-03-2010",16,226.0,262.223,"LES"
"01-03-2010",17,261.0,281.71,"LES"
"01-03-2010",18,304.0,303.5,"LES"
"01-03-2010",19,294.0,297.0,"LES"
"01-03-2010",20,289.0,295.59999999999997,"LES"
"01-03-2010",21,252.0,277.536,"LES"
"01-03-2010",22,231.0,266.0679999999999,"LES"
"01-03-2010",23,216.0,254.2,"LES"
"01-04-2010",0,216.0,253.10000000000002,"LES"
"01-04-2010",1,222.0,262.20000000000005,"LES"
"01-04-2010",2,216.0,256.0,"LES"
"01-04-2010",3,215.0,255.2,"LES"
"01-04-2010",4,215.0,253.1,"LES"
"01-04-2010",5,218.0,253.69199999999998,"LES"
"01-04-2010",6,251.0,279.0,"LES"
"01-04-2010",7,285.0,296.26399999999995,"LES"
"01-04-2010",8,317.0,312.2,"LES"
"01-04-2010",9,315.0,310.0,"LES"
"01-04-2010",10,311.0,309.14,"LES"
"01-04-2010",11,269.0,281.932,"LES"
"01-04-2010",12,258.0,271.95,"LES"
"01-04-2010",13,260.0,272.8,"LES"
"01-04-2010",14,259.0,276.288,"LES"
"01-04-2010",15,262.0,274.62,"LES"
"01-04-2010",16,262.0,270.90000000000003,"LES"
"01-04-2010",17,269.0,272.90000000000003,"LES"
"01-04-2010",18,267.0,271.8,"LES"
"01-04-2010",19,266.0,271.4,"LES"
"01-04-2010",20,235.0,260.8,"LES"
"01-04-2010",21,212.0,246.2,"LES"
"01-04-2010",22,212.0,245.8,"LES"
"01-04-2010",23,212.0,245.9,"LES"
"01-05-2010",0,206.0,234.39999999999998,"LES"
"01-05-2010",1,192.0,215.4,"LES"
"01-05-2010",2,192.0,213.8,"LES"
"01-05-2010",3,192.0,214.39999999999998,"LES"
"01-05-2010",4,198.0,225.3,"LES"
"01-05-2010",5,211.0,244.8,"LES"
"01-05-2010",6,211.0,244.5,"LES"
"01-05-2010",7,211.0,243.89999999999998,"LES"
"01-05-2010",8,211.0,243.6,"LES"
"01-05-2010",9,211.0,244.3,"LES"
"01-05-2010",10,211.0,245.2,"LES"
"01-05-2010",11,209.0,241.2,"LES"
"01-05-2010",12,194.0,227.5,"LES"
"01-05-2010",13,204.0,238.8,"LES"
"01-05-2010",14,209.0,242.8,"LES"
"01-05-2010",15,210.0,244.0,"LES"
"01-05-2010",16,210.0,244.2,"LES"
"01-05-2010",17,225.0,253.211,"LES"
"01-05-2010",18,255.0,268.9,"LES"
"01-05-2010",19,256.0,274.2,"LES"
"01-05-2010",20,216.0,247.3,"LES"
"01-05-2010",21,210.0,243.8,"LES"
"01-05-2010",22,210.0,241.2,"LES"
"01-05-2010",23,210.0,242.7,"LES"
"01-06-2010",0,198.0,224.2,"LES"
"01-06-2010",1,192.0,216.3,"LES"
"01-06-2010",2,206.0,241.6,"LES"
"01-06-2010",3,211.0,246.39999999999998,"LES"
"01-06-2010",4,210.0,243.9,"LES"
"01-06-2010",5,210.0,243.9,"LES"
"01-06-2010",6,207.0,241.5,"LES"
"01-06-2010",7,209.0,241.60000000000002,"LES"
"01-06-2010",8,244.0,261.113,"LES"
"01-06-2010",9,238.0,261.8,"LES"
"01-06-2010",10,207.0,243.92000000000002,"LES"
"01-06-2010",11,207.0,243.10000000000002,"LES"
"01-06-2010",12,207.0,242.8,"LES"
"01-06-2010",13,207.0,242.3,"LES"
"01-06-2010",14,208.0,242.3,"LES"
"01-06-2010",15,208.0,244.9,"LES"
"01-06-2010",16,229.0,264.782,"LES"
"01-06-2010",17,272.0,294.0,"LES"
"01-06-2010",18,263.0,288.93600000000004,"LES"
"01-06-2010",19,280.0,301.20000000000005,"LES"
"01-06-2010",20,256.0,285.23499999999996,"LES"
"01-06-2010",21,207.0,245.126,"LES"
"01-06-2010",22,210.0,250.9,"LES"
"01-06-2010",23,192.0,219.2,"LES"
"01-07-2010",0,186.0,211.2,"LES"
"01-07-2010",1,186.0,212.5,"LES"
"01-07-2010",2,187.0,212.60000000000002,"LES"
"01-07-2010",3,186.0,213.3,"LES"
"01-07-2010",4,186.0,214.2,"LES"
"01-07-2010",5,211.0,257.2,"LES"
"01-07-2010",6,223.0,263.032,"LES"
"01-07-2010",7,241.0,275.1,"LES"
"01-07-2010",8,236.0,272.1,"LES"
"01-07-2010",9,243.0,274.6,"LES"
"01-07-2010",10,215.0,251.67800000000003,"LES"
"01-07-2010",11,215.0,249.8,"LES"
"01-07-2010",12,213.0,251.60000000000002,"LES"
"01-07-2010",13,213.0,251.2,"LES"
"01-07-2010",14,210.0,248.9,"LES"
"01-07-2010",15,213.0,251.20000000000002,"LES"
"01-07-2010",16,218.0,257.464,"LES"
"01-07-2010",17,283.0,293.29999999999995,"LES"
"01-07-2010",18,305.0,303.59999999999997,"LES"
"01-07-2010",19,305.0,304.0,"LES"
"01-07-2010",20,301.0,302.40000000000003,"LES"
"01-07-2010",21,223.0,251.72299999999998,"LES"
"01-07-2010",22,231.0,259.1,"LES"
"01-07-2010",23,202.0,240.646,"LES"
"01-08-2010",0,192.0,227.5,"LES"
"01-08-2010",1,198.0,233.1,"LES"
"01-08-2010",2,191.0,224.2,"LES"
"01-08-2010",3,201.0,239.6,"LES"
"01-08-2010",4,208.0,242.347,"LES"
"01-08-2010",5,254.0,275.975,"LES"
"01-08-2010",6,305.0,309.4,"LES"
"01-08-2010",7,300.0,297.59999999999997,"LES"
"01-08-2010",8,302.0,301.3,"LES"
"01-08-2010",9,306.0,300.651,"LES"
"01-08-2010",10,320.0,302.1,"LES"
"01-08-2010",11,314.0,301.00000000000006,"LES"
"01-08-2010",12,309.0,296.199,"LES"
"01-08-2010",13,251.0,257.273,"LES"
"01-08-2010",14,268.0,270.4,"LES"
"01-08-2010",15,263.0,262.3,"LES"
"01-08-2010",16,265.0,266.05899999999997,"LES"
"01-08-2010",17,289.0,281.2,"LES"
"01-08-2010",18,279.0,277.20000000000005,"LES"
"01-08-2010",19,277.0,277.8,"LES"
"01-08-2010",20,238.0,257.8,"LES"
"01-08-2010",21,221.0,252.49999999999997,"LES"
"01-08-2010",22,199.0,239.278,"LES"
"01-08-2010",23,208.0,250.2,"LES"
"01-09-2010",0,199.0,234.1,"LES"
"01-09-2010",1,207.0,247.8,"LES"
"01-09-2010",2,207.0,249.0,"LES"
"01-09-2010",3,208.0,247.5,"LES"
"01-09-2010",4,208.0,246.10000000000002,"LES"
"01-09-2010",5,207.0,247.6,"LES"
"01-09-2010",6,208.0,247.5,"LES"
"01-09-2010",7,209.0,246.39999999999998,"LES"
"01-09-2010",8,209.0,247.89999999999998,"LES"
"01-09-2010",9,209.0,248.1,"LES"
"01-09-2010",10,210.0,248.70000000000002,"LES"
"01-09-2010",11,209.0,249.20000000000002,"LES"
"01-09-2010",12,209.0,247.9,"LES"
"01-09-2010",13,203.0,238.3,"LES"
"01-09-2010",14,201.0,236.2,"LES"
"01-09-2010",15,201.0,237.2,"LES"
"01-09-2010",16,201.0,235.4,"LES"
"01-09-2010",17,200.0,236.3,"LES"
"01-09-2010",18,200.0,235.5,"LES"
"01-09-2010",19,200.0,235.7,"LES"
"01-09-2010",20,200.0,234.60000000000002,"LES"
"01-09-2010",21,199.0,233.39999999999998,"LES"
"01-09-2010",22,193.0,226.4,"LES"
"01-09-2010",23,184.0,210.8,"LES"
"01-10-2010",0,181.0,206.1,"LES"
"01-10-2010",1,176.0,200.9,"LES"
"01-10-2010",2,170.0,195.8,"LES"
"01-10-2010",3,170.0,197.10000000000002,"LES"
"01-10-2010",4,170.0,197.2,"LES"
"01-10-2010",5,171.0,200.2,"LES"
"01-10-2010",6,185.0,215.7,"LES"
"01-10-2010",7,199.0,236.5,"LES"
"01-10-2010",8,189.0,220.5,"LES"
"01-10-2010",9,185.0,213.7,"LES"
"01-10-2010",10,151.0,174.89999999999998,"LES"
"01-10-2010",11,148.0,179.89999999999998,"LES"
"01-10-2010",12,148.0,182.60000000000002,"LES"
"01-10-2010",13,148.0,183.0,"LES"
"01-10-2010",14,148.0,182.89999999999998,"LES"
"01-10-2010",15,148.0,182.8,"LES"
"01-10-2010",16,148.0,184.8,"LES"
"01-10-2010",17,169.0,206.10000000000002,"LES"
"01-10-2010",18,190.0,226.0,"LES"
"01-10-2010",19,190.0,223.9,"LES"
"01-10-2010",20,210.0,247.0,"LES"
"01-10-2010",21,220.0,256.1,"LES"
"01-10-2010",22,209.0,237.3,"LES"
"01-10-2010",23,200.0,226.3,"LES"
"01-11-2010",0,194.0,221.7,"LES"
"01-11-2010",1,194.0,221.7,"LES"
"01-11-2010",2,194.0,220.7,"LES"
"01-11-2010",3,194.0,218.6,"LES"
"01-11-2010",4,194.0,221.4,"LES"
"01-11-2010",5,194.0,221.1,"LES"
"01-11-2010",6,220.0,257.9,"LES"
"01-11-2010",7,230.0,268.5,"LES"
"01-11-2010",8,230.0,267.1,"LES"
"01-11-2010",9,230.0,266.0,"LES"
"01-11-2010",10,225.0,261.6,"LES"
"01-11-2010",11,228.0,263.5,"LES"
"01-11-2010",12,227.0,262.4,"LES"
"01-11-2010",13,232.0,270.3,"LES"
"01-11-2010",14,228.0,262.2,"LES"
"01-11-2010",15,226.0,260.1,"LES"
"01-11-2010",16,225.0,259.7,"LES"
"01-11-2010",17,226.0,259.9,"LES"
"01-11-2010",18,226.0,261.0,"LES"
"01-11-2010",19,204.0,232.6,"LES"
"01-11-2010",20,192.0,223.3,"LES"
"01-11-2010",21,192.0,223.6,"LES"
