"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,80.0,87.6,"MPS"
"01-01-2010",1,80.0,88.5,"MPS"
"01-01-2010",2,80.0,87.7,"MPS"
"01-01-2010",3,80.0,87.3,"MPS"
"01-01-2010",4,80.0,88.3,"MPS"
"01-01-2010",5,80.0,87.4,"MPS"
"01-01-2010",6,80.0,88.6,"MPS"
"01-01-2010",7,79.0,87.6,"MPS"
"01-01-2010",8,79.0,88.1,"MPS"
"01-01-2010",9,80.0,89.4,"MPS"
"01-01-2010",10,80.0,90.1,"MPS"
"01-01-2010",11,80.0,89.1,"MPS"
"01-01-2010",12,80.0,88.9,"MPS"
"01-01-2010",13,80.0,89.7,"MPS"
"01-01-2010",14,80.0,89.6,"MPS"
"01-01-2010",15,80.0,89.1,"MPS"
"01-01-2010",16,80.0,89.6,"MPS"
"01-01-2010",17,80.0,90.0,"MPS"
"01-01-2010",18,80.0,89.8,"MPS"
"01-01-2010",19,80.0,88.7,"MPS"
"01-01-2010",20,80.0,90.9,"MPS"
"01-01-2010",21,80.0,88.8,"MPS"
"01-01-2010",22,80.0,89.9,"MPS"
"01-01-2010",23,80.0,89.6,"MPS"
"01-02-2010",0,80.0,90.7,"MPS"
"01-02-2010",1,80.0,90.6,"MPS"
"01-02-2010",2,80.0,89.5,"MPS"
"01-02-2010",3,80.0,89.6,"MPS"
"01-02-2010",4,80.0,89.6,"MPS"
"01-02-2010",5,80.0,91.0,"MPS"
"01-02-2010",6,80.0,89.8,"MPS"
"01-02-2010",7,80.0,90.9,"MPS"
"01-02-2010",8,79.0,90.6,"MPS"
"01-02-2010",9,79.0,89.3,"MPS"
"01-02-2010",10,80.0,89.6,"MPS"
"01-02-2010",11,80.0,88.9,"MPS"
"01-02-2010",12,80.0,88.8,"MPS"
"01-02-2010",13,80.0,89.3,"MPS"
"01-02-2010",14,80.0,89.9,"MPS"
"01-02-2010",15,80.0,88.2,"MPS"
"01-02-2010",16,80.0,89.1,"MPS"
"01-02-2010",17,87.0,96.0,"MPS"
"01-02-2010",18,90.0,99.7,"MPS"
"01-02-2010",19,90.0,100.0,"MPS"
"01-02-2010",20,91.0,101.0,"MPS"
"01-02-2010",21,92.0,102.0,"MPS"
"01-02-2010",22,91.0,100.8,"MPS"
"01-02-2010",23,80.0,89.2,"MPS"
"01-03-2010",0,80.0,88.5,"MPS"
"01-03-2010",1,80.0,88.1,"MPS"
"01-03-2010",2,80.0,88.3,"MPS"
"01-03-2010",3,80.0,87.9,"MPS"
"01-03-2010",4,80.0,88.4,"MPS"
"01-03-2010",5,80.0,87.5,"MPS"
"01-03-2010",6,80.0,89.0,"MPS"
"01-03-2010",7,80.0,89.4,"MPS"
"01-03-2010",8,80.0,87.4,"MPS"
"01-03-2010",9,80.0,89.2,"MPS"
"01-03-2010",10,80.0,89.0,"MPS"
"01-03-2010",11,80.0,88.3,"MPS"
"01-03-2010",12,80.0,88.9,"MPS"
"01-03-2010",13,80.0,89.3,"MPS"
"01-03-2010",14,80.0,89.3,"MPS"
"01-03-2010",15,80.0,87.7,"MPS"
"01-03-2010",16,80.0,89.6,"MPS"
