"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,42.0,8.12,"PUPP"
"01-01-2010",1,41.0,39.3,"PUPP"
"01-01-2010",2,40.0,38.8,"PUPP"
"01-01-2010",3,41.0,39.0,"PUPP"
"01-01-2010",4,90.0,44.573,"PUPP"
"01-01-2010",5,220.0,116.98,"PUPP"
"01-01-2010",6,566.0,308.2,"PUPP"
"01-01-2010",7,967.0,461.5,"PUPP"
"01-01-2010",8,977.0,461.5,"PUPP"
"01-01-2010",9,970.0,459.8,"PUPP"
"01-01-2010",10,965.0,456.4,"PUPP"
"01-01-2010",11,955.0,455.90000000000003,"PUPP"
"01-01-2010",12,632.0,240.341,"PUPP"
"01-01-2010",13,141.0,10.61,"PUPP"
"01-01-2010",14,0.0,0.0,"PUPP"
"01-01-2010",15,0.0,0.0,"PUPP"
"01-01-2010",16,52.0,7.446000000000001,"PUPP"
"01-01-2010",17,169.0,85.57500000000002,"PUPP"
"01-01-2010",18,554.0,295.192,"PUPP"
"01-01-2010",19,951.0,452.4,"PUPP"
"01-01-2010",20,965.0,456.1,"PUPP"
"01-01-2010",21,963.0,455.8,"PUPP"
"01-01-2010",22,965.0,458.20000000000005,"PUPP"
"01-01-2010",23,959.0,455.3,"PUPP"
"01-02-2010",0,666.0,239.074,"PUPP"
"01-02-2010",1,329.0,168.5,"PUPP"
"01-02-2010",2,323.0,165.7,"PUPP"
"01-02-2010",3,324.0,166.2,"PUPP"
"01-02-2010",4,324.0,166.0,"PUPP"
"01-02-2010",5,431.0,188.424,"PUPP"
"01-02-2010",6,580.0,300.374,"PUPP"
"01-02-2010",7,951.0,448.1,"PUPP"
"01-02-2010",8,962.0,452.29999999999995,"PUPP"
"01-02-2010",9,958.0,450.6,"PUPP"
"01-02-2010",10,958.0,450.90000000000003,"PUPP"
"01-02-2010",11,949.0,447.1,"PUPP"
"01-02-2010",12,650.0,243.64,"PUPP"
"01-02-2010",13,272.0,101.764,"PUPP"
"01-02-2010",14,199.0,99.8,"PUPP"
"01-02-2010",15,199.0,99.8,"PUPP"
"01-02-2010",16,251.0,109.59400000000001,"PUPP"
"01-02-2010",17,281.0,139.026,"PUPP"
"01-02-2010",18,576.0,288.0,"PUPP"
"01-02-2010",19,738.0,372.4,"PUPP"
