"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,1254.0,1154.6999999999998,"SCEG"
"01-01-2010",1,1253.0,1148.0,"SCEG"
"01-01-2010",2,1250.0,1150.9,"SCEG"
"01-01-2010",3,1248.0,1145.4,"SCEG"
"01-01-2010",4,1248.0,1141.9,"SCEG"
"01-01-2010",5,1250.0,1146.2,"SCEG"
"01-01-2010",6,1250.0,1136.0,"SCEG"
"01-01-2010",7,1244.0,1134.5,"SCEG"
"01-01-2010",8,1246.0,1134.6999999999998,"SCEG"
"01-01-2010",9,1296.0,1187.9,"SCEG"
"01-01-2010",10,1439.0,1307.4,"SCEG"
"01-01-2010",11,1483.0,1341.6000000000001,"SCEG"
"01-01-2010",12,1497.0,1353.3,"SCEG"
"01-01-2010",13,1486.0,1338.6000000000001,"SCEG"
"01-01-2010",14,1480.0,1339.2,"SCEG"
"01-01-2010",15,1481.0,1340.4,"SCEG"
"01-01-2010",16,1487.0,1344.3000000000002,"SCEG"
"01-01-2010",17,1567.0,1412.3239999999998,"SCEG"
"01-01-2010",18,1585.0,1449.9999999999998,"SCEG"
"01-01-2010",19,1581.0,1441.3,"SCEG"
"01-01-2010",20,1621.0,1474.0,"SCEG"
"01-01-2010",21,1633.0,1466.0,"SCEG"
"01-01-2010",22,1761.0,1498.655,"SCEG"
"01-01-2010",23,1748.0,1489.9,"SCEG"
"01-02-2010",0,1761.0,1488.0,"SCEG"
"01-02-2010",1,1774.0,1492.6,"SCEG"
"01-02-2010",2,1774.0,1494.2000000000003,"SCEG"
"01-02-2010",3,1773.0,1519.3999999999999,"SCEG"
"01-02-2010",4,1770.0,1514.6,"SCEG"
"01-02-2010",5,1787.0,1520.3000000000002,"SCEG"
"01-02-2010",6,1789.0,1515.1,"SCEG"
"01-02-2010",7,1828.0,1541.7000000000003,"SCEG"
"01-02-2010",8,1849.0,1570.7,"SCEG"
