"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,2942.0,2980.614,"SC"
"01-01-2010",1,2773.0,2827.4000000000005,"SC"
"01-01-2010",2,2714.0,2774.9,"SC"
"01-01-2010",3,2724.0,2788.5000000000005,"SC"
"01-01-2010",4,2752.0,2751.9,"SC"
"01-01-2010",5,2765.0,2822.8999999999996,"SC"
"01-01-2010",6,2770.0,2814.0,"SC"
"01-01-2010",7,2917.0,2959.6,"SC"
"01-01-2010",8,3193.0,3214.0000000000005,"SC"
"01-01-2010",9,3209.0,3211.4,"SC"
"01-01-2010",10,3363.0,3366.9999999999995,"SC"
"01-01-2010",11,3357.0,3353.1,"SC"
"01-01-2010",12,3366.0,3354.1,"SC"
"01-01-2010",13,3324.0,3297.7,"SC"
"01-01-2010",14,3279.0,3256.2000000000003,"SC"
"01-01-2010",15,3182.0,3169.6,"SC"
"01-01-2010",16,3127.0,3126.7999999999997,"SC"
"01-01-2010",17,3494.0,3476.8,"SC"
"01-01-2010",18,3666.0,3631.5999999999995,"SC"
"01-01-2010",19,3717.0,3693.2999999999997,"SC"
"01-01-2010",20,3748.0,3727.9000000000005,"SC"
"01-01-2010",21,3728.0,3690.8000000000006,"SC"
"01-01-2010",22,3636.0,3593.2999999999993,"SC"
"01-01-2010",23,3619.0,3570.9999999999995,"SC"
"01-02-2010",0,3556.0,3507.9999999999995,"SC"
"01-02-2010",1,3611.0,3557.0999999999995,"SC"
"01-02-2010",2,3651.0,3584.7000000000003,"SC"
"01-02-2010",3,3783.0,3696.0,"SC"
"01-02-2010",4,3899.0,3727.4000000000005,"SC"
"01-02-2010",5,4166.0,4044.2999999999997,"SC"
"01-02-2010",6,4526.0,4376.7,"SC"
"01-02-2010",7,4648.0,4576.7,"SC"
"01-02-2010",8,4642.0,4580.000000000001,"SC"
"01-02-2010",9,4695.0,4649.000000000001,"SC"
"01-02-2010",10,4595.0,4535.1,"SC"
"01-02-2010",11,4354.0,4312.8,"SC"
"01-02-2010",12,3963.0,3924.9,"SC"
"01-02-2010",13,3843.0,3810.2000000000003,"SC"
"01-02-2010",14,3822.0,3792.899999999999,"SC"
"01-02-2010",15,3881.0,3868.7999999999993,"SC"
"01-02-2010",16,4052.0,4025.9999999999995,"SC"
"01-02-2010",17,4463.0,4410.0,"SC"
"01-02-2010",18,4723.0,4685.000000000001,"SC"
"01-02-2010",19,4759.0,4668.099999999999,"SC"
"01-02-2010",20,4736.0,4676.224,"SC"
"01-02-2010",21,4687.0,4685.799999999999,"SC"
"01-02-2010",22,4680.0,4652.6,"SC"
"01-02-2010",23,4672.0,4472.799999999999,"SC"
"01-03-2010",0,4684.0,4452.5,"SC"
"01-03-2010",1,4633.0,4414.304,"SC"
"01-03-2010",2,4647.0,4427.4,"SC"
"01-03-2010",3,4640.0,4400.992,"SC"
"01-03-2010",4,4628.0,4318.599999999999,"SC"
"01-03-2010",5,4636.0,4395.0,"SC"
"01-03-2010",6,4673.0,4423.2,"SC"
"01-03-2010",7,4699.0,4619.0,"SC"
"01-03-2010",8,4699.0,4662.8,"SC"
"01-03-2010",9,4708.0,4775.8,"SC"
"01-03-2010",10,4642.0,4722.2,"SC"
"01-03-2010",11,4507.0,4453.999999999999,"SC"
"01-03-2010",12,4343.0,4317.199999999999,"SC"
"01-03-2010",13,4094.0,4176.405999999999,"SC"
"01-03-2010",14,3955.0,4062.1900000000005,"SC"
"01-03-2010",15,3913.0,3919.4999999999995,"SC"
"01-03-2010",16,4050.0,4066.7999999999997,"SC"
"01-03-2010",17,4320.0,4320.700000000001,"SC"
"01-03-2010",18,4655.0,4602.1,"SC"
"01-03-2010",19,4723.0,4659.900000000001,"SC"
"01-03-2010",20,4736.0,4675.1,"SC"
"01-03-2010",21,4732.0,4675.5,"SC"
"01-03-2010",22,4698.0,4657.0,"SC"
"01-03-2010",23,4615.0,4592.3,"SC"
"01-04-2010",0,4516.0,4481.3,"SC"
"01-04-2010",1,4502.0,4490.0,"SC"
"01-04-2010",2,4493.0,4472.7,"SC"
"01-04-2010",3,4668.0,4626.899999999999,"SC"
"01-04-2010",4,4741.0,4590.7,"SC"
"01-04-2010",5,4765.0,4695.099999999999,"SC"
"01-04-2010",6,4797.0,4730.7,"SC"
"01-04-2010",7,4819.0,4762.500000000001,"SC"
"01-04-2010",8,4804.0,4768.000000000001,"SC"
"01-04-2010",9,4802.0,4770.700000000001,"SC"
"01-04-2010",10,4641.0,4625.099999999999,"SC"
"01-04-2010",11,4488.0,4510.900000000001,"SC"
"01-04-2010",12,4226.0,4306.1,"SC"
"01-04-2010",13,4122.0,4340.400000000001,"SC"
"01-04-2010",14,4058.0,4123.200000000001,"SC"
"01-04-2010",15,4045.0,4088.3000000000006,"SC"
"01-04-2010",16,4153.0,4146.3,"SC"
"01-04-2010",17,4550.0,4491.900000000001,"SC"
"01-04-2010",18,4813.0,4768.900000000001,"SC"
"01-04-2010",19,4842.0,4815.400000000001,"SC"
"01-04-2010",20,4849.0,4817.0,"SC"
"01-04-2010",21,4844.0,4786.3,"SC"
"01-04-2010",22,4797.0,4753.7,"SC"
"01-04-2010",23,4732.0,4691.799999999999,"SC"
"01-05-2010",0,4607.0,4603.099999999999,"SC"
"01-05-2010",1,4642.0,4590.0,"SC"
