"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,0.0,0.0,"SRP"
"01-01-2010",1,0.0,0.0,"SRP"
"01-01-2010",2,0.0,0.0,"SRP"
"01-01-2010",3,0.0,0.0,"SRP"
"01-01-2010",4,0.0,0.0,"SRP"
"01-01-2010",5,0.0,0.0,"SRP"
"01-01-2010",6,0.0,0.0,"SRP"
"01-01-2010",7,0.0,0.0,"SRP"
"01-01-2010",8,0.0,0.0,"SRP"
"01-01-2010",9,0.0,0.0,"SRP"
"01-01-2010",10,0.0,0.0,"SRP"
"01-01-2010",11,0.0,0.0,"SRP"
"01-01-2010",12,0.0,0.0,"SRP"
"01-01-2010",13,0.0,0.0,"SRP"
"01-01-2010",14,0.0,0.0,"SRP"
"01-01-2010",15,0.0,0.0,"SRP"
"01-01-2010",16,0.0,0.0,"SRP"
"01-01-2010",17,0.0,0.0,"SRP"
"01-01-2010",18,0.0,0.0,"SRP"
"01-01-2010",19,0.0,0.0,"SRP"
"01-01-2010",20,0.0,0.0,"SRP"
"01-01-2010",21,0.0,0.0,"SRP"
"01-01-2010",22,0.0,0.0,"SRP"
"01-01-2010",23,0.0,0.0,"SRP"
"01-02-2010",0,0.0,0.0,"SRP"
"01-02-2010",1,0.0,0.0,"SRP"
"01-02-2010",2,0.0,0.0,"SRP"
"01-02-2010",3,0.0,0.0,"SRP"
"01-02-2010",4,0.0,0.0,"SRP"
"01-02-2010",5,0.0,0.0,"SRP"
"01-02-2010",6,0.0,0.0,"SRP"
"01-02-2010",7,0.0,0.0,"SRP"
"01-02-2010",8,0.0,0.0,"SRP"
"01-02-2010",9,0.0,0.0,"SRP"
"01-02-2010",10,0.0,0.0,"SRP"
"01-02-2010",11,0.0,0.0,"SRP"
"01-02-2010",12,0.0,0.0,"SRP"
"01-02-2010",13,0.0,0.0,"SRP"
"01-02-2010",14,0.0,0.0,"SRP"
"01-02-2010",15,0.0,0.0,"SRP"
"01-02-2010",16,0.0,0.0,"SRP"
"01-02-2010",17,0.0,0.0,"SRP"
"01-02-2010",18,0.0,0.0,"SRP"
"01-02-2010",19,0.0,0.0,"SRP"
"01-02-2010",20,0.0,0.0,"SRP"
"01-02-2010",21,0.0,0.0,"SRP"
"01-02-2010",22,0.0,0.0,"SRP"
"01-02-2010",23,0.0,0.0,"SRP"
"01-03-2010",0,0.0,0.0,"SRP"
"01-03-2010",1,0.0,0.0,"SRP"
"01-03-2010",2,0.0,0.0,"SRP"
"01-03-2010",3,0.0,0.0,"SRP"
"01-03-2010",4,0.0,0.0,"SRP"
"01-03-2010",5,0.0,0.0,"SRP"
"01-03-2010",6,0.0,0.0,"SRP"
"01-03-2010",7,0.0,0.0,"SRP"
"01-03-2010",8,0.0,0.0,"SRP"
"01-03-2010",9,0.0,0.0,"SRP"
"01-03-2010",10,0.0,0.0,"SRP"
"01-03-2010",11,0.0,0.0,"SRP"
"01-03-2010",12,0.0,0.0,"SRP"
"01-03-2010",13,0.0,6.468,"SRP"
"01-03-2010",14,2.0,30.5,"SRP"
"01-03-2010",15,31.0,42.3,"SRP"
"01-03-2010",16,36.0,11.025,"SRP"
"01-03-2010",17,0.0,5.9079999999999995,"SRP"
"01-03-2010",18,3.0,31.6,"SRP"
"01-03-2010",19,19.0,38.0,"SRP"
"01-03-2010",20,26.0,41.4,"SRP"
"01-03-2010",21,38.0,41.6,"SRP"
"01-03-2010",22,0.0,0.0,"SRP"
"01-03-2010",23,91.0,53.3,"SRP"
"01-04-2010",0,116.0,59.7,"SRP"
"01-04-2010",1,142.0,67.5,"SRP"
"01-04-2010",2,157.0,76.722,"SRP"
"01-04-2010",3,232.0,132.0,"SRP"
"01-04-2010",4,366.0,165.0,"SRP"
"01-04-2010",5,444.0,195.5,"SRP"
"01-04-2010",6,436.0,190.5,"SRP"
"01-04-2010",7,416.0,182.2,"SRP"
"01-04-2010",8,341.0,151.89999999999998,"SRP"
"01-04-2010",9,342.0,151.5,"SRP"
"01-04-2010",10,343.0,151.7,"SRP"
"01-04-2010",11,334.0,129.008,"SRP"
"01-04-2010",12,220.0,94.7,"SRP"
"01-04-2010",13,220.0,94.9,"SRP"
"01-04-2010",14,221.0,95.0,"SRP"
"01-04-2010",15,221.0,95.0,"SRP"
"01-04-2010",16,223.0,95.0,"SRP"
"01-04-2010",17,222.0,94.8,"SRP"
"01-04-2010",18,222.0,94.7,"SRP"
"01-04-2010",19,221.0,94.6,"SRP"
"01-04-2010",20,221.0,94.6,"SRP"
"01-04-2010",21,221.0,94.4,"SRP"
"01-04-2010",22,220.0,94.3,"SRP"
"01-04-2010",23,187.0,81.0,"SRP"
"01-05-2010",0,183.0,80.3,"SRP"
"01-05-2010",1,173.0,76.7,"SRP"
"01-05-2010",2,172.0,76.7,"SRP"
"01-05-2010",3,172.0,76.6,"SRP"
"01-05-2010",4,170.0,76.7,"SRP"
"01-05-2010",5,207.0,101.52000000000001,"SRP"
"01-05-2010",6,349.0,168.2,"SRP"
"01-05-2010",7,440.0,193.10000000000002,"SRP"
"01-05-2010",8,359.0,158.0,"SRP"
"01-05-2010",9,341.0,151.39999999999998,"SRP"
"01-05-2010",10,349.0,148.844,"SRP"
"01-05-2010",11,240.0,102.2,"SRP"
"01-05-2010",12,248.0,105.0,"SRP"
"01-05-2010",13,249.0,105.6,"SRP"
"01-05-2010",14,256.0,108.5,"SRP"
"01-05-2010",15,244.0,103.4,"SRP"
"01-05-2010",16,200.0,87.8,"SRP"
"01-05-2010",17,214.0,93.6,"SRP"
"01-05-2010",18,251.0,107.3,"SRP"
"01-05-2010",19,251.0,107.3,"SRP"
"01-05-2010",20,251.0,107.4,"SRP"
"01-05-2010",21,176.0,77.8,"SRP"
"01-05-2010",22,147.0,69.3,"SRP"
"01-05-2010",23,0.0,0.0,"SRP"
"01-06-2010",0,0.0,0.0,"SRP"
"01-06-2010",1,0.0,0.0,"SRP"
"01-06-2010",2,0.0,0.0,"SRP"
"01-06-2010",3,0.0,4.462,"SRP"
"01-06-2010",4,75.0,60.7,"SRP"
"01-06-2010",5,178.0,81.0,"SRP"
"01-06-2010",6,185.0,82.1,"SRP"
"01-06-2010",7,186.0,82.2,"SRP"
"01-06-2010",8,186.0,82.2,"SRP"
"01-06-2010",9,185.0,82.3,"SRP"
"01-06-2010",10,187.0,82.3,"SRP"
"01-06-2010",11,187.0,82.3,"SRP"
"01-06-2010",12,187.0,82.2,"SRP"
"01-06-2010",13,187.0,82.2,"SRP"
"01-06-2010",14,187.0,82.2,"SRP"
"01-06-2010",15,187.0,82.1,"SRP"
"01-06-2010",16,187.0,82.1,"SRP"
"01-06-2010",17,165.0,74.0,"SRP"
"01-06-2010",18,189.0,83.0,"SRP"
"01-06-2010",19,189.0,83.1,"SRP"
"01-06-2010",20,189.0,83.0,"SRP"
"01-06-2010",21,189.0,83.1,"SRP"
"01-06-2010",22,156.0,72.7,"SRP"
"01-06-2010",23,23.0,3.2,"SRP"
"01-07-2010",0,0.0,0.0,"SRP"
"01-07-2010",1,0.0,0.0,"SRP"
"01-07-2010",2,0.0,0.0,"SRP"
"01-07-2010",3,0.0,0.0,"SRP"
"01-07-2010",4,53.0,48.1,"SRP"
"01-07-2010",5,136.0,71.4,"SRP"
"01-07-2010",6,194.0,86.1,"SRP"
"01-07-2010",7,251.0,107.1,"SRP"
"01-07-2010",8,213.0,92.5,"SRP"
"01-07-2010",9,212.0,92.3,"SRP"
"01-07-2010",10,210.0,90.8,"SRP"
"01-07-2010",11,151.0,69.1,"SRP"
"01-07-2010",12,163.0,73.7,"SRP"
"01-07-2010",13,179.0,79.3,"SRP"
"01-07-2010",14,179.0,79.4,"SRP"
"01-07-2010",15,179.0,79.4,"SRP"
"01-07-2010",16,179.0,79.5,"SRP"
"01-07-2010",17,179.0,79.6,"SRP"
"01-07-2010",18,204.0,89.3,"SRP"
"01-07-2010",19,208.0,90.9,"SRP"
"01-07-2010",20,193.0,84.8,"SRP"
"01-07-2010",21,191.0,83.9,"SRP"
"01-07-2010",22,113.0,30.45,"SRP"
"01-07-2010",23,0.0,0.0,"SRP"
"01-08-2010",0,0.0,0.0,"SRP"
"01-08-2010",1,0.0,0.0,"SRP"
"01-08-2010",2,0.0,0.0,"SRP"
"01-08-2010",3,0.0,4.462,"SRP"
"01-08-2010",4,81.0,61.2,"SRP"
"01-08-2010",5,170.0,77.4,"SRP"
"01-08-2010",6,179.0,79.4,"SRP"
"01-08-2010",7,180.0,79.4,"SRP"
"01-08-2010",8,180.0,79.3,"SRP"
"01-08-2010",9,180.0,79.2,"SRP"
"01-08-2010",10,180.0,79.4,"SRP"
"01-08-2010",11,181.0,79.5,"SRP"
"01-08-2010",12,194.0,84.7,"SRP"
"01-08-2010",13,199.0,87.0,"SRP"
"01-08-2010",14,199.0,87.1,"SRP"
"01-08-2010",15,199.0,87.1,"SRP"
"01-08-2010",16,199.0,87.1,"SRP"
"01-08-2010",17,187.0,82.5,"SRP"
"01-08-2010",18,180.0,79.7,"SRP"
"01-08-2010",19,180.0,79.7,"SRP"
"01-08-2010",20,157.0,73.0,"SRP"
"01-08-2010",21,8.0,0.636,"SRP"
"01-08-2010",22,0.0,0.0,"SRP"
"01-08-2010",23,0.0,0.0,"SRP"
"01-09-2010",0,0.0,0.0,"SRP"
"01-09-2010",1,0.0,0.0,"SRP"
"01-09-2010",2,0.0,5.05,"SRP"
"01-09-2010",3,77.0,61.8,"SRP"
"01-09-2010",4,172.0,78.4,"SRP"
"01-09-2010",5,208.0,91.0,"SRP"
"01-09-2010",6,238.0,102.1,"SRP"
"01-09-2010",7,202.0,87.8,"SRP"
"01-09-2010",8,175.0,78.1,"SRP"
"01-09-2010",9,214.0,92.6,"SRP"
