"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,191.0,111.375,"TAL"
"01-01-2010",1,191.0,127.0,"TAL"
"01-01-2010",2,191.0,127.0,"TAL"
"01-01-2010",3,191.0,127.0,"TAL"
"01-01-2010",4,191.0,127.0,"TAL"
"01-01-2010",5,196.0,128.6,"TAL"
"01-01-2010",6,193.0,127.5,"TAL"
"01-01-2010",7,191.0,127.4,"TAL"
"01-01-2010",8,192.0,127.5,"TAL"
"01-01-2010",9,196.0,128.5,"TAL"
"01-01-2010",10,209.0,133.6,"TAL"
"01-01-2010",11,216.0,137.3,"TAL"
"01-01-2010",12,205.0,133.5,"TAL"
"01-01-2010",13,200.0,131.2,"TAL"
"01-01-2010",14,200.0,131.60000000000002,"TAL"
"01-01-2010",15,200.0,131.60000000000002,"TAL"
"01-01-2010",16,201.0,131.9,"TAL"
"01-01-2010",17,217.0,137.4,"TAL"
"01-01-2010",18,244.0,147.7,"TAL"
"01-01-2010",19,248.0,149.39999999999998,"TAL"
"01-01-2010",20,262.0,154.8,"TAL"
"01-01-2010",21,257.0,153.0,"TAL"
"01-01-2010",22,245.0,148.39999999999998,"TAL"
"01-01-2010",23,239.0,146.39999999999998,"TAL"
"01-02-2010",0,231.0,142.89999999999998,"TAL"
"01-02-2010",1,228.0,141.7,"TAL"
"01-02-2010",2,230.0,142.0,"TAL"
"01-02-2010",3,235.0,144.3,"TAL"
"01-02-2010",4,243.0,147.7,"TAL"
"01-02-2010",5,257.0,153.0,"TAL"
"01-02-2010",6,285.0,163.7,"TAL"
"01-02-2010",7,320.0,178.3,"TAL"
"01-02-2010",8,351.0,190.89999999999998,"TAL"
"01-02-2010",9,309.0,173.0,"TAL"
"01-02-2010",10,295.0,168.2,"TAL"
"01-02-2010",11,279.0,161.3,"TAL"
"01-02-2010",12,260.0,153.6,"TAL"
"01-02-2010",13,245.0,148.2,"TAL"
"01-02-2010",14,231.0,142.8,"TAL"
"01-02-2010",15,225.0,140.60000000000002,"TAL"
"01-02-2010",16,230.0,142.39999999999998,"TAL"
"01-02-2010",17,254.0,151.89999999999998,"TAL"
"01-02-2010",18,291.0,166.5,"TAL"
"01-02-2010",19,305.0,171.6,"TAL"
"01-02-2010",20,310.0,173.1,"TAL"
"01-02-2010",21,307.0,172.8,"TAL"
"01-02-2010",22,298.0,168.5,"TAL"
"01-02-2010",23,293.0,166.3,"TAL"
"01-03-2010",0,279.0,160.8,"TAL"
"01-03-2010",1,275.0,159.7,"TAL"
"01-03-2010",2,279.0,161.39999999999998,"TAL"
"01-03-2010",3,284.0,163.2,"TAL"
"01-03-2010",4,294.0,167.3,"TAL"
"01-03-2010",5,308.0,172.39999999999998,"TAL"
"01-03-2010",6,323.0,179.0,"TAL"
"01-03-2010",7,340.0,186.2,"TAL"
"01-03-2010",8,368.0,198.7,"TAL"
"01-03-2010",9,373.0,200.8,"TAL"
"01-03-2010",10,344.0,188.1,"TAL"
"01-03-2010",11,322.0,179.5,"TAL"
"01-03-2010",12,300.0,169.8,"TAL"
"01-03-2010",13,284.0,163.8,"TAL"
"01-03-2010",14,273.0,159.39999999999998,"TAL"
"01-03-2010",15,272.0,158.8,"TAL"
"01-03-2010",16,281.0,162.1,"TAL"
"01-03-2010",17,307.0,173.0,"TAL"
"01-03-2010",18,344.0,188.8,"TAL"
"01-03-2010",19,355.0,193.1,"TAL"
"01-03-2010",20,359.0,194.39999999999998,"TAL"
"01-03-2010",21,343.0,180.0,"TAL"
"01-03-2010",22,338.0,173.875,"TAL"
"01-03-2010",23,338.0,182.6,"TAL"
"01-04-2010",0,328.0,176.6,"TAL"
"01-04-2010",1,320.0,171.4,"TAL"
"01-04-2010",2,323.0,172.8,"TAL"
"01-04-2010",3,329.0,175.5,"TAL"
"01-04-2010",4,343.0,181.0,"TAL"
"01-04-2010",5,368.0,190.7,"TAL"
"01-04-2010",6,407.0,207.4,"TAL"
"01-04-2010",7,432.0,217.7,"TAL"
"01-04-2010",8,421.0,216.8,"TAL"
"01-04-2010",9,413.0,212.7,"TAL"
"01-04-2010",10,391.0,204.10000000000002,"TAL"
"01-04-2010",11,380.0,199.9,"TAL"
"01-04-2010",12,347.0,192.2,"TAL"
"01-04-2010",13,313.0,177.1,"TAL"
"01-04-2010",14,270.0,158.0,"TAL"
"01-04-2010",15,242.0,150.6,"TAL"
"01-04-2010",16,260.0,168.15,"TAL"
"01-04-2010",17,286.0,188.2,"TAL"
"01-04-2010",18,336.0,208.0,"TAL"
"01-04-2010",19,342.0,202.39999999999998,"TAL"
"01-04-2010",20,394.0,240.39999999999998,"TAL"
"01-04-2010",21,377.0,240.10399999999998,"TAL"
"01-04-2010",22,252.0,180.3,"TAL"
"01-04-2010",23,264.0,186.8,"TAL"
"01-05-2010",0,274.0,191.5,"TAL"
"01-05-2010",1,271.0,196.099,"TAL"
"01-05-2010",2,252.0,205.8,"TAL"
"01-05-2010",3,263.0,190.64,"TAL"
"01-05-2010",4,278.0,205.74,"TAL"
"01-05-2010",5,288.0,206.95100000000002,"TAL"
"01-05-2010",6,318.0,205.8,"TAL"
"01-05-2010",7,308.0,203.446,"TAL"
"01-05-2010",8,285.0,201.0,"TAL"
"01-05-2010",9,332.0,215.39999999999998,"TAL"
"01-05-2010",10,336.0,226.3,"TAL"
"01-05-2010",11,334.0,220.64999999999998,"TAL"
"01-05-2010",12,280.0,206.8,"TAL"
"01-05-2010",13,266.0,190.6,"TAL"
"01-05-2010",14,259.0,186.4,"TAL"
"01-05-2010",15,251.0,181.1,"TAL"
"01-05-2010",16,269.0,191.3,"TAL"
"01-05-2010",17,295.0,205.8,"TAL"
"01-05-2010",18,417.0,258.09999999999997,"TAL"
"01-05-2010",19,424.0,261.2,"TAL"
"01-05-2010",20,341.0,227.8,"TAL"
"01-05-2010",21,326.0,222.3,"TAL"
"01-05-2010",22,310.0,216.0,"TAL"
"01-05-2010",23,322.0,220.8,"TAL"
"01-06-2010",0,317.0,209.15000000000003,"TAL"
"01-06-2010",1,322.0,208.2,"TAL"
"01-06-2010",2,315.0,205.39999999999998,"TAL"
"01-06-2010",3,314.0,205.10000000000002,"TAL"
"01-06-2010",4,305.0,201.40000000000003,"TAL"
"01-06-2010",5,336.0,213.40000000000003,"TAL"
"01-06-2010",6,381.0,220.10000000000002,"TAL"
"01-06-2010",7,396.0,222.26999999999998,"TAL"
"01-06-2010",8,263.0,175.89999999999998,"TAL"
"01-06-2010",9,275.0,215.578,"TAL"
"01-06-2010",10,299.0,234.5,"TAL"
"01-06-2010",11,289.0,223.3,"TAL"
"01-06-2010",12,250.0,171.6,"TAL"
"01-06-2010",13,259.0,173.2,"TAL"
"01-06-2010",14,241.0,166.1,"TAL"
"01-06-2010",15,240.0,165.5,"TAL"
"01-06-2010",16,252.0,170.3,"TAL"
"01-06-2010",17,276.0,180.3,"TAL"
"01-06-2010",18,326.0,199.2,"TAL"
"01-06-2010",19,332.0,204.10000000000002,"TAL"
"01-06-2010",20,344.0,218.0,"TAL"
"01-06-2010",21,336.0,216.0,"TAL"
"01-06-2010",22,316.0,207.89999999999998,"TAL"
"01-06-2010",23,299.0,201.7,"TAL"
"01-07-2010",0,291.0,195.89999999999998,"TAL"
"01-07-2010",1,287.0,191.7,"TAL"
"01-07-2010",2,316.0,206.5,"TAL"
"01-07-2010",3,312.0,205.89999999999998,"TAL"
"01-07-2010",4,327.0,211.8,"TAL"
"01-07-2010",5,355.0,222.8,"TAL"
"01-07-2010",6,409.0,245.5,"TAL"
"01-07-2010",7,438.0,257.3,"TAL"
"01-07-2010",8,396.0,238.7,"TAL"
"01-07-2010",9,310.0,205.39999999999998,"TAL"
"01-07-2010",10,313.0,204.40000000000003,"TAL"
"01-07-2010",11,265.0,176.89999999999998,"TAL"
"01-07-2010",12,250.0,171.2,"TAL"
"01-07-2010",13,237.0,165.9,"TAL"
"01-07-2010",14,232.0,164.9,"TAL"
"01-07-2010",15,225.0,160.0,"TAL"
"01-07-2010",16,223.0,158.8,"TAL"
"01-07-2010",17,230.0,161.2,"TAL"
"01-07-2010",18,272.0,177.2,"TAL"
"01-07-2010",19,273.0,178.0,"TAL"
"01-07-2010",20,261.0,173.0,"TAL"
"01-07-2010",21,245.0,166.70000000000002,"TAL"
"01-07-2010",22,229.0,160.9,"TAL"
"01-07-2010",23,224.0,158.9,"TAL"
"01-08-2010",0,257.0,171.4,"TAL"
"01-08-2010",1,249.0,168.8,"TAL"
"01-08-2010",2,242.0,166.10000000000002,"TAL"
"01-08-2010",3,242.0,165.7,"TAL"
"01-08-2010",4,257.0,171.39999999999998,"TAL"
"01-08-2010",5,280.0,180.8,"TAL"
"01-08-2010",6,344.0,205.6,"TAL"
"01-08-2010",7,375.0,219.39999999999998,"TAL"
"01-08-2010",8,376.0,222.1,"TAL"
"01-08-2010",9,373.0,221.89999999999998,"TAL"
"01-08-2010",10,374.0,221.89999999999998,"TAL"
"01-08-2010",11,369.0,219.7,"TAL"
"01-08-2010",12,365.0,218.1,"TAL"
"01-08-2010",13,353.0,213.1,"TAL"
"01-08-2010",14,334.0,205.1,"TAL"
"01-08-2010",15,327.0,202.3,"TAL"
"01-08-2010",16,331.0,203.8,"TAL"
"01-08-2010",17,362.0,216.8,"TAL"
"01-08-2010",18,412.0,239.60000000000002,"TAL"
"01-08-2010",19,413.0,239.8,"TAL"
"01-08-2010",20,412.0,238.60000000000002,"TAL"
"01-08-2010",21,403.0,235.2,"TAL"
"01-08-2010",22,390.0,229.0,"TAL"
"01-08-2010",23,379.0,224.39999999999998,"TAL"
"01-09-2010",0,316.0,194.6,"TAL"
"01-09-2010",1,311.0,192.7,"TAL"
"01-09-2010",2,315.0,194.6,"TAL"
"01-09-2010",3,321.0,197.0,"TAL"
"01-09-2010",4,333.0,201.89999999999998,"TAL"
"01-09-2010",5,346.0,207.5,"TAL"
"01-09-2010",6,363.0,214.6,"TAL"
"01-09-2010",7,383.0,223.3,"TAL"
"01-09-2010",8,400.0,230.7,"TAL"
"01-09-2010",9,410.0,235.7,"TAL"
"01-09-2010",10,399.0,230.5,"TAL"
"01-09-2010",11,382.0,222.89999999999998,"TAL"
"01-09-2010",12,359.0,212.89999999999998,"TAL"
"01-09-2010",13,334.0,202.3,"TAL"
"01-09-2010",14,310.0,192.60000000000002,"TAL"
"01-09-2010",15,302.0,190.3,"TAL"
"01-09-2010",16,301.0,190.2,"TAL"
"01-09-2010",17,331.0,201.0,"TAL"
"01-09-2010",18,380.0,220.89999999999998,"TAL"
"01-09-2010",19,393.0,226.39999999999998,"TAL"
"01-09-2010",20,397.0,228.5,"TAL"
"01-09-2010",21,392.0,225.6,"TAL"
"01-09-2010",22,383.0,221.2,"TAL"
"01-09-2010",23,374.0,217.39999999999998,"TAL"
"01-10-2010",0,366.0,214.39999999999998,"TAL"
"01-10-2010",1,393.0,225.89999999999998,"TAL"
"01-10-2010",2,395.0,226.8,"TAL"
"01-10-2010",3,399.0,228.7,"TAL"
"01-10-2010",4,394.0,226.8,"TAL"
"01-10-2010",5,406.0,232.1,"TAL"
"01-10-2010",6,404.0,231.2,"TAL"
"01-10-2010",7,421.0,240.10000000000002,"TAL"
"01-10-2010",8,430.0,244.39999999999998,"TAL"
"01-10-2010",9,428.0,243.60000000000002,"TAL"
"01-10-2010",10,401.0,232.39999999999998,"TAL"
"01-10-2010",11,378.0,220.2,"TAL"
"01-10-2010",12,357.0,211.0,"TAL"
"01-10-2010",13,334.0,201.8,"TAL"
"01-10-2010",14,315.0,194.5,"TAL"
"01-10-2010",15,302.0,189.4,"TAL"
"01-10-2010",16,308.0,191.3,"TAL"
"01-10-2010",17,333.0,201.89999999999998,"TAL"
"01-10-2010",18,377.0,220.0,"TAL"
"01-10-2010",19,390.0,225.8,"TAL"
"01-10-2010",20,399.0,229.9,"TAL"
"01-10-2010",21,377.0,219.39999999999998,"TAL"
"01-10-2010",22,381.0,221.3,"TAL"
"01-10-2010",23,369.0,216.3,"TAL"
"01-11-2010",0,358.0,211.8,"TAL"
"01-11-2010",1,355.0,210.3,"TAL"
"01-11-2010",2,394.0,227.2,"TAL"
"01-11-2010",3,401.0,230.2,"TAL"
"01-11-2010",4,419.0,238.8,"TAL"
"01-11-2010",5,453.0,250.89999999999998,"TAL"
"01-11-2010",6,484.0,260.84999999999997,"TAL"
"01-11-2010",7,556.0,310.4,"TAL"
"01-11-2010",8,517.0,296.6,"TAL"
"01-11-2010",9,468.0,272.5,"TAL"
"01-11-2010",10,412.0,249.8,"TAL"
"01-11-2010",11,378.0,236.10000000000002,"TAL"
"01-11-2010",12,347.0,220.60000000000002,"TAL"
"01-11-2010",13,267.0,185.39999999999998,"TAL"
"01-11-2010",14,235.0,164.8,"TAL"
"01-11-2010",15,243.0,167.89999999999998,"TAL"
"01-11-2010",16,247.0,169.1,"TAL"
"01-11-2010",17,254.0,172.1,"TAL"
"01-11-2010",18,357.0,212.2,"TAL"
"01-11-2010",19,386.0,223.8,"TAL"
"01-11-2010",20,385.0,224.0,"TAL"
"01-11-2010",21,379.0,221.2,"TAL"
"01-11-2010",22,360.0,212.8,"TAL"
"01-11-2010",23,344.0,206.39999999999998,"TAL"
"01-12-2010",0,332.0,201.3,"TAL"
"01-12-2010",1,328.0,199.89999999999998,"TAL"
"01-12-2010",2,332.0,202.0,"TAL"
"01-12-2010",3,341.0,205.39999999999998,"TAL"
"01-12-2010",4,354.0,210.60000000000002,"TAL"
"01-12-2010",5,385.0,222.89999999999998,"TAL"
"01-12-2010",6,433.0,246.8,"TAL"
"01-12-2010",7,455.0,258.3,"TAL"
"01-12-2010",8,422.0,245.10000000000002,"TAL"
"01-12-2010",9,387.0,229.89999999999998,"TAL"
"01-12-2010",10,353.0,215.5,"TAL"
"01-12-2010",11,306.0,191.3,"TAL"
"01-12-2010",12,255.0,171.60000000000002,"TAL"
"01-12-2010",13,239.0,165.7,"TAL"
"01-12-2010",14,229.0,161.9,"TAL"
"01-12-2010",15,245.0,167.4,"TAL"
"01-12-2010",16,237.0,164.9,"TAL"
"01-12-2010",17,259.0,173.2,"TAL"
"01-12-2010",18,315.0,194.60000000000002,"TAL"
"01-12-2010",19,330.0,200.5,"TAL"
"01-12-2010",20,319.0,195.5,"TAL"
"01-12-2010",21,316.0,191.346,"TAL"
