"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,9650.0,9397.097999999998,"TVA"
"01-01-2010",1,9641.0,9404.599,"TVA"
"01-01-2010",2,9668.0,9435.1,"TVA"
"01-01-2010",3,9758.0,9463.598999999998,"TVA"
"01-01-2010",4,9961.0,9647.898000000001,"TVA"
"01-01-2010",5,10264.0,9935.798999999999,"TVA"
"01-01-2010",6,10343.0,10001.300000000001,"TVA"
"01-01-2010",7,10460.0,10102.598999999998,"TVA"
"01-01-2010",8,10431.0,10038.5,"TVA"
"01-01-2010",9,10402.0,10026.0,"TVA"
"01-01-2010",10,10316.0,9945.199,"TVA"
"01-01-2010",11,10322.0,9953.9,"TVA"
"01-01-2010",12,10311.0,9913.099,"TVA"
"01-01-2010",13,9929.0,9533.599999999999,"TVA"
"01-01-2010",14,9753.0,9371.3,"TVA"
"01-01-2010",15,9852.0,9497.198,"TVA"
"01-01-2010",16,9996.0,9605.598999999998,"TVA"
"01-01-2010",17,10566.0,10172.900000000001,"TVA"
"01-01-2010",18,10715.0,10342.3,"TVA"
"01-01-2010",19,10716.0,10344.698999999999,"TVA"
"01-01-2010",20,10705.0,10319.097999999998,"TVA"
"01-01-2010",21,10600.0,10257.801,"TVA"
"01-01-2010",22,10570.0,10274.401,"TVA"
"01-01-2010",23,10541.0,10191.502999999999,"TVA"
"01-02-2010",0,10514.0,10112.802000000003,"TVA"
"01-02-2010",1,10622.0,10191.600999999999,"TVA"
"01-02-2010",2,10505.0,10054.975000000002,"TVA"
"01-02-2010",3,10787.0,10282.557,"TVA"
"01-02-2010",4,11163.0,10554.297999999999,"TVA"
"01-02-2010",5,11433.0,10715.841,"TVA"
"01-02-2010",6,11604.0,10918.200999999997,"TVA"
"01-02-2010",7,11672.0,10986.0,"TVA"
"01-02-2010",8,11844.0,11074.898000000001,"TVA"
"01-02-2010",9,11863.0,11162.201,"TVA"
"01-02-2010",10,11801.0,11099.201000000003,"TVA"
"01-02-2010",11,11742.0,10996.723,"TVA"
"01-02-2010",12,11735.0,10997.138,"TVA"
"01-02-2010",13,11750.0,10925.401999999998,"TVA"
"01-02-2010",14,11872.0,11059.779,"TVA"
"01-02-2010",15,11909.0,11088.600000000004,"TVA"
"01-02-2010",16,12204.0,11180.699000000002,"TVA"
"01-02-2010",17,12307.0,11209.401000000002,"TVA"
"01-02-2010",18,12342.0,11234.501,"TVA"
"01-02-2010",19,12303.0,11194.802000000001,"TVA"
"01-02-2010",20,12289.0,11191.8,"TVA"
"01-02-2010",21,12003.0,10998.699,"TVA"
"01-02-2010",22,11740.0,10841.199999999997,"TVA"
"01-02-2010",23,11671.0,10769.801000000003,"TVA"
"01-03-2010",0,11830.0,10856.701,"TVA"
"01-03-2010",1,12062.0,10958.101999999999,"TVA"
"01-03-2010",2,12125.0,11059.639,"TVA"
"01-03-2010",3,12197.0,11334.202000000001,"TVA"
"01-03-2010",4,12420.0,11427.2,"TVA"
"01-03-2010",5,12402.0,11389.5,"TVA"
"01-03-2010",6,12363.0,11349.099,"TVA"
"01-03-2010",7,12390.0,11369.601,"TVA"
"01-03-2010",8,12705.0,11510.901000000002,"TVA"
"01-03-2010",9,12472.0,11351.700999999997,"TVA"
"01-03-2010",10,12456.0,11308.2,"TVA"
"01-03-2010",11,12367.0,11200.401,"TVA"
"01-03-2010",12,12472.0,11262.097999999998,"TVA"
"01-03-2010",13,12165.0,10876.599,"TVA"
"01-03-2010",14,12126.0,10750.598999999998,"TVA"
"01-03-2010",15,11967.0,10759.7,"TVA"
"01-03-2010",16,12418.0,11114.002,"TVA"
"01-03-2010",17,13125.0,11763.600000000002,"TVA"
"01-03-2010",18,13166.0,11786.998,"TVA"
"01-03-2010",19,13189.0,11767.401,"TVA"
"01-03-2010",20,13204.0,11816.497000000001,"TVA"
"01-03-2010",21,13197.0,11798.399,"TVA"
"01-03-2010",22,13001.0,11751.702999999998,"TVA"
"01-03-2010",23,12802.0,11661.965999999999,"TVA"
"01-04-2010",0,12848.0,11715.436999999998,"TVA"
"01-04-2010",1,12834.0,11646.1,"TVA"
"01-04-2010",2,12825.0,11599.601000000002,"TVA"
"01-04-2010",3,12980.0,11777.0,"TVA"
"01-04-2010",4,13152.0,11948.577000000001,"TVA"
"01-04-2010",5,14130.0,12622.559999999998,"TVA"
"01-04-2010",6,14407.0,12671.957999999999,"TVA"
"01-04-2010",7,14570.0,12780.854000000001,"TVA"
"01-04-2010",8,14560.0,12773.211,"TVA"
"01-04-2010",9,14716.0,12962.745000000003,"TVA"
"01-04-2010",10,14802.0,13007.415,"TVA"
"01-04-2010",11,14225.0,12788.639,"TVA"
"01-04-2010",12,13847.0,12523.323,"TVA"
"01-04-2010",13,13506.0,12294.285,"TVA"
"01-04-2010",14,13462.0,12298.899000000001,"TVA"
"01-04-2010",15,13562.0,12270.898,"TVA"
"01-04-2010",16,13847.0,12400.32,"TVA"
"01-04-2010",17,14238.0,12683.055,"TVA"
"01-04-2010",18,14262.0,12588.712000000003,"TVA"
"01-04-2010",19,14237.0,12598.915000000003,"TVA"
"01-04-2010",20,14309.0,12684.510999999999,"TVA"
"01-04-2010",21,13994.0,12517.882000000001,"TVA"
"01-04-2010",22,13386.0,12132.449999999997,"TVA"
"01-04-2010",23,13088.0,11952.270000000002,"TVA"
"01-05-2010",0,13224.0,12020.899,"TVA"
"01-05-2010",1,13250.0,12069.401000000002,"TVA"
"01-05-2010",2,13423.0,12155.101999999997,"TVA"
"01-05-2010",3,13315.0,12035.699,"TVA"
"01-05-2010",4,13434.0,12119.118999999999,"TVA"
"01-05-2010",5,13966.0,12510.903999999997,"TVA"
"01-05-2010",6,14903.0,13080.534,"TVA"
