"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,259.0,105.4,"AVA"
"01-01-2011",1,259.0,105.7,"AVA"
"01-01-2011",2,260.0,106.0,"AVA"
"01-01-2011",3,260.0,106.1,"AVA"
"01-01-2011",4,260.0,106.1,"AVA"
"01-01-2011",5,260.0,106.1,"AVA"
"01-01-2011",6,260.0,106.1,"AVA"
"01-01-2011",7,260.0,106.0,"AVA"
"01-01-2011",8,260.0,106.0,"AVA"
"01-01-2011",9,259.0,105.6,"AVA"
"01-01-2011",10,258.0,104.9,"AVA"
"01-01-2011",11,257.0,104.6,"AVA"
"01-01-2011",12,258.0,104.7,"AVA"
"01-01-2011",13,257.0,104.3,"AVA"
"01-01-2011",14,257.0,104.3,"AVA"
"01-01-2011",15,258.0,104.4,"AVA"
"01-01-2011",16,258.0,104.5,"AVA"
"01-01-2011",17,258.0,104.7,"AVA"
"01-01-2011",18,258.0,104.8,"AVA"
"01-01-2011",19,258.0,104.9,"AVA"
"01-01-2011",20,258.0,104.8,"AVA"
"01-01-2011",21,258.0,104.8,"AVA"
"01-01-2011",22,258.0,104.7,"AVA"
"01-01-2011",23,257.0,104.6,"AVA"
"01-02-2011",0,257.0,104.5,"AVA"
"01-02-2011",1,257.0,104.6,"AVA"
"01-02-2011",2,257.0,104.5,"AVA"
"01-02-2011",3,257.0,104.2,"AVA"
"01-02-2011",4,257.0,104.1,"AVA"
"01-02-2011",5,257.0,104.1,"AVA"
"01-02-2011",6,257.0,104.1,"AVA"
"01-02-2011",7,257.0,103.9,"AVA"
"01-02-2011",8,256.0,103.8,"AVA"
"01-02-2011",9,256.0,103.5,"AVA"
"01-02-2011",10,255.0,103.2,"AVA"
"01-02-2011",11,255.0,102.9,"AVA"
"01-02-2011",12,254.0,102.7,"AVA"
"01-02-2011",13,254.0,102.6,"AVA"
"01-02-2011",14,254.0,102.7,"AVA"
"01-02-2011",15,259.0,105.9,"AVA"
"01-02-2011",16,281.0,116.6,"AVA"
"01-02-2011",17,283.0,117.2,"AVA"
"01-02-2011",18,283.0,117.2,"AVA"
"01-02-2011",19,282.0,117.0,"AVA"
"01-02-2011",20,282.0,117.2,"AVA"
"01-02-2011",21,282.0,116.9,"AVA"
"01-02-2011",22,281.0,116.2,"AVA"
"01-02-2011",23,259.0,104.1,"AVA"
"01-03-2011",0,256.0,103.5,"AVA"
"01-03-2011",1,256.0,103.4,"AVA"
"01-03-2011",2,256.0,103.2,"AVA"
"01-03-2011",3,256.0,102.8,"AVA"
"01-03-2011",4,256.0,102.8,"AVA"
"01-03-2011",5,256.0,103.0,"AVA"
"01-03-2011",6,273.0,112.8,"AVA"
"01-03-2011",7,281.0,116.3,"AVA"
"01-03-2011",8,281.0,116.1,"AVA"
"01-03-2011",9,281.0,115.9,"AVA"
"01-03-2011",10,280.0,115.6,"AVA"
"01-03-2011",11,280.0,115.6,"AVA"
"01-03-2011",12,279.0,115.4,"AVA"
"01-03-2011",13,279.0,115.2,"AVA"
"01-03-2011",14,279.0,115.3,"AVA"
"01-03-2011",15,279.0,115.4,"AVA"
"01-03-2011",16,279.0,115.4,"AVA"
"01-03-2011",17,279.0,115.3,"AVA"
"01-03-2011",18,279.0,115.2,"AVA"
"01-03-2011",19,279.0,115.2,"AVA"
"01-03-2011",20,279.0,115.3,"AVA"
"01-03-2011",21,279.0,115.3,"AVA"
"01-03-2011",22,279.0,114.9,"AVA"
"01-03-2011",23,256.0,102.4,"AVA"
"01-04-2011",0,253.0,102.0,"AVA"
"01-04-2011",1,254.0,102.2,"AVA"
"01-04-2011",2,254.0,102.3,"AVA"
"01-04-2011",3,254.0,102.4,"AVA"
"01-04-2011",4,254.0,102.5,"AVA"
"01-04-2011",5,253.0,102.4,"AVA"
"01-04-2011",6,254.0,102.4,"AVA"
"01-04-2011",7,254.0,102.5,"AVA"
"01-04-2011",8,254.0,102.4,"AVA"
"01-04-2011",9,253.0,102.2,"AVA"
"01-04-2011",10,253.0,101.9,"AVA"
"01-04-2011",11,252.0,101.4,"AVA"
"01-04-2011",12,252.0,101.2,"AVA"
"01-04-2011",13,252.0,101.2,"AVA"
"01-04-2011",14,252.0,101.3,"AVA"
"01-04-2011",15,252.0,101.5,"AVA"
"01-04-2011",16,252.0,101.6,"AVA"
"01-04-2011",17,252.0,101.5,"AVA"
"01-04-2011",18,252.0,101.4,"AVA"
"01-04-2011",19,252.0,101.5,"AVA"
"01-04-2011",20,252.0,101.5,"AVA"
"01-04-2011",21,252.0,101.3,"AVA"
"01-04-2011",22,252.0,101.4,"AVA"
