"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,6120.0,2751.7899999999995,"CISO"
"01-01-2011",1,5696.0,2595.7419999999997,"CISO"
"01-01-2011",2,5196.0,2394.238,"CISO"
"01-01-2011",3,4950.0,2311.7869999999994,"CISO"
"01-01-2011",4,5047.0,2332.3220000000006,"CISO"
"01-01-2011",5,5209.0,2413.72,"CISO"
"01-01-2011",6,5354.0,2504.908,"CISO"
"01-01-2011",7,5751.0,2660.8000000000006,"CISO"
"01-01-2011",8,5955.0,2695.6320000000005,"CISO"
"01-01-2011",9,5935.0,2705.684,"CISO"
"01-01-2011",10,6510.0,2973.641,"CISO"
"01-01-2011",11,5889.0,2681.8099999999995,"CISO"
"01-01-2011",12,6108.0,2784.7700000000004,"CISO"
"01-01-2011",13,6178.0,2813.6840000000007,"CISO"
"01-01-2011",14,6255.0,2838.0,"CISO"
"01-01-2011",15,6387.0,2931.069,"CISO"
"01-01-2011",16,7374.0,3253.328,"CISO"
"01-01-2011",17,8426.0,3928.0859999999993,"CISO"
"01-01-2011",18,8471.0,3871.4929999999995,"CISO"
"01-01-2011",19,9620.0,4372.042999999999,"CISO"
"01-01-2011",20,9227.0,4171.554000000001,"CISO"
"01-01-2011",21,8517.0,3772.6070000000004,"CISO"
"01-01-2011",22,7605.0,3359.8889999999997,"CISO"
"01-01-2011",23,7083.0,3182.9079999999994,"CISO"
"01-02-2011",0,5808.0,2622.8160000000003,"CISO"
"01-02-2011",1,5121.0,2331.128,"CISO"
"01-02-2011",2,4968.0,2289.16,"CISO"
"01-02-2011",3,5091.0,2360.5379999999996,"CISO"
"01-02-2011",4,4935.0,2281.6,"CISO"
"01-02-2011",5,5024.0,2325.5,"CISO"
"01-02-2011",6,5469.0,2558.6079999999997,"CISO"
"01-02-2011",7,5806.0,2677.97,"CISO"
"01-02-2011",8,6124.0,2796.3300000000004,"CISO"
"01-02-2011",9,6929.0,3075.4010000000003,"CISO"
"01-02-2011",10,7404.0,3325.531,"CISO"
"01-02-2011",11,7852.0,3466.5010000000007,"CISO"
"01-02-2011",12,7490.0,3374.078,"CISO"
"01-02-2011",13,7427.0,3338.770000000001,"CISO"
"01-02-2011",14,7461.0,3349.0099999999998,"CISO"
"01-02-2011",15,7969.0,3566.8470000000007,"CISO"
"01-02-2011",16,8696.0,3870.907999999999,"CISO"
"01-02-2011",17,9429.0,4367.722999999999,"CISO"
"01-02-2011",18,9587.0,4448.995,"CISO"
"01-02-2011",19,9390.0,4303.696999999998,"CISO"
"01-02-2011",20,8951.0,4033.764999999999,"CISO"
"01-02-2011",21,8957.0,4051.3209999999995,"CISO"
"01-02-2011",22,7921.0,3522.7080000000005,"CISO"
"01-02-2011",23,6469.0,2846.419,"CISO"
"01-03-2011",0,5373.0,2431.517,"CISO"
"01-03-2011",1,4961.0,2278.5969999999998,"CISO"
"01-03-2011",2,4823.0,2259.18,"CISO"
"01-03-2011",3,4728.0,2228.3120000000004,"CISO"
"01-03-2011",4,5141.0,2445.063,"CISO"
"01-03-2011",5,6340.0,2933.7269999999994,"CISO"
"01-03-2011",6,7556.0,3579.4770000000003,"CISO"
"01-03-2011",7,8747.0,3955.7360000000003,"CISO"
"01-03-2011",8,9062.0,4187.297,"CISO"
"01-03-2011",9,9114.0,4112.887000000001,"CISO"
"01-03-2011",10,8991.0,3969.8829999999994,"CISO"
"01-03-2011",11,8989.0,4000.9609999999993,"CISO"
"01-03-2011",12,9018.0,4005.359999999999,"CISO"
"01-03-2011",13,8319.0,3709.396000000001,"CISO"
"01-03-2011",14,8333.0,3718.6020000000003,"CISO"
"01-03-2011",15,8202.0,3660.7000000000003,"CISO"
"01-03-2011",16,8797.0,3846.0000000000005,"CISO"
"01-03-2011",17,10466.0,4787.348999999999,"CISO"
"01-03-2011",18,10660.0,4828.733999999999,"CISO"
"01-03-2011",19,10614.0,4813.238000000001,"CISO"
"01-03-2011",20,10056.0,4484.416000000003,"CISO"
"01-03-2011",21,9307.0,4134.382,"CISO"
"01-03-2011",22,8682.0,3770.946,"CISO"
"01-03-2011",23,7170.0,3187.751,"CISO"
"01-04-2011",0,6595.0,2913.335,"CISO"
"01-04-2011",1,5855.0,2684.1,"CISO"
"01-04-2011",2,5773.0,2661.2999999999997,"CISO"
"01-04-2011",3,5906.0,2718.4159999999997,"CISO"
"01-04-2011",4,6306.0,2924.938,"CISO"
"01-04-2011",5,7457.0,3402.2449999999994,"CISO"
"01-04-2011",6,8193.0,3742.464999999999,"CISO"
"01-04-2011",7,9195.0,4194.033,"CISO"
"01-04-2011",8,9283.0,4208.473000000002,"CISO"
"01-04-2011",9,9543.0,4294.747999999999,"CISO"
"01-04-2011",10,9564.0,4347.704000000001,"CISO"
"01-04-2011",11,9190.0,4122.419999999999,"CISO"
"01-04-2011",12,8776.0,3924.052000000001,"CISO"
"01-04-2011",13,8251.0,3736.848,"CISO"
"01-04-2011",14,8261.0,3731.6290000000004,"CISO"
"01-04-2011",15,8064.0,3632.608999999999,"CISO"
"01-04-2011",16,8125.0,3633.2400000000002,"CISO"
"01-04-2011",17,9615.0,4335.664000000001,"CISO"
"01-04-2011",18,10611.0,4773.114,"CISO"
"01-04-2011",19,10413.0,4680.8,"CISO"
"01-04-2011",20,10140.0,4525.783,"CISO"
"01-04-2011",21,9157.0,4068.755,"CISO"
"01-04-2011",22,8097.0,3578.8829999999994,"CISO"
"01-04-2011",23,7006.0,3182.0379999999996,"CISO"
"01-05-2011",0,6165.0,2855.956,"CISO"
"01-05-2011",1,5951.0,2805.2,"CISO"
"01-05-2011",2,6057.0,2844.2,"CISO"
"01-05-2011",3,6070.0,2846.2999999999997,"CISO"
"01-05-2011",4,6327.0,2961.299,"CISO"
"01-05-2011",5,6966.0,3220.0069999999996,"CISO"
"01-05-2011",6,7972.0,3605.95,"CISO"
"01-05-2011",7,9022.0,4034.2469999999994,"CISO"
"01-05-2011",8,8875.0,3978.596000000001,"CISO"
"01-05-2011",9,8855.0,3951.213,"CISO"
"01-05-2011",10,8865.0,3988.0679999999993,"CISO"
"01-05-2011",11,8394.0,3788.2460000000005,"CISO"
"01-05-2011",12,8177.0,3700.0339999999997,"CISO"
"01-05-2011",13,8041.0,3637.392,"CISO"
"01-05-2011",14,7643.0,3489.5710000000004,"CISO"
"01-05-2011",15,7476.0,3430.6499999999996,"CISO"
"01-05-2011",16,8041.0,3655.072,"CISO"
"01-05-2011",17,9396.0,4250.408999999999,"CISO"
"01-05-2011",18,9769.0,4359.674,"CISO"
"01-05-2011",19,9612.0,4303.1,"CISO"
"01-05-2011",20,9430.0,4209.571000000001,"CISO"
"01-05-2011",21,8828.0,3957.100000000001,"CISO"
"01-05-2011",22,8122.0,3559.7179999999994,"CISO"
"01-05-2011",23,6865.0,3134.5549999999994,"CISO"
"01-06-2011",0,6077.0,2729.1570000000006,"CISO"
"01-06-2011",1,5434.0,2560.3,"CISO"
"01-06-2011",2,5384.0,2554.7,"CISO"
"01-06-2011",3,5395.0,2552.1,"CISO"
"01-06-2011",4,5692.0,2686.1499999999996,"CISO"
"01-06-2011",5,6536.0,3018.1259999999997,"CISO"
"01-06-2011",6,7245.0,3304.192,"CISO"
