"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,935.0,874.4000000000001,"CLEC"
"01-01-2011",1,899.0,854.2,"CLEC"
"01-01-2011",2,887.0,848.6,"CLEC"
"01-01-2011",3,888.0,849.5,"CLEC"
"01-01-2011",4,888.0,848.7,"CLEC"
"01-01-2011",5,889.0,852.1,"CLEC"
"01-01-2011",6,894.0,856.3,"CLEC"
"01-01-2011",7,918.0,864.5999999999999,"CLEC"
"01-01-2011",8,1003.0,924.9000000000001,"CLEC"
"01-01-2011",9,1090.0,967.5999999999999,"CLEC"
"01-01-2011",10,1146.0,997.2,"CLEC"
"01-01-2011",11,1084.0,973.944,"CLEC"
"01-01-2011",12,1021.0,937.352,"CLEC"
"01-01-2011",13,954.0,924.642,"CLEC"
"01-01-2011",14,926.0,912.4,"CLEC"
"01-01-2011",15,922.0,928.1999999999999,"CLEC"
"01-01-2011",16,925.0,895.2950000000001,"CLEC"
"01-01-2011",17,1005.0,936.5,"CLEC"
"01-01-2011",18,1086.0,978.8000000000001,"CLEC"
"01-01-2011",19,1310.0,1115.0,"CLEC"
"01-01-2011",20,1155.0,1034.3,"CLEC"
"01-01-2011",21,1016.0,949.1,"CLEC"
"01-01-2011",22,1008.0,951.9,"CLEC"
"01-01-2011",23,964.0,930.3,"CLEC"
"01-02-2011",0,910.0,896.0,"CLEC"
"01-02-2011",1,899.0,898.5999999999999,"CLEC"
"01-02-2011",2,904.0,906.844,"CLEC"
"01-02-2011",3,971.0,955.3,"CLEC"
"01-02-2011",4,1102.0,1061.1,"CLEC"
"01-02-2011",5,1236.0,1176.0,"CLEC"
"01-02-2011",6,1418.0,1366.0,"CLEC"
"01-02-2011",7,1523.0,1468.3,"CLEC"
"01-02-2011",8,1597.0,1496.2,"CLEC"
"01-02-2011",9,1595.0,1463.9,"CLEC"
"01-02-2011",10,1519.0,1400.0000000000002,"CLEC"
"01-02-2011",11,1445.0,1366.8,"CLEC"
"01-02-2011",12,1452.0,1379.9,"CLEC"
"01-02-2011",13,1399.0,1347.1999999999998,"CLEC"
"01-02-2011",14,1393.0,1342.3,"CLEC"
"01-02-2011",15,1423.0,1370.2999999999997,"CLEC"
"01-02-2011",16,1509.0,1466.6,"CLEC"
"01-02-2011",17,1642.0,1575.4,"CLEC"
"01-02-2011",18,1690.0,1613.4,"CLEC"
"01-02-2011",19,1746.0,1652.5,"CLEC"
"01-02-2011",20,1749.0,1655.7,"CLEC"
"01-02-2011",21,1704.0,1623.1,"CLEC"
"01-02-2011",22,1623.0,1575.0,"CLEC"
"01-02-2011",23,1580.0,1548.1000000000001,"CLEC"
"01-03-2011",0,1557.0,1531.7000000000003,"CLEC"
"01-03-2011",1,1546.0,1519.6,"CLEC"
"01-03-2011",2,1546.0,1519.5,"CLEC"
"01-03-2011",3,1557.0,1533.1999999999998,"CLEC"
"01-03-2011",4,1622.0,1581.8,"CLEC"
"01-03-2011",5,1713.0,1638.0,"CLEC"
"01-03-2011",6,1903.0,1753.5,"CLEC"
"01-03-2011",7,1938.0,1778.0,"CLEC"
"01-03-2011",8,1856.0,1733.0,"CLEC"
"01-03-2011",9,1744.0,1657.6999999999998,"CLEC"
"01-03-2011",10,1645.0,1605.656,"CLEC"
"01-03-2011",11,1607.0,1619.8,"CLEC"
"01-03-2011",12,1597.0,1653.6999999999998,"CLEC"
"01-03-2011",13,1524.0,1564.0,"CLEC"
"01-03-2011",14,1457.0,1509.9,"CLEC"
"01-03-2011",15,1454.0,1507.0,"CLEC"
"01-03-2011",16,1497.0,1536.6000000000001,"CLEC"
"01-03-2011",17,1606.0,1616.3000000000002,"CLEC"
"01-03-2011",18,1714.0,1682.6999999999998,"CLEC"
"01-03-2011",19,1699.0,1675.0,"CLEC"
"01-03-2011",20,1644.0,1643.0,"CLEC"
"01-03-2011",21,1628.0,1640.2999999999997,"CLEC"
"01-03-2011",22,1587.0,1607.0,"CLEC"
"01-03-2011",23,1556.0,1585.4,"CLEC"
"01-04-2011",0,1531.0,1561.4,"CLEC"
"01-04-2011",1,1529.0,1559.8,"CLEC"
"01-04-2011",2,1526.0,1557.4,"CLEC"
"01-04-2011",3,1506.0,1534.3,"CLEC"
"01-04-2011",4,1511.0,1540.1,"CLEC"
"01-04-2011",5,1602.0,1596.3000000000002,"CLEC"
"01-04-2011",6,1777.0,1714.6,"CLEC"
"01-04-2011",7,1829.0,1759.0,"CLEC"
"01-04-2011",8,1778.0,1742.9,"CLEC"
"01-04-2011",9,1712.0,1714.3999999999999,"CLEC"
"01-04-2011",10,1627.0,1673.1,"CLEC"
"01-04-2011",11,1602.0,1673.1999999999998,"CLEC"
"01-04-2011",12,1585.0,1665.6,"CLEC"
"01-04-2011",13,1542.0,1631.1999999999998,"CLEC"
"01-04-2011",14,1497.0,1597.2,"CLEC"
"01-04-2011",15,1495.0,1605.3,"CLEC"
"01-04-2011",16,1436.0,1526.0,"CLEC"
"01-04-2011",17,1517.0,1566.8999999999999,"CLEC"
"01-04-2011",18,1597.0,1611.0,"CLEC"
"01-04-2011",19,1658.0,1629.0,"CLEC"
"01-04-2011",20,1693.0,1674.6999999999998,"CLEC"
"01-04-2011",21,1665.0,1662.0000000000002,"CLEC"
