"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,7529.0,5293.454,"EES"
"01-01-2011",1,7324.0,5197.753999999999,"EES"
"01-01-2011",2,7102.0,5004.654,"EES"
"01-01-2011",3,7066.0,4978.754000000001,"EES"
"01-01-2011",4,7053.0,4965.254,"EES"
"01-01-2011",5,7138.0,5028.554,"EES"
"01-01-2011",6,7362.0,5024.853999999999,"EES"
"01-01-2011",7,7522.0,5212.1539999999995,"EES"
"01-01-2011",8,7801.0,5473.154,"EES"
"01-01-2011",9,8311.0,5980.254000000001,"EES"
"01-01-2011",10,8509.0,6199.153999999999,"EES"
"01-01-2011",11,8555.0,6218.353999999999,"EES"
"01-01-2011",12,8561.0,6221.153999999999,"EES"
"01-01-2011",13,8467.0,6164.954,"EES"
"01-01-2011",14,8347.0,6067.254000000001,"EES"
"01-01-2011",15,8318.0,6029.054,"EES"
"01-01-2011",16,8541.0,6237.454000000001,"EES"
"01-01-2011",17,9314.0,6917.454,"EES"
"01-01-2011",18,9969.0,7318.954,"EES"
"01-01-2011",19,9920.0,7374.553999999999,"EES"
"01-01-2011",20,10265.0,7489.554000000001,"EES"
"01-01-2011",21,10160.0,7424.654,"EES"
"01-01-2011",22,10154.0,7316.854000000001,"EES"
"01-01-2011",23,9859.0,7053.053999999999,"EES"
"01-02-2011",0,9523.0,6979.298999999999,"EES"
"01-02-2011",1,9420.0,6941.6990000000005,"EES"
"01-02-2011",2,9387.0,6920.1990000000005,"EES"
"01-02-2011",3,9302.0,6860.298999999999,"EES"
"01-02-2011",4,9303.0,6834.598999999999,"EES"
"01-02-2011",5,9640.0,6972.998999999999,"EES"
"01-02-2011",6,9977.0,6994.099,"EES"
"01-02-2011",7,10471.0,7398.298999999999,"EES"
"01-02-2011",8,10682.0,7483.799000000001,"EES"
"01-02-2011",9,10428.0,7311.099,"EES"
"01-02-2011",10,9904.0,7060.698999999999,"EES"
"01-02-2011",11,9669.0,7010.299,"EES"
"01-02-2011",12,9616.0,7092.276999999999,"EES"
"01-02-2011",13,9338.0,6859.398999999999,"EES"
"01-02-2011",14,9089.0,6681.099,"EES"
"01-02-2011",15,8979.0,6582.902999999999,"EES"
"01-02-2011",16,9326.0,6857.699,"EES"
"01-02-2011",17,10139.0,7426.825000000001,"EES"
"01-02-2011",18,10962.0,7938.499,"EES"
"01-02-2011",19,11308.0,8069.599,"EES"
"01-02-2011",20,11329.0,7933.499,"EES"
"01-02-2011",21,10982.0,7943.299,"EES"
"01-02-2011",22,11424.0,7942.668999999999,"EES"
"01-02-2011",23,11162.0,7704.522,"EES"
"01-03-2011",0,10980.0,7679.718,"EES"
"01-03-2011",1,11049.0,7767.299999999999,"EES"
"01-03-2011",2,11232.0,7867.300000000001,"EES"
"01-03-2011",3,11462.0,7888.099999999999,"EES"
"01-03-2011",4,11958.0,8074.8,"EES"
"01-03-2011",5,13415.0,8799.009999999998,"EES"
"01-03-2011",6,14391.0,9173.250999999998,"EES"
"01-03-2011",7,14670.0,9509.723999999998,"EES"
"01-03-2011",8,14033.0,9135.093,"EES"
"01-03-2011",9,13490.0,8831.219999999998,"EES"
"01-03-2011",10,12967.0,8596.699999999999,"EES"
"01-03-2011",11,12406.0,8253.158,"EES"
"01-03-2011",12,11453.0,7753.479999999998,"EES"
"01-03-2011",13,11084.0,7585.5,"EES"
"01-03-2011",14,10979.0,7428.800000000001,"EES"
"01-03-2011",15,11004.0,7388.700000000001,"EES"
"01-03-2011",16,11175.0,7479.286,"EES"
"01-03-2011",17,12047.0,8122.4,"EES"
"01-03-2011",18,12772.0,8449.710000000001,"EES"
"01-03-2011",19,12675.0,8400.0,"EES"
"01-03-2011",20,12320.0,8189.9,"EES"
"01-03-2011",21,11714.0,7940.600000000001,"EES"
"01-03-2011",22,11183.0,7636.5999999999985,"EES"
"01-03-2011",23,10873.0,7394.782000000001,"EES"
"01-04-2011",0,10116.0,7010.078999999999,"EES"
"01-04-2011",1,9964.0,6987.679,"EES"
"01-04-2011",2,9948.0,6942.478999999999,"EES"
"01-04-2011",3,10035.0,6993.478999999999,"EES"
"01-04-2011",4,10082.0,7017.896,"EES"
"01-04-2011",5,10393.0,7214.235000000001,"EES"
"01-04-2011",6,11441.0,7663.759000000001,"EES"
"01-04-2011",7,11648.0,7930.079,"EES"
"01-04-2011",8,11274.0,7741.079,"EES"
"01-04-2011",9,11122.0,7600.178999999999,"EES"
"01-04-2011",10,10788.0,7452.869000000001,"EES"
"01-04-2011",11,10494.0,7328.354,"EES"
"01-04-2011",12,10186.0,7220.379000000001,"EES"
"01-04-2011",13,10030.0,7163.679,"EES"
"01-04-2011",14,10044.0,7023.479,"EES"
"01-04-2011",15,9902.0,7034.079,"EES"
"01-04-2011",16,9938.0,7040.823,"EES"
"01-04-2011",17,10973.0,7717.679000000001,"EES"
"01-04-2011",18,11359.0,7892.033000000001,"EES"
"01-04-2011",19,10769.0,7531.779,"EES"
"01-04-2011",20,10881.0,7604.994999999998,"EES"
"01-04-2011",21,10306.0,7292.504,"EES"
"01-04-2011",22,9499.0,6722.194,"EES"
"01-04-2011",23,9102.0,6469.879,"EES"
"01-05-2011",0,8756.0,6209.004,"EES"
"01-05-2011",1,8573.0,6125.204,"EES"
"01-05-2011",2,8590.0,6156.504,"EES"
"01-05-2011",3,8646.0,6160.004,"EES"
"01-05-2011",4,8728.0,6258.804,"EES"
"01-05-2011",5,9275.0,6622.903999999999,"EES"
"01-05-2011",6,9992.0,7086.67,"EES"
"01-05-2011",7,10390.0,7333.938,"EES"
"01-05-2011",8,10289.0,7277.304,"EES"
"01-05-2011",9,10519.0,7435.803999999999,"EES"
"01-05-2011",10,10508.0,7397.804,"EES"
"01-05-2011",11,10307.0,7271.75,"EES"
"01-05-2011",12,10299.0,7275.326000000002,"EES"
"01-05-2011",13,10052.0,7240.704,"EES"
"01-05-2011",14,9966.0,7182.004,"EES"
"01-05-2011",15,10055.0,7149.204000000001,"EES"
"01-05-2011",16,10361.0,7304.304,"EES"
"01-05-2011",17,11042.0,7718.803999999999,"EES"
"01-05-2011",18,11981.0,8231.004,"EES"
"01-05-2011",19,11918.0,8141.2040000000015,"EES"
"01-05-2011",20,11866.0,8096.003999999999,"EES"
"01-05-2011",21,11498.0,7857.004,"EES"
"01-05-2011",22,10907.0,7518.103999999999,"EES"
"01-05-2011",23,9926.0,6892.204000000001,"EES"
"01-06-2011",0,9545.0,6754.9,"EES"
"01-06-2011",1,9269.0,6509.700000000001,"EES"
"01-06-2011",2,9151.0,6371.1,"EES"
"01-06-2011",3,9399.0,6579.299999999999,"EES"
"01-06-2011",4,9617.0,6817.43,"EES"
"01-06-2011",5,10246.0,7204.400000000001,"EES"
"01-06-2011",6,11455.0,7652.099999999999,"EES"
"01-06-2011",7,12319.0,8194.379999999997,"EES"
"01-06-2011",8,12022.0,7981.219999999999,"EES"
"01-06-2011",9,11301.0,7690.399999999999,"EES"
"01-06-2011",10,10740.0,7404.0,"EES"
"01-06-2011",11,10115.0,7031.8,"EES"
"01-06-2011",12,9936.0,6930.023999999999,"EES"
"01-06-2011",13,9922.0,6961.6,"EES"
"01-06-2011",14,9772.0,6826.799999999999,"EES"
"01-06-2011",15,9845.0,6841.0,"EES"
"01-06-2011",16,10050.0,7036.4000000000015,"EES"
"01-06-2011",17,11038.0,7590.41,"EES"
"01-06-2011",18,11950.0,8096.200000000001,"EES"
"01-06-2011",19,12049.0,8119.0,"EES"
"01-06-2011",20,11891.0,8030.199999999999,"EES"
"01-06-2011",21,11602.0,7863.299999999998,"EES"
"01-06-2011",22,10702.0,7375.909,"EES"
"01-06-2011",23,9965.0,6991.1,"EES"
"01-07-2011",0,9702.0,6907.62,"EES"
"01-07-2011",1,9691.0,6957.132,"EES"
"01-07-2011",2,9709.0,6952.931999999999,"EES"
"01-07-2011",3,9832.0,6955.131999999999,"EES"
"01-07-2011",4,10127.0,7073.067999999999,"EES"
"01-07-2011",5,10805.0,7373.812000000002,"EES"
"01-07-2011",6,12194.0,8041.057000000001,"EES"
"01-07-2011",7,12353.0,8050.817,"EES"
"01-07-2011",8,11995.0,7914.297999999999,"EES"
"01-07-2011",9,11099.0,7435.746000000002,"EES"
"01-07-2011",10,10549.0,7210.732,"EES"
"01-07-2011",11,10360.0,7053.332,"EES"
"01-07-2011",12,10343.0,7130.132,"EES"
"01-07-2011",13,10475.0,7200.832,"EES"
"01-07-2011",14,10140.0,7022.557000000001,"EES"
"01-07-2011",15,9849.0,6780.031999999999,"EES"
"01-07-2011",16,9828.0,6739.557,"EES"
"01-07-2011",17,10349.0,7121.6320000000005,"EES"
"01-07-2011",18,10708.0,7313.832000000001,"EES"
"01-07-2011",19,10792.0,7314.1320000000005,"EES"
"01-07-2011",20,10811.0,7324.032000000001,"EES"
"01-07-2011",21,10730.0,7295.932000000001,"EES"
"01-07-2011",22,10467.0,7203.632,"EES"
"01-07-2011",23,10002.0,6904.037,"EES"
"01-08-2011",0,9524.0,6758.316000000001,"EES"
"01-08-2011",1,9598.0,6845.532,"EES"
"01-08-2011",2,9445.0,6670.965999999999,"EES"
"01-08-2011",3,9525.0,6716.5160000000005,"EES"
"01-08-2011",4,9742.0,6861.916,"EES"
"01-08-2011",5,10521.0,7327.216,"EES"
"01-08-2011",6,10695.0,7357.516,"EES"
"01-08-2011",7,10787.0,7363.990999999999,"EES"
"01-08-2011",8,11123.0,7587.416,"EES"
"01-08-2011",9,11051.0,7567.7159999999985,"EES"
"01-08-2011",10,10845.0,7508.715999999999,"EES"
"01-08-2011",11,10471.0,7213.616,"EES"
"01-08-2011",12,10359.0,7142.116000000001,"EES"
"01-08-2011",13,10069.0,7017.116000000001,"EES"
"01-08-2011",14,9921.0,6870.916,"EES"
"01-08-2011",15,10043.0,6986.215999999999,"EES"
"01-08-2011",16,10232.0,7136.316,"EES"
"01-08-2011",17,10826.0,7450.016,"EES"
"01-08-2011",18,11262.0,7712.416,"EES"
"01-08-2011",19,11356.0,7747.816,"EES"
"01-08-2011",20,11293.0,7745.216,"EES"
"01-08-2011",21,11009.0,7529.741,"EES"
"01-08-2011",22,11048.0,7567.616000000001,"EES"
"01-08-2011",23,10473.0,7151.405999999999,"EES"
"01-09-2011",0,9932.0,7017.637000000001,"EES"
"01-09-2011",1,9725.0,6838.237,"EES"
"01-09-2011",2,9532.0,6539.737,"EES"
"01-09-2011",3,9594.0,6593.837,"EES"
"01-09-2011",4,9715.0,6715.337,"EES"
"01-09-2011",5,10251.0,7105.360999999999,"EES"
"01-09-2011",6,10421.0,7342.742,"EES"
