"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,1639.0,1834.2,"KCPL"
"01-01-2011",1,1638.0,1823.3010000000002,"KCPL"
"01-01-2011",2,1602.0,1775.6000000000001,"KCPL"
"01-01-2011",3,1598.0,1757.001,"KCPL"
"01-01-2011",4,1601.0,1773.4009999999998,"KCPL"
"01-01-2011",5,1601.0,1778.7,"KCPL"
"01-01-2011",6,1600.0,1779.5990000000002,"KCPL"
"01-01-2011",7,1571.0,1742.4990000000003,"KCPL"
"01-01-2011",8,1562.0,1728.1,"KCPL"
"01-01-2011",9,1586.0,1776.8999999999999,"KCPL"
"01-01-2011",10,1639.0,1818.5010000000002,"KCPL"
"01-01-2011",11,1641.0,1825.4,"KCPL"
"01-01-2011",12,1660.0,1849.9,"KCPL"
"01-01-2011",13,1639.0,1822.0,"KCPL"
"01-01-2011",14,1589.0,1754.699,"KCPL"
"01-01-2011",15,1579.0,1750.0,"KCPL"
"01-01-2011",16,1594.0,1765.799,"KCPL"
"01-01-2011",17,1693.0,1879.4009999999998,"KCPL"
"01-01-2011",18,1702.0,1888.7240000000002,"KCPL"
"01-01-2011",19,1684.0,1866.601,"KCPL"
"01-01-2011",20,1657.0,1832.9009999999998,"KCPL"
"01-01-2011",21,1633.0,1800.9009999999998,"KCPL"
"01-01-2011",22,1634.0,1802.799,"KCPL"
"01-01-2011",23,1639.0,1812.1,"KCPL"
"01-02-2011",0,1586.0,1748.6000000000001,"KCPL"
"01-02-2011",1,1575.0,1751.601,"KCPL"
"01-02-2011",2,1546.0,1720.4009999999998,"KCPL"
"01-02-2011",3,1530.0,1688.7,"KCPL"
"01-02-2011",4,1506.0,1678.3,"KCPL"
"01-02-2011",5,1478.0,1648.9,"KCPL"
"01-02-2011",6,1480.0,1651.4989999999998,"KCPL"
"01-02-2011",7,1486.0,1646.3,"KCPL"
"01-02-2011",8,1493.0,1641.199,"KCPL"
"01-02-2011",9,1508.0,1662.0,"KCPL"
"01-02-2011",10,1542.0,1683.0990000000002,"KCPL"
"01-02-2011",11,1556.0,1685.6,"KCPL"
"01-02-2011",12,1569.0,1700.4009999999998,"KCPL"
"01-02-2011",13,1509.0,1627.1,"KCPL"
"01-02-2011",14,1448.0,1564.5989999999997,"KCPL"
"01-02-2011",15,1377.0,1489.4010000000003,"KCPL"
"01-02-2011",16,1384.0,1512.3,"KCPL"
"01-02-2011",17,1509.0,1638.601,"KCPL"
"01-02-2011",18,1625.0,1771.8,"KCPL"
"01-02-2011",19,1595.0,1726.999,"KCPL"
"01-02-2011",20,1592.0,1718.6,"KCPL"
"01-02-2011",21,1585.0,1704.699,"KCPL"
"01-02-2011",22,1598.0,1717.8999999999999,"KCPL"
"01-02-2011",23,1574.0,1693.6,"KCPL"
"01-03-2011",0,1538.0,1659.6,"KCPL"
"01-03-2011",1,1513.0,1638.4,"KCPL"
"01-03-2011",2,1513.0,1642.999,"KCPL"
"01-03-2011",3,1516.0,1639.099,"KCPL"
"01-03-2011",4,1537.0,1679.9989999999998,"KCPL"
"01-03-2011",5,1614.0,1764.201,"KCPL"
"01-03-2011",6,1688.0,1839.399,"KCPL"
"01-03-2011",7,1689.0,1829.9,"KCPL"
"01-03-2011",8,1688.0,1826.9989999999998,"KCPL"
"01-03-2011",9,1692.0,1836.4,"KCPL"
"01-03-2011",10,1705.0,1848.5,"KCPL"
"01-03-2011",11,1687.0,1825.2000000000003,"KCPL"
"01-03-2011",12,1663.0,1807.0,"KCPL"
"01-03-2011",13,1661.0,1799.1999999999998,"KCPL"
"01-03-2011",14,1600.0,1725.3,"KCPL"
"01-03-2011",15,1507.0,1632.5,"KCPL"
"01-03-2011",16,1496.0,1628.4,"KCPL"
"01-03-2011",17,1633.0,1782.3,"KCPL"
"01-03-2011",18,1680.0,1832.8,"KCPL"
"01-03-2011",19,1687.0,1835.9009999999998,"KCPL"
"01-03-2011",20,1646.0,1780.1,"KCPL"
"01-03-2011",21,1589.0,1720.1999999999998,"KCPL"
"01-03-2011",22,1531.0,1659.8000000000002,"KCPL"
"01-03-2011",23,1465.0,1596.0,"KCPL"
"01-04-2011",0,1448.0,1575.401,"KCPL"
"01-04-2011",1,1382.0,1509.0,"KCPL"
"01-04-2011",2,1366.0,1499.5,"KCPL"
"01-04-2011",3,1374.0,1498.8999999999999,"KCPL"
"01-04-2011",4,1433.0,1564.1999999999998,"KCPL"
"01-04-2011",5,1566.0,1715.3999999999999,"KCPL"
"01-04-2011",6,1654.0,1811.8,"KCPL"
"01-04-2011",7,1671.0,1828.3000000000002,"KCPL"
"01-04-2011",8,1671.0,1812.299,"KCPL"
"01-04-2011",9,1678.0,1830.8,"KCPL"
"01-04-2011",10,1679.0,1828.2,"KCPL"
"01-04-2011",11,1679.0,1832.201,"KCPL"
"01-04-2011",12,1659.0,1801.2,"KCPL"
"01-04-2011",13,1608.0,1724.3000000000002,"KCPL"
"01-04-2011",14,1530.0,1645.8000000000002,"KCPL"
"01-04-2011",15,1477.0,1596.1989999999998,"KCPL"
"01-04-2011",16,1481.0,1602.2000000000003,"KCPL"
"01-04-2011",17,1585.0,1721.0,"KCPL"
"01-04-2011",18,1681.0,1822.4,"KCPL"
"01-04-2011",19,1680.0,1818.0,"KCPL"
"01-04-2011",20,1624.0,1744.799,"KCPL"
"01-04-2011",21,1571.0,1699.9,"KCPL"
"01-04-2011",22,1513.0,1636.8,"KCPL"
"01-04-2011",23,1452.0,1570.3000000000002,"KCPL"
"01-05-2011",0,1371.0,1490.5,"KCPL"
"01-05-2011",1,1339.0,1470.0,"KCPL"
"01-05-2011",2,1371.0,1500.3,"KCPL"
"01-05-2011",3,1382.0,1486.5990000000002,"KCPL"
"01-05-2011",4,1447.0,1574.101,"KCPL"
"01-05-2011",5,1557.0,1693.0,"KCPL"
"01-05-2011",6,1643.0,1789.299,"KCPL"
"01-05-2011",7,1665.0,1807.6999999999998,"KCPL"
"01-05-2011",8,1613.0,1751.3,"KCPL"
"01-05-2011",9,1645.0,1785.4009999999998,"KCPL"
"01-05-2011",10,1668.0,1811.1000000000001,"KCPL"
"01-05-2011",11,1669.0,1805.6,"KCPL"
