"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,104.0,84.2,"LDWP"
"01-01-2011",1,78.0,70.9,"LDWP"
"01-01-2011",2,65.0,64.30000000000001,"LDWP"
"01-01-2011",3,66.0,64.7,"LDWP"
"01-01-2011",4,67.0,65.6,"LDWP"
"01-01-2011",5,67.0,65.4,"LDWP"
"01-01-2011",6,71.0,66.9,"LDWP"
"01-01-2011",7,73.0,68.5,"LDWP"
"01-01-2011",8,71.0,67.3,"LDWP"
"01-01-2011",9,81.0,72.1,"LDWP"
"01-01-2011",10,125.0,96.7,"LDWP"
"01-01-2011",11,135.0,100.5,"LDWP"
"01-01-2011",12,134.0,98.19999999999999,"LDWP"
"01-01-2011",13,130.0,95.5,"LDWP"
"01-01-2011",14,108.0,84.1,"LDWP"
"01-01-2011",15,94.0,78.0,"LDWP"
"01-01-2011",16,122.0,92.5,"LDWP"
"01-01-2011",17,175.0,122.3,"LDWP"
"01-01-2011",18,179.0,124.3,"LDWP"
"01-01-2011",19,177.0,123.6,"LDWP"
"01-01-2011",20,178.0,123.0,"LDWP"
"01-01-2011",21,177.0,122.1,"LDWP"
"01-01-2011",22,178.0,124.0,"LDWP"
"01-01-2011",23,160.0,112.2,"LDWP"
"01-02-2011",0,72.0,65.5,"LDWP"
"01-02-2011",1,69.0,63.6,"LDWP"
"01-02-2011",2,69.0,65.3,"LDWP"
"01-02-2011",3,68.0,64.0,"LDWP"
"01-02-2011",4,68.0,62.300000000000004,"LDWP"
"01-02-2011",5,69.0,63.3,"LDWP"
"01-02-2011",6,69.0,64.9,"LDWP"
"01-02-2011",7,69.0,64.9,"LDWP"
"01-02-2011",8,69.0,64.5,"LDWP"
"01-02-2011",9,69.0,64.7,"LDWP"
"01-02-2011",10,74.0,67.3,"LDWP"
"01-02-2011",11,93.0,77.9,"LDWP"
"01-02-2011",12,109.0,86.4,"LDWP"
"01-02-2011",13,113.0,87.8,"LDWP"
"01-02-2011",14,126.0,94.5,"LDWP"
"01-02-2011",15,163.0,117.19999999999999,"LDWP"
"01-02-2011",16,179.0,124.69999999999999,"LDWP"
"01-02-2011",17,178.0,122.4,"LDWP"
"01-02-2011",18,178.0,123.0,"LDWP"
"01-02-2011",19,178.0,123.39999999999999,"LDWP"
"01-02-2011",20,180.0,124.2,"LDWP"
"01-02-2011",21,178.0,123.5,"LDWP"
"01-02-2011",22,178.0,122.8,"LDWP"
"01-02-2011",23,101.0,79.7,"LDWP"
"01-03-2011",0,68.0,64.3,"LDWP"
"01-03-2011",1,69.0,64.8,"LDWP"
"01-03-2011",2,70.0,64.7,"LDWP"
"01-03-2011",3,70.0,64.9,"LDWP"
"01-03-2011",4,70.0,63.9,"LDWP"
"01-03-2011",5,68.0,62.9,"LDWP"
"01-03-2011",6,69.0,65.0,"LDWP"
"01-03-2011",7,73.0,67.7,"LDWP"
"01-03-2011",8,130.0,99.30000000000001,"LDWP"
"01-03-2011",9,187.0,130.519,"LDWP"
"01-03-2011",10,306.0,197.99999999999997,"LDWP"
"01-03-2011",11,239.0,159.67399999999998,"LDWP"
"01-03-2011",12,226.0,149.2,"LDWP"
"01-03-2011",13,193.0,129.854,"LDWP"
"01-03-2011",14,163.0,111.8,"LDWP"
"01-03-2011",15,143.0,101.1,"LDWP"
"01-03-2011",16,169.0,116.69999999999999,"LDWP"
"01-03-2011",17,177.0,120.6,"LDWP"
"01-03-2011",18,179.0,121.69999999999999,"LDWP"
"01-03-2011",19,178.0,121.69999999999999,"LDWP"
"01-03-2011",20,178.0,120.2,"LDWP"
"01-03-2011",21,178.0,120.5,"LDWP"
"01-03-2011",22,180.0,121.9,"LDWP"
"01-03-2011",23,144.0,101.5,"LDWP"
"01-04-2011",0,71.0,64.7,"LDWP"
"01-04-2011",1,71.0,65.80000000000001,"LDWP"
"01-04-2011",2,70.0,65.3,"LDWP"
"01-04-2011",3,69.0,64.5,"LDWP"
"01-04-2011",4,69.0,65.49199999999999,"LDWP"
"01-04-2011",5,86.0,99.0,"LDWP"
"01-04-2011",6,89.0,99.4,"LDWP"
"01-04-2011",7,104.0,102.7,"LDWP"
"01-04-2011",8,178.0,137.4,"LDWP"
"01-04-2011",9,111.0,102.208,"LDWP"
"01-04-2011",10,107.0,107.8,"LDWP"
"01-04-2011",11,226.0,138.3,"LDWP"
"01-04-2011",12,244.0,141.10000000000002,"LDWP"
"01-04-2011",13,238.0,138.2,"LDWP"
"01-04-2011",14,222.0,118.468,"LDWP"
"01-04-2011",15,186.0,96.6,"LDWP"
"01-04-2011",16,268.0,125.30000000000001,"LDWP"
"01-04-2011",17,277.0,129.0,"LDWP"
"01-04-2011",18,277.0,128.6,"LDWP"
"01-04-2011",19,279.0,129.0,"LDWP"
"01-04-2011",20,279.0,129.4,"LDWP"
"01-04-2011",21,280.0,130.0,"LDWP"
"01-04-2011",22,282.0,130.1,"LDWP"
"01-04-2011",23,208.0,104.4,"LDWP"
"01-05-2011",0,81.0,53.650000000000006,"LDWP"
"01-05-2011",1,21.0,24.7,"LDWP"
"01-05-2011",2,22.0,24.9,"LDWP"
"01-05-2011",3,22.0,25.1,"LDWP"
"01-05-2011",4,21.0,24.5,"LDWP"
"01-05-2011",5,47.0,59.747,"LDWP"
"01-05-2011",6,135.0,86.80000000000001,"LDWP"
"01-05-2011",7,249.0,147.072,"LDWP"
"01-05-2011",8,383.0,180.82,"LDWP"
"01-05-2011",9,278.0,129.7,"LDWP"
"01-05-2011",10,276.0,128.20000000000002,"LDWP"
"01-05-2011",11,272.0,126.9,"LDWP"
"01-05-2011",12,272.0,126.7,"LDWP"
"01-05-2011",13,271.0,126.0,"LDWP"
"01-05-2011",14,271.0,126.5,"LDWP"
"01-05-2011",15,273.0,127.2,"LDWP"
"01-05-2011",16,274.0,127.6,"LDWP"
"01-05-2011",17,276.0,128.2,"LDWP"
"01-05-2011",18,277.0,128.4,"LDWP"
"01-05-2011",19,278.0,128.958,"LDWP"
"01-05-2011",20,278.0,128.8,"LDWP"
"01-05-2011",21,279.0,129.3,"LDWP"
"01-05-2011",22,279.0,129.2,"LDWP"
"01-05-2011",23,231.0,111.9,"LDWP"
"01-06-2011",0,63.0,45.80800000000001,"LDWP"
"01-06-2011",1,20.0,23.9,"LDWP"
"01-06-2011",2,21.0,24.1,"LDWP"
"01-06-2011",3,20.0,23.8,"LDWP"
"01-06-2011",4,21.0,27.439999999999998,"LDWP"
"01-06-2011",5,55.0,65.4,"LDWP"
"01-06-2011",6,195.0,109.39999999999999,"LDWP"
"01-06-2011",7,330.0,172.6,"LDWP"
"01-06-2011",8,480.0,213.7,"LDWP"
"01-06-2011",9,536.0,231.6,"LDWP"
"01-06-2011",10,532.0,229.4,"LDWP"
"01-06-2011",11,533.0,230.4,"LDWP"
"01-06-2011",12,532.0,229.9,"LDWP"
"01-06-2011",13,531.0,229.7,"LDWP"
"01-06-2011",14,532.0,226.1,"LDWP"
"01-06-2011",15,534.0,230.7,"LDWP"
"01-06-2011",16,562.0,248.779,"LDWP"
"01-06-2011",17,575.0,255.7,"LDWP"
"01-06-2011",18,532.0,230.375,"LDWP"
"01-06-2011",19,533.0,230.5,"LDWP"
"01-06-2011",20,533.0,231.1,"LDWP"
"01-06-2011",21,535.0,231.7,"LDWP"
"01-06-2011",22,396.0,180.7,"LDWP"
"01-06-2011",23,186.0,97.423,"LDWP"
"01-07-2011",0,68.0,48.234,"LDWP"
