"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,1707.0,1895.074,"MPCO"
"01-01-2011",1,1720.0,1894.548,"MPCO"
"01-01-2011",2,1696.0,1887.9379999999999,"MPCO"
"01-01-2011",3,1710.0,1877.836,"MPCO"
"01-01-2011",4,1689.0,1880.5,"MPCO"
"01-01-2011",5,1702.0,1896.9060000000002,"MPCO"
"01-01-2011",6,1699.0,1881.1950000000002,"MPCO"
"01-01-2011",7,1693.0,1867.8,"MPCO"
"01-01-2011",8,1690.0,1883.2,"MPCO"
"01-01-2011",9,1690.0,1890.1999999999998,"MPCO"
"01-01-2011",10,1694.0,1882.0,"MPCO"
"01-01-2011",11,1758.0,1906.1860000000001,"MPCO"
"01-01-2011",12,1764.0,1929.3999999999999,"MPCO"
"01-01-2011",13,1774.0,1933.8,"MPCO"
"01-01-2011",14,1756.0,1916.325,"MPCO"
"01-01-2011",15,1700.0,1841.4409999999998,"MPCO"
"01-01-2011",16,1720.0,1879.4539999999997,"MPCO"
"01-01-2011",17,1697.0,1861.0960000000002,"MPCO"
"01-01-2011",18,1722.0,1879.7450000000001,"MPCO"
"01-01-2011",19,1742.0,1874.8000000000002,"MPCO"
"01-01-2011",20,1726.0,1898.998,"MPCO"
"01-01-2011",21,1686.0,1872.9599999999998,"MPCO"
"01-01-2011",22,1694.0,1876.9460000000001,"MPCO"
"01-01-2011",23,1710.0,1868.818,"MPCO"
"01-02-2011",0,1727.0,1889.654,"MPCO"
"01-02-2011",1,1696.0,1857.3,"MPCO"
"01-02-2011",2,1689.0,1866.7179999999998,"MPCO"
"01-02-2011",3,1701.0,1858.3,"MPCO"
"01-02-2011",4,1697.0,1871.028,"MPCO"
"01-02-2011",5,1710.0,1874.6,"MPCO"
"01-02-2011",6,1709.0,1870.8000000000002,"MPCO"
"01-02-2011",7,1690.0,1846.2279999999998,"MPCO"
"01-02-2011",8,1692.0,1868.422,"MPCO"
"01-02-2011",9,1697.0,1863.8300000000002,"MPCO"
"01-02-2011",10,1718.0,1874.7,"MPCO"
"01-02-2011",11,1743.0,1880.2,"MPCO"
"01-02-2011",12,1758.0,1897.8010000000002,"MPCO"
"01-02-2011",13,1733.0,1891.6000000000001,"MPCO"
"01-02-2011",14,1728.0,1883.5510000000002,"MPCO"
"01-02-2011",15,1710.0,1863.4,"MPCO"
"01-02-2011",16,1708.0,1875.1,"MPCO"
"01-02-2011",17,1689.0,1862.805,"MPCO"
"01-02-2011",18,1710.0,1868.101,"MPCO"
"01-02-2011",19,1691.0,1842.797,"MPCO"
"01-02-2011",20,1687.0,1857.5000000000002,"MPCO"
"01-02-2011",21,1698.0,1862.432,"MPCO"
