"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,4017.0,2712.975,"NYIS"
"01-01-2011",1,3871.0,2666.2999999999993,"NYIS"
"01-01-2011",2,4010.0,2710.499,"NYIS"
"01-01-2011",3,3910.0,2693.4010000000007,"NYIS"
"01-01-2011",4,3676.0,2608.1810000000005,"NYIS"
"01-01-2011",5,3832.0,2750.8599999999997,"NYIS"
"01-01-2011",6,4103.0,2837.2000000000007,"NYIS"
"01-01-2011",7,4248.0,2916.0120000000006,"NYIS"
"01-01-2011",8,4208.0,2916.3550000000005,"NYIS"
"01-01-2011",9,4350.0,3006.3009999999995,"NYIS"
"01-01-2011",10,4309.0,2959.899000000001,"NYIS"
"01-01-2011",11,4466.0,2980.021999999999,"NYIS"
"01-01-2011",12,4445.0,3018.1989999999996,"NYIS"
"01-01-2011",13,4443.0,3024.0559999999987,"NYIS"
"01-01-2011",14,4308.0,2959.7999999999997,"NYIS"
"01-01-2011",15,4275.0,2965.3540000000003,"NYIS"
"01-01-2011",16,4758.0,3208.8269999999993,"NYIS"
"01-01-2011",17,5435.0,3567.5,"NYIS"
"01-01-2011",18,5281.0,3525.0889999999995,"NYIS"
"01-01-2011",19,5143.0,3468.2000000000007,"NYIS"
"01-01-2011",20,4769.0,3161.464,"NYIS"
"01-01-2011",21,4471.0,2983.8639999999996,"NYIS"
"01-01-2011",22,4112.0,2785.7680000000005,"NYIS"
"01-01-2011",23,3775.0,2593.9199999999996,"NYIS"
"01-02-2011",0,3560.0,2465.372,"NYIS"
"01-02-2011",1,3484.0,2436.0,"NYIS"
"01-02-2011",2,3429.0,2404.9999999999995,"NYIS"
"01-02-2011",3,3429.0,2406.699,"NYIS"
"01-02-2011",4,3418.0,2407.2000000000003,"NYIS"
"01-02-2011",5,3453.0,2431.2010000000005,"NYIS"
"01-02-2011",6,3578.0,2538.0999999999995,"NYIS"
"01-02-2011",7,3800.0,2660.5899999999997,"NYIS"
"01-02-2011",8,4105.0,2868.3639999999996,"NYIS"
"01-02-2011",9,4281.0,2973.392,"NYIS"
"01-02-2011",10,4627.0,3127.101,"NYIS"
"01-02-2011",11,4955.0,3326.5000000000005,"NYIS"
"01-02-2011",12,5012.0,3403.4000000000005,"NYIS"
"01-02-2011",13,5021.0,3436.001000000001,"NYIS"
"01-02-2011",14,5067.0,3451.688000000001,"NYIS"
"01-02-2011",15,5086.0,3482.0849999999996,"NYIS"
"01-02-2011",16,5592.0,3818.429,"NYIS"
"01-02-2011",17,6186.0,4234.567999999999,"NYIS"
"01-02-2011",18,6092.0,4118.1,"NYIS"
"01-02-2011",19,5923.0,4035.8990000000013,"NYIS"
"01-02-2011",20,5851.0,4002.4080000000004,"NYIS"
"01-02-2011",21,5741.0,3954.154,"NYIS"
"01-02-2011",22,5186.0,3566.6519999999996,"NYIS"
"01-02-2011",23,4986.0,3496.922,"NYIS"
"01-03-2011",0,4922.0,3489.361000000001,"NYIS"
"01-03-2011",1,4671.0,3412.801000000001,"NYIS"
"01-03-2011",2,4372.0,3138.2990000000013,"NYIS"
"01-03-2011",3,4556.0,3278.8059999999996,"NYIS"
"01-03-2011",4,4952.0,3522.703000000001,"NYIS"
"01-03-2011",5,5439.0,3807.7740000000003,"NYIS"
"01-03-2011",6,6162.0,4280.164,"NYIS"
"01-03-2011",7,6703.0,4700.277,"NYIS"
"01-03-2011",8,6579.0,4607.243,"NYIS"
"01-03-2011",9,6589.0,4614.753,"NYIS"
"01-03-2011",10,6696.0,4717.798999999998,"NYIS"
"01-03-2011",11,6532.0,4591.3550000000005,"NYIS"
"01-03-2011",12,6656.0,4677.000999999998,"NYIS"
"01-03-2011",13,6633.0,4643.5,"NYIS"
"01-03-2011",14,6987.0,4863.298,"NYIS"
"01-03-2011",15,7016.0,4937.1759999999995,"NYIS"
"01-03-2011",16,7348.0,5091.051,"NYIS"
"01-03-2011",17,8437.0,5704.474,"NYIS"
"01-03-2011",18,8354.0,5631.6720000000005,"NYIS"
"01-03-2011",19,8096.0,5559.186000000001,"NYIS"
"01-03-2011",20,7716.0,5308.392999999999,"NYIS"
"01-03-2011",21,7147.0,5014.7519999999995,"NYIS"
"01-03-2011",22,6656.0,4708.6810000000005,"NYIS"
"01-03-2011",23,5826.0,4180.798,"NYIS"
"01-04-2011",0,5541.0,4010.028,"NYIS"
"01-04-2011",1,5378.0,3926.2010000000005,"NYIS"
"01-04-2011",2,5316.0,3876.1399999999994,"NYIS"
"01-04-2011",3,5310.0,3876.701000000001,"NYIS"
"01-04-2011",4,5572.0,4077.7840000000006,"NYIS"
"01-04-2011",5,6034.0,4406.476000000001,"NYIS"
"01-04-2011",6,6845.0,4877.767,"NYIS"
"01-04-2011",7,7295.0,5144.199999999998,"NYIS"
"01-04-2011",8,7448.0,5209.003999999999,"NYIS"
"01-04-2011",9,7413.0,5202.9,"NYIS"
"01-04-2011",10,7637.0,5233.1129999999985,"NYIS"
"01-04-2011",11,7629.0,5154.099999999999,"NYIS"
"01-04-2011",12,7306.0,5012.429000000001,"NYIS"
"01-04-2011",13,7254.0,4987.662,"NYIS"
"01-04-2011",14,7552.0,5104.841999999999,"NYIS"
"01-04-2011",15,7782.0,5197.035999999999,"NYIS"
"01-04-2011",16,8045.0,5412.728000000001,"NYIS"
"01-04-2011",17,9330.0,6032.700000000003,"NYIS"
"01-04-2011",18,9149.0,5937.600000000001,"NYIS"
"01-04-2011",19,8697.0,5708.191000000001,"NYIS"
"01-04-2011",20,8155.0,5410.830000000002,"NYIS"
"01-04-2011",21,7403.0,5030.163000000001,"NYIS"
"01-04-2011",22,6520.0,4576.724999999999,"NYIS"
"01-04-2011",23,5777.0,4149.037999999999,"NYIS"
"01-05-2011",0,5260.0,3797.987,"NYIS"
"01-05-2011",1,4830.0,3506.0499999999997,"NYIS"
"01-05-2011",2,4785.0,3473.3699999999994,"NYIS"
"01-05-2011",3,4881.0,3524.2999999999997,"NYIS"
"01-05-2011",4,4996.0,3591.793,"NYIS"
"01-05-2011",5,5472.0,3844.628000000001,"NYIS"
"01-05-2011",6,6514.0,4517.200000000001,"NYIS"
"01-05-2011",7,6951.0,4789.3,"NYIS"
"01-05-2011",8,6916.0,4795.522999999999,"NYIS"
"01-05-2011",9,7153.0,4894.299000000001,"NYIS"
"01-05-2011",10,7339.0,4926.5,"NYIS"
"01-05-2011",11,7293.0,4879.1950000000015,"NYIS"
"01-05-2011",12,7288.0,4910.728999999999,"NYIS"
"01-05-2011",13,7194.0,4865.100000000001,"NYIS"
"01-05-2011",14,6997.0,4753.66,"NYIS"
"01-05-2011",15,7432.0,4844.2970000000005,"NYIS"
"01-05-2011",16,7685.0,4931.74,"NYIS"
"01-05-2011",17,8451.0,5355.176000000001,"NYIS"
"01-05-2011",18,8711.0,5495.500999999999,"NYIS"
"01-05-2011",19,8346.0,5317.976000000001,"NYIS"
"01-05-2011",20,8169.0,5206.352000000001,"NYIS"
"01-05-2011",21,7396.0,4852.395,"NYIS"
"01-05-2011",22,6413.0,4378.791,"NYIS"
"01-05-2011",23,5907.0,4075.650000000001,"NYIS"
"01-06-2011",0,5722.0,4011.7179999999994,"NYIS"
"01-06-2011",1,5669.0,4012.8570000000004,"NYIS"
"01-06-2011",2,5636.0,4065.0999999999995,"NYIS"
"01-06-2011",3,5875.0,4191.916,"NYIS"
"01-06-2011",4,5913.0,4184.942000000001,"NYIS"
"01-06-2011",5,6702.0,4627.276000000001,"NYIS"
"01-06-2011",6,7691.0,5069.749,"NYIS"
"01-06-2011",7,8084.0,5227.821000000001,"NYIS"
"01-06-2011",8,8330.0,5300.081,"NYIS"
"01-06-2011",9,8205.0,5252.299999999999,"NYIS"
"01-06-2011",10,8085.0,5190.926,"NYIS"
"01-06-2011",11,8087.0,5170.798999999998,"NYIS"
