"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,2375.0,2289.12,"OKGE"
"01-01-2011",1,2423.0,2361.8239999999996,"OKGE"
"01-01-2011",2,2471.0,2451.421,"OKGE"
"01-01-2011",3,2485.0,2464.5999999999995,"OKGE"
"01-01-2011",4,2551.0,2396.7999999999997,"OKGE"
"01-01-2011",5,2680.0,2451.6,"OKGE"
"01-01-2011",6,2741.0,2470.5999999999995,"OKGE"
"01-01-2011",7,2876.0,2532.0999999999995,"OKGE"
"01-01-2011",8,3056.0,2609.2999999999997,"OKGE"
"01-01-2011",9,3290.0,2750.2999999999997,"OKGE"
"01-01-2011",10,3224.0,2771.2899999999995,"OKGE"
"01-01-2011",11,3213.0,2805.6999999999994,"OKGE"
"01-01-2011",12,3107.0,2742.3999999999996,"OKGE"
"01-01-2011",13,3051.0,2746.3000000000006,"OKGE"
"01-01-2011",14,3005.0,2767.946,"OKGE"
"01-01-2011",15,3035.0,2795.399999999999,"OKGE"
"01-01-2011",16,3169.0,2817.6,"OKGE"
"01-01-2011",17,3302.0,2888.7999999999997,"OKGE"
"01-01-2011",18,3601.0,3019.1,"OKGE"
"01-01-2011",19,3902.0,3126.3000000000006,"OKGE"
"01-01-2011",20,3803.0,2909.797,"OKGE"
"01-01-2011",21,3428.0,2686.6999999999994,"OKGE"
"01-01-2011",22,3307.0,2614.691,"OKGE"
"01-01-2011",23,2957.0,2493.4,"OKGE"
"01-02-2011",0,3005.0,2510.8999999999996,"OKGE"
"01-02-2011",1,2851.0,2463.9999999999995,"OKGE"
"01-02-2011",2,2790.0,2437.2000000000003,"OKGE"
"01-02-2011",3,2786.0,2419.1000000000004,"OKGE"
"01-02-2011",4,2870.0,2460.228,"OKGE"
"01-02-2011",5,3074.0,2557.7999999999993,"OKGE"
"01-02-2011",6,3213.0,2615.5000000000005,"OKGE"
"01-02-2011",7,3547.0,2733.7000000000003,"OKGE"
"01-02-2011",8,3580.0,2744.2000000000003,"OKGE"
"01-02-2011",9,3288.0,2637.2619999999993,"OKGE"
"01-02-2011",10,2849.0,2470.2999999999997,"OKGE"
"01-02-2011",11,2778.0,2441.4000000000005,"OKGE"
"01-02-2011",12,2840.0,2477.6,"OKGE"
"01-02-2011",13,2755.0,2417.6,"OKGE"
"01-02-2011",14,2648.0,2289.9,"OKGE"
"01-02-2011",15,2524.0,2155.9,"OKGE"
"01-02-2011",16,2571.0,2192.5,"OKGE"
"01-02-2011",17,2882.0,2420.4,"OKGE"
"01-02-2011",18,2995.0,2550.8999999999996,"OKGE"
"01-02-2011",19,3013.0,2616.6,"OKGE"
"01-02-2011",20,3067.0,2660.5,"OKGE"
"01-02-2011",21,3017.0,2669.6000000000004,"OKGE"
"01-02-2011",22,2915.0,2583.7000000000003,"OKGE"
"01-02-2011",23,2778.0,2458.0,"OKGE"
"01-03-2011",0,2672.0,2351.8999999999996,"OKGE"
"01-03-2011",1,2654.0,2326.9,"OKGE"
