"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,764.0,729.8,"OVEC"
"01-01-2011",1,657.0,641.199,"OVEC"
"01-01-2011",2,660.0,640.7,"OVEC"
"01-01-2011",3,658.0,642.199,"OVEC"
"01-01-2011",4,656.0,642.1999999999999,"OVEC"
"01-01-2011",5,659.0,643.9,"OVEC"
"01-01-2011",6,660.0,643.2,"OVEC"
"01-01-2011",7,716.0,684.6,"OVEC"
"01-01-2011",8,959.0,890.3990000000001,"OVEC"
"01-01-2011",9,1094.0,1007.799,"OVEC"
"01-01-2011",10,1094.0,1011.5009999999999,"OVEC"
"01-01-2011",11,1097.0,996.5999999999999,"OVEC"
"01-01-2011",12,1105.0,1008.7009999999999,"OVEC"
"01-01-2011",13,1110.0,1006.7,"OVEC"
"01-01-2011",14,1111.0,1007.299,"OVEC"
"01-01-2011",15,1109.0,1005.3000000000001,"OVEC"
"01-01-2011",16,1109.0,1005.6999999999998,"OVEC"
"01-01-2011",17,1111.0,1009.5999999999999,"OVEC"
"01-01-2011",18,1109.0,1002.299,"OVEC"
"01-01-2011",19,1109.0,1020.1,"OVEC"
"01-01-2011",20,1108.0,1019.201,"OVEC"
"01-01-2011",21,1098.0,1015.899,"OVEC"
"01-01-2011",22,976.0,918.7,"OVEC"
"01-01-2011",23,770.0,743.5989999999999,"OVEC"
"01-02-2011",0,637.0,627.3,"OVEC"
"01-02-2011",1,640.0,626.5,"OVEC"
"01-02-2011",2,639.0,637.0,"OVEC"
"01-02-2011",3,637.0,634.099,"OVEC"
"01-02-2011",4,636.0,640.801,"OVEC"
"01-02-2011",5,636.0,637.099,"OVEC"
"01-02-2011",6,637.0,641.701,"OVEC"
"01-02-2011",7,639.0,639.4,"OVEC"
"01-02-2011",8,658.0,660.8009999999999,"OVEC"
"01-02-2011",9,834.0,810.601,"OVEC"
"01-02-2011",10,1081.0,1026.801,"OVEC"
"01-02-2011",11,1104.0,1049.4999999999998,"OVEC"
"01-02-2011",12,1109.0,1038.001,"OVEC"
"01-02-2011",13,1115.0,1042.599,"OVEC"
"01-02-2011",14,1118.0,1046.7,"OVEC"
"01-02-2011",15,1106.0,1042.9009999999998,"OVEC"
"01-02-2011",16,1112.0,1046.501,"OVEC"
"01-02-2011",17,1117.0,1050.8999999999999,"OVEC"
"01-02-2011",18,1115.0,1021.7,"OVEC"
"01-02-2011",19,1114.0,1031.901,"OVEC"
"01-02-2011",20,1117.0,1033.201,"OVEC"
"01-02-2011",21,1109.0,1036.1,"OVEC"
"01-02-2011",22,1108.0,1033.0,"OVEC"
"01-02-2011",23,1112.0,1034.5,"OVEC"
"01-03-2011",0,1116.0,1037.0,"OVEC"
"01-03-2011",1,1118.0,1038.5,"OVEC"
"01-03-2011",2,1116.0,1040.1000000000001,"OVEC"
"01-03-2011",3,1114.0,1040.9,"OVEC"
"01-03-2011",4,1114.0,1049.2,"OVEC"
"01-03-2011",5,1116.0,1041.8990000000001,"OVEC"
"01-03-2011",6,1114.0,1050.801,"OVEC"
"01-03-2011",7,1114.0,1052.501,"OVEC"
"01-03-2011",8,1114.0,1044.7,"OVEC"
"01-03-2011",9,1097.0,1032.8999999999999,"OVEC"
"01-03-2011",10,1110.0,1039.699,"OVEC"
"01-03-2011",11,1108.0,1036.5,"OVEC"
"01-03-2011",12,1115.0,1045.899,"OVEC"
"01-03-2011",13,1120.0,1039.9,"OVEC"
"01-03-2011",14,1119.0,1044.8999999999999,"OVEC"
"01-03-2011",15,1119.0,1046.799,"OVEC"
"01-03-2011",16,1120.0,1040.799,"OVEC"
"01-03-2011",17,1120.0,1041.199,"OVEC"
"01-03-2011",18,1122.0,1015.9,"OVEC"
"01-03-2011",19,1124.0,1032.599,"OVEC"
"01-03-2011",20,1120.0,1034.2,"OVEC"
"01-03-2011",21,1112.0,1030.3000000000002,"OVEC"
"01-03-2011",22,1110.0,1023.8990000000001,"OVEC"
"01-03-2011",23,1103.0,1019.4990000000001,"OVEC"
"01-04-2011",0,1098.0,1025.9,"OVEC"
"01-04-2011",1,1101.0,1027.6,"OVEC"
"01-04-2011",2,1100.0,1017.4989999999999,"OVEC"
"01-04-2011",3,1101.0,1015.699,"OVEC"
"01-04-2011",4,1105.0,1015.2,"OVEC"
"01-04-2011",5,1103.0,1011.9989999999999,"OVEC"
"01-04-2011",6,1106.0,1004.299,"OVEC"
"01-04-2011",7,1107.0,1006.5000000000001,"OVEC"
"01-04-2011",8,1103.0,1009.799,"OVEC"
"01-04-2011",9,1094.0,1001.5,"OVEC"
"01-04-2011",10,1094.0,1001.7,"OVEC"
"01-04-2011",11,1098.0,998.499,"OVEC"
"01-04-2011",12,1100.0,993.2,"OVEC"
"01-04-2011",13,1086.0,987.9010000000001,"OVEC"
"01-04-2011",14,1079.0,977.199,"OVEC"
"01-04-2011",15,1078.0,979.4,"OVEC"
"01-04-2011",16,1087.0,985.201,"OVEC"
"01-04-2011",17,1107.0,1002.3999999999999,"OVEC"
"01-04-2011",18,1111.0,1009.101,"OVEC"
"01-04-2011",19,1112.0,1020.8,"OVEC"
"01-04-2011",20,1111.0,1028.799,"OVEC"
"01-04-2011",21,1109.0,1025.7,"OVEC"
"01-04-2011",22,1107.0,1030.1,"OVEC"
"01-04-2011",23,1106.0,1038.5,"OVEC"
"01-05-2011",0,1113.0,1038.4,"OVEC"
"01-05-2011",1,1117.0,1043.1,"OVEC"
"01-05-2011",2,1115.0,1045.0990000000002,"OVEC"
"01-05-2011",3,1114.0,1043.001,"OVEC"
"01-05-2011",4,1110.0,1039.899,"OVEC"
"01-05-2011",5,1117.0,1043.3,"OVEC"
"01-05-2011",6,1121.0,1044.3010000000002,"OVEC"
"01-05-2011",7,1120.0,1046.0,"OVEC"
"01-05-2011",8,1113.0,1039.3999999999999,"OVEC"
"01-05-2011",9,1103.0,1037.4,"OVEC"
"01-05-2011",10,1096.0,1027.6,"OVEC"
"01-05-2011",11,1094.0,1020.1000000000001,"OVEC"
"01-05-2011",12,1097.0,1021.3,"OVEC"
"01-05-2011",13,1103.0,1025.299,"OVEC"
"01-05-2011",14,1114.0,1030.601,"OVEC"
"01-05-2011",15,1117.0,1028.6000000000001,"OVEC"
"01-05-2011",16,1117.0,1029.1000000000001,"OVEC"
"01-05-2011",17,1115.0,1025.9,"OVEC"
