"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,1750.0,1116.9,"PACW"
"01-01-2011",1,1863.0,1162.9,"PACW"
"01-01-2011",2,1885.0,1169.4,"PACW"
"01-01-2011",3,1846.0,1154.5,"PACW"
"01-01-2011",4,1846.0,1154.4,"PACW"
"01-01-2011",5,1842.0,1154.0000000000002,"PACW"
"01-01-2011",6,1947.0,1201.4,"PACW"
"01-01-2011",7,1912.0,1182.6000000000001,"PACW"
"01-01-2011",8,1899.0,1173.4,"PACW"
"01-01-2011",9,1908.0,1176.8000000000002,"PACW"
"01-01-2011",10,1948.0,1192.3999999999999,"PACW"
"01-01-2011",11,1938.0,1189.3,"PACW"
"01-01-2011",12,1903.0,1170.8,"PACW"
"01-01-2011",13,1899.0,1171.1,"PACW"
"01-01-2011",14,1904.0,1172.5,"PACW"
"01-01-2011",15,1916.0,1176.8,"PACW"
"01-01-2011",16,1943.0,1189.7,"PACW"
"01-01-2011",17,1922.0,1188.9,"PACW"
"01-01-2011",18,1910.0,1184.8,"PACW"
"01-01-2011",19,1911.0,1183.2,"PACW"
"01-01-2011",20,1911.0,1188.6999999999998,"PACW"
"01-01-2011",21,1908.0,1185.0,"PACW"
"01-01-2011",22,1913.0,1184.0,"PACW"
"01-01-2011",23,1908.0,1179.0,"PACW"
"01-02-2011",0,1908.0,1179.1000000000001,"PACW"
"01-02-2011",1,1888.0,1166.2,"PACW"
"01-02-2011",2,1923.0,1179.4,"PACW"
"01-02-2011",3,1975.0,1203.8000000000002,"PACW"
"01-02-2011",4,1982.0,1206.5,"PACW"
"01-02-2011",5,1926.0,1181.0,"PACW"
"01-02-2011",6,1924.0,1182.0,"PACW"
"01-02-2011",7,1912.0,1176.2,"PACW"
"01-02-2011",8,1886.0,1160.9,"PACW"
"01-02-2011",9,1895.0,1164.3999999999999,"PACW"
"01-02-2011",10,1888.0,1162.6999999999998,"PACW"
"01-02-2011",11,1901.0,1167.3000000000002,"PACW"
"01-02-2011",12,1891.0,1162.8,"PACW"
"01-02-2011",13,1859.0,1148.6999999999998,"PACW"
"01-02-2011",14,1845.0,1142.6999999999998,"PACW"
"01-02-2011",15,1835.0,1139.6,"PACW"
"01-02-2011",16,1890.0,1167.6,"PACW"
"01-02-2011",17,1920.0,1182.8999999999999,"PACW"
"01-02-2011",18,1912.0,1177.8000000000002,"PACW"
"01-02-2011",19,1914.0,1178.3999999999999,"PACW"
"01-02-2011",20,1908.0,1173.8999999999999,"PACW"
"01-02-2011",21,1919.0,1179.8999999999999,"PACW"
"01-02-2011",22,1925.0,1184.8000000000002,"PACW"
"01-02-2011",23,1929.0,1186.2,"PACW"
"01-03-2011",0,1921.0,1181.3,"PACW"
"01-03-2011",1,1869.0,1156.0,"PACW"
