"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,39448.0,37744.538,"PJM"
"01-01-2011",1,37358.0,36373.163,"PJM"
"01-01-2011",2,36265.0,35584.111,"PJM"
"01-01-2011",3,36111.0,35548.901000000005,"PJM"
"01-01-2011",4,36335.0,35602.699,"PJM"
"01-01-2011",5,36562.0,35791.78599999999,"PJM"
"01-01-2011",6,35780.0,34950.19899999999,"PJM"
"01-01-2011",7,36261.0,35399.27,"PJM"
"01-01-2011",8,36232.0,35541.614,"PJM"
"01-01-2011",9,37463.0,36573.4,"PJM"
"01-01-2011",10,39116.0,38025.2,"PJM"
"01-01-2011",11,39848.0,38565.398,"PJM"
"01-01-2011",12,40392.0,39171.802,"PJM"
"01-01-2011",13,39965.0,38840.600000000006,"PJM"
"01-01-2011",14,39676.0,38555.700000000004,"PJM"
"01-01-2011",15,39326.0,38250.338,"PJM"
"01-01-2011",16,40279.0,39134.8,"PJM"
"01-01-2011",17,43581.0,42274.098999999995,"PJM"
"01-01-2011",18,45171.0,43566.598,"PJM"
"01-01-2011",19,44809.0,43126.0,"PJM"
"01-01-2011",20,44104.0,42431.100999999995,"PJM"
"01-01-2011",21,43380.0,41758.600000000006,"PJM"
"01-01-2011",22,41603.0,40108.97,"PJM"
"01-01-2011",23,38723.0,37508.801,"PJM"
"01-02-2011",0,36459.0,35575.80099999999,"PJM"
"01-02-2011",1,34540.0,33895.591,"PJM"
"01-02-2011",2,33894.0,33400.998999999996,"PJM"
"01-02-2011",3,33437.0,32913.543,"PJM"
"01-02-2011",4,33519.0,32954.062999999995,"PJM"
"01-02-2011",5,34237.0,33552.90400000001,"PJM"
"01-02-2011",6,36024.0,35090.831,"PJM"
"01-02-2011",7,37654.0,36452.433000000005,"PJM"
"01-02-2011",8,38923.0,37626.75000000001,"PJM"
"01-02-2011",9,41965.0,40349.8,"PJM"
"01-02-2011",10,43168.0,41310.183000000005,"PJM"
"01-02-2011",11,43282.0,41575.7,"PJM"
"01-02-2011",12,43599.0,41813.95700000001,"PJM"
"01-02-2011",13,43539.0,41720.554,"PJM"
"01-02-2011",14,43115.0,41242.21,"PJM"
"01-02-2011",15,43468.0,41475.420999999995,"PJM"
"01-02-2011",16,47291.0,44455.824,"PJM"
"01-02-2011",17,50967.0,47181.113,"PJM"
"01-02-2011",18,53125.0,49315.008000000016,"PJM"
"01-02-2011",19,52925.0,49036.490999999995,"PJM"
"01-02-2011",20,53243.0,49591.736,"PJM"
"01-02-2011",21,52149.0,48507.772000000004,"PJM"
"01-02-2011",22,49889.0,46448.655000000006,"PJM"
"01-02-2011",23,47429.0,44663.67,"PJM"
"01-03-2011",0,45830.0,43592.179,"PJM"
"01-03-2011",1,46987.0,44725.100999999995,"PJM"
"01-03-2011",2,48012.0,45913.80499999999,"PJM"
"01-03-2011",3,48622.0,46449.784999999996,"PJM"
"01-03-2011",4,49858.0,47142.104999999996,"PJM"
"01-03-2011",5,52944.0,49282.418,"PJM"
"01-03-2011",6,58553.0,53093.293999999994,"PJM"
"01-03-2011",7,62046.0,55994.77100000001,"PJM"
"01-03-2011",8,61831.0,56180.357,"PJM"
"01-03-2011",9,60904.0,55407.45700000001,"PJM"
"01-03-2011",10,60645.0,54968.04399999999,"PJM"
"01-03-2011",11,59594.0,53885.44399999999,"PJM"
"01-03-2011",12,58168.0,52625.815999999984,"PJM"
"01-03-2011",13,57517.0,52016.4,"PJM"
"01-03-2011",14,56977.0,51975.528,"PJM"
"01-03-2011",15,56833.0,51405.816,"PJM"
"01-03-2011",16,58231.0,52625.75,"PJM"
"01-03-2011",17,61439.0,55263.725999999995,"PJM"
"01-03-2011",18,63500.0,56893.18200000001,"PJM"
"01-03-2011",19,63694.0,57022.899000000005,"PJM"
"01-03-2011",20,63745.0,57343.80099999999,"PJM"
"01-03-2011",21,61671.0,55913.209,"PJM"
"01-03-2011",22,59323.0,53936.762,"PJM"
"01-03-2011",23,56468.0,51544.68800000001,"PJM"
"01-04-2011",0,54520.0,50431.346,"PJM"
"01-04-2011",1,53051.0,49179.7,"PJM"
"01-04-2011",2,52553.0,48634.32000000001,"PJM"
