"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,394.0,397.90000000000003,"SECI"
"01-01-2011",1,391.0,398.7,"SECI"
"01-01-2011",2,390.0,396.6,"SECI"
"01-01-2011",3,382.0,390.3,"SECI"
"01-01-2011",4,385.0,394.2,"SECI"
"01-01-2011",5,389.0,394.5,"SECI"
"01-01-2011",6,385.0,389.70000000000005,"SECI"
"01-01-2011",7,390.0,398.70000000000005,"SECI"
"01-01-2011",8,418.0,421.7,"SECI"
"01-01-2011",9,423.0,425.59999999999997,"SECI"
"01-01-2011",10,418.0,422.0,"SECI"
"01-01-2011",11,414.0,418.70000000000005,"SECI"
"01-01-2011",12,399.0,405.20000000000005,"SECI"
"01-01-2011",13,392.0,398.40000000000003,"SECI"
"01-01-2011",14,390.0,395.40000000000003,"SECI"
"01-01-2011",15,385.0,391.2,"SECI"
"01-01-2011",16,388.0,393.4,"SECI"
"01-01-2011",17,413.0,416.3,"SECI"
"01-01-2011",18,438.0,428.9,"SECI"
"01-01-2011",19,427.0,422.5,"SECI"
"01-01-2011",20,416.0,415.59999999999997,"SECI"
"01-01-2011",21,416.0,417.8,"SECI"
"01-01-2011",22,393.0,397.59999999999997,"SECI"
"01-01-2011",23,382.0,389.6,"SECI"
"01-02-2011",0,387.0,394.90000000000003,"SECI"
"01-02-2011",1,382.0,388.7,"SECI"
"01-02-2011",2,389.0,396.7,"SECI"
"01-02-2011",3,391.0,398.9,"SECI"
"01-02-2011",4,386.0,393.8,"SECI"
"01-02-2011",5,389.0,394.4,"SECI"
"01-02-2011",6,393.0,402.0,"SECI"
"01-02-2011",7,392.0,400.20000000000005,"SECI"
"01-02-2011",8,414.0,416.20000000000005,"SECI"
"01-02-2011",9,419.0,419.7,"SECI"
"01-02-2011",10,417.0,419.0,"SECI"
"01-02-2011",11,418.0,418.20000000000005,"SECI"
"01-02-2011",12,399.0,404.2,"SECI"
"01-02-2011",13,381.0,384.6,"SECI"
"01-02-2011",14,351.0,354.70000000000005,"SECI"
"01-02-2011",15,366.0,377.4,"SECI"
"01-02-2011",16,398.0,401.0,"SECI"
"01-02-2011",17,412.0,410.70000000000005,"SECI"
"01-02-2011",18,417.0,411.3,"SECI"
"01-02-2011",19,410.0,409.59999999999997,"SECI"
"01-02-2011",20,415.0,414.7,"SECI"
"01-02-2011",21,410.0,408.2,"SECI"
"01-02-2011",22,371.0,374.90000000000003,"SECI"
"01-02-2011",23,331.0,340.59999999999997,"SECI"
"01-03-2011",0,313.0,327.0,"SECI"
"01-03-2011",1,292.0,307.1,"SECI"
"01-03-2011",2,282.0,295.7,"SECI"
"01-03-2011",3,273.0,286.9,"SECI"
"01-03-2011",4,291.0,220.64,"SECI"
"01-03-2011",5,33.0,32.09,"SECI"
"01-03-2011",6,55.0,75.0,"SECI"
"01-03-2011",7,141.0,144.4,"SECI"
"01-03-2011",8,175.0,181.9,"SECI"
"01-03-2011",9,206.0,207.5,"SECI"
"01-03-2011",10,207.0,217.5,"SECI"
"01-03-2011",11,203.0,211.5,"SECI"
"01-03-2011",12,199.0,203.0,"SECI"
"01-03-2011",13,221.0,225.5,"SECI"
"01-03-2011",14,248.0,262.1,"SECI"
"01-03-2011",15,270.0,279.3,"SECI"
"01-03-2011",16,302.0,310.7,"SECI"
"01-03-2011",17,357.0,361.1,"SECI"
"01-03-2011",18,405.0,404.1,"SECI"
"01-03-2011",19,413.0,409.59999999999997,"SECI"
"01-03-2011",20,416.0,415.5,"SECI"
"01-03-2011",21,411.0,413.8,"SECI"
"01-03-2011",22,395.0,393.8,"SECI"
"01-03-2011",23,345.0,347.5,"SECI"
"01-04-2011",0,309.0,320.6,"SECI"
"01-04-2011",1,283.0,298.2,"SECI"
"01-04-2011",2,269.0,284.5,"SECI"
"01-04-2011",3,289.0,308.59999999999997,"SECI"
"01-04-2011",4,320.0,334.29999999999995,"SECI"
"01-04-2011",5,368.0,378.1,"SECI"
"01-04-2011",6,397.0,402.79999999999995,"SECI"
"01-04-2011",7,419.0,421.7,"SECI"
"01-04-2011",8,420.0,421.0,"SECI"
"01-04-2011",9,416.0,413.3,"SECI"
"01-04-2011",10,420.0,418.2,"SECI"
"01-04-2011",11,417.0,416.70000000000005,"SECI"
"01-04-2011",12,413.0,412.2,"SECI"
"01-04-2011",13,415.0,409.2,"SECI"
"01-04-2011",14,414.0,412.0,"SECI"
"01-04-2011",15,414.0,413.2,"SECI"
"01-04-2011",16,420.0,415.09999999999997,"SECI"
"01-04-2011",17,416.0,411.5,"SECI"
"01-04-2011",18,416.0,412.8,"SECI"
"01-04-2011",19,415.0,412.6,"SECI"
"01-04-2011",20,413.0,410.5,"SECI"
"01-04-2011",21,416.0,410.9,"SECI"
"01-04-2011",22,415.0,411.0,"SECI"
"01-04-2011",23,417.0,412.90000000000003,"SECI"
"01-05-2011",0,395.0,397.40000000000003,"SECI"
"01-05-2011",1,383.0,383.7,"SECI"
"01-05-2011",2,389.0,392.79999999999995,"SECI"
"01-05-2011",3,388.0,390.5,"SECI"
"01-05-2011",4,393.0,395.09999999999997,"SECI"
"01-05-2011",5,391.0,392.2,"SECI"
"01-05-2011",6,400.0,401.0,"SECI"
"01-05-2011",7,416.0,414.4,"SECI"
"01-05-2011",8,423.0,419.0,"SECI"
"01-05-2011",9,418.0,415.4,"SECI"
"01-05-2011",10,416.0,416.0,"SECI"
"01-05-2011",11,415.0,412.5,"SECI"
"01-05-2011",12,410.0,407.0,"SECI"
"01-05-2011",13,412.0,407.5,"SECI"
"01-05-2011",14,408.0,405.09999999999997,"SECI"
"01-05-2011",15,428.0,414.90000000000003,"SECI"
"01-05-2011",16,425.0,415.90000000000003,"SECI"
"01-05-2011",17,424.0,416.2,"SECI"
"01-05-2011",18,417.0,413.0,"SECI"
"01-05-2011",19,417.0,415.9,"SECI"
"01-05-2011",20,408.0,410.2,"SECI"
"01-05-2011",21,416.0,413.6,"SECI"
"01-05-2011",22,416.0,414.20000000000005,"SECI"
"01-05-2011",23,416.0,416.70000000000005,"SECI"
"01-06-2011",0,393.0,395.4,"SECI"
"01-06-2011",1,389.0,390.8,"SECI"
"01-06-2011",2,390.0,394.3,"SECI"
"01-06-2011",3,388.0,390.8,"SECI"
"01-06-2011",4,388.0,391.2,"SECI"
"01-06-2011",5,393.0,394.6,"SECI"
"01-06-2011",6,417.0,412.0,"SECI"
"01-06-2011",7,421.0,419.4,"SECI"
"01-06-2011",8,419.0,416.6,"SECI"
"01-06-2011",9,422.0,419.2,"SECI"
"01-06-2011",10,418.0,414.5,"SECI"
"01-06-2011",11,419.0,414.8,"SECI"
"01-06-2011",12,415.0,412.6,"SECI"
"01-06-2011",13,416.0,408.59999999999997,"SECI"
"01-06-2011",14,417.0,410.7,"SECI"
"01-06-2011",15,417.0,412.2,"SECI"
"01-06-2011",16,421.0,411.9,"SECI"
"01-06-2011",17,421.0,412.7,"SECI"
"01-06-2011",18,421.0,412.7,"SECI"
"01-06-2011",19,418.0,411.4,"SECI"
"01-06-2011",20,419.0,414.3,"SECI"
"01-06-2011",21,414.0,411.8,"SECI"
"01-06-2011",22,414.0,409.4,"SECI"
"01-06-2011",23,395.0,390.59999999999997,"SECI"
"01-07-2011",0,375.0,378.7,"SECI"
"01-07-2011",1,372.0,370.79999999999995,"SECI"
"01-07-2011",2,340.0,343.9,"SECI"
"01-07-2011",3,311.0,322.4,"SECI"
"01-07-2011",4,272.0,289.42,"SECI"
"01-07-2011",5,277.0,301.9,"SECI"
"01-07-2011",6,332.0,344.4,"SECI"
"01-07-2011",7,384.0,390.2,"SECI"
"01-07-2011",8,390.0,391.7,"SECI"
"01-07-2011",9,411.0,408.1,"SECI"
"01-07-2011",10,411.0,411.1,"SECI"
