"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,13617.0,14026.698,"SOCO"
"01-01-2011",1,13530.0,14214.499999999996,"SOCO"
"01-01-2011",2,12721.0,13669.300000000001,"SOCO"
"01-01-2011",3,12223.0,13221.199,"SOCO"
"01-01-2011",4,12125.0,13134.699,"SOCO"
"01-01-2011",5,12239.0,11930.800000000003,"SOCO"
"01-01-2011",6,12415.0,12073.399,"SOCO"
"01-01-2011",7,12496.0,12098.849999999999,"SOCO"
"01-01-2011",8,12679.0,12322.5,"SOCO"
"01-01-2011",9,13984.0,13518.9,"SOCO"
"01-01-2011",10,14406.0,13902.001,"SOCO"
"01-01-2011",11,15035.0,14498.198999999997,"SOCO"
"01-01-2011",12,15108.0,14330.5,"SOCO"
"01-01-2011",13,15055.0,14288.475999999999,"SOCO"
"01-01-2011",14,14572.0,13827.925999999998,"SOCO"
"01-01-2011",15,14573.0,13572.8,"SOCO"
"01-01-2011",16,14630.0,13567.350999999999,"SOCO"
"01-01-2011",17,15462.0,14442.799999999997,"SOCO"
"01-01-2011",18,15827.0,14684.599999999999,"SOCO"
"01-01-2011",19,15685.0,14610.798999999999,"SOCO"
"01-01-2011",20,15049.0,13980.4,"SOCO"
"01-01-2011",21,14672.0,13632.7,"SOCO"
"01-01-2011",22,14030.0,13144.724999999999,"SOCO"
"01-01-2011",23,13689.0,12982.099999999999,"SOCO"
"01-02-2011",0,13376.0,12853.098999999998,"SOCO"
"01-02-2011",1,12454.0,12145.099999999999,"SOCO"
"01-02-2011",2,12355.0,12049.8,"SOCO"
"01-02-2011",3,12475.0,12199.699999999999,"SOCO"
"01-02-2011",4,12644.0,12492.400000000001,"SOCO"
"01-02-2011",5,13025.0,12892.2,"SOCO"
"01-02-2011",6,13331.0,13216.900000000001,"SOCO"
"01-02-2011",7,14269.0,14096.573999999999,"SOCO"
"01-02-2011",8,15217.0,15121.075,"SOCO"
"01-02-2011",9,15986.0,15738.599000000002,"SOCO"
"01-02-2011",10,15920.0,15307.900000000001,"SOCO"
"01-02-2011",11,16113.0,15168.401000000002,"SOCO"
"01-02-2011",12,16042.0,15033.5,"SOCO"
"01-02-2011",13,15918.0,14825.201,"SOCO"
"01-02-2011",14,15669.0,14509.099999999999,"SOCO"
"01-02-2011",15,15727.0,14590.0,"SOCO"
"01-02-2011",16,16411.0,15135.500000000002,"SOCO"
"01-02-2011",17,18012.0,16575.4,"SOCO"
"01-02-2011",18,18960.0,17486.701,"SOCO"
"01-02-2011",19,19268.0,17741.499,"SOCO"
"01-02-2011",20,19515.0,18023.299,"SOCO"
"01-02-2011",21,19315.0,17682.7,"SOCO"
"01-02-2011",22,19434.0,17826.375,"SOCO"
"01-02-2011",23,18826.0,17339.775999999998,"SOCO"
"01-03-2011",0,18831.0,17128.55,"SOCO"
"01-03-2011",1,18851.0,17046.799,"SOCO"
"01-03-2011",2,18536.0,16499.3,"SOCO"
"01-03-2011",3,19163.0,16637.599000000002,"SOCO"
"01-03-2011",4,20175.0,17255.998999999996,"SOCO"
"01-03-2011",5,21835.0,18488.9,"SOCO"
"01-03-2011",6,23049.0,19534.899999999998,"SOCO"
"01-03-2011",7,23821.0,20193.198,"SOCO"
"01-03-2011",8,23872.0,20237.499000000003,"SOCO"
"01-03-2011",9,23152.0,19676.0,"SOCO"
"01-03-2011",10,22124.0,18850.1,"SOCO"
"01-03-2011",11,20831.0,17911.601000000002,"SOCO"
"01-03-2011",12,20127.0,17467.599000000002,"SOCO"
"01-03-2011",13,19701.0,17174.498999999996,"SOCO"
"01-03-2011",14,19244.0,16571.998999999996,"SOCO"
"01-03-2011",15,18851.0,16308.901,"SOCO"
"01-03-2011",16,19163.0,16577.299,"SOCO"
"01-03-2011",17,20688.0,17566.700000000004,"SOCO"
"01-03-2011",18,22057.0,18631.701000000005,"SOCO"
"01-03-2011",19,22316.0,18793.8,"SOCO"
"01-03-2011",20,22429.0,18961.300000000003,"SOCO"
"01-03-2011",21,21985.0,18620.3,"SOCO"
