"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,1773.0,1878.7,"TEC"
"01-01-2011",1,1738.0,1866.8,"TEC"
"01-01-2011",2,1665.0,1838.4,"TEC"
"01-01-2011",3,1654.0,1829.6,"TEC"
"01-01-2011",4,1633.0,1782.196,"TEC"
"01-01-2011",5,1689.0,1811.6999999999998,"TEC"
"01-01-2011",6,1834.0,1869.7000000000003,"TEC"
"01-01-2011",7,1824.0,1895.4,"TEC"
"01-01-2011",8,1869.0,1899.7999999999997,"TEC"
"01-01-2011",9,1976.0,1957.7,"TEC"
"01-01-2011",10,2152.0,2133.7999999999997,"TEC"
"01-01-2011",11,2215.0,2215.2,"TEC"
"01-01-2011",12,2249.0,2232.7,"TEC"
"01-01-2011",13,2241.0,2236.6,"TEC"
"01-01-2011",14,2227.0,2235.5,"TEC"
"01-01-2011",15,2205.0,2226.6000000000004,"TEC"
"01-01-2011",16,2186.0,2217.7999999999997,"TEC"
"01-01-2011",17,2255.0,2250.2999999999997,"TEC"
"01-01-2011",18,2315.0,2314.8999999999996,"TEC"
"01-01-2011",19,2213.0,2242.1000000000004,"TEC"
"01-01-2011",20,2188.0,2221.6000000000004,"TEC"
"01-01-2011",21,2060.0,2139.214,"TEC"
"01-01-2011",22,1934.0,2085.8999999999996,"TEC"
"01-01-2011",23,1819.0,1985.6,"TEC"
"01-02-2011",0,1702.0,1864.9999999999998,"TEC"
"01-02-2011",1,1594.0,1762.8999999999999,"TEC"
"01-02-2011",2,1541.0,1707.7,"TEC"
"01-02-2011",3,1520.0,1696.692,"TEC"
"01-02-2011",4,1557.0,1732.6200000000001,"TEC"
"01-02-2011",5,1669.0,1785.1,"TEC"
"01-02-2011",6,2029.0,1947.5,"TEC"
"01-02-2011",7,2060.0,1972.4999999999995,"TEC"
"01-02-2011",8,2186.0,2078.8,"TEC"
"01-02-2011",9,2334.0,2237.0999999999995,"TEC"
"01-02-2011",10,2385.0,2280.1000000000004,"TEC"
"01-02-2011",11,2402.0,2277.5999999999995,"TEC"
"01-02-2011",12,2428.0,2303.15,"TEC"
"01-02-2011",13,2485.0,2346.9,"TEC"
"01-02-2011",14,2386.0,2315.7,"TEC"
"01-02-2011",15,2445.0,2329.7,"TEC"
"01-02-2011",16,2443.0,2323.1,"TEC"
"01-02-2011",17,2544.0,2397.4000000000005,"TEC"
"01-02-2011",18,2705.0,2547.4999999999995,"TEC"
"01-02-2011",19,2703.0,2528.1,"TEC"
"01-02-2011",20,2649.0,2504.2000000000003,"TEC"
"01-02-2011",21,2401.0,2302.286,"TEC"
"01-02-2011",22,2155.0,2097.7,"TEC"
"01-02-2011",23,2001.0,1985.7,"TEC"
"01-03-2011",0,1767.0,1799.004,"TEC"
"01-03-2011",1,1607.0,1757.5999999999997,"TEC"
"01-03-2011",2,1533.0,1709.6000000000001,"TEC"
"01-03-2011",3,1519.0,1696.1,"TEC"
"01-03-2011",4,1574.0,1720.6200000000001,"TEC"
"01-03-2011",5,1751.0,1876.9999999999998,"TEC"
"01-03-2011",6,2069.0,2090.0,"TEC"
"01-03-2011",7,2155.0,2145.4000000000005,"TEC"
"01-03-2011",8,2160.0,2151.9,"TEC"
"01-03-2011",9,2172.0,2155.9999999999995,"TEC"
"01-03-2011",10,2282.0,2222.5,"TEC"
"01-03-2011",11,2328.0,2286.9999999999995,"TEC"
"01-03-2011",12,2329.0,2296.2000000000003,"TEC"
"01-03-2011",13,2356.0,2350.8,"TEC"
"01-03-2011",14,2368.0,2360.4,"TEC"
"01-03-2011",15,2363.0,2348.2999999999997,"TEC"
"01-03-2011",16,2383.0,2363.149999999999,"TEC"
"01-03-2011",17,2536.0,2496.7999999999997,"TEC"
"01-03-2011",18,2679.0,2603.3,"TEC"
"01-03-2011",19,2667.0,2595.5000000000005,"TEC"
"01-03-2011",20,2547.0,2503.4749999999995,"TEC"
"01-03-2011",21,2256.0,2315.586,"TEC"
"01-03-2011",22,2102.0,2224.5750000000003,"TEC"
"01-03-2011",23,1963.0,2146.9,"TEC"
"01-04-2011",0,1807.0,2002.3999999999999,"TEC"
"01-04-2011",1,1796.0,1986.8999999999999,"TEC"
"01-04-2011",2,1769.0,1975.1000000000001,"TEC"
"01-04-2011",3,1768.0,1960.2,"TEC"
"01-04-2011",4,1822.0,1989.5079999999998,"TEC"
"01-04-2011",5,2015.0,2136.7,"TEC"
"01-04-2011",6,2368.0,2379.55,"TEC"
"01-04-2011",7,2544.0,2530.7000000000003,"TEC"
"01-04-2011",8,2508.0,2506.95,"TEC"
"01-04-2011",9,2494.0,2508.8,"TEC"
"01-04-2011",10,2492.0,2491.0,"TEC"
"01-04-2011",11,2406.0,2455.8999999999996,"TEC"
"01-04-2011",12,2392.0,2488.6999999999994,"TEC"
"01-04-2011",13,2406.0,2546.9,"TEC"
"01-04-2011",14,2466.0,2577.1,"TEC"
"01-04-2011",15,2467.0,2586.1,"TEC"
"01-04-2011",16,2456.0,2581.7000000000003,"TEC"
"01-04-2011",17,2555.0,2663.2000000000003,"TEC"
"01-04-2011",18,2713.0,2763.4750000000004,"TEC"
"01-04-2011",19,2692.0,2745.7999999999997,"TEC"
"01-04-2011",20,2594.0,2694.6000000000004,"TEC"
"01-04-2011",21,2346.0,2510.0989999999997,"TEC"
"01-04-2011",22,2119.0,2336.4,"TEC"
"01-04-2011",23,1937.0,2154.8999999999996,"TEC"
"01-05-2011",0,1825.0,2033.0000000000002,"TEC"
"01-05-2011",1,1672.0,1876.8,"TEC"
"01-05-2011",2,1614.0,1811.0,"TEC"
"01-05-2011",3,1638.0,1827.9999999999998,"TEC"
"01-05-2011",4,1677.0,1845.42,"TEC"
"01-05-2011",5,1928.0,2130.6,"TEC"
"01-05-2011",6,2272.0,2371.025,"TEC"
"01-05-2011",7,2448.0,2553.4,"TEC"
"01-05-2011",8,2470.0,2591.2749999999996,"TEC"
"01-05-2011",9,2447.0,2663.3000000000006,"TEC"
"01-05-2011",10,2440.0,2657.1,"TEC"
"01-05-2011",11,2470.0,2740.4,"TEC"
"01-05-2011",12,2481.0,2795.3000000000006,"TEC"
"01-05-2011",13,2474.0,2801.8999999999996,"TEC"
"01-05-2011",14,2501.0,2813.1,"TEC"
"01-05-2011",15,2522.0,2734.2999999999997,"TEC"
"01-05-2011",16,2579.0,2746.3,"TEC"
"01-05-2011",17,2638.0,2756.2000000000003,"TEC"
"01-05-2011",18,2759.0,2828.9999999999995,"TEC"
"01-05-2011",19,2734.0,2850.1,"TEC"
"01-05-2011",20,2662.0,2766.6,"TEC"
"01-05-2011",21,2246.0,2499.83,"TEC"
"01-05-2011",22,1955.0,2232.5000000000005,"TEC"
"01-05-2011",23,1667.0,2005.1749999999997,"TEC"
"01-06-2011",0,1582.0,1911.3,"TEC"
"01-06-2011",1,1529.0,1840.6999999999998,"TEC"
"01-06-2011",2,1506.0,1853.6,"TEC"
"01-06-2011",3,1472.0,1827.2,"TEC"
"01-06-2011",4,1468.0,1806.008,"TEC"
"01-06-2011",5,1591.0,1901.7250000000001,"TEC"
