"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,432.0,417.6,"TEPC"
"01-01-2011",1,459.0,452.1,"TEPC"
"01-01-2011",2,457.0,447.90000000000003,"TEPC"
"01-01-2011",3,457.0,444.8,"TEPC"
"01-01-2011",4,462.0,449.0,"TEPC"
"01-01-2011",5,474.0,449.729,"TEPC"
"01-01-2011",6,473.0,446.4,"TEPC"
"01-01-2011",7,448.0,432.29999999999995,"TEPC"
"01-01-2011",8,416.0,412.72,"TEPC"
"01-01-2011",9,431.0,431.9,"TEPC"
"01-01-2011",10,440.0,440.4,"TEPC"
"01-01-2011",11,460.0,466.3,"TEPC"
"01-01-2011",12,418.0,426.4,"TEPC"
"01-01-2011",13,373.0,385.3,"TEPC"
"01-01-2011",14,382.0,393.20000000000005,"TEPC"
"01-01-2011",15,345.0,353.9,"TEPC"
"01-01-2011",16,341.0,349.79999999999995,"TEPC"
"01-01-2011",17,383.0,397.9,"TEPC"
"01-01-2011",18,405.0,423.596,"TEPC"
"01-01-2011",19,419.0,436.5,"TEPC"
"01-01-2011",20,425.0,444.20000000000005,"TEPC"
"01-01-2011",21,432.0,453.70000000000005,"TEPC"
"01-01-2011",22,431.0,458.7,"TEPC"
"01-01-2011",23,438.0,459.4,"TEPC"
"01-02-2011",0,452.0,465.40000000000003,"TEPC"
"01-02-2011",1,482.0,461.90000000000003,"TEPC"
"01-02-2011",2,458.0,459.29999999999995,"TEPC"
"01-02-2011",3,461.0,460.3,"TEPC"
"01-02-2011",4,465.0,462.8,"TEPC"
"01-02-2011",5,444.0,452.1,"TEPC"
"01-02-2011",6,416.0,425.6,"TEPC"
"01-02-2011",7,419.0,435.59999999999997,"TEPC"
"01-02-2011",8,429.0,448.4,"TEPC"
"01-02-2011",9,425.0,443.20000000000005,"TEPC"
"01-02-2011",10,407.0,420.2,"TEPC"
"01-02-2011",11,393.0,406.9,"TEPC"
"01-02-2011",12,378.0,389.0,"TEPC"
"01-02-2011",13,382.0,393.70000000000005,"TEPC"
"01-02-2011",14,370.0,381.9,"TEPC"
"01-02-2011",15,356.0,366.79999999999995,"TEPC"
"01-02-2011",16,389.0,401.70000000000005,"TEPC"
"01-02-2011",17,415.0,430.70000000000005,"TEPC"
"01-02-2011",18,409.0,422.4,"TEPC"
"01-02-2011",19,429.0,450.59999999999997,"TEPC"
"01-02-2011",20,429.0,446.6,"TEPC"
"01-02-2011",21,430.0,448.2,"TEPC"
"01-02-2011",22,428.0,444.9,"TEPC"
"01-02-2011",23,413.0,426.0,"TEPC"
"01-03-2011",0,414.0,426.5,"TEPC"
"01-03-2011",1,412.0,424.0,"TEPC"
"01-03-2011",2,407.0,415.6,"TEPC"
"01-03-2011",3,410.0,419.5,"TEPC"
"01-03-2011",4,440.0,444.9,"TEPC"
"01-03-2011",5,470.0,461.5,"TEPC"
"01-03-2011",6,480.0,466.3,"TEPC"
"01-03-2011",7,494.0,482.68899999999996,"TEPC"
"01-03-2011",8,519.0,501.25800000000004,"TEPC"
"01-03-2011",9,501.0,487.74,"TEPC"
"01-03-2011",10,491.0,477.18399999999997,"TEPC"
"01-03-2011",11,490.0,481.57099999999997,"TEPC"
"01-03-2011",12,459.0,457.45000000000005,"TEPC"
"01-03-2011",13,453.0,449.8,"TEPC"
"01-03-2011",14,411.0,402.55000000000007,"TEPC"
"01-03-2011",15,391.0,383.4,"TEPC"
"01-03-2011",16,402.0,396.4,"TEPC"
"01-03-2011",17,467.0,474.09999999999997,"TEPC"
"01-03-2011",18,472.0,475.1,"TEPC"
"01-03-2011",19,464.0,467.2,"TEPC"
"01-03-2011",20,468.0,468.5,"TEPC"
"01-03-2011",21,481.0,480.544,"TEPC"
"01-03-2011",22,435.0,439.408,"TEPC"
"01-03-2011",23,408.0,418.0,"TEPC"
"01-04-2011",0,414.0,425.2,"TEPC"
"01-04-2011",1,393.0,399.6,"TEPC"
"01-04-2011",2,392.0,398.452,"TEPC"
"01-04-2011",3,400.0,410.028,"TEPC"
"01-04-2011",4,429.0,437.896,"TEPC"
"01-04-2011",5,472.0,463.823,"TEPC"
"01-04-2011",6,523.0,507.80000000000007,"TEPC"
"01-04-2011",7,531.0,513.5,"TEPC"
"01-04-2011",8,505.0,501.20000000000005,"TEPC"
"01-04-2011",9,449.0,442.381,"TEPC"
"01-04-2011",10,378.0,416.49399999999997,"TEPC"
"01-04-2011",11,363.0,402.946,"TEPC"
"01-04-2011",12,356.0,395.9,"TEPC"
"01-04-2011",13,363.0,386.5,"TEPC"
"01-04-2011",14,349.0,358.59999999999997,"TEPC"
"01-04-2011",15,345.0,352.70000000000005,"TEPC"
"01-04-2011",16,341.0,352.4,"TEPC"
"01-04-2011",17,367.0,383.7,"TEPC"
"01-04-2011",18,408.0,430.70000000000005,"TEPC"
"01-04-2011",19,409.0,432.5,"TEPC"
"01-04-2011",20,406.0,426.3,"TEPC"
"01-04-2011",21,412.0,434.5,"TEPC"
"01-04-2011",22,398.0,417.4,"TEPC"
"01-04-2011",23,365.0,380.1,"TEPC"
"01-05-2011",0,363.0,378.4,"TEPC"
"01-05-2011",1,369.0,385.1,"TEPC"
"01-05-2011",2,375.0,390.9,"TEPC"
"01-05-2011",3,383.0,399.5,"TEPC"
"01-05-2011",4,408.0,431.2,"TEPC"
"01-05-2011",5,393.0,412.9,"TEPC"
