"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,3942.0,4318.4,"WACM"
"01-01-2011",1,3960.0,4337.4,"WACM"
"01-01-2011",2,3970.0,4356.8,"WACM"
"01-01-2011",3,4015.0,4404.799999999999,"WACM"
"01-01-2011",4,4010.0,4403.1,"WACM"
"01-01-2011",5,4112.0,4502.7,"WACM"
"01-01-2011",6,4065.0,4433.0,"WACM"
"01-01-2011",7,4077.0,4443.0,"WACM"
"01-01-2011",8,3966.0,4353.2,"WACM"
"01-01-2011",9,3992.0,4374.0,"WACM"
"01-01-2011",10,3999.0,4389.799999999999,"WACM"
"01-01-2011",11,4000.0,4388.700000000001,"WACM"
"01-01-2011",12,4004.0,4392.200000000001,"WACM"
"01-01-2011",13,3981.0,4285.615,"WACM"
"01-01-2011",14,3924.0,4296.3,"WACM"
"01-01-2011",15,4028.0,4378.784,"WACM"
"01-01-2011",16,4136.0,4432.374999999999,"WACM"
"01-01-2011",17,4169.0,4454.500000000001,"WACM"
"01-01-2011",18,4192.0,4490.310000000001,"WACM"
"01-01-2011",19,4183.0,4478.134,"WACM"
"01-01-2011",20,4112.0,4456.299999999999,"WACM"
"01-01-2011",21,4144.0,4496.3,"WACM"
"01-01-2011",22,4162.0,4522.5,"WACM"
"01-01-2011",23,4058.0,4418.5,"WACM"
"01-02-2011",0,3974.0,4329.199999999999,"WACM"
"01-02-2011",1,3975.0,4324.1,"WACM"
"01-02-2011",2,3957.0,4281.199999999999,"WACM"
"01-02-2011",3,3984.0,4320.9,"WACM"
"01-02-2011",4,3969.0,4327.6,"WACM"
"01-02-2011",5,3891.0,4247.200000000001,"WACM"
"01-02-2011",6,4030.0,4436.3,"WACM"
"01-02-2011",7,4066.0,4459.3,"WACM"
"01-02-2011",8,4099.0,4490.8,"WACM"
"01-02-2011",9,4122.0,4515.5,"WACM"
"01-02-2011",10,4110.0,4481.099999999999,"WACM"
"01-02-2011",11,4113.0,4495.9,"WACM"
"01-02-2011",12,4103.0,4500.299999999999,"WACM"
"01-02-2011",13,4047.0,4435.3,"WACM"
"01-02-2011",14,3984.0,4368.9,"WACM"
"01-02-2011",15,3991.0,4358.299999999999,"WACM"
"01-02-2011",16,4148.0,4465.419,"WACM"
"01-02-2011",17,4340.0,4621.099999999999,"WACM"
"01-02-2011",18,4370.0,4628.4,"WACM"
"01-02-2011",19,4327.0,4597.11,"WACM"
"01-02-2011",20,4264.0,4560.099999999999,"WACM"
"01-02-2011",21,4178.0,4508.736,"WACM"
"01-02-2011",22,3954.0,4304.200000000001,"WACM"
"01-02-2011",23,3890.0,4222.1,"WACM"
"01-03-2011",0,3841.0,4179.175,"WACM"
"01-03-2011",1,3664.0,4067.901,"WACM"
"01-03-2011",2,3676.0,4088.3,"WACM"
"01-03-2011",3,3676.0,4110.92,"WACM"
"01-03-2011",4,3727.0,4134.65,"WACM"
"01-03-2011",5,3857.0,4283.3,"WACM"
"01-03-2011",6,4038.0,4430.7,"WACM"
"01-03-2011",7,4074.0,4450.099999999999,"WACM"
"01-03-2011",8,4081.0,4462.3,"WACM"
"01-03-2011",9,4089.0,4465.400000000001,"WACM"
"01-03-2011",10,4103.0,4481.9,"WACM"
"01-03-2011",11,4105.0,4469.8,"WACM"
"01-03-2011",12,4074.0,4456.799999999999,"WACM"
"01-03-2011",13,3939.0,4315.3,"WACM"
"01-03-2011",14,3953.0,4331.1,"WACM"
"01-03-2011",15,4063.0,4458.1,"WACM"
"01-03-2011",16,4115.0,4492.2,"WACM"
