"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,3530.0,4138.0,"WAUE"
"01-01-2011",1,3465.0,4042.6000000000004,"WAUE"
"01-01-2011",2,3434.0,4015.3,"WAUE"
"01-01-2011",3,3452.0,4059.8,"WAUE"
"01-01-2011",4,3469.0,4024.4,"WAUE"
"01-01-2011",5,3478.0,4107.3,"WAUE"
"01-01-2011",6,3543.0,4150.400000000001,"WAUE"
"01-01-2011",7,3546.0,4138.9,"WAUE"
"01-01-2011",8,3542.0,4131.400000000001,"WAUE"
"01-01-2011",9,3555.0,4180.0,"WAUE"
"01-01-2011",10,3554.0,4155.1,"WAUE"
"01-01-2011",11,3554.0,4133.2,"WAUE"
"01-01-2011",12,3550.0,4138.1,"WAUE"
"01-01-2011",13,3536.0,4109.6,"WAUE"
"01-01-2011",14,3447.0,4032.2,"WAUE"
"01-01-2011",15,3447.0,4030.6,"WAUE"
"01-01-2011",16,3451.0,4096.7,"WAUE"
"01-01-2011",17,3464.0,4126.2,"WAUE"
"01-01-2011",18,3474.0,4133.599999999999,"WAUE"
"01-01-2011",19,3468.0,4109.9,"WAUE"
"01-01-2011",20,3469.0,4093.0999999999995,"WAUE"
"01-01-2011",21,3471.0,4116.0,"WAUE"
"01-01-2011",22,3526.0,4175.1,"WAUE"
"01-01-2011",23,3557.0,4200.0,"WAUE"
"01-02-2011",0,3549.0,4184.7,"WAUE"
"01-02-2011",1,3545.0,4184.1,"WAUE"
"01-02-2011",2,3547.0,4195.5,"WAUE"
"01-02-2011",3,3549.0,4175.099999999999,"WAUE"
"01-02-2011",4,3550.0,4162.6,"WAUE"
"01-02-2011",5,3552.0,4175.9,"WAUE"
"01-02-2011",6,3560.0,4204.0,"WAUE"
"01-02-2011",7,3567.0,4211.0,"WAUE"
"01-02-2011",8,3570.0,4215.4,"WAUE"
"01-02-2011",9,3563.0,4214.799999999999,"WAUE"
"01-02-2011",10,3545.0,4206.6,"WAUE"
"01-02-2011",11,3569.0,4215.200000000001,"WAUE"
"01-02-2011",12,3572.0,4209.599999999999,"WAUE"
"01-02-2011",13,3574.0,4225.7,"WAUE"
"01-02-2011",14,3530.0,4141.700000000001,"WAUE"
"01-02-2011",15,3515.0,4129.0,"WAUE"
"01-02-2011",16,3535.0,4173.5,"WAUE"
"01-02-2011",17,3564.0,4230.0,"WAUE"
"01-02-2011",18,3572.0,4231.5,"WAUE"
"01-02-2011",19,3561.0,4220.099999999999,"WAUE"
"01-02-2011",20,3568.0,4229.7,"WAUE"
"01-02-2011",21,3571.0,4237.4,"WAUE"
"01-02-2011",22,3565.0,4208.4,"WAUE"
"01-02-2011",23,3550.0,4180.9,"WAUE"
"01-03-2011",0,3417.0,4062.3,"WAUE"
"01-03-2011",1,3382.0,4028.3,"WAUE"
"01-03-2011",2,3332.0,3987.0999999999995,"WAUE"
"01-03-2011",3,3355.0,4013.4,"WAUE"
"01-03-2011",4,3350.0,3970.1000000000004,"WAUE"
"01-03-2011",5,3430.0,4095.3,"WAUE"
"01-03-2011",6,3555.0,4227.3,"WAUE"
"01-03-2011",7,3548.0,4210.4,"WAUE"
"01-03-2011",8,3538.0,4202.6,"WAUE"
"01-03-2011",9,3557.0,4234.099999999999,"WAUE"
"01-03-2011",10,3563.0,4239.700000000001,"WAUE"
"01-03-2011",11,3564.0,4246.9,"WAUE"
"01-03-2011",12,3563.0,4230.5,"WAUE"
"01-03-2011",13,3560.0,4236.200000000001,"WAUE"
"01-03-2011",14,3565.0,4219.6,"WAUE"
"01-03-2011",15,3558.0,4197.3,"WAUE"
"01-03-2011",16,3553.0,4208.700000000001,"WAUE"
"01-03-2011",17,3556.0,4216.0,"WAUE"
"01-03-2011",18,3569.0,4234.6,"WAUE"
"01-03-2011",19,3576.0,4243.1,"WAUE"
"01-03-2011",20,3575.0,4231.9,"WAUE"
"01-03-2011",21,3574.0,4217.4,"WAUE"
"01-03-2011",22,3566.0,4211.0,"WAUE"
"01-03-2011",23,3551.0,4162.0,"WAUE"
"01-04-2011",0,3543.0,4134.2,"WAUE"
"01-04-2011",1,3506.0,4119.7,"WAUE"
"01-04-2011",2,3550.0,4180.5,"WAUE"
"01-04-2011",3,3556.0,4210.0,"WAUE"
"01-04-2011",4,3555.0,4163.4,"WAUE"
"01-04-2011",5,3558.0,4194.8,"WAUE"
"01-04-2011",6,3542.0,4200.9,"WAUE"
"01-04-2011",7,3564.0,4207.700000000001,"WAUE"
"01-04-2011",8,3565.0,4195.4,"WAUE"
"01-04-2011",9,3571.0,4223.5,"WAUE"
"01-04-2011",10,3572.0,4227.900000000001,"WAUE"
"01-04-2011",11,3577.0,4222.1,"WAUE"
"01-04-2011",12,3545.0,4181.900000000001,"WAUE"
"01-04-2011",13,3526.0,4167.4,"WAUE"
"01-04-2011",14,3565.0,4196.599999999999,"WAUE"
"01-04-2011",15,3575.0,4212.400000000001,"WAUE"
"01-04-2011",16,3580.0,4201.0,"WAUE"
"01-04-2011",17,3577.0,4202.6,"WAUE"
"01-04-2011",18,3580.0,4202.6,"WAUE"
"01-04-2011",19,3581.0,4220.0,"WAUE"
"01-04-2011",20,3583.0,4221.5,"WAUE"
"01-04-2011",21,3585.0,4204.1,"WAUE"
"01-04-2011",22,3583.0,4214.2,"WAUE"
"01-04-2011",23,3569.0,4180.7,"WAUE"
"01-05-2011",0,3476.0,4092.0,"WAUE"
"01-05-2011",1,3518.0,4127.5,"WAUE"
"01-05-2011",2,3563.0,4175.900000000001,"WAUE"
"01-05-2011",3,3564.0,4175.2,"WAUE"
"01-05-2011",4,3562.0,4154.6,"WAUE"
"01-05-2011",5,3561.0,4177.5,"WAUE"
"01-05-2011",6,3565.0,4204.400000000001,"WAUE"
"01-05-2011",7,3571.0,4222.5,"WAUE"
"01-05-2011",8,3575.0,4223.6,"WAUE"
"01-05-2011",9,3579.0,4215.5,"WAUE"
"01-05-2011",10,3581.0,4222.4,"WAUE"
"01-05-2011",11,3586.0,4229.4,"WAUE"
"01-05-2011",12,3588.0,4224.400000000001,"WAUE"
"01-05-2011",13,3588.0,4225.2,"WAUE"
"01-05-2011",14,3587.0,4201.5,"WAUE"
