"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,250.0,184.5,"WFEC"
"01-01-2011",1,213.0,166.8,"WFEC"
"01-01-2011",2,213.0,167.60000000000002,"WFEC"
"01-01-2011",3,228.0,174.0,"WFEC"
"01-01-2011",4,341.0,221.5,"WFEC"
"01-01-2011",5,438.0,264.29999999999995,"WFEC"
"01-01-2011",6,430.0,261.1,"WFEC"
"01-01-2011",7,520.0,308.9,"WFEC"
"01-01-2011",8,602.0,353.3,"WFEC"
"01-01-2011",9,573.0,335.79999999999995,"WFEC"
"01-01-2011",10,503.0,297.59999999999997,"WFEC"
"01-01-2011",11,461.0,277.4,"WFEC"
"01-01-2011",12,430.0,260.6,"WFEC"
"01-01-2011",13,400.0,246.60000000000002,"WFEC"
"01-01-2011",14,232.0,174.60000000000002,"WFEC"
"01-01-2011",15,218.0,169.1,"WFEC"
"01-01-2011",16,242.0,180.3,"WFEC"
"01-01-2011",17,390.0,247.00000000000003,"WFEC"
"01-01-2011",18,518.0,306.3,"WFEC"
"01-01-2011",19,462.0,276.70000000000005,"WFEC"
"01-01-2011",20,488.0,290.55499999999995,"WFEC"
"01-01-2011",21,442.0,269.65999999999997,"WFEC"
"01-01-2011",22,459.0,279.58299999999997,"WFEC"
"01-01-2011",23,480.0,290.9,"WFEC"
"01-02-2011",0,561.0,329.24,"WFEC"
"01-02-2011",1,431.0,259.5,"WFEC"
"01-02-2011",2,265.0,189.3,"WFEC"
"01-02-2011",3,277.0,195.5,"WFEC"
"01-02-2011",4,296.0,203.79999999999998,"WFEC"
"01-02-2011",5,428.0,260.20000000000005,"WFEC"
"01-02-2011",6,488.0,294.29999999999995,"WFEC"
"01-02-2011",7,486.0,290.5,"WFEC"
"01-02-2011",8,455.0,275.2,"WFEC"
"01-02-2011",9,439.0,266.4,"WFEC"
"01-02-2011",10,297.0,203.20000000000002,"WFEC"
"01-02-2011",11,229.0,175.1,"WFEC"
"01-02-2011",12,232.0,175.5,"WFEC"
"01-02-2011",13,231.0,175.7,"WFEC"
"01-02-2011",14,226.0,173.1,"WFEC"
"01-02-2011",15,227.0,173.7,"WFEC"
"01-02-2011",16,238.0,179.5,"WFEC"
"01-02-2011",17,333.0,219.9,"WFEC"
"01-02-2011",18,437.0,265.70000000000005,"WFEC"
"01-02-2011",19,400.0,247.4,"WFEC"
"01-02-2011",20,422.0,257.6,"WFEC"
"01-02-2011",21,305.0,207.0,"WFEC"
"01-02-2011",22,225.0,173.4,"WFEC"
"01-02-2011",23,225.0,173.4,"WFEC"
"01-03-2011",0,232.0,176.4,"WFEC"
"01-03-2011",1,235.0,178.1,"WFEC"
"01-03-2011",2,233.0,177.3,"WFEC"
"01-03-2011",3,235.0,178.5,"WFEC"
"01-03-2011",4,256.0,187.9,"WFEC"
"01-03-2011",5,333.0,220.40000000000003,"WFEC"
"01-03-2011",6,475.0,286.7,"WFEC"
"01-03-2011",7,505.0,300.2,"WFEC"
"01-03-2011",8,456.0,275.0,"WFEC"
"01-03-2011",9,430.0,262.4,"WFEC"
"01-03-2011",10,475.0,281.57399999999996,"WFEC"
"01-03-2011",11,464.0,283.3,"WFEC"
"01-03-2011",12,417.0,253.29,"WFEC"
"01-03-2011",13,347.0,224.0,"WFEC"
"01-03-2011",14,218.0,168.8,"WFEC"
"01-03-2011",15,224.0,171.3,"WFEC"
"01-03-2011",16,227.0,172.29999999999998,"WFEC"
"01-03-2011",17,328.0,216.6,"WFEC"
"01-03-2011",18,411.0,253.3,"WFEC"
"01-03-2011",19,416.0,255.6,"WFEC"
"01-03-2011",20,421.0,256.9,"WFEC"
"01-03-2011",21,288.0,198.7,"WFEC"
"01-03-2011",22,248.0,184.40000000000003,"WFEC"
"01-03-2011",23,242.0,181.3,"WFEC"
"01-04-2011",0,246.0,182.9,"WFEC"
"01-04-2011",1,220.0,170.9,"WFEC"
"01-04-2011",2,226.0,173.70000000000002,"WFEC"
"01-04-2011",3,225.0,172.5,"WFEC"
"01-04-2011",4,225.0,172.6,"WFEC"
"01-04-2011",5,348.0,225.0,"WFEC"
"01-04-2011",6,459.0,277.1,"WFEC"
"01-04-2011",7,525.0,310.5,"WFEC"
"01-04-2011",8,461.0,277.5,"WFEC"
"01-04-2011",9,440.0,266.9,"WFEC"
"01-04-2011",10,441.0,267.4,"WFEC"
"01-04-2011",11,440.0,267.0,"WFEC"
"01-04-2011",12,416.0,254.5,"WFEC"
"01-04-2011",13,372.0,232.90000000000003,"WFEC"
"01-04-2011",14,347.0,221.8,"WFEC"
"01-04-2011",15,236.0,176.8,"WFEC"
"01-04-2011",16,246.0,181.4,"WFEC"
"01-04-2011",17,341.0,223.4,"WFEC"
"01-04-2011",18,439.0,266.7,"WFEC"
"01-04-2011",19,414.0,254.3,"WFEC"
"01-04-2011",20,285.0,200.2,"WFEC"
"01-04-2011",21,231.0,175.60000000000002,"WFEC"
"01-04-2011",22,245.0,182.7,"WFEC"
"01-04-2011",23,232.0,175.8,"WFEC"
"01-05-2011",0,222.0,170.5,"WFEC"
"01-05-2011",1,223.0,171.10000000000002,"WFEC"
"01-05-2011",2,222.0,171.1,"WFEC"
"01-05-2011",3,222.0,170.8,"WFEC"
"01-05-2011",4,226.0,172.89999999999998,"WFEC"
"01-05-2011",5,257.0,185.5,"WFEC"
"01-05-2011",6,452.0,274.5,"WFEC"
"01-05-2011",7,461.0,278.6,"WFEC"
"01-05-2011",8,459.0,277.70000000000005,"WFEC"
"01-05-2011",9,466.0,282.3,"WFEC"
"01-05-2011",10,451.0,272.8,"WFEC"
"01-05-2011",11,456.0,276.0,"WFEC"
"01-05-2011",12,436.0,264.8,"WFEC"
"01-05-2011",13,258.0,185.1,"WFEC"
"01-05-2011",14,260.0,186.1,"WFEC"
"01-05-2011",15,225.0,171.2,"WFEC"
"01-05-2011",16,232.0,174.5,"WFEC"
"01-05-2011",17,393.0,249.40000000000003,"WFEC"
"01-05-2011",18,460.0,276.0,"WFEC"
"01-05-2011",19,446.0,269.5,"WFEC"
"01-05-2011",20,428.0,260.29999999999995,"WFEC"
"01-05-2011",21,413.0,253.2,"WFEC"
"01-05-2011",22,260.0,186.39999999999998,"WFEC"
"01-05-2011",23,222.0,170.7,"WFEC"
"01-06-2011",0,221.0,170.10000000000002,"WFEC"
"01-06-2011",1,218.0,168.10000000000002,"WFEC"
"01-06-2011",2,219.0,168.5,"WFEC"
"01-06-2011",3,218.0,168.2,"WFEC"
"01-06-2011",4,217.0,168.2,"WFEC"
"01-06-2011",5,283.0,197.8,"WFEC"
"01-06-2011",6,425.0,260.0,"WFEC"
