"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,4380.0,4507.0,"WKPL"
"01-01-2011",1,4365.0,4466.599999999999,"WKPL"
"01-01-2011",2,4186.0,4274.0,"WKPL"
"01-01-2011",3,4110.0,4206.0,"WKPL"
"01-01-2011",4,3943.0,4031.2000000000003,"WKPL"
"01-01-2011",5,4034.0,4145.1,"WKPL"
"01-01-2011",6,4073.0,4192.1,"WKPL"
"01-01-2011",7,4088.0,4195.5,"WKPL"
"01-01-2011",8,4141.0,4287.7,"WKPL"
"01-01-2011",9,4387.0,4531.200000000001,"WKPL"
"01-01-2011",10,4263.0,4385.199999999999,"WKPL"
"01-01-2011",11,4222.0,4364.5,"WKPL"
"01-01-2011",12,4255.0,4380.6,"WKPL"
"01-01-2011",13,4397.0,4511.8,"WKPL"
"01-01-2011",14,4440.0,4558.6,"WKPL"
"01-01-2011",15,4386.0,4498.4,"WKPL"
"01-01-2011",16,4550.0,4674.7,"WKPL"
"01-01-2011",17,4580.0,4698.0,"WKPL"
"01-01-2011",18,4591.0,4712.0,"WKPL"
"01-01-2011",19,4578.0,4705.7,"WKPL"
"01-01-2011",20,4541.0,4673.1,"WKPL"
"01-01-2011",21,4501.0,4636.7,"WKPL"
"01-01-2011",22,4473.0,4626.4,"WKPL"
"01-01-2011",23,4448.0,4584.9,"WKPL"
"01-02-2011",0,4173.0,4293.5,"WKPL"
"01-02-2011",1,4231.0,4364.299999999999,"WKPL"
"01-02-2011",2,4210.0,4348.3,"WKPL"
"01-02-2011",3,4236.0,4371.5,"WKPL"
"01-02-2011",4,4199.0,4327.9,"WKPL"
"01-02-2011",5,4240.0,4378.1,"WKPL"
"01-02-2011",6,4272.0,4418.0,"WKPL"
"01-02-2011",7,4255.0,4360.7,"WKPL"
"01-02-2011",8,4137.0,4264.5,"WKPL"
"01-02-2011",9,4462.0,4601.4,"WKPL"
"01-02-2011",10,4546.0,4677.3,"WKPL"
"01-02-2011",11,4548.0,4654.0,"WKPL"
"01-02-2011",12,3853.0,3875.812,"WKPL"
"01-02-2011",13,3722.0,3777.52,"WKPL"
"01-02-2011",14,3526.0,3603.9999999999995,"WKPL"
"01-02-2011",15,3452.0,3574.066,"WKPL"
"01-02-2011",16,3640.0,3734.7,"WKPL"
"01-02-2011",17,3820.0,3925.514,"WKPL"
"01-02-2011",18,3899.0,4039.2000000000003,"WKPL"
"01-02-2011",19,3896.0,4047.8199999999997,"WKPL"
"01-02-2011",20,3874.0,3991.9749999999995,"WKPL"
"01-02-2011",21,3792.0,3958.5699999999997,"WKPL"
"01-02-2011",22,3572.0,3694.1,"WKPL"
"01-02-2011",23,3359.0,3515.8999999999996,"WKPL"
"01-03-2011",0,3366.0,3501.3,"WKPL"
"01-03-2011",1,3359.0,3500.2,"WKPL"
"01-03-2011",2,3377.0,3522.2000000000003,"WKPL"
"01-03-2011",3,3451.0,3607.2,"WKPL"
"01-03-2011",4,3588.0,3725.7,"WKPL"
"01-03-2011",5,3734.0,3893.8,"WKPL"
"01-03-2011",6,3756.0,3905.8,"WKPL"
"01-03-2011",7,3695.0,3830.2999999999997,"WKPL"
"01-03-2011",8,3680.0,3832.6,"WKPL"
"01-03-2011",9,3715.0,3883.7000000000003,"WKPL"
"01-03-2011",10,3748.0,3879.7999999999997,"WKPL"
"01-03-2011",11,3826.0,3945.2999999999997,"WKPL"
"01-03-2011",12,3846.0,3924.0,"WKPL"
"01-03-2011",13,3903.0,3985.4,"WKPL"
"01-03-2011",14,3930.0,4003.1000000000004,"WKPL"
"01-03-2011",15,3992.0,4094.6000000000004,"WKPL"
"01-03-2011",16,4134.0,4228.9,"WKPL"
"01-03-2011",17,4213.0,4314.8,"WKPL"
"01-03-2011",18,4265.0,4361.799999999999,"WKPL"
"01-03-2011",19,4332.0,4418.5,"WKPL"
"01-03-2011",20,4302.0,4408.6,"WKPL"
"01-03-2011",21,4273.0,4394.4,"WKPL"
"01-03-2011",22,4222.0,4343.6,"WKPL"
"01-03-2011",23,3845.0,3939.9,"WKPL"
"01-04-2011",0,3737.0,3855.9,"WKPL"
"01-04-2011",1,3833.0,3936.4,"WKPL"
"01-04-2011",2,3857.0,3968.9,"WKPL"
"01-04-2011",3,3902.0,4016.4,"WKPL"
"01-04-2011",4,4030.0,4141.6,"WKPL"
"01-04-2011",5,4116.0,4231.5,"WKPL"
"01-04-2011",6,4340.0,4518.9,"WKPL"
"01-04-2011",7,4419.0,4550.4,"WKPL"
"01-04-2011",8,4445.0,4592.6,"WKPL"
"01-04-2011",9,4477.0,4607.1,"WKPL"
"01-04-2011",10,4480.0,4605.1,"WKPL"
"01-04-2011",11,4505.0,4628.2,"WKPL"
"01-04-2011",12,4539.0,4664.799999999999,"WKPL"
"01-04-2011",13,4530.0,4667.6,"WKPL"
"01-04-2011",14,4489.0,4621.1,"WKPL"
"01-04-2011",15,4512.0,4659.0,"WKPL"
"01-04-2011",16,4537.0,4690.6,"WKPL"
"01-04-2011",17,4556.0,4698.900000000001,"WKPL"
"01-04-2011",18,4581.0,4725.294,"WKPL"
"01-04-2011",19,4533.0,4679.8,"WKPL"
"01-04-2011",20,4537.0,4688.4,"WKPL"
"01-04-2011",21,4485.0,4620.312,"WKPL"
"01-04-2011",22,4444.0,4574.3,"WKPL"
"01-04-2011",23,4375.0,4499.4,"WKPL"
"01-05-2011",0,4144.0,4247.5,"WKPL"
"01-05-2011",1,4008.0,4129.0,"WKPL"
"01-05-2011",2,3956.0,4064.1000000000004,"WKPL"
"01-05-2011",3,3861.0,3957.6,"WKPL"
"01-05-2011",4,3881.0,4001.9,"WKPL"
"01-05-2011",5,4071.0,4237.2,"WKPL"
"01-05-2011",6,4412.0,4597.4,"WKPL"
"01-05-2011",7,4576.0,4693.1,"WKPL"
"01-05-2011",8,4580.0,4703.0,"WKPL"
"01-05-2011",9,4575.0,4686.1,"WKPL"
"01-05-2011",10,4563.0,4686.9,"WKPL"
"01-05-2011",11,4398.0,4527.0,"WKPL"
"01-05-2011",12,4321.0,4463.700000000001,"WKPL"
"01-05-2011",13,4290.0,4451.8,"WKPL"
"01-05-2011",14,4301.0,4453.5,"WKPL"
"01-05-2011",15,4307.0,4463.1,"WKPL"
"01-05-2011",16,4299.0,4459.1,"WKPL"
"01-05-2011",17,4328.0,4494.900000000001,"WKPL"
"01-05-2011",18,4321.0,4475.0,"WKPL"
"01-05-2011",19,4288.0,4429.299999999999,"WKPL"
"01-05-2011",20,4295.0,4443.7,"WKPL"
"01-05-2011",21,4292.0,4431.9,"WKPL"
"01-05-2011",22,4285.0,4424.099999999999,"WKPL"
"01-05-2011",23,4143.0,4274.5,"WKPL"
"01-06-2011",0,3988.0,4104.5,"WKPL"
"01-06-2011",1,4015.0,4151.3,"WKPL"
"01-06-2011",2,3926.0,4046.2,"WKPL"
"01-06-2011",3,3947.0,4069.7999999999997,"WKPL"
"01-06-2011",4,3906.0,4026.8,"WKPL"
"01-06-2011",5,4213.0,4349.3,"WKPL"
"01-06-2011",6,4475.0,4633.7,"WKPL"
"01-06-2011",7,4530.0,4652.5,"WKPL"
"01-06-2011",8,4477.0,4623.4,"WKPL"
"01-06-2011",9,4330.0,4443.1,"WKPL"
"01-06-2011",10,4251.0,4382.1,"WKPL"
"01-06-2011",11,4296.0,4422.5,"WKPL"
"01-06-2011",12,4278.0,4398.2,"WKPL"
"01-06-2011",13,4266.0,4388.9,"WKPL"
