"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,545.0,401.5,"AEC"
"01-01-2012",1,521.0,388.59999999999997,"AEC"
"01-01-2012",2,509.0,380.0,"AEC"
"01-01-2012",3,533.0,392.4,"AEC"
"01-01-2012",4,539.0,393.8,"AEC"
"01-01-2012",5,549.0,403.0,"AEC"
"01-01-2012",6,514.0,378.6,"AEC"
"01-01-2012",7,505.0,371.29999999999995,"AEC"
"01-01-2012",8,531.0,388.8,"AEC"
"01-01-2012",9,550.0,398.29999999999995,"AEC"
"01-01-2012",10,541.0,393.70000000000005,"AEC"
"01-01-2012",11,529.0,387.2,"AEC"
"01-01-2012",12,513.0,376.00000000000006,"AEC"
"01-01-2012",13,512.0,376.1,"AEC"
"01-01-2012",14,498.0,369.8,"AEC"
"01-01-2012",15,499.0,372.5,"AEC"
"01-01-2012",16,509.0,373.11,"AEC"
"01-01-2012",17,604.0,419.47200000000004,"AEC"
"01-01-2012",18,588.0,415.1,"AEC"
"01-01-2012",19,636.0,433.49999999999994,"AEC"
"01-01-2012",20,632.0,423.19000000000005,"AEC"
"01-01-2012",21,579.0,416.5,"AEC"
"01-01-2012",22,619.0,439.5,"AEC"
"01-01-2012",23,600.0,430.2,"AEC"
"01-02-2012",0,581.0,416.1,"AEC"
"01-02-2012",1,587.0,419.1,"AEC"
"01-02-2012",2,610.0,436.1,"AEC"
"01-02-2012",3,631.0,455.59999999999997,"AEC"
"01-02-2012",4,694.0,504.0,"AEC"
"01-02-2012",5,697.0,516.1999999999999,"AEC"
"01-02-2012",6,666.0,501.4,"AEC"
"01-02-2012",7,723.0,537.0,"AEC"
"01-02-2012",8,728.0,537.8,"AEC"
"01-02-2012",9,713.0,520.0,"AEC"
"01-02-2012",10,683.0,494.1,"AEC"
"01-02-2012",11,674.0,488.1,"AEC"
"01-02-2012",12,639.0,463.3,"AEC"
"01-02-2012",13,611.0,447.5,"AEC"
"01-02-2012",14,586.0,434.59999999999997,"AEC"
"01-02-2012",15,590.0,435.7,"AEC"
"01-02-2012",16,613.0,452.5,"AEC"
"01-02-2012",17,677.0,496.532,"AEC"
"01-02-2012",18,721.0,530.8,"AEC"
"01-02-2012",19,759.0,554.3,"AEC"
"01-02-2012",20,768.0,560.3,"AEC"
"01-02-2012",21,885.0,572.3380000000001,"AEC"
"01-02-2012",22,759.0,553.0999999999999,"AEC"
"01-02-2012",23,787.0,581.485,"AEC"
"01-03-2012",0,651.0,450.834,"AEC"
"01-03-2012",1,614.0,432.6,"AEC"
"01-03-2012",2,607.0,425.022,"AEC"
"01-03-2012",3,631.0,461.30000000000007,"AEC"
"01-03-2012",4,688.0,491.5,"AEC"
"01-03-2012",5,741.0,517.6,"AEC"
"01-03-2012",6,848.0,589.6,"AEC"
"01-03-2012",7,890.0,604.656,"AEC"
"01-03-2012",8,843.0,609.6,"AEC"
"01-03-2012",9,801.0,569.4,"AEC"
"01-03-2012",10,763.0,546.1,"AEC"
"01-03-2012",11,680.0,488.408,"AEC"
"01-03-2012",12,647.0,467.70000000000005,"AEC"
"01-03-2012",13,624.0,456.50000000000006,"AEC"
"01-03-2012",14,593.0,440.1,"AEC"
"01-03-2012",15,581.0,434.9,"AEC"
"01-03-2012",16,771.0,487.368,"AEC"
"01-03-2012",17,910.0,581.332,"AEC"
"01-03-2012",18,1016.0,659.9,"AEC"
"01-03-2012",19,1063.0,688.6,"AEC"
"01-03-2012",20,1067.0,682.6,"AEC"
"01-03-2012",21,1026.0,639.1999999999999,"AEC"
"01-03-2012",22,1015.0,634.5,"AEC"
"01-03-2012",23,963.0,618.4999999999999,"AEC"
"01-04-2012",0,967.0,620.6,"AEC"
"01-04-2012",1,1017.0,656.3,"AEC"
"01-04-2012",2,1153.0,713.2200000000001,"AEC"
"01-04-2012",3,1050.0,682.1,"AEC"
"01-04-2012",4,1046.0,679.9,"AEC"
"01-04-2012",5,1242.0,748.8209999999999,"AEC"
"01-04-2012",6,1439.0,866.0,"AEC"
"01-04-2012",7,1373.0,864.1999999999998,"AEC"
"01-04-2012",8,1294.0,789.245,"AEC"
"01-04-2012",9,1152.0,739.7,"AEC"
"01-04-2012",10,1033.0,677.8,"AEC"
"01-04-2012",11,890.0,613.8900000000001,"AEC"
"01-04-2012",12,824.0,591.3,"AEC"
"01-04-2012",13,736.0,516.109,"AEC"
"01-04-2012",14,679.0,511.1,"AEC"
"01-04-2012",15,673.0,504.6,"AEC"
"01-04-2012",16,704.0,522.1,"AEC"
"01-04-2012",17,743.0,542.3,"AEC"
"01-04-2012",18,744.0,542.8,"AEC"
"01-04-2012",19,760.0,554.4000000000001,"AEC"
"01-04-2012",20,750.0,546.2,"AEC"
"01-04-2012",21,698.0,507.2,"AEC"
"01-04-2012",22,626.0,454.536,"AEC"
"01-04-2012",23,571.0,422.5,"AEC"
"01-05-2012",0,615.0,447.29999999999995,"AEC"
"01-05-2012",1,630.0,455.20000000000005,"AEC"
"01-05-2012",2,638.0,459.50000000000006,"AEC"
"01-05-2012",3,622.0,451.6,"AEC"
"01-05-2012",4,798.0,546.25,"AEC"
"01-05-2012",5,828.0,568.0,"AEC"
"01-05-2012",6,948.0,668.0,"AEC"
"01-05-2012",7,888.0,607.0,"AEC"
"01-05-2012",8,827.0,563.6,"AEC"
"01-05-2012",9,793.0,540.5,"AEC"
"01-05-2012",10,724.0,505.4,"AEC"
"01-05-2012",11,700.0,499.40000000000003,"AEC"
"01-05-2012",12,692.0,501.4,"AEC"
"01-05-2012",13,603.0,415.778,"AEC"
"01-05-2012",14,529.0,387.5,"AEC"
"01-05-2012",15,523.0,384.3,"AEC"
"01-05-2012",16,526.0,386.0,"AEC"
"01-05-2012",17,546.0,396.8,"AEC"
"01-05-2012",18,585.0,416.4,"AEC"
"01-05-2012",19,591.0,419.6,"AEC"
"01-05-2012",20,594.0,420.99999999999994,"AEC"
"01-05-2012",21,614.0,431.69999999999993,"AEC"
"01-05-2012",22,573.0,408.20000000000005,"AEC"
"01-05-2012",23,570.0,407.30000000000007,"AEC"
"01-06-2012",0,613.0,431.0,"AEC"
"01-06-2012",1,630.0,441.8,"AEC"
"01-06-2012",2,642.0,452.79999999999995,"AEC"
"01-06-2012",3,605.0,431.59999999999997,"AEC"
"01-06-2012",4,730.0,474.531,"AEC"
"01-06-2012",5,807.0,535.3000000000001,"AEC"
"01-06-2012",6,879.0,573.79,"AEC"
"01-06-2012",7,873.0,596.436,"AEC"
"01-06-2012",8,853.0,582.5000000000001,"AEC"
"01-06-2012",9,817.0,551.9000000000001,"AEC"
"01-06-2012",10,752.0,515.1999999999999,"AEC"
"01-06-2012",11,723.0,503.79999999999995,"AEC"
"01-06-2012",12,727.0,508.0,"AEC"
"01-06-2012",13,707.0,496.5,"AEC"
"01-06-2012",14,699.0,494.0,"AEC"
"01-06-2012",15,669.0,454.56399999999996,"AEC"
"01-06-2012",16,601.0,428.40000000000003,"AEC"
"01-06-2012",17,640.0,464.3,"AEC"
"01-06-2012",18,656.0,480.6,"AEC"
"01-06-2012",19,649.0,470.2,"AEC"
"01-06-2012",20,627.0,457.0,"AEC"
"01-06-2012",21,663.0,487.1,"AEC"
"01-06-2012",22,592.0,436.80000000000007,"AEC"
"01-06-2012",23,541.0,407.70000000000005,"AEC"
"01-07-2012",0,544.0,408.36400000000003,"AEC"
"01-07-2012",1,487.0,368.29999999999995,"AEC"
"01-07-2012",2,477.0,362.79999999999995,"AEC"
"01-07-2012",3,483.0,368.7,"AEC"
"01-07-2012",4,498.0,376.4,"AEC"
"01-07-2012",5,494.0,368.70000000000005,"AEC"
"01-07-2012",6,474.0,354.8,"AEC"
"01-07-2012",7,494.0,370.9,"AEC"
"01-07-2012",8,500.0,370.6,"AEC"
"01-07-2012",9,488.0,361.20000000000005,"AEC"
"01-07-2012",10,497.0,370.2,"AEC"
"01-07-2012",11,502.0,375.6,"AEC"
"01-07-2012",12,503.0,383.40000000000003,"AEC"
"01-07-2012",13,485.0,357.5,"AEC"
"01-07-2012",14,475.0,348.29999999999995,"AEC"
"01-07-2012",15,466.0,344.1,"AEC"
"01-07-2012",16,476.0,353.2,"AEC"
"01-07-2012",17,511.0,390.0,"AEC"
"01-07-2012",18,507.0,379.59999999999997,"AEC"
"01-07-2012",19,487.0,364.1,"AEC"
"01-07-2012",20,477.0,353.4,"AEC"
"01-07-2012",21,480.0,357.8,"AEC"
"01-07-2012",22,490.0,364.8,"AEC"
"01-07-2012",23,499.0,369.6,"AEC"
"01-08-2012",0,471.0,348.8,"AEC"
"01-08-2012",1,435.0,316.7,"AEC"
"01-08-2012",2,434.0,314.8,"AEC"
"01-08-2012",3,433.0,318.5,"AEC"
"01-08-2012",4,442.0,322.4,"AEC"
"01-08-2012",5,430.0,316.1,"AEC"
"01-08-2012",6,418.0,310.6,"AEC"
"01-08-2012",7,427.0,315.6,"AEC"
"01-08-2012",8,436.0,320.2,"AEC"
"01-08-2012",9,439.0,322.0,"AEC"
"01-08-2012",10,437.0,320.2,"AEC"
"01-08-2012",11,430.0,316.70000000000005,"AEC"
"01-08-2012",12,430.0,316.5,"AEC"
"01-08-2012",13,426.0,315.4,"AEC"
"01-08-2012",14,411.0,307.5,"AEC"
"01-08-2012",15,410.0,306.6,"AEC"
"01-08-2012",16,417.0,307.70000000000005,"AEC"
"01-08-2012",17,430.0,316.2,"AEC"
"01-08-2012",18,446.0,323.4,"AEC"
"01-08-2012",19,440.0,320.5,"AEC"
"01-08-2012",20,427.0,313.6,"AEC"
"01-08-2012",21,413.0,306.6,"AEC"
"01-08-2012",22,411.0,304.70000000000005,"AEC"
"01-08-2012",23,413.0,306.7,"AEC"
"01-09-2012",0,437.0,319.3,"AEC"
"01-09-2012",1,430.0,315.3,"AEC"
"01-09-2012",2,423.0,312.0,"AEC"
"01-09-2012",3,535.0,346.905,"AEC"
"01-09-2012",4,634.0,432.9,"AEC"
"01-09-2012",5,656.0,445.0,"AEC"
"01-09-2012",6,665.0,450.4,"AEC"
"01-09-2012",7,644.0,440.0,"AEC"
"01-09-2012",8,637.0,438.0,"AEC"
"01-09-2012",9,646.0,440.9,"AEC"
"01-09-2012",10,639.0,437.3,"AEC"
"01-09-2012",11,616.0,427.1,"AEC"
"01-09-2012",12,485.0,328.7,"AEC"
"01-09-2012",13,449.0,326.5,"AEC"
"01-09-2012",14,445.0,325.51,"AEC"
"01-09-2012",15,427.0,316.246,"AEC"
"01-09-2012",16,412.0,304.2,"AEC"
"01-09-2012",17,455.0,331.7,"AEC"
"01-09-2012",18,487.0,362.3,"AEC"
"01-09-2012",19,457.0,344.8,"AEC"
"01-09-2012",20,425.0,320.6,"AEC"
"01-09-2012",21,420.0,310.6,"AEC"
"01-09-2012",22,431.0,316.7,"AEC"
"01-09-2012",23,452.0,329.7,"AEC"
"01-10-2012",0,435.0,317.1,"AEC"
"01-10-2012",1,433.0,316.70000000000005,"AEC"
"01-10-2012",2,430.0,315.6,"AEC"
"01-10-2012",3,534.0,346.536,"AEC"
"01-10-2012",4,626.0,430.1,"AEC"
"01-10-2012",5,630.0,431.09999999999997,"AEC"
"01-10-2012",6,661.0,451.0,"AEC"
"01-10-2012",7,647.0,441.20000000000005,"AEC"
"01-10-2012",8,637.0,436.0,"AEC"
"01-10-2012",9,645.0,441.0,"AEC"
"01-10-2012",10,649.0,443.1,"AEC"
"01-10-2012",11,639.0,437.8,"AEC"
"01-10-2012",12,497.0,330.476,"AEC"
"01-10-2012",13,457.0,329.5,"AEC"
"01-10-2012",14,448.0,324.79999999999995,"AEC"
"01-10-2012",15,444.0,321.3,"AEC"
"01-10-2012",16,429.0,314.70000000000005,"AEC"
"01-10-2012",17,452.0,325.79999999999995,"AEC"
"01-10-2012",18,459.0,329.40000000000003,"AEC"
"01-10-2012",19,448.0,323.1,"AEC"
"01-10-2012",20,458.0,329.6,"AEC"
"01-10-2012",21,439.0,318.3,"AEC"
"01-10-2012",22,419.0,308.7,"AEC"
"01-10-2012",23,413.0,304.4,"AEC"
"01-11-2012",0,437.0,320.2,"AEC"
"01-11-2012",1,427.0,311.0,"AEC"
"01-11-2012",2,421.0,308.70000000000005,"AEC"
"01-11-2012",3,526.0,333.68,"AEC"
"01-11-2012",4,623.0,425.2,"AEC"
"01-11-2012",5,635.0,431.49999999999994,"AEC"
"01-11-2012",6,663.0,446.3,"AEC"
"01-11-2012",7,658.0,443.8,"AEC"
"01-11-2012",8,648.0,437.6,"AEC"
"01-11-2012",9,678.0,457.1,"AEC"
"01-11-2012",10,672.0,455.8,"AEC"
"01-11-2012",11,677.0,448.263,"AEC"
"01-11-2012",12,593.0,387.948,"AEC"
"01-11-2012",13,571.0,398.8,"AEC"
"01-11-2012",14,593.0,401.933,"AEC"
"01-11-2012",15,585.0,423.29999999999995,"AEC"
"01-11-2012",16,611.0,439.4,"AEC"
"01-11-2012",17,659.0,375.74100000000004,"AEC"
"01-11-2012",18,590.0,346.0,"AEC"
"01-11-2012",19,592.0,342.13599999999997,"AEC"
"01-11-2012",20,559.0,337.0,"AEC"
"01-11-2012",21,544.0,328.29999999999995,"AEC"
"01-11-2012",22,513.0,311.918,"AEC"
"01-11-2012",23,517.0,317.70000000000005,"AEC"
"01-12-2012",0,498.0,307.2,"AEC"
"01-12-2012",1,520.0,330.017,"AEC"
"01-12-2012",2,527.0,334.543,"AEC"
"01-12-2012",3,537.0,344.9,"AEC"
"01-12-2012",4,642.0,374.22999999999996,"AEC"
"01-12-2012",5,767.0,457.83199999999994,"AEC"
"01-12-2012",6,819.0,479.2,"AEC"
"01-12-2012",7,788.0,462.922,"AEC"
"01-12-2012",8,785.0,446.861,"AEC"
"01-12-2012",9,666.0,407.675,"AEC"
