"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,5435.0,5123.4,"AEPW"
"01-01-2012",1,5456.0,5088.5,"AEPW"
"01-01-2012",2,5315.0,4947.2,"AEPW"
"01-01-2012",3,5440.0,5108.4,"AEPW"
"01-01-2012",4,5659.0,5305.4,"AEPW"
"01-01-2012",5,6214.0,5810.2,"AEPW"
"01-01-2012",6,6783.0,6358.3,"AEPW"
"01-01-2012",7,7310.0,6818.899999999999,"AEPW"
"01-01-2012",8,7543.0,7069.099999999999,"AEPW"
"01-01-2012",9,7807.0,7323.099999999999,"AEPW"
"01-01-2012",10,7925.0,7397.0,"AEPW"
"01-01-2012",11,8009.0,7480.099999999999,"AEPW"
"01-01-2012",12,8000.0,7495.6,"AEPW"
"01-01-2012",13,7966.0,7523.7,"AEPW"
"01-01-2012",14,7712.0,7322.999999999998,"AEPW"
"01-01-2012",15,7530.0,7153.1,"AEPW"
"01-01-2012",16,7764.0,7305.367000000001,"AEPW"
"01-01-2012",17,8000.0,7479.000000000002,"AEPW"
"01-01-2012",18,8289.0,7736.000000000001,"AEPW"
"01-01-2012",19,8249.0,7695.5,"AEPW"
"01-01-2012",20,8213.0,7659.699999999999,"AEPW"
"01-01-2012",21,8193.0,7629.200000000001,"AEPW"
"01-01-2012",22,8149.0,7599.100000000001,"AEPW"
"01-01-2012",23,7969.0,7436.100000000001,"AEPW"
"01-02-2012",0,7720.0,7237.4,"AEPW"
"01-02-2012",1,7608.0,7192.499999999999,"AEPW"
"01-02-2012",2,7648.0,7195.099999999999,"AEPW"
"01-02-2012",3,7755.0,7254.0779999999995,"AEPW"
"01-02-2012",4,7908.0,7354.75,"AEPW"
"01-02-2012",5,8154.0,7612.7,"AEPW"
"01-02-2012",6,8523.0,7815.2,"AEPW"
"01-02-2012",7,8743.0,7995.1,"AEPW"
"01-02-2012",8,8758.0,8062.6,"AEPW"
"01-02-2012",9,8841.0,8130.4,"AEPW"
"01-02-2012",10,9024.0,8207.7,"AEPW"
"01-02-2012",11,9017.0,8181.1,"AEPW"
"01-02-2012",12,8961.0,8179.199999999998,"AEPW"
"01-02-2012",13,8715.0,7995.454,"AEPW"
"01-02-2012",14,8478.0,7845.5,"AEPW"
"01-02-2012",15,8427.0,7762.4,"AEPW"
"01-02-2012",16,8427.0,7812.0,"AEPW"
"01-02-2012",17,8676.0,8000.4000000000015,"AEPW"
"01-02-2012",18,9173.0,8281.846,"AEPW"
"01-02-2012",19,9252.0,8331.155,"AEPW"
"01-02-2012",20,9160.0,8250.6,"AEPW"
"01-02-2012",21,8889.0,8019.700000000001,"AEPW"
"01-02-2012",22,8678.0,7936.999999999999,"AEPW"
"01-02-2012",23,8572.0,7844.999999999998,"AEPW"
"01-03-2012",0,8324.0,7642.499999999999,"AEPW"
"01-03-2012",1,8136.0,7483.2,"AEPW"
"01-03-2012",2,8188.0,7504.0,"AEPW"
"01-03-2012",3,8356.0,7640.399999999999,"AEPW"
"01-03-2012",4,8461.0,7747.6,"AEPW"
"01-03-2012",5,8749.0,7961.1,"AEPW"
"01-03-2012",6,9070.0,8136.300000000001,"AEPW"
"01-03-2012",7,9167.0,8170.200000000001,"AEPW"
"01-03-2012",8,8938.0,7983.1,"AEPW"
"01-03-2012",9,8985.0,8083.2,"AEPW"
"01-03-2012",10,8981.0,8104.300000000002,"AEPW"
"01-03-2012",11,8764.0,7857.4,"AEPW"
"01-03-2012",12,8526.0,7694.4000000000015,"AEPW"
"01-03-2012",13,8485.0,7677.999999999999,"AEPW"
"01-03-2012",14,8143.0,7347.299999999999,"AEPW"
"01-03-2012",15,8080.0,7277.0999999999985,"AEPW"
"01-03-2012",16,8137.0,7325.5,"AEPW"
"01-03-2012",17,8512.0,7606.4,"AEPW"
"01-03-2012",18,8779.0,7798.799999999999,"AEPW"
"01-03-2012",19,8765.0,7822.7,"AEPW"
"01-03-2012",20,8804.0,7866.400000000001,"AEPW"
"01-03-2012",21,8565.0,7622.299999999999,"AEPW"
"01-03-2012",22,8473.0,7562.2,"AEPW"
"01-03-2012",23,8236.0,7376.9,"AEPW"
"01-04-2012",0,7434.0,6667.200000000001,"AEPW"
"01-04-2012",1,7145.0,6422.400000000001,"AEPW"
"01-04-2012",2,7244.0,6508.499999999999,"AEPW"
"01-04-2012",3,7370.0,6582.999999999999,"AEPW"
"01-04-2012",4,7891.0,7111.360000000001,"AEPW"
"01-04-2012",5,8544.0,7673.300000000001,"AEPW"
"01-04-2012",6,8936.0,7920.0,"AEPW"
"01-04-2012",7,9129.0,8036.2,"AEPW"
"01-04-2012",8,8915.0,7922.0,"AEPW"
"01-04-2012",9,9024.0,8022.700000000001,"AEPW"
"01-04-2012",10,8562.0,7590.5,"AEPW"
"01-04-2012",11,8210.0,7243.3,"AEPW"
"01-04-2012",12,7987.0,7096.7,"AEPW"
"01-04-2012",13,8090.0,7168.700000000001,"AEPW"
"01-04-2012",14,8106.0,7142.699999999999,"AEPW"
"01-04-2012",15,8203.0,7217.9,"AEPW"
"01-04-2012",16,8144.0,7181.000000000001,"AEPW"
"01-04-2012",17,8439.0,7380.200000000001,"AEPW"
"01-04-2012",18,8991.0,7915.4,"AEPW"
"01-04-2012",19,8902.0,7913.599999999999,"AEPW"
"01-04-2012",20,8909.0,7985.199999999999,"AEPW"
"01-04-2012",21,8848.0,7929.215999999999,"AEPW"
"01-04-2012",22,8700.0,7830.0,"AEPW"
"01-04-2012",23,8459.0,7653.799999999999,"AEPW"
"01-05-2012",0,8116.0,7362.000000000002,"AEPW"
"01-05-2012",1,8109.0,7351.9,"AEPW"
"01-05-2012",2,7883.0,7125.6,"AEPW"
"01-05-2012",3,7955.0,7203.6,"AEPW"
"01-05-2012",4,8196.0,7391.9,"AEPW"
"01-05-2012",5,8390.0,7519.900000000001,"AEPW"
"01-05-2012",6,8831.0,7873.799999999999,"AEPW"
"01-05-2012",7,9236.0,8145.400000000001,"AEPW"
"01-05-2012",8,9137.0,8101.999999999998,"AEPW"
"01-05-2012",9,9066.0,8032.813000000002,"AEPW"
"01-05-2012",10,8838.0,7958.4,"AEPW"
"01-05-2012",11,8850.0,7968.5,"AEPW"
"01-05-2012",12,8462.0,7692.6,"AEPW"
"01-05-2012",13,7967.0,7233.5,"AEPW"
