"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,120.0,122.4,"CPLW"
"01-01-2012",1,118.0,122.1,"CPLW"
"01-01-2012",2,118.0,130.1,"CPLW"
"01-01-2012",3,122.0,134.7,"CPLW"
"01-01-2012",4,137.0,145.79999999999998,"CPLW"
"01-01-2012",5,150.0,130.175,"CPLW"
"01-01-2012",6,112.0,114.8,"CPLW"
"01-01-2012",7,114.0,117.1,"CPLW"
"01-01-2012",8,146.0,145.4,"CPLW"
"01-01-2012",9,141.0,141.4,"CPLW"
"01-01-2012",10,94.0,95.8,"CPLW"
"01-01-2012",11,74.0,78.0,"CPLW"
"01-01-2012",12,73.0,76.8,"CPLW"
"01-01-2012",13,74.0,76.9,"CPLW"
"01-01-2012",14,78.0,80.4,"CPLW"
"01-01-2012",15,77.0,80.3,"CPLW"
"01-01-2012",16,79.0,81.6,"CPLW"
"01-01-2012",17,83.0,85.7,"CPLW"
"01-01-2012",18,90.0,93.2,"CPLW"
"01-01-2012",19,94.0,96.6,"CPLW"
"01-01-2012",20,101.0,103.9,"CPLW"
"01-01-2012",21,100.0,101.8,"CPLW"
"01-01-2012",22,104.0,105.7,"CPLW"
"01-01-2012",23,115.0,117.8,"CPLW"
"01-02-2012",0,115.0,119.0,"CPLW"
"01-02-2012",1,113.0,115.6,"CPLW"
"01-02-2012",2,124.0,125.5,"CPLW"
"01-02-2012",3,136.0,135.8,"CPLW"
"01-02-2012",4,160.0,156.1,"CPLW"
"01-02-2012",5,157.0,154.7,"CPLW"
"01-02-2012",6,180.0,188.325,"CPLW"
"01-02-2012",7,233.0,214.2,"CPLW"
"01-02-2012",8,224.0,207.6,"CPLW"
"01-02-2012",9,207.0,193.3,"CPLW"
"01-02-2012",10,202.0,188.6,"CPLW"
"01-02-2012",11,198.0,186.6,"CPLW"
"01-02-2012",12,198.0,186.4,"CPLW"
"01-02-2012",13,203.0,189.8,"CPLW"
"01-02-2012",14,237.0,214.6,"CPLW"
"01-02-2012",15,254.0,249.1,"CPLW"
