"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,853.0,351.9,"DEAA"
"01-01-2012",1,819.0,340.3,"DEAA"
"01-01-2012",2,816.0,337.6,"DEAA"
"01-01-2012",3,624.0,273.4,"DEAA"
"01-01-2012",4,619.0,273.4,"DEAA"
"01-01-2012",5,627.0,276.20000000000005,"DEAA"
"01-01-2012",6,654.0,285.5,"DEAA"
"01-01-2012",7,628.0,277.8,"DEAA"
"01-01-2012",8,807.0,338.3,"DEAA"
"01-01-2012",9,832.0,345.0,"DEAA"
"01-01-2012",10,852.0,353.2,"DEAA"
"01-01-2012",11,882.0,359.29999999999995,"DEAA"
"01-01-2012",12,828.0,343.1,"DEAA"
"01-01-2012",13,828.0,341.9,"DEAA"
"01-01-2012",14,827.0,343.29999999999995,"DEAA"
"01-01-2012",15,824.0,341.9,"DEAA"
"01-01-2012",16,843.0,346.40000000000003,"DEAA"
"01-01-2012",17,924.0,373.7,"DEAA"
"01-01-2012",18,1006.0,406.0,"DEAA"
"01-01-2012",19,1118.0,460.9,"DEAA"
"01-01-2012",20,1107.0,456.20000000000005,"DEAA"
"01-01-2012",21,1014.0,423.2,"DEAA"
"01-01-2012",22,952.0,401.2,"DEAA"
"01-01-2012",23,836.0,345.5,"DEAA"
"01-02-2012",0,837.0,346.5,"DEAA"
"01-02-2012",1,830.0,345.6,"DEAA"
"01-02-2012",2,872.0,359.4,"DEAA"
"01-02-2012",3,857.0,352.4,"DEAA"
"01-02-2012",4,686.0,292.7,"DEAA"
"01-02-2012",5,683.0,293.2,"DEAA"
"01-02-2012",6,810.0,337.2,"DEAA"
"01-02-2012",7,948.0,383.6,"DEAA"
"01-02-2012",8,1024.0,410.2,"DEAA"
"01-02-2012",9,1001.0,401.7,"DEAA"
"01-02-2012",10,1001.0,402.09999999999997,"DEAA"
"01-02-2012",11,1009.0,406.4,"DEAA"
"01-02-2012",12,924.0,373.9,"DEAA"
"01-02-2012",13,849.0,350.0,"DEAA"
"01-02-2012",14,868.0,354.70000000000005,"DEAA"
"01-02-2012",15,879.0,358.79999999999995,"DEAA"
"01-02-2012",16,832.0,342.6,"DEAA"
"01-02-2012",17,978.0,394.79999999999995,"DEAA"
"01-02-2012",18,1081.0,439.0,"DEAA"
"01-02-2012",19,1061.0,433.5,"DEAA"
"01-02-2012",20,1036.0,431.0,"DEAA"
"01-02-2012",21,1038.0,429.50000000000006,"DEAA"
"01-02-2012",22,839.0,344.9,"DEAA"
