"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,749.0,882.1,"GRDA"
"01-01-2012",1,745.0,882.8,"GRDA"
"01-01-2012",2,744.0,886.5,"GRDA"
"01-01-2012",3,744.0,891.1,"GRDA"
"01-01-2012",4,744.0,883.3,"GRDA"
"01-01-2012",5,744.0,888.0,"GRDA"
"01-01-2012",6,746.0,893.4000000000001,"GRDA"
"01-01-2012",7,751.0,900.8,"GRDA"
"01-01-2012",8,767.0,913.3,"GRDA"
"01-01-2012",9,770.0,916.9,"GRDA"
"01-01-2012",10,785.0,938.9000000000001,"GRDA"
"01-01-2012",11,773.0,928.9000000000001,"GRDA"
"01-01-2012",12,770.0,923.0,"GRDA"
"01-01-2012",13,765.0,911.8,"GRDA"
"01-01-2012",14,760.0,902.7,"GRDA"
"01-01-2012",15,754.0,895.9000000000001,"GRDA"
"01-01-2012",16,763.0,913.7,"GRDA"
"01-01-2012",17,876.0,1049.9,"GRDA"
"01-01-2012",18,974.0,1145.6,"GRDA"
"01-01-2012",19,960.0,1126.6,"GRDA"
"01-01-2012",20,908.0,1071.5,"GRDA"
"01-01-2012",21,835.0,986.2,"GRDA"
"01-01-2012",22,762.0,900.2,"GRDA"
"01-01-2012",23,679.0,825.0,"GRDA"
"01-02-2012",0,677.0,827.9,"GRDA"
"01-02-2012",1,670.0,822.7,"GRDA"
"01-02-2012",2,719.0,855.02,"GRDA"
"01-02-2012",3,781.0,901.3000000000001,"GRDA"
"01-02-2012",4,782.0,896.4,"GRDA"
"01-02-2012",5,906.0,986.5,"GRDA"
"01-02-2012",6,1162.0,1195.5,"GRDA"
"01-02-2012",7,1397.0,1325.3999999999999,"GRDA"
"01-02-2012",8,1481.0,1397.9,"GRDA"
"01-02-2012",9,1472.0,1395.6000000000001,"GRDA"
"01-02-2012",10,1439.0,1384.8000000000002,"GRDA"
"01-02-2012",11,1450.0,1388.0,"GRDA"
"01-02-2012",12,1396.0,1390.5900000000001,"GRDA"
"01-02-2012",13,1457.0,1399.3,"GRDA"
"01-02-2012",14,1411.0,1352.8,"GRDA"
"01-02-2012",15,1398.0,1350.1000000000001,"GRDA"
"01-02-2012",16,1404.0,1360.6000000000001,"GRDA"
"01-02-2012",17,1586.0,1465.2000000000003,"GRDA"
"01-02-2012",18,1637.0,1490.0,"GRDA"
"01-02-2012",19,1636.0,1489.2000000000003,"GRDA"
"01-02-2012",20,1651.0,1473.5,"GRDA"
"01-02-2012",21,1673.0,1461.0,"GRDA"
"01-02-2012",22,1634.0,1422.0,"GRDA"
"01-02-2012",23,1601.0,1387.3999999999999,"GRDA"
"01-03-2012",0,1597.0,1384.6000000000001,"GRDA"
"01-03-2012",1,1622.0,1389.4,"GRDA"
"01-03-2012",2,1621.0,1390.3000000000002,"GRDA"
"01-03-2012",3,1617.0,1399.3360000000002,"GRDA"
"01-03-2012",4,1753.0,1466.1000000000001,"GRDA"
"01-03-2012",5,1784.0,1480.8999999999999,"GRDA"
"01-03-2012",6,1924.0,1570.8000000000004,"GRDA"
"01-03-2012",7,2021.0,1612.6999999999998,"GRDA"
"01-03-2012",8,1989.0,1577.8999999999999,"GRDA"
"01-03-2012",9,1929.0,1550.1000000000001,"GRDA"
"01-03-2012",10,1918.0,1540.6000000000001,"GRDA"
"01-03-2012",11,1877.0,1512.3,"GRDA"
"01-03-2012",12,1783.0,1469.9,"GRDA"
"01-03-2012",13,1721.0,1443.8000000000002,"GRDA"
"01-03-2012",14,1552.0,1321.8,"GRDA"
"01-03-2012",15,1545.0,1308.5000000000002,"GRDA"
"01-03-2012",16,1809.0,1441.0999999999997,"GRDA"
"01-03-2012",17,1834.0,1487.3999999999999,"GRDA"
"01-03-2012",18,1926.0,1544.5,"GRDA"
"01-03-2012",19,1911.0,1531.3,"GRDA"
"01-03-2012",20,1873.0,1512.8,"GRDA"
"01-03-2012",21,1850.0,1486.0,"GRDA"
"01-03-2012",22,1567.0,1358.0,"GRDA"
"01-03-2012",23,1409.0,1291.67,"GRDA"
"01-04-2012",0,1198.0,1156.4,"GRDA"
"01-04-2012",1,1078.0,1034.0,"GRDA"
"01-04-2012",2,1060.0,1023.3,"GRDA"
"01-04-2012",3,1118.0,1048.6000000000001,"GRDA"
"01-04-2012",4,1317.0,1211.041,"GRDA"
"01-04-2012",5,1504.0,1321.8,"GRDA"
"01-04-2012",6,1660.0,1394.6,"GRDA"
"01-04-2012",7,1698.0,1436.7,"GRDA"
"01-04-2012",8,1628.0,1388.4999999999998,"GRDA"
"01-04-2012",9,1578.0,1367.8000000000002,"GRDA"
"01-04-2012",10,1576.0,1398.2999999999997,"GRDA"
"01-04-2012",11,1573.0,1385.3,"GRDA"
"01-04-2012",12,1400.0,1216.4,"GRDA"
"01-04-2012",13,1413.0,1201.259,"GRDA"
"01-04-2012",14,1348.0,1246.1,"GRDA"
"01-04-2012",15,1370.0,1305.9540000000002,"GRDA"
"01-04-2012",16,1385.0,1326.1999999999998,"GRDA"
"01-04-2012",17,1528.0,1363.8000000000002,"GRDA"
"01-04-2012",18,1548.0,1388.8999999999999,"GRDA"
"01-04-2012",19,1471.0,1359.7999999999997,"GRDA"
"01-04-2012",20,1516.0,1376.1999999999998,"GRDA"
"01-04-2012",21,1585.0,1400.6,"GRDA"
"01-04-2012",22,1474.0,1354.64,"GRDA"
"01-04-2012",23,1320.0,1301.9999999999998,"GRDA"
"01-05-2012",0,998.0,1088.5580000000002,"GRDA"
"01-05-2012",1,942.0,1105.2,"GRDA"
"01-05-2012",2,940.0,1101.9,"GRDA"
"01-05-2012",3,937.0,1095.3300000000002,"GRDA"
"01-05-2012",4,1030.0,1155.53,"GRDA"
"01-05-2012",5,1274.0,1250.4,"GRDA"
"01-05-2012",6,1449.0,1322.7,"GRDA"
"01-05-2012",7,1456.0,1340.4,"GRDA"
"01-05-2012",8,1359.0,1273.3999999999999,"GRDA"
"01-05-2012",9,1317.0,1246.9,"GRDA"
"01-05-2012",10,1258.0,1227.0,"GRDA"
"01-05-2012",11,1225.0,1215.2,"GRDA"
"01-05-2012",12,1193.0,1169.6,"GRDA"
"01-05-2012",13,1102.0,1062.3,"GRDA"
"01-05-2012",14,1067.0,1028.1000000000001,"GRDA"
"01-05-2012",15,1063.0,1025.5,"GRDA"
"01-05-2012",16,1121.0,1091.2,"GRDA"
"01-05-2012",17,1177.0,1113.3,"GRDA"
"01-05-2012",18,1230.0,1199.6000000000001,"GRDA"
"01-05-2012",19,1187.0,1188.0,"GRDA"
"01-05-2012",20,1076.0,1127.705,"GRDA"
"01-05-2012",21,1052.0,1122.1999999999998,"GRDA"
"01-05-2012",22,1004.0,1105.8,"GRDA"
"01-05-2012",23,806.0,938.1,"GRDA"
"01-06-2012",0,766.0,894.4,"GRDA"
"01-06-2012",1,765.0,898.1,"GRDA"
"01-06-2012",2,765.0,899.8,"GRDA"
"01-06-2012",3,783.0,924.58,"GRDA"
"01-06-2012",4,917.0,1055.7,"GRDA"
"01-06-2012",5,995.0,1099.8,"GRDA"
"01-06-2012",6,1083.0,1137.8000000000002,"GRDA"
"01-06-2012",7,1090.0,1155.9,"GRDA"
"01-06-2012",8,1071.0,1134.6,"GRDA"
"01-06-2012",9,1063.0,1113.7000000000003,"GRDA"
"01-06-2012",10,1107.0,1150.7,"GRDA"
"01-06-2012",11,1038.0,1095.5,"GRDA"
"01-06-2012",12,980.0,1023.5999999999999,"GRDA"
"01-06-2012",13,927.0,966.3,"GRDA"
"01-06-2012",14,918.0,957.2,"GRDA"
"01-06-2012",15,965.0,969.6,"GRDA"
"01-06-2012",16,911.0,921.2,"GRDA"
"01-06-2012",17,990.0,1043.8,"GRDA"
"01-06-2012",18,1024.0,1069.6,"GRDA"
"01-06-2012",19,1003.0,1063.7,"GRDA"
"01-06-2012",20,1047.0,1080.1000000000001,"GRDA"
"01-06-2012",21,1007.0,1061.8,"GRDA"
"01-06-2012",22,953.0,1036.64,"GRDA"
"01-06-2012",23,820.0,979.8000000000001,"GRDA"
"01-07-2012",0,755.0,903.1999999999999,"GRDA"
"01-07-2012",1,719.0,862.7,"GRDA"
"01-07-2012",2,735.0,883.9,"GRDA"
"01-07-2012",3,855.0,1006.575,"GRDA"
"01-07-2012",4,957.0,1082.1,"GRDA"
"01-07-2012",5,1119.0,1168.525,"GRDA"
"01-07-2012",6,1281.0,1210.9,"GRDA"
"01-07-2012",7,1311.0,1222.8,"GRDA"
"01-07-2012",8,1268.0,1211.1999999999998,"GRDA"
"01-07-2012",9,1227.0,1187.5,"GRDA"
"01-07-2012",10,1151.0,1142.335,"GRDA"
"01-07-2012",11,1049.0,1101.0,"GRDA"
"01-07-2012",12,1009.0,1044.3,"GRDA"
"01-07-2012",13,920.0,955.8,"GRDA"
"01-07-2012",14,940.0,960.8,"GRDA"
"01-07-2012",15,933.0,955.5,"GRDA"
"01-07-2012",16,997.0,1052.8,"GRDA"
"01-07-2012",17,1072.0,1119.9,"GRDA"
"01-07-2012",18,1067.0,1112.3,"GRDA"
"01-07-2012",19,1031.0,1080.2,"GRDA"
"01-07-2012",20,1004.0,1066.6,"GRDA"
"01-07-2012",21,1002.0,1064.3,"GRDA"
"01-07-2012",22,999.0,1067.4,"GRDA"
"01-07-2012",23,856.0,986.928,"GRDA"
"01-08-2012",0,805.0,963.8,"GRDA"
"01-08-2012",1,762.0,912.3,"GRDA"
"01-08-2012",2,753.0,907.9,"GRDA"
"01-08-2012",3,753.0,915.6,"GRDA"
"01-08-2012",4,855.0,1005.1120000000001,"GRDA"
"01-08-2012",5,945.0,1047.883,"GRDA"
"01-08-2012",6,1078.0,1116.8,"GRDA"
"01-08-2012",7,1177.0,1150.8999999999999,"GRDA"
"01-08-2012",8,1268.0,1172.0,"GRDA"
"01-08-2012",9,1278.0,1189.7,"GRDA"
"01-08-2012",10,1206.0,1160.4,"GRDA"
"01-08-2012",11,1193.0,1159.6,"GRDA"
"01-08-2012",12,1150.0,1109.3,"GRDA"
"01-08-2012",13,1122.0,1077.5,"GRDA"
"01-08-2012",14,1081.0,1043.7,"GRDA"
"01-08-2012",15,1184.0,1140.668,"GRDA"
"01-08-2012",16,1349.0,1239.3,"GRDA"
"01-08-2012",17,1466.0,1268.6,"GRDA"
"01-08-2012",18,1487.0,1303.9999999999998,"GRDA"
"01-08-2012",19,1529.0,1303.3000000000002,"GRDA"
"01-08-2012",20,1495.0,1281.7000000000003,"GRDA"
"01-08-2012",21,1413.0,1254.1000000000001,"GRDA"
"01-08-2012",22,1161.0,1124.794,"GRDA"
"01-08-2012",23,1003.0,1067.8,"GRDA"
"01-09-2012",0,1004.0,1075.8,"GRDA"
"01-09-2012",1,1059.0,1095.3,"GRDA"
"01-09-2012",2,1069.0,1097.6999999999998,"GRDA"
"01-09-2012",3,1081.0,1109.968,"GRDA"
"01-09-2012",4,1226.0,1212.2,"GRDA"
"01-09-2012",5,1394.0,1242.8,"GRDA"
"01-09-2012",6,1574.0,1351.5,"GRDA"
"01-09-2012",7,1582.0,1353.1999999999998,"GRDA"
"01-09-2012",8,1512.0,1327.2,"GRDA"
"01-09-2012",9,1448.0,1287.9089999999999,"GRDA"
"01-09-2012",10,1357.0,1245.5,"GRDA"
"01-09-2012",11,1331.0,1217.4999999999998,"GRDA"
"01-09-2012",12,1286.0,1196.6000000000001,"GRDA"
"01-09-2012",13,1291.0,1195.8,"GRDA"
"01-09-2012",14,1285.0,1192.6,"GRDA"
"01-09-2012",15,1268.0,1175.5,"GRDA"
"01-09-2012",16,1346.0,1220.795,"GRDA"
"01-09-2012",17,1496.0,1288.9999999999998,"GRDA"
"01-09-2012",18,1477.0,1287.7,"GRDA"
"01-09-2012",19,1486.0,1292.1999999999998,"GRDA"
"01-09-2012",20,1477.0,1283.9,"GRDA"
"01-09-2012",21,1446.0,1267.9999999999998,"GRDA"
"01-09-2012",22,1185.0,1094.6,"GRDA"
"01-09-2012",23,987.0,995.08,"GRDA"
"01-10-2012",0,981.0,990.5,"GRDA"
"01-10-2012",1,965.0,1017.1999999999999,"GRDA"
"01-10-2012",2,984.0,1020.5999999999999,"GRDA"
"01-10-2012",3,1040.0,1081.836,"GRDA"
"01-10-2012",4,1284.0,1119.904,"GRDA"
"01-10-2012",5,1305.0,1182.9750000000001,"GRDA"
"01-10-2012",6,1434.0,1247.3000000000002,"GRDA"
"01-10-2012",7,1557.0,1306.3,"GRDA"
"01-10-2012",8,1594.0,1314.7,"GRDA"
"01-10-2012",9,1586.0,1305.1,"GRDA"
"01-10-2012",10,1507.0,1275.5000000000002,"GRDA"
"01-10-2012",11,1432.0,1240.3999999999999,"GRDA"
"01-10-2012",12,1261.0,1156.4610000000002,"GRDA"
"01-10-2012",13,1199.0,1138.6,"GRDA"
"01-10-2012",14,1198.0,1141.1,"GRDA"
"01-10-2012",15,1248.0,1157.0,"GRDA"
"01-10-2012",16,1251.0,1160.6,"GRDA"
"01-10-2012",17,1302.0,1185.7,"GRDA"
"01-10-2012",18,1302.0,1204.8999999999999,"GRDA"
"01-10-2012",19,1304.0,1209.1999999999998,"GRDA"
"01-10-2012",20,1282.0,1197.4999999999998,"GRDA"
"01-10-2012",21,1237.0,1160.5,"GRDA"
"01-10-2012",22,1117.0,1098.04,"GRDA"
"01-10-2012",23,986.0,1005.4,"GRDA"
"01-11-2012",0,886.0,903.5,"GRDA"
