"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,225.0,329.6,"KACY"
"01-01-2012",1,217.0,319.5,"KACY"
"01-01-2012",2,215.0,315.9,"KACY"
"01-01-2012",3,214.0,318.0,"KACY"
"01-01-2012",4,213.0,317.3,"KACY"
"01-01-2012",5,212.0,316.0,"KACY"
"01-01-2012",6,212.0,306.2,"KACY"
"01-01-2012",7,212.0,319.2,"KACY"
"01-01-2012",8,213.0,320.4,"KACY"
"01-01-2012",9,212.0,314.3,"KACY"
"01-01-2012",10,212.0,314.5,"KACY"
"01-01-2012",11,214.0,318.5,"KACY"
"01-01-2012",12,214.0,318.7,"KACY"
"01-01-2012",13,214.0,320.79999999999995,"KACY"
"01-01-2012",14,214.0,321.1,"KACY"
"01-01-2012",15,211.0,315.9,"KACY"
"01-01-2012",16,211.0,317.9,"KACY"
"01-01-2012",17,216.0,326.4,"KACY"
"01-01-2012",18,227.0,342.09999999999997,"KACY"
"01-01-2012",19,237.0,355.0,"KACY"
"01-01-2012",20,215.0,319.5,"KACY"
"01-01-2012",21,213.0,316.0,"KACY"
"01-01-2012",22,213.0,316.6,"KACY"
"01-01-2012",23,214.0,319.79999999999995,"KACY"
"01-02-2012",0,214.0,318.1,"KACY"
"01-02-2012",1,216.0,325.2,"KACY"
"01-02-2012",2,217.0,327.1,"KACY"
"01-02-2012",3,217.0,325.5,"KACY"
"01-02-2012",4,218.0,323.1,"KACY"
"01-02-2012",5,229.0,341.1,"KACY"
"01-02-2012",6,273.0,364.2,"KACY"
"01-02-2012",7,275.0,378.90000000000003,"KACY"
"01-02-2012",8,273.0,377.9,"KACY"
"01-02-2012",9,274.0,378.4,"KACY"
"01-02-2012",10,274.0,378.20000000000005,"KACY"
"01-02-2012",11,279.0,382.6,"KACY"
"01-02-2012",12,273.0,379.90000000000003,"KACY"
"01-02-2012",13,272.0,379.1,"KACY"
"01-02-2012",14,270.0,379.20000000000005,"KACY"
"01-02-2012",15,270.0,373.4,"KACY"
"01-02-2012",16,270.0,376.20000000000005,"KACY"
"01-02-2012",17,270.0,376.3,"KACY"
"01-02-2012",18,272.0,375.6,"KACY"
"01-02-2012",19,282.0,383.4,"KACY"
"01-02-2012",20,281.0,384.4,"KACY"
"01-02-2012",21,275.0,377.4,"KACY"
"01-02-2012",22,272.0,379.20000000000005,"KACY"
"01-02-2012",23,272.0,377.6,"KACY"
"01-03-2012",0,272.0,375.3,"KACY"
"01-03-2012",1,270.0,371.6,"KACY"
"01-03-2012",2,271.0,374.4,"KACY"
"01-03-2012",3,270.0,379.4,"KACY"
"01-03-2012",4,270.0,382.3,"KACY"
"01-03-2012",5,271.0,380.3,"KACY"
"01-03-2012",6,270.0,366.29999999999995,"KACY"
"01-03-2012",7,308.0,411.527,"KACY"
"01-03-2012",8,339.0,458.3,"KACY"
"01-03-2012",9,343.0,489.1,"KACY"
"01-03-2012",10,349.0,493.9,"KACY"
"01-03-2012",11,352.0,495.1,"KACY"
"01-03-2012",12,366.0,506.8,"KACY"
"01-03-2012",13,371.0,505.1,"KACY"
"01-03-2012",14,373.0,501.0,"KACY"
"01-03-2012",15,374.0,508.8,"KACY"
"01-03-2012",16,373.0,512.5,"KACY"
"01-03-2012",17,374.0,512.8,"KACY"
"01-03-2012",18,374.0,512.5,"KACY"
"01-03-2012",19,374.0,506.70000000000005,"KACY"
"01-03-2012",20,371.0,506.40000000000003,"KACY"
"01-03-2012",21,340.0,475.9,"KACY"
"01-03-2012",22,336.0,476.3,"KACY"
