"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,3865.0,3593.9000000000005,"LGEE"
"01-01-2012",1,3825.0,3546.2000000000003,"LGEE"
"01-01-2012",2,3687.0,3445.6000000000004,"LGEE"
"01-01-2012",3,3612.0,3388.1000000000004,"LGEE"
"01-01-2012",4,3604.0,3381.0469999999996,"LGEE"
"01-01-2012",5,3616.0,3423.2999999999993,"LGEE"
"01-01-2012",6,3602.0,3418.8999999999996,"LGEE"
"01-01-2012",7,3702.0,3516.6999999999994,"LGEE"
"01-01-2012",8,3734.0,3565.4000000000005,"LGEE"
"01-01-2012",9,3828.0,3641.8,"LGEE"
"01-01-2012",10,3889.0,3713.7999999999993,"LGEE"
"01-01-2012",11,3935.0,3736.9000000000005,"LGEE"
"01-01-2012",12,4002.0,3809.9800000000005,"LGEE"
"01-01-2012",13,4051.0,3827.4999999999995,"LGEE"
"01-01-2012",14,3946.0,3738.8999999999996,"LGEE"
"01-01-2012",15,3991.0,3765.7999999999993,"LGEE"
"01-01-2012",16,3987.0,3785.3999999999996,"LGEE"
"01-01-2012",17,4211.0,3977.0999999999995,"LGEE"
"01-01-2012",18,4595.0,4332.5,"LGEE"
"01-01-2012",19,4606.0,4323.1,"LGEE"
"01-01-2012",20,4613.0,4345.0,"LGEE"
"01-01-2012",21,4610.0,4331.7,"LGEE"
"01-01-2012",22,4533.0,4238.0,"LGEE"
"01-01-2012",23,4375.0,4078.6000000000004,"LGEE"
"01-02-2012",0,4199.0,3915.5,"LGEE"
"01-02-2012",1,4141.0,3863.3999999999996,"LGEE"
"01-02-2012",2,4121.0,3851.8999999999996,"LGEE"
"01-02-2012",3,4217.0,3933.607,"LGEE"
"01-02-2012",4,4313.0,4056.6000000000004,"LGEE"
"01-02-2012",5,4553.0,4265.84,"LGEE"
"01-02-2012",6,4899.0,4545.500000000001,"LGEE"
"01-02-2012",7,5447.0,5032.599999999999,"LGEE"
"01-02-2012",8,5550.0,5156.1,"LGEE"
"01-02-2012",9,5620.0,5245.9220000000005,"LGEE"
"01-02-2012",10,5599.0,5246.1,"LGEE"
"01-02-2012",11,5781.0,5429.100000000001,"LGEE"
"01-02-2012",12,5727.0,5392.0,"LGEE"
"01-02-2012",13,5723.0,5359.9,"LGEE"
"01-02-2012",14,5727.0,5347.900000000001,"LGEE"
"01-02-2012",15,5742.0,5387.5,"LGEE"
"01-02-2012",16,5799.0,5438.5,"LGEE"
"01-02-2012",17,6096.0,5729.6,"LGEE"
"01-02-2012",18,6283.0,5905.2,"LGEE"
"01-02-2012",19,6289.0,5905.899999999999,"LGEE"
"01-02-2012",20,6153.0,5781.7,"LGEE"
"01-02-2012",21,6053.0,5687.499999999999,"LGEE"
"01-02-2012",22,5893.0,5527.9000000000015,"LGEE"
"01-02-2012",23,5674.0,5324.101000000001,"LGEE"
"01-03-2012",0,5803.0,5461.9,"LGEE"
"01-03-2012",1,5696.0,5354.900000000001,"LGEE"
"01-03-2012",2,5701.0,5361.501000000001,"LGEE"
"01-03-2012",3,5721.0,5374.2,"LGEE"
"01-03-2012",4,5760.0,5431.2,"LGEE"
"01-03-2012",5,6008.0,5674.6,"LGEE"
"01-03-2012",6,6511.0,6138.015000000001,"LGEE"
"01-03-2012",7,6696.0,6277.1,"LGEE"
"01-03-2012",8,6640.0,6183.022,"LGEE"
"01-03-2012",9,6638.0,6225.0,"LGEE"
"01-03-2012",10,6633.0,6267.353,"LGEE"
"01-03-2012",11,6505.0,6125.502,"LGEE"
"01-03-2012",12,6277.0,5912.401,"LGEE"
"01-03-2012",13,6439.0,6086.796,"LGEE"
"01-03-2012",14,6165.0,5793.120999999999,"LGEE"
"01-03-2012",15,5795.0,5447.799999999999,"LGEE"
"01-03-2012",16,5865.0,5537.501000000001,"LGEE"
"01-03-2012",17,6654.0,6252.847000000001,"LGEE"
