"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,34992.0,37029.69699999999,"MISO"
"01-01-2012",1,34535.0,36618.94999999999,"MISO"
"01-01-2012",2,33489.0,35716.37299999999,"MISO"
"01-01-2012",3,32960.0,35028.9,"MISO"
"01-01-2012",4,32763.0,35172.401,"MISO"
"01-01-2012",5,33102.0,35493.899999999994,"MISO"
"01-01-2012",6,33746.0,36005.285,"MISO"
"01-01-2012",7,34225.0,36327.566000000006,"MISO"
"01-01-2012",8,34874.0,37133.284999999996,"MISO"
"01-01-2012",9,35711.0,37862.275,"MISO"
"01-01-2012",10,36965.0,39291.26,"MISO"
"01-01-2012",11,38138.0,40490.399999999994,"MISO"
"01-01-2012",12,38622.0,40646.84099999999,"MISO"
"01-01-2012",13,38468.0,40574.422,"MISO"
"01-01-2012",14,38124.0,40397.336,"MISO"
"01-01-2012",15,39113.0,41141.003,"MISO"
"01-01-2012",16,41490.0,43076.697000000015,"MISO"
"01-01-2012",17,45304.0,46388.977,"MISO"
"01-01-2012",18,46439.0,47429.038,"MISO"
"01-01-2012",19,45820.0,46924.64299999999,"MISO"
"01-01-2012",20,44859.0,46080.4,"MISO"
"01-01-2012",21,43415.0,44845.76899999999,"MISO"
"01-01-2012",22,41132.0,42764.09900000002,"MISO"
"01-01-2012",23,39060.0,40839.076,"MISO"
"01-02-2012",0,37212.0,39380.39000000001,"MISO"
"01-02-2012",1,35942.0,38311.094999999994,"MISO"
"01-02-2012",2,36072.0,38440.922999999995,"MISO"
"01-02-2012",3,36492.0,38878.15599999999,"MISO"
"01-02-2012",4,37486.0,39714.812,"MISO"
"01-02-2012",5,38596.0,40842.82199999999,"MISO"
"01-02-2012",6,41519.0,43495.170999999995,"MISO"
"01-02-2012",7,43741.0,45431.68300000001,"MISO"
"01-02-2012",8,46067.0,47456.801999999996,"MISO"
"01-02-2012",9,48030.0,49179.101,"MISO"
"01-02-2012",10,49186.0,50108.802,"MISO"
"01-02-2012",11,49613.0,50368.57600000001,"MISO"
"01-02-2012",12,49854.0,50616.653999999995,"MISO"
"01-02-2012",13,49785.0,50634.120999999985,"MISO"
"01-02-2012",14,49855.0,50792.02000000001,"MISO"
"01-02-2012",15,50718.0,51402.327000000005,"MISO"
"01-02-2012",16,54018.0,53745.03200000001,"MISO"
"01-02-2012",17,58300.0,57154.792,"MISO"
"01-02-2012",18,60589.0,59017.602,"MISO"
"01-02-2012",19,60782.0,59136.747,"MISO"
"01-02-2012",20,60290.0,58447.81999999999,"MISO"
"01-02-2012",21,58453.0,57212.268000000004,"MISO"
"01-02-2012",22,55260.0,55145.35000000002,"MISO"
"01-02-2012",23,53768.0,53890.402,"MISO"
"01-03-2012",0,52438.0,52662.322000000015,"MISO"
"01-03-2012",1,50856.0,51281.094999999994,"MISO"
"01-03-2012",2,50224.0,50682.611000000004,"MISO"
"01-03-2012",3,49986.0,50297.042,"MISO"
"01-03-2012",4,51278.0,51087.700000000004,"MISO"
"01-03-2012",5,54108.0,53052.50600000001,"MISO"
"01-03-2012",6,58106.0,56355.54000000001,"MISO"
"01-03-2012",7,60859.0,58725.89799999999,"MISO"
"01-03-2012",8,62170.0,59884.63199999999,"MISO"
"01-03-2012",9,61638.0,59466.486000000004,"MISO"
"01-03-2012",10,61306.0,59460.772000000004,"MISO"
"01-03-2012",11,60895.0,58724.496999999996,"MISO"
"01-03-2012",12,59208.0,58001.179000000004,"MISO"
"01-03-2012",13,58950.0,57647.827,"MISO"
"01-03-2012",14,59276.0,57538.419,"MISO"
"01-03-2012",15,60057.0,57815.40699999999,"MISO"
"01-03-2012",16,61378.0,58786.653000000006,"MISO"
"01-03-2012",17,63712.0,60939.77100000001,"MISO"
"01-03-2012",18,64675.0,62208.971,"MISO"
"01-03-2012",19,63938.0,61379.96,"MISO"
"01-03-2012",20,63644.0,60739.217000000004,"MISO"
"01-03-2012",21,60318.0,57987.50900000001,"MISO"
"01-03-2012",22,56220.0,54570.366,"MISO"
"01-03-2012",23,51745.0,50703.586,"MISO"
"01-04-2012",0,48051.0,47829.602000000006,"MISO"
"01-04-2012",1,46954.0,46861.199,"MISO"
"01-04-2012",2,46165.0,46205.286,"MISO"
"01-04-2012",3,45597.0,45703.69999999999,"MISO"
"01-04-2012",4,46113.0,45892.034,"MISO"
"01-04-2012",5,49490.0,48531.022999999994,"MISO"
"01-04-2012",6,54590.0,53251.49899999998,"MISO"
"01-04-2012",7,58842.0,57170.600999999995,"MISO"
"01-04-2012",8,58933.0,57483.001000000004,"MISO"
"01-04-2012",9,58858.0,57695.69099999999,"MISO"
"01-04-2012",10,58005.0,56889.088,"MISO"
"01-04-2012",11,58006.0,56816.265,"MISO"
"01-04-2012",12,56600.0,55504.19,"MISO"
"01-04-2012",13,56052.0,54956.29,"MISO"
"01-04-2012",14,56259.0,54931.71900000001,"MISO"
"01-04-2012",15,55254.0,53799.33499999999,"MISO"
"01-04-2012",16,56280.0,54634.30100000001,"MISO"
"01-04-2012",17,57523.0,55335.466,"MISO"
"01-04-2012",18,59059.0,56815.09799999999,"MISO"
"01-04-2012",19,58888.0,56316.227999999996,"MISO"
"01-04-2012",20,57007.0,54562.63199999999,"MISO"
"01-04-2012",21,53837.0,52015.803000000014,"MISO"
"01-04-2012",22,51549.0,50135.88999999999,"MISO"
"01-04-2012",23,49143.0,48294.259000000005,"MISO"
"01-05-2012",0,47192.0,46349.09300000001,"MISO"
"01-05-2012",1,46044.0,45579.39899999999,"MISO"
"01-05-2012",2,45909.0,45349.799,"MISO"
"01-05-2012",3,46512.0,45973.577999999994,"MISO"
"01-05-2012",4,46970.0,46507.575999999994,"MISO"
"01-05-2012",5,49832.0,49101.615,"MISO"
"01-05-2012",6,53472.0,52556.637,"MISO"
"01-05-2012",7,55838.0,54804.744,"MISO"
"01-05-2012",8,54891.0,53828.548,"MISO"
"01-05-2012",9,54601.0,53482.85600000001,"MISO"
"01-05-2012",10,54329.0,53054.897,"MISO"
"01-05-2012",11,53474.0,52354.596,"MISO"
"01-05-2012",12,52744.0,51603.56199999999,"MISO"
"01-05-2012",13,52048.0,50848.1,"MISO"
"01-05-2012",14,51390.0,50144.514,"MISO"
"01-05-2012",15,50887.0,49431.047000000006,"MISO"
