"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,782.0,842.4,"NPPD"
"01-01-2012",1,786.0,850.4999999999999,"NPPD"
"01-01-2012",2,775.0,846.8,"NPPD"
"01-01-2012",3,773.0,847.2,"NPPD"
"01-01-2012",4,773.0,848.0,"NPPD"
"01-01-2012",5,877.0,957.8,"NPPD"
"01-01-2012",6,916.0,999.5,"NPPD"
"01-01-2012",7,1018.0,1086.1,"NPPD"
"01-01-2012",8,1091.0,1138.7,"NPPD"
"01-01-2012",9,1152.0,1192.2,"NPPD"
"01-01-2012",10,1156.0,1193.0,"NPPD"
"01-01-2012",11,1151.0,1186.8,"NPPD"
"01-01-2012",12,1133.0,1156.4,"NPPD"
"01-01-2012",13,1096.0,1107.3,"NPPD"
"01-01-2012",14,1088.0,1122.8000000000002,"NPPD"
"01-01-2012",15,1135.0,1167.5,"NPPD"
"01-01-2012",16,1207.0,1240.2,"NPPD"
"01-01-2012",17,1299.0,1333.5,"NPPD"
"01-01-2012",18,1349.0,1380.1999999999998,"NPPD"
"01-01-2012",19,1292.0,1311.9,"NPPD"
"01-01-2012",20,1189.0,1210.3,"NPPD"
"01-01-2012",21,1109.0,1135.4,"NPPD"
"01-01-2012",22,1065.0,1098.6000000000001,"NPPD"
"01-01-2012",23,1049.0,1083.3,"NPPD"
"01-02-2012",0,1026.0,1066.7,"NPPD"
"01-02-2012",1,969.0,1015.8000000000001,"NPPD"
"01-02-2012",2,952.0,1003.6,"NPPD"
"01-02-2012",3,950.0,998.9,"NPPD"
"01-02-2012",4,803.0,834.2,"NPPD"
"01-02-2012",5,876.0,942.4000000000001,"NPPD"
"01-02-2012",6,1106.0,1172.6,"NPPD"
"01-02-2012",7,1318.0,1356.0,"NPPD"
"01-02-2012",8,1423.0,1453.2,"NPPD"
"01-02-2012",9,1537.0,1563.6,"NPPD"
"01-02-2012",10,1604.0,1622.0,"NPPD"
"01-02-2012",11,1616.0,1630.3,"NPPD"
"01-02-2012",12,1551.0,1559.3,"NPPD"
"01-02-2012",13,1529.0,1538.1,"NPPD"
"01-02-2012",14,1502.0,1508.6,"NPPD"
"01-02-2012",15,1534.0,1540.6999999999998,"NPPD"
"01-02-2012",16,1625.0,1638.2,"NPPD"
"01-02-2012",17,1674.0,1678.9,"NPPD"
"01-02-2012",18,1671.0,1670.6,"NPPD"
"01-02-2012",19,1662.0,1659.1999999999998,"NPPD"
"01-02-2012",20,1662.0,1664.8,"NPPD"
"01-02-2012",21,1661.0,1667.3,"NPPD"
"01-02-2012",22,1636.0,1639.3000000000002,"NPPD"
"01-02-2012",23,1528.0,1526.6999999999998,"NPPD"
"01-03-2012",0,1339.0,1344.0,"NPPD"
"01-03-2012",1,1212.0,1231.0,"NPPD"
"01-03-2012",2,1226.0,1246.5,"NPPD"
"01-03-2012",3,1228.0,1249.6,"NPPD"
"01-03-2012",4,1264.0,1291.7,"NPPD"
"01-03-2012",5,1457.0,1482.0,"NPPD"
"01-03-2012",6,1541.0,1560.3000000000002,"NPPD"
"01-03-2012",7,1552.0,1563.5,"NPPD"
"01-03-2012",8,1539.0,1560.8000000000002,"NPPD"
"01-03-2012",9,1540.0,1558.4,"NPPD"
"01-03-2012",10,1542.0,1555.2,"NPPD"
"01-03-2012",11,1476.0,1482.4,"NPPD"
"01-03-2012",12,1457.0,1473.1,"NPPD"
"01-03-2012",13,1378.0,1378.8000000000002,"NPPD"
"01-03-2012",14,1294.0,1297.6,"NPPD"
"01-03-2012",15,1363.0,1376.6999999999998,"NPPD"
"01-03-2012",16,1424.0,1443.2,"NPPD"
"01-03-2012",17,1521.0,1535.6,"NPPD"
"01-03-2012",18,1566.0,1587.0,"NPPD"
"01-03-2012",19,1549.0,1557.4,"NPPD"
"01-03-2012",20,1541.0,1555.7,"NPPD"
"01-03-2012",21,1430.0,1442.0,"NPPD"
"01-03-2012",22,1389.0,1419.6,"NPPD"
"01-03-2012",23,1369.0,1392.7,"NPPD"
"01-04-2012",0,1302.0,1328.1999999999998,"NPPD"
"01-04-2012",1,1152.0,1181.0,"NPPD"
"01-04-2012",2,1218.0,1265.8,"NPPD"
"01-04-2012",3,1318.0,1355.0,"NPPD"
"01-04-2012",4,1328.0,1362.0,"NPPD"
"01-04-2012",5,1468.0,1494.0,"NPPD"
"01-04-2012",6,1671.0,1678.8,"NPPD"
"01-04-2012",7,1700.0,1694.1999999999998,"NPPD"
"01-04-2012",8,1699.0,1711.8,"NPPD"
"01-04-2012",9,1697.0,1707.6,"NPPD"
"01-04-2012",10,1664.0,1667.1999999999998,"NPPD"
"01-04-2012",11,1688.0,1700.8,"NPPD"
"01-04-2012",12,1667.0,1676.3449999999998,"NPPD"
"01-04-2012",13,1552.0,1553.5,"NPPD"
"01-04-2012",14,1473.0,1369.355,"NPPD"
"01-04-2012",15,1321.0,1334.4,"NPPD"
"01-04-2012",16,1367.0,1382.1,"NPPD"
"01-04-2012",17,1413.0,1439.7,"NPPD"
"01-04-2012",18,1499.0,1522.8,"NPPD"
