"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,1333.0,1353.5,"OPPD"
"01-01-2012",1,1330.0,1367.0,"OPPD"
"01-01-2012",2,1295.0,1329.3,"OPPD"
"01-01-2012",3,1275.0,1310.5,"OPPD"
"01-01-2012",4,1276.0,1319.7,"OPPD"
"01-01-2012",5,1356.0,1397.4,"OPPD"
"01-01-2012",6,1460.0,1535.799,"OPPD"
"01-01-2012",7,1506.0,1572.4,"OPPD"
"01-01-2012",8,1484.0,1552.6989999999998,"OPPD"
"01-01-2012",9,1499.0,1561.3999999999999,"OPPD"
"01-01-2012",10,1571.0,1626.3000000000002,"OPPD"
"01-01-2012",11,1487.0,1540.6,"OPPD"
"01-01-2012",12,1461.0,1519.299,"OPPD"
"01-01-2012",13,1472.0,1523.7,"OPPD"
"01-01-2012",14,1417.0,1473.199,"OPPD"
"01-01-2012",15,1391.0,1450.0,"OPPD"
"01-01-2012",16,1471.0,1534.2,"OPPD"
"01-01-2012",17,1673.0,1739.5,"OPPD"
"01-01-2012",18,1724.0,1778.399,"OPPD"
"01-01-2012",19,1672.0,1728.5,"OPPD"
"01-01-2012",20,1737.0,1807.6000000000001,"OPPD"
"01-01-2012",21,1730.0,1796.8999999999999,"OPPD"
"01-01-2012",22,1689.0,1762.2,"OPPD"
"01-01-2012",23,1556.0,1631.201,"OPPD"
"01-02-2012",0,1462.0,1533.8000000000002,"OPPD"
"01-02-2012",1,1463.0,1548.101,"OPPD"
"01-02-2012",2,1469.0,1546.1000000000001,"OPPD"
"01-02-2012",3,1469.0,1558.4,"OPPD"
"01-02-2012",4,1473.0,1560.1000000000001,"OPPD"
"01-02-2012",5,1642.0,1722.699,"OPPD"
"01-02-2012",6,1767.0,1879.0,"OPPD"
"01-02-2012",7,1772.0,1876.7999999999997,"OPPD"
"01-02-2012",8,1820.0,1922.9989999999998,"OPPD"
"01-02-2012",9,1845.0,1945.1,"OPPD"
"01-02-2012",10,1843.0,1934.1000000000001,"OPPD"
"01-02-2012",11,1840.0,1938.801,"OPPD"
"01-02-2012",12,1818.0,1901.6,"OPPD"
"01-02-2012",13,1789.0,1872.8999999999999,"OPPD"
"01-02-2012",14,1782.0,1863.699,"OPPD"
"01-02-2012",15,1802.0,1883.3000000000002,"OPPD"
"01-02-2012",16,1840.0,1921.6000000000001,"OPPD"
"01-02-2012",17,1858.0,1939.5,"OPPD"
"01-02-2012",18,1848.0,1926.5,"OPPD"
"01-02-2012",19,1852.0,1930.3999999999999,"OPPD"
"01-02-2012",20,1848.0,1919.8,"OPPD"
"01-02-2012",21,1841.0,1900.901,"OPPD"
"01-02-2012",22,1795.0,1850.9,"OPPD"
"01-02-2012",23,1586.0,1630.0010000000002,"OPPD"
"01-03-2012",0,1561.0,1617.401,"OPPD"
"01-03-2012",1,1523.0,1588.3990000000001,"OPPD"
"01-03-2012",2,1565.0,1631.0,"OPPD"
"01-03-2012",3,1554.0,1618.9009999999998,"OPPD"
"01-03-2012",4,1691.0,1755.6,"OPPD"
"01-03-2012",5,1831.0,1886.7,"OPPD"
"01-03-2012",6,1858.0,1928.0,"OPPD"
"01-03-2012",7,1854.0,1918.4990000000003,"OPPD"
"01-03-2012",8,1857.0,1934.5,"OPPD"
"01-03-2012",9,1853.0,1912.8,"OPPD"
"01-03-2012",10,1863.0,1920.7,"OPPD"
"01-03-2012",11,1776.0,1796.0,"OPPD"
"01-03-2012",12,1754.0,1769.4009999999998,"OPPD"
"01-03-2012",13,1727.0,1740.001,"OPPD"
"01-03-2012",14,1717.0,1721.5,"OPPD"
"01-03-2012",15,1730.0,1733.6999999999998,"OPPD"
"01-03-2012",16,1801.0,1797.6999999999998,"OPPD"
"01-03-2012",17,1845.0,1849.2,"OPPD"
"01-03-2012",18,1837.0,1843.1999999999998,"OPPD"
"01-03-2012",19,1846.0,1855.0000000000002,"OPPD"
"01-03-2012",20,1844.0,1850.3000000000002,"OPPD"
"01-03-2012",21,1823.0,1820.7000000000003,"OPPD"
"01-03-2012",22,1719.0,1719.6,"OPPD"
"01-03-2012",23,1537.0,1548.5,"OPPD"
"01-04-2012",0,1542.0,1566.201,"OPPD"
"01-04-2012",1,1549.0,1577.201,"OPPD"
"01-04-2012",2,1603.0,1637.1009999999999,"OPPD"
"01-04-2012",3,1647.0,1679.2,"OPPD"
"01-04-2012",4,1684.0,1718.099,"OPPD"
"01-04-2012",5,1817.0,1849.2990000000002,"OPPD"
"01-04-2012",6,1860.0,1922.399,"OPPD"
"01-04-2012",7,1852.0,1903.4,"OPPD"
"01-04-2012",8,1852.0,1913.1000000000001,"OPPD"
"01-04-2012",9,1851.0,1920.8000000000002,"OPPD"
"01-04-2012",10,1853.0,1904.3999999999999,"OPPD"
"01-04-2012",11,1854.0,1919.3000000000002,"OPPD"
"01-04-2012",12,1776.0,1821.5,"OPPD"
"01-04-2012",13,1740.0,1772.9,"OPPD"
"01-04-2012",14,1745.0,1767.6,"OPPD"
"01-04-2012",15,1786.0,1810.3999999999999,"OPPD"
"01-04-2012",16,1796.0,1814.6009999999999,"OPPD"
"01-04-2012",17,1845.0,1854.101,"OPPD"
"01-04-2012",18,1843.0,1859.5989999999997,"OPPD"
"01-04-2012",19,1843.0,1860.6,"OPPD"
"01-04-2012",20,1862.0,1881.0009999999997,"OPPD"
"01-04-2012",21,1852.0,1868.2,"OPPD"
"01-04-2012",22,1801.0,1812.299,"OPPD"
"01-04-2012",23,1699.0,1714.701,"OPPD"
"01-05-2012",0,1644.0,1662.501,"OPPD"
"01-05-2012",1,1618.0,1643.4009999999998,"OPPD"
"01-05-2012",2,1610.0,1624.1000000000001,"OPPD"
"01-05-2012",3,1627.0,1651.9009999999998,"OPPD"
"01-05-2012",4,1735.0,1757.8000000000002,"OPPD"
"01-05-2012",5,1844.0,1844.1999999999998,"OPPD"
"01-05-2012",6,1874.0,1903.0,"OPPD"
"01-05-2012",7,1866.0,1889.9,"OPPD"
"01-05-2012",8,1871.0,1876.0760000000002,"OPPD"
"01-05-2012",9,1767.0,1784.4010000000003,"OPPD"
"01-05-2012",10,1876.0,1816.6,"OPPD"
"01-05-2012",11,1863.0,1871.201,"OPPD"
"01-05-2012",12,1830.0,1830.0990000000002,"OPPD"
"01-05-2012",13,1826.0,1817.8010000000002,"OPPD"
"01-05-2012",14,1814.0,1810.4009999999998,"OPPD"
"01-05-2012",15,1810.0,1802.1,"OPPD"
"01-05-2012",16,1785.0,1768.1,"OPPD"
"01-05-2012",17,1846.0,1828.2,"OPPD"
"01-05-2012",18,1873.0,1847.8990000000001,"OPPD"
"01-05-2012",19,1843.0,1825.3999999999999,"OPPD"
"01-05-2012",20,1833.0,1811.201,"OPPD"
"01-05-2012",21,1713.0,1697.0000000000002,"OPPD"
"01-05-2012",22,1525.0,1516.0010000000002,"OPPD"
"01-05-2012",23,1410.0,1418.8990000000001,"OPPD"
"01-06-2012",0,1313.0,1330.6,"OPPD"
"01-06-2012",1,1292.0,1313.299,"OPPD"
"01-06-2012",2,1306.0,1333.7,"OPPD"
"01-06-2012",3,1328.0,1351.9,"OPPD"
"01-06-2012",4,1371.0,1405.6999999999998,"OPPD"
"01-06-2012",5,1460.0,1494.1999999999998,"OPPD"
"01-06-2012",6,1488.0,1533.299,"OPPD"
