"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,625.0,662.3,"PLUM"
"01-01-2012",1,616.0,655.9,"PLUM"
"01-01-2012",2,609.0,646.2,"PLUM"
"01-01-2012",3,588.0,632.1,"PLUM"
"01-01-2012",4,597.0,640.5,"PLUM"
"01-01-2012",5,584.0,633.1,"PLUM"
"01-01-2012",6,639.0,691.0,"PLUM"
"01-01-2012",7,633.0,685.4,"PLUM"
"01-01-2012",8,648.0,694.3,"PLUM"
"01-01-2012",9,644.0,698.0,"PLUM"
"01-01-2012",10,649.0,698.0,"PLUM"
"01-01-2012",11,649.0,699.5,"PLUM"
"01-01-2012",12,641.0,687.3,"PLUM"
"01-01-2012",13,638.0,686.6,"PLUM"
"01-01-2012",14,648.0,693.9,"PLUM"
"01-01-2012",15,621.0,669.9,"PLUM"
"01-01-2012",16,631.0,679.9,"PLUM"
"01-01-2012",17,689.0,741.6,"PLUM"
"01-01-2012",18,709.0,761.0,"PLUM"
"01-01-2012",19,690.0,739.5,"PLUM"
"01-01-2012",20,687.0,739.5,"PLUM"
"01-01-2012",21,688.0,735.1,"PLUM"
"01-01-2012",22,653.0,704.0,"PLUM"
"01-01-2012",23,641.0,695.1,"PLUM"
"01-02-2012",0,615.0,668.2,"PLUM"
"01-02-2012",1,603.0,657.9,"PLUM"
"01-02-2012",2,609.0,658.4,"PLUM"
"01-02-2012",3,612.0,667.4,"PLUM"
"01-02-2012",4,648.0,704.0,"PLUM"
"01-02-2012",5,689.0,740.2,"PLUM"
"01-02-2012",6,696.0,748.4,"PLUM"
"01-02-2012",7,693.0,748.4,"PLUM"
"01-02-2012",8,703.0,758.1,"PLUM"
"01-02-2012",9,711.0,769.4,"PLUM"
"01-02-2012",10,706.0,764.9,"PLUM"
"01-02-2012",11,706.0,762.6,"PLUM"
"01-02-2012",12,707.0,766.4,"PLUM"
"01-02-2012",13,700.0,754.3,"PLUM"
"01-02-2012",14,683.0,734.3,"PLUM"
"01-02-2012",15,680.0,733.6,"PLUM"
"01-02-2012",16,669.0,721.1,"PLUM"
"01-02-2012",17,684.0,742.4,"PLUM"
"01-02-2012",18,690.0,744.5,"PLUM"
"01-02-2012",19,688.0,750.6,"PLUM"
"01-02-2012",20,700.0,755.1,"PLUM"
"01-02-2012",21,691.0,742.5,"PLUM"
"01-02-2012",22,687.0,741.0,"PLUM"
"01-02-2012",23,685.0,734.3,"PLUM"
"01-03-2012",0,640.0,682.0,"PLUM"
"01-03-2012",1,562.0,613.9,"PLUM"
"01-03-2012",2,572.0,625.6,"PLUM"
"01-03-2012",3,574.0,629.9,"PLUM"
"01-03-2012",4,591.0,650.9,"PLUM"
"01-03-2012",5,666.0,723.3,"PLUM"
"01-03-2012",6,703.0,753.2,"PLUM"
"01-03-2012",7,695.0,747.6,"PLUM"
"01-03-2012",8,697.0,753.6,"PLUM"
"01-03-2012",9,706.0,763.7,"PLUM"
"01-03-2012",10,716.0,768.5,"PLUM"
"01-03-2012",11,677.0,723.0,"PLUM"
"01-03-2012",12,647.0,700.1,"PLUM"
"01-03-2012",13,664.0,715.1,"PLUM"
"01-03-2012",14,660.0,712.3,"PLUM"
"01-03-2012",15,658.0,692.5,"PLUM"
"01-03-2012",16,641.0,679.9,"PLUM"
"01-03-2012",17,670.0,706.8,"PLUM"
"01-03-2012",18,687.0,726.6,"PLUM"
"01-03-2012",19,691.0,726.3,"PLUM"
"01-03-2012",20,673.0,703.0,"PLUM"
"01-03-2012",21,662.0,700.5,"PLUM"
"01-03-2012",22,588.0,624.5,"PLUM"
"01-03-2012",23,602.0,641.2,"PLUM"
"01-04-2012",0,662.0,697.8,"PLUM"
"01-04-2012",1,667.0,703.3,"PLUM"
"01-04-2012",2,665.0,696.0,"PLUM"
"01-04-2012",3,664.0,701.2,"PLUM"
"01-04-2012",4,664.0,695.3,"PLUM"
"01-04-2012",5,676.0,707.2,"PLUM"
"01-04-2012",6,695.0,725.2,"PLUM"
"01-04-2012",7,702.0,732.2,"PLUM"
"01-04-2012",8,700.0,733.4,"PLUM"
"01-04-2012",9,703.0,733.6,"PLUM"
"01-04-2012",10,685.0,714.6,"PLUM"
"01-04-2012",11,679.0,709.7,"PLUM"
"01-04-2012",12,666.0,705.7,"PLUM"
"01-04-2012",13,640.0,682.2,"PLUM"
"01-04-2012",14,673.0,716.3,"PLUM"
"01-04-2012",15,656.0,702.1,"PLUM"
"01-04-2012",16,671.0,711.8,"PLUM"
