"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,3294.0,3117.4,"PNM"
"01-01-2012",1,3239.0,3072.9999999999995,"PNM"
"01-01-2012",2,3292.0,3111.0,"PNM"
"01-01-2012",3,3318.0,3166.514999999999,"PNM"
"01-01-2012",4,3297.0,3143.3999999999996,"PNM"
"01-01-2012",5,3394.0,3173.3000000000006,"PNM"
"01-01-2012",6,3604.0,3305.2000000000003,"PNM"
"01-01-2012",7,3627.0,3323.1,"PNM"
"01-01-2012",8,3647.0,3335.2000000000003,"PNM"
"01-01-2012",9,3724.0,3405.0,"PNM"
"01-01-2012",10,3755.0,3441.1,"PNM"
"01-01-2012",11,3760.0,3422.0,"PNM"
"01-01-2012",12,3754.0,3422.0,"PNM"
"01-01-2012",13,3640.0,3325.7,"PNM"
"01-01-2012",14,3612.0,3325.2000000000003,"PNM"
"01-01-2012",15,3594.0,3289.4,"PNM"
"01-01-2012",16,3664.0,3363.1000000000004,"PNM"
"01-01-2012",17,4049.0,3714.9000000000005,"PNM"
"01-01-2012",18,4200.0,3839.7,"PNM"
"01-01-2012",19,4160.0,3836.1000000000004,"PNM"
"01-01-2012",20,4115.0,3808.7000000000003,"PNM"
"01-01-2012",21,4034.0,3711.7999999999997,"PNM"
"01-01-2012",22,3828.0,3567.408,"PNM"
"01-01-2012",23,3562.0,3375.4000000000005,"PNM"
"01-02-2012",0,3428.0,3249.2,"PNM"
"01-02-2012",1,3204.0,3020.5,"PNM"
"01-02-2012",2,3121.0,2938.0,"PNM"
"01-02-2012",3,3167.0,2986.0820000000003,"PNM"
"01-02-2012",4,3295.0,3082.2999999999997,"PNM"
"01-02-2012",5,3474.0,3194.635,"PNM"
"01-02-2012",6,3574.0,3305.1000000000004,"PNM"
"01-02-2012",7,3666.0,3374.226,"PNM"
"01-02-2012",8,3704.0,3408.3999999999996,"PNM"
"01-02-2012",9,3700.0,3398.2000000000003,"PNM"
"01-02-2012",10,3713.0,3403.3999999999996,"PNM"
"01-02-2012",11,3709.0,3397.8,"PNM"
"01-02-2012",12,3692.0,3404.8,"PNM"
"01-02-2012",13,3640.0,3339.8,"PNM"
"01-02-2012",14,3636.0,3331.7,"PNM"
"01-02-2012",15,3627.0,3332.0999999999995,"PNM"
"01-02-2012",16,3662.0,3363.5,"PNM"
"01-02-2012",17,3866.0,3550.312,"PNM"
"01-02-2012",18,4003.0,3656.3999999999996,"PNM"
"01-02-2012",19,3973.0,3649.5999999999995,"PNM"
"01-02-2012",20,3895.0,3590.5999999999995,"PNM"
"01-02-2012",21,3811.0,3505.257,"PNM"
"01-02-2012",22,3575.0,3357.395,"PNM"
"01-02-2012",23,3163.0,2943.427,"PNM"
"01-03-2012",0,2995.0,2853.4,"PNM"
"01-03-2012",1,2958.0,2829.8,"PNM"
"01-03-2012",2,2947.0,2817.7999999999997,"PNM"
"01-03-2012",3,2948.0,2808.7,"PNM"
"01-03-2012",4,3016.0,2883.8,"PNM"
"01-03-2012",5,3231.0,2996.5999999999995,"PNM"
"01-03-2012",6,3698.0,3400.5690000000004,"PNM"
"01-03-2012",7,3936.0,3578.500000000001,"PNM"
"01-03-2012",8,3862.0,3558.6,"PNM"
"01-03-2012",9,3901.0,3588.1999999999994,"PNM"
"01-03-2012",10,3889.0,3578.6000000000004,"PNM"
"01-03-2012",11,3881.0,3594.4999999999995,"PNM"
"01-03-2012",12,3828.0,3554.8,"PNM"
"01-03-2012",13,3834.0,3532.2,"PNM"
"01-03-2012",14,3781.0,3474.5,"PNM"
"01-03-2012",15,3754.0,3461.6,"PNM"
"01-03-2012",16,3845.0,3556.8999999999996,"PNM"
"01-03-2012",17,4057.0,3666.3000000000006,"PNM"
"01-03-2012",18,4064.0,3711.7000000000003,"PNM"
"01-03-2012",19,3991.0,3666.9,"PNM"
"01-03-2012",20,3880.0,3574.9,"PNM"
"01-03-2012",21,3765.0,3439.9,"PNM"
"01-03-2012",22,3532.0,3284.957,"PNM"
"01-03-2012",23,3198.0,3022.2000000000003,"PNM"
"01-04-2012",0,3006.0,2854.4999999999995,"PNM"
"01-04-2012",1,2917.0,2607.6629999999996,"PNM"
"01-04-2012",2,2781.0,2615.8999999999996,"PNM"
"01-04-2012",3,2850.0,2689.766,"PNM"
"01-04-2012",4,3003.0,2770.2850000000003,"PNM"
"01-04-2012",5,3239.0,2932.444,"PNM"
"01-04-2012",6,3560.0,3260.4999999999995,"PNM"
"01-04-2012",7,3934.0,3563.6259999999993,"PNM"
"01-04-2012",8,3947.0,3564.7999999999997,"PNM"
"01-04-2012",9,3860.0,3506.0000000000005,"PNM"
"01-04-2012",10,3799.0,3480.5,"PNM"
"01-04-2012",11,3777.0,3410.5000000000005,"PNM"
"01-04-2012",12,3753.0,3443.2000000000007,"PNM"
"01-04-2012",13,3749.0,3442.1,"PNM"
"01-04-2012",14,3745.0,3458.1,"PNM"
"01-04-2012",15,3714.0,3399.2999999999997,"PNM"
"01-04-2012",16,3753.0,3441.4,"PNM"
"01-04-2012",17,3854.0,3522.0,"PNM"
"01-04-2012",18,3936.0,3559.2999999999993,"PNM"
"01-04-2012",19,3927.0,3531.8750000000005,"PNM"
"01-04-2012",20,3950.0,3522.7,"PNM"
"01-04-2012",21,3807.0,3470.5859999999993,"PNM"
"01-04-2012",22,3587.0,3368.2,"PNM"
"01-04-2012",23,3278.0,3120.74,"PNM"
"01-05-2012",0,3210.0,3062.7000000000003,"PNM"
"01-05-2012",1,3228.0,3069.8,"PNM"
"01-05-2012",2,3122.0,2955.6000000000004,"PNM"
"01-05-2012",3,3142.0,2993.7720000000004,"PNM"
"01-05-2012",4,3371.0,3180.2,"PNM"
"01-05-2012",5,3629.0,3377.5400000000004,"PNM"
"01-05-2012",6,3889.0,3672.7499999999995,"PNM"
"01-05-2012",7,3932.0,3753.037,"PNM"
"01-05-2012",8,3889.0,3709.4,"PNM"
"01-05-2012",9,3898.0,3649.1,"PNM"
"01-05-2012",10,3892.0,3631.2000000000003,"PNM"
"01-05-2012",11,3887.0,3648.399999999999,"PNM"
"01-05-2012",12,3837.0,3562.7999999999997,"PNM"
"01-05-2012",13,3752.0,3483.2999999999997,"PNM"
"01-05-2012",14,3728.0,3438.3199999999997,"PNM"
"01-05-2012",15,3734.0,3451.0000000000005,"PNM"
"01-05-2012",16,3706.0,3425.3,"PNM"
"01-05-2012",17,3856.0,3562.9,"PNM"
"01-05-2012",18,4099.0,3785.2999999999997,"PNM"
"01-05-2012",19,4081.0,3753.8,"PNM"
"01-05-2012",20,4033.0,3701.999999999999,"PNM"
"01-05-2012",21,4015.0,3715.1600000000003,"PNM"
"01-05-2012",22,3764.0,3560.6,"PNM"
"01-05-2012",23,3542.0,3391.2539999999995,"PNM"
"01-06-2012",0,3507.0,3368.2000000000003,"PNM"
"01-06-2012",1,3472.0,3350.8,"PNM"
"01-06-2012",2,3438.0,3314.6,"PNM"
"01-06-2012",3,3439.0,3332.1,"PNM"
"01-06-2012",4,3529.0,3388.13,"PNM"
"01-06-2012",5,3784.0,3573.1160000000004,"PNM"
"01-06-2012",6,3950.0,3738.8,"PNM"
"01-06-2012",7,4059.0,3821.9,"PNM"
"01-06-2012",8,4095.0,3812.7000000000007,"PNM"
"01-06-2012",9,4078.0,3814.7000000000003,"PNM"
"01-06-2012",10,4016.0,3763.7000000000003,"PNM"
"01-06-2012",11,3918.0,3631.4049999999997,"PNM"
"01-06-2012",12,3864.0,3580.3560000000007,"PNM"
"01-06-2012",13,3875.0,3609.6000000000004,"PNM"
"01-06-2012",14,3933.0,3646.7,"PNM"
"01-06-2012",15,3913.0,3642.8999999999996,"PNM"
"01-06-2012",16,3946.0,3680.4999999999995,"PNM"
"01-06-2012",17,4141.0,3853.9,"PNM"
"01-06-2012",18,4200.0,3904.8,"PNM"
"01-06-2012",19,4171.0,3835.3,"PNM"
"01-06-2012",20,4148.0,3802.1,"PNM"
"01-06-2012",21,4095.0,3751.2000000000003,"PNM"
"01-06-2012",22,3843.0,3569.768,"PNM"
"01-06-2012",23,3538.0,3391.3629999999994,"PNM"
"01-07-2012",0,3497.0,3398.1,"PNM"
"01-07-2012",1,3474.0,3345.3000000000006,"PNM"
"01-07-2012",2,3469.0,3358.7000000000003,"PNM"
"01-07-2012",3,3577.0,3442.831,"PNM"
"01-07-2012",4,3643.0,3495.9000000000005,"PNM"
"01-07-2012",5,3799.0,3591.3,"PNM"
"01-07-2012",6,3951.0,3770.354,"PNM"
"01-07-2012",7,4073.0,3821.2,"PNM"
"01-07-2012",8,4119.0,3841.9999999999995,"PNM"
"01-07-2012",9,4080.0,3791.3999999999996,"PNM"
"01-07-2012",10,4094.0,3823.9999999999995,"PNM"
"01-07-2012",11,4050.0,3777.2,"PNM"
"01-07-2012",12,4034.0,3761.8999999999996,"PNM"
"01-07-2012",13,4007.0,3749.4,"PNM"
