"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,46.0,27.2,"RC"
"01-01-2012",1,46.0,27.2,"RC"
"01-01-2012",2,46.0,27.2,"RC"
"01-01-2012",3,46.0,27.2,"RC"
"01-01-2012",4,46.0,27.2,"RC"
"01-01-2012",5,46.0,27.2,"RC"
"01-01-2012",6,46.0,27.2,"RC"
"01-01-2012",7,46.0,27.2,"RC"
"01-01-2012",8,46.0,27.2,"RC"
"01-01-2012",9,46.0,27.2,"RC"
"01-01-2012",10,46.0,27.3,"RC"
"01-01-2012",11,46.0,27.3,"RC"
"01-01-2012",12,46.0,27.3,"RC"
"01-01-2012",13,46.0,27.3,"RC"
"01-01-2012",14,46.0,27.3,"RC"
"01-01-2012",15,46.0,27.3,"RC"
"01-01-2012",16,46.0,27.3,"RC"
"01-01-2012",17,46.0,27.2,"RC"
"01-01-2012",18,46.0,27.2,"RC"
"01-01-2012",19,46.0,27.2,"RC"
"01-01-2012",20,46.0,27.2,"RC"
"01-01-2012",21,46.0,27.2,"RC"
"01-01-2012",22,43.0,26.0,"RC"
"01-01-2012",23,44.0,26.5,"RC"
"01-02-2012",0,46.0,27.3,"RC"
"01-02-2012",1,46.0,27.3,"RC"
"01-02-2012",2,46.0,27.3,"RC"
"01-02-2012",3,46.0,27.3,"RC"
"01-02-2012",4,46.0,27.3,"RC"
"01-02-2012",5,46.0,27.3,"RC"
"01-02-2012",6,46.0,27.3,"RC"
"01-02-2012",7,46.0,27.3,"RC"
"01-02-2012",8,46.0,27.2,"RC"
"01-02-2012",9,46.0,27.2,"RC"
"01-02-2012",10,46.0,27.3,"RC"
"01-02-2012",11,46.0,27.3,"RC"
"01-02-2012",12,46.0,27.3,"RC"
"01-02-2012",13,46.0,27.3,"RC"
"01-02-2012",14,46.0,27.4,"RC"
"01-02-2012",15,46.0,27.4,"RC"
"01-02-2012",16,46.0,27.3,"RC"
"01-02-2012",17,46.0,27.3,"RC"
"01-02-2012",18,46.0,27.3,"RC"
"01-02-2012",19,46.0,27.3,"RC"
"01-02-2012",20,46.0,27.2,"RC"
"01-02-2012",21,46.0,27.2,"RC"
"01-02-2012",22,46.0,27.2,"RC"
