"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,1568.0,1169.0120000000002,"SEC"
"01-01-2012",1,1562.0,1158.5,"SEC"
"01-01-2012",2,1446.0,1108.0,"SEC"
"01-01-2012",3,1373.0,1063.1999999999998,"SEC"
"01-01-2012",4,1372.0,1076.0,"SEC"
"01-01-2012",5,1426.0,1130.0,"SEC"
"01-01-2012",6,1625.0,1259.6869999999997,"SEC"
"01-01-2012",7,1702.0,1337.9400000000003,"SEC"
"01-01-2012",8,1899.0,1414.787,"SEC"
"01-01-2012",9,2035.0,1433.3170000000002,"SEC"
"01-01-2012",10,2099.0,1448.9999999999998,"SEC"
"01-01-2012",11,2151.0,1444.8000000000002,"SEC"
"01-01-2012",12,2184.0,1454.8,"SEC"
"01-01-2012",13,2233.0,1474.0,"SEC"
"01-01-2012",14,2236.0,1482.0,"SEC"
"01-01-2012",15,2218.0,1462.3000000000002,"SEC"
"01-01-2012",16,2139.0,1427.5000000000002,"SEC"
"01-01-2012",17,2185.0,1475.1,"SEC"
"01-01-2012",18,2299.0,1520.3,"SEC"
"01-01-2012",19,2156.0,1486.5,"SEC"
"01-01-2012",20,1886.0,1334.9740000000002,"SEC"
"01-01-2012",21,1658.0,1199.1000000000001,"SEC"
"01-01-2012",22,1431.0,1103.6699999999998,"SEC"
"01-01-2012",23,1351.0,1076.3000000000002,"SEC"
"01-02-2012",0,1378.0,1130.396,"SEC"
"01-02-2012",1,1319.0,1083.742,"SEC"
"01-02-2012",2,1324.0,1079.742,"SEC"
"01-02-2012",3,1265.0,1063.242,"SEC"
"01-02-2012",4,1261.0,1063.942,"SEC"
"01-02-2012",5,1374.0,1111.342,"SEC"
"01-02-2012",6,1394.0,1159.9080000000001,"SEC"
"01-02-2012",7,1573.0,1299.542,"SEC"
"01-02-2012",8,1951.0,1454.8419999999999,"SEC"
"01-02-2012",9,2147.0,1531.7420000000002,"SEC"
"01-02-2012",10,2275.0,1603.442,"SEC"
"01-02-2012",11,2292.0,1611.4419999999996,"SEC"
"01-02-2012",12,2234.0,1550.3420000000003,"SEC"
"01-02-2012",13,2198.0,1541.5420000000001,"SEC"
"01-02-2012",14,2088.0,1458.342,"SEC"
"01-02-2012",15,2039.0,1418.7419999999997,"SEC"
"01-02-2012",16,2120.0,1449.2420000000002,"SEC"
"01-02-2012",17,2270.0,1508.1420000000003,"SEC"
"01-02-2012",18,2640.0,1742.6419999999998,"SEC"
"01-02-2012",19,2746.0,1784.147,"SEC"
"01-02-2012",20,2648.0,1749.2420000000002,"SEC"
"01-02-2012",21,2403.0,1620.549,"SEC"
"01-02-2012",22,2317.0,1585.0960000000002,"SEC"
"01-02-2012",23,2360.0,1629.442,"SEC"
"01-03-2012",0,2053.0,1515.208,"SEC"
"01-03-2012",1,1990.0,1494.8659999999998,"SEC"
"01-03-2012",2,2047.0,1561.8759999999997,"SEC"
"01-03-2012",3,2030.0,1553.4759999999999,"SEC"
"01-03-2012",4,1975.0,1494.5509999999997,"SEC"
"01-03-2012",5,2058.0,1558.82,"SEC"
"01-03-2012",6,2196.0,1804.602,"SEC"
"01-03-2012",7,2349.0,1805.0249999999996,"SEC"
"01-03-2012",8,2647.0,1882.282,"SEC"
"01-03-2012",9,2683.0,1861.5990000000002,"SEC"
"01-03-2012",10,2583.0,1812.1430000000003,"SEC"
"01-03-2012",11,2443.0,1692.2,"SEC"
"01-03-2012",12,2480.0,1692.4660000000001,"SEC"
"01-03-2012",13,2343.0,1609.4110000000005,"SEC"
"01-03-2012",14,2176.0,1474.5,"SEC"
"01-03-2012",15,2201.0,1445.8680000000002,"SEC"
"01-03-2012",16,2443.0,1574.182,"SEC"
