"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,1265.0,536.4,"SMUD"
"01-01-2012",1,1250.0,529.6,"SMUD"
"01-01-2012",2,1094.0,427.496,"SMUD"
"01-01-2012",3,965.0,416.79999999999995,"SMUD"
"01-01-2012",4,969.0,418.29999999999995,"SMUD"
"01-01-2012",5,952.0,412.1,"SMUD"
"01-01-2012",6,943.0,409.20000000000005,"SMUD"
"01-01-2012",7,968.0,422.8,"SMUD"
"01-01-2012",8,1051.0,446.23999999999995,"SMUD"
"01-01-2012",9,1167.0,510.6,"SMUD"
"01-01-2012",10,1148.0,497.1,"SMUD"
"01-01-2012",11,1219.0,521.1999999999999,"SMUD"
"01-01-2012",12,1215.0,518.9000000000001,"SMUD"
"01-01-2012",13,1204.0,513.2,"SMUD"
"01-01-2012",14,1201.0,511.79999999999995,"SMUD"
"01-01-2012",15,1236.0,524.3,"SMUD"
"01-01-2012",16,1243.0,527.0,"SMUD"
"01-01-2012",17,1215.0,518.3000000000001,"SMUD"
"01-01-2012",18,1279.0,544.7,"SMUD"
"01-01-2012",19,1283.0,546.9000000000001,"SMUD"
"01-01-2012",20,1287.0,548.9,"SMUD"
"01-01-2012",21,1290.0,549.8,"SMUD"
"01-01-2012",22,1288.0,549.4,"SMUD"
"01-01-2012",23,1289.0,550.3,"SMUD"
"01-02-2012",0,1284.0,543.3,"SMUD"
"01-02-2012",1,1152.0,475.695,"SMUD"
"01-02-2012",2,969.0,417.20000000000005,"SMUD"
"01-02-2012",3,902.0,393.3,"SMUD"
"01-02-2012",4,909.0,396.4,"SMUD"
"01-02-2012",5,921.0,400.90000000000003,"SMUD"
"01-02-2012",6,922.0,402.79999999999995,"SMUD"
"01-02-2012",7,1005.0,436.3,"SMUD"
"01-02-2012",8,1104.0,464.35699999999997,"SMUD"
"01-02-2012",9,1220.0,534.6999999999999,"SMUD"
"01-02-2012",10,1361.0,583.932,"SMUD"
"01-02-2012",11,1363.0,592.1,"SMUD"
"01-02-2012",12,1349.0,585.8,"SMUD"
"01-02-2012",13,1344.0,583.8,"SMUD"
"01-02-2012",14,1343.0,583.1999999999999,"SMUD"
"01-02-2012",15,1376.0,591.8349999999999,"SMUD"
"01-02-2012",16,1491.0,648.6099999999999,"SMUD"
"01-02-2012",17,1507.0,667.7,"SMUD"
"01-02-2012",18,1508.0,664.59,"SMUD"
"01-02-2012",19,1526.0,660.5,"SMUD"
"01-02-2012",20,1532.0,660.0250000000001,"SMUD"
"01-02-2012",21,1487.0,639.5,"SMUD"
