"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,6960.0,3028.095,"CISO"
"01-01-2010",1,6172.0,2715.6569999999997,"CISO"
"01-01-2010",2,5740.0,2500.025,"CISO"
"01-01-2010",3,5588.0,2430.379999999999,"CISO"
"01-01-2010",4,5493.0,2398.6,"CISO"
"01-01-2010",5,5582.0,2441.7509999999997,"CISO"
"01-01-2010",6,6061.0,2650.261000000001,"CISO"
"01-01-2010",7,6151.0,2689.73,"CISO"
"01-01-2010",8,6227.0,2781.7470000000003,"CISO"
"01-01-2010",9,6456.0,2872.9060000000004,"CISO"
"01-01-2010",10,6688.0,2928.775,"CISO"
"01-01-2010",11,6869.0,2985.637999999999,"CISO"
"01-01-2010",12,7245.0,3146.0,"CISO"
"01-01-2010",13,7096.0,3062.149999999999,"CISO"
"01-01-2010",14,6865.0,2977.525,"CISO"
"01-01-2010",15,6757.0,2946.07,"CISO"
"01-01-2010",16,6935.0,3008.0760000000005,"CISO"
"01-01-2010",17,8126.0,3486.955,"CISO"
"01-01-2010",18,8590.0,3668.8199999999997,"CISO"
"01-01-2010",19,8344.0,3529.05,"CISO"
"01-01-2010",20,8277.0,3497.055,"CISO"
"01-01-2010",21,7936.0,3390.999999999999,"CISO"
"01-01-2010",22,7120.0,3081.0999999999995,"CISO"
"01-01-2010",23,6097.0,2571.567,"CISO"
"01-02-2010",0,5045.0,2204.3639999999996,"CISO"
"01-02-2010",1,4326.0,1935.2250000000001,"CISO"
"01-02-2010",2,4269.0,1935.1,"CISO"
"01-02-2010",3,4365.0,1964.215,"CISO"
"01-02-2010",4,4637.0,2065.3,"CISO"
"01-02-2010",5,4927.0,2194.6259999999997,"CISO"
"01-02-2010",6,5413.0,2417.467,"CISO"
"01-02-2010",7,5889.0,2574.167000000001,"CISO"
"01-02-2010",8,5910.0,2589.684,"CISO"
"01-02-2010",9,6295.0,2759.77,"CISO"
"01-02-2010",10,7037.0,3028.8809999999994,"CISO"
"01-02-2010",11,7430.0,3166.6000000000004,"CISO"
"01-02-2010",12,7420.0,3130.8500000000004,"CISO"
"01-02-2010",13,7393.0,3161.252,"CISO"
"01-02-2010",14,7312.0,3124.46,"CISO"
"01-02-2010",15,6781.0,2946.5999999999995,"CISO"
"01-02-2010",16,7411.0,3177.685,"CISO"
"01-02-2010",17,8543.0,3692.2999999999993,"CISO"
"01-02-2010",18,9119.0,3901.015,"CISO"
"01-02-2010",19,8909.0,3792.2200000000007,"CISO"
"01-02-2010",20,8766.0,3718.3099999999995,"CISO"
"01-02-2010",21,8388.0,3536.5600000000013,"CISO"
"01-02-2010",22,7779.0,3303.088,"CISO"
"01-02-2010",23,6808.0,2854.737,"CISO"
"01-03-2010",0,5786.0,2417.056,"CISO"
"01-03-2010",1,5269.0,2300.0,"CISO"
"01-03-2010",2,5058.0,2205.5,"CISO"
"01-03-2010",3,4930.0,2167.2000000000003,"CISO"
"01-03-2010",4,4940.0,2167.2999999999997,"CISO"
"01-03-2010",5,5087.0,2246.5260000000003,"CISO"
"01-03-2010",6,5579.0,2473.7850000000008,"CISO"
"01-03-2010",7,6118.0,2669.341,"CISO"
"01-03-2010",8,6304.0,2772.4200000000005,"CISO"
"01-03-2010",9,6682.0,2923.652,"CISO"
"01-03-2010",10,6953.0,3009.7,"CISO"
"01-03-2010",11,7202.0,3109.0,"CISO"
"01-03-2010",12,7157.0,3106.5,"CISO"
"01-03-2010",13,7088.0,3088.8000000000006,"CISO"
"01-03-2010",14,6919.0,3062.599999999999,"CISO"
"01-03-2010",15,7126.0,3137.2,"CISO"
"01-03-2010",16,7119.0,3164.548,"CISO"
"01-03-2010",17,8887.0,3881.083999999999,"CISO"
"01-03-2010",18,9454.0,4224.990000000002,"CISO"
"01-03-2010",19,8970.0,3958.029,"CISO"
"01-03-2010",20,8761.0,3831.719999999999,"CISO"
"01-03-2010",21,8735.0,3813.1299999999997,"CISO"
"01-03-2010",22,7825.0,3358.2189999999987,"CISO"
"01-03-2010",23,6874.0,2919.1899999999996,"CISO"
"01-04-2010",0,5874.0,2578.9919999999997,"CISO"
"01-04-2010",1,5463.0,2474.0,"CISO"
"01-04-2010",2,5119.0,2365.4559999999997,"CISO"
"01-04-2010",3,5200.0,2423.8199999999993,"CISO"
"01-04-2010",4,5689.0,2677.288,"CISO"
"01-04-2010",5,7042.0,3155.7079999999996,"CISO"
"01-04-2010",6,8425.0,3813.4139999999998,"CISO"
"01-04-2010",7,9746.0,4407.16,"CISO"
