"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,1142.0,1068.5,"CLEC"
"01-01-2010",1,1205.0,1169.8,"CLEC"
"01-01-2010",2,1216.0,1194.4,"CLEC"
"01-01-2010",3,1224.0,1186.6999999999998,"CLEC"
"01-01-2010",4,1217.0,1186.4,"CLEC"
"01-01-2010",5,1193.0,1164.7,"CLEC"
"01-01-2010",6,1200.0,1179.6999999999998,"CLEC"
"01-01-2010",7,1102.0,1081.6999999999998,"CLEC"
"01-01-2010",8,1346.0,1270.4,"CLEC"
"01-01-2010",9,1382.0,1309.7,"CLEC"
"01-01-2010",10,1340.0,1272.2,"CLEC"
"01-01-2010",11,1336.0,1293.0,"CLEC"
"01-01-2010",12,1329.0,1282.8,"CLEC"
"01-01-2010",13,1283.0,1245.0,"CLEC"
"01-01-2010",14,1266.0,1245.4379999999999,"CLEC"
"01-01-2010",15,1220.0,1207.1999999999998,"CLEC"
"01-01-2010",16,1216.0,1192.4,"CLEC"
"01-01-2010",17,1260.0,1210.3,"CLEC"
"01-01-2010",18,1322.0,1271.8,"CLEC"
"01-01-2010",19,1330.0,1276.1000000000001,"CLEC"
"01-01-2010",20,1405.0,1319.8,"CLEC"
"01-01-2010",21,1408.0,1324.4,"CLEC"
"01-01-2010",22,1430.0,1335.3000000000002,"CLEC"
"01-01-2010",23,1373.0,1298.8000000000002,"CLEC"
"01-02-2010",0,1319.0,1273.0,"CLEC"
"01-02-2010",1,1300.0,1267.1999999999998,"CLEC"
"01-02-2010",2,1320.0,1278.1000000000001,"CLEC"
"01-02-2010",3,1328.0,1285.4,"CLEC"
"01-02-2010",4,1375.0,1309.6,"CLEC"
"01-02-2010",5,1427.0,1341.9,"CLEC"
"01-02-2010",6,1413.0,1346.7,"CLEC"
"01-02-2010",7,1469.0,1364.5,"CLEC"
"01-02-2010",8,1508.0,1390.6000000000001,"CLEC"
"01-02-2010",9,1496.0,1378.7079999999999,"CLEC"
"01-02-2010",10,1453.0,1354.5,"CLEC"
"01-02-2010",11,1410.0,1323.6,"CLEC"
"01-02-2010",12,1383.0,1316.0,"CLEC"
"01-02-2010",13,1334.0,1267.3,"CLEC"
"01-02-2010",14,1274.0,1225.9,"CLEC"
"01-02-2010",15,1265.0,1223.1,"CLEC"
"01-02-2010",16,1294.0,1233.3000000000002,"CLEC"
"01-02-2010",17,1443.0,1327.4,"CLEC"
"01-02-2010",18,1531.0,1387.3,"CLEC"
"01-02-2010",19,1433.0,1322.8000000000002,"CLEC"
"01-02-2010",20,1459.0,1351.8999999999999,"CLEC"
"01-02-2010",21,1409.0,1327.3000000000002,"CLEC"
"01-02-2010",22,1343.0,1276.8,"CLEC"
"01-02-2010",23,1349.0,1280.6000000000001,"CLEC"
"01-03-2010",0,1328.0,1270.2,"CLEC"
"01-03-2010",1,1446.0,1345.2,"CLEC"
"01-03-2010",2,1449.0,1356.7,"CLEC"
"01-03-2010",3,1473.0,1367.3000000000002,"CLEC"
"01-03-2010",4,1432.0,1340.4,"CLEC"
"01-03-2010",5,1439.0,1354.1000000000001,"CLEC"
"01-03-2010",6,1445.0,1363.9,"CLEC"
"01-03-2010",7,1519.0,1393.5,"CLEC"
"01-03-2010",8,1606.0,1445.9,"CLEC"
"01-03-2010",9,1583.0,1445.7,"CLEC"
"01-03-2010",10,1473.0,1388.3999999999999,"CLEC"
"01-03-2010",11,1430.0,1362.1,"CLEC"
"01-03-2010",12,1421.0,1356.3,"CLEC"
"01-03-2010",13,1447.0,1367.1,"CLEC"
"01-03-2010",14,1400.0,1346.8999999999999,"CLEC"
"01-03-2010",15,1380.0,1334.0,"CLEC"
"01-03-2010",16,1396.0,1348.6,"CLEC"
"01-03-2010",17,1452.0,1374.0,"CLEC"
"01-03-2010",18,1538.0,1429.6,"CLEC"
"01-03-2010",19,1589.0,1450.1,"CLEC"
"01-03-2010",20,1576.0,1430.9,"CLEC"
"01-03-2010",21,1482.0,1384.5,"CLEC"
"01-03-2010",22,1436.0,1355.1,"CLEC"
"01-03-2010",23,1378.0,1314.5,"CLEC"
"01-04-2010",0,1391.0,1318.6,"CLEC"
"01-04-2010",1,1387.0,1323.8000000000002,"CLEC"
"01-04-2010",2,1327.0,1282.9,"CLEC"
"01-04-2010",3,1341.0,1280.9,"CLEC"
"01-04-2010",4,1292.0,1250.3,"CLEC"
"01-04-2010",5,1378.0,1304.2,"CLEC"
"01-04-2010",6,1498.0,1400.0,"CLEC"
"01-04-2010",7,1553.0,1426.4,"CLEC"
"01-04-2010",8,1534.0,1412.8000000000002,"CLEC"
"01-04-2010",9,1522.0,1427.8,"CLEC"
"01-04-2010",10,1498.0,1417.9,"CLEC"
"01-04-2010",11,1571.0,1450.6999999999998,"CLEC"
"01-04-2010",12,1576.0,1451.7,"CLEC"
"01-04-2010",13,1668.0,1511.7000000000003,"CLEC"
"01-04-2010",14,1700.0,1523.0,"CLEC"
"01-04-2010",15,1733.0,1538.1999999999998,"CLEC"
"01-04-2010",16,1723.0,1533.5,"CLEC"
"01-04-2010",17,1751.0,1550.3,"CLEC"
"01-04-2010",18,1752.0,1558.2,"CLEC"
"01-04-2010",19,1718.0,1527.5,"CLEC"
"01-04-2010",20,1662.0,1500.8000000000002,"CLEC"
"01-04-2010",21,1637.0,1495.02,"CLEC"
"01-04-2010",22,1588.0,1479.0,"CLEC"
"01-04-2010",23,1495.0,1422.0,"CLEC"
"01-05-2010",0,1594.0,1424.8,"CLEC"
"01-05-2010",1,1594.0,1428.1,"CLEC"
"01-05-2010",2,1537.0,1384.8000000000002,"CLEC"
"01-05-2010",3,1475.0,1345.6999999999998,"CLEC"
"01-05-2010",4,1568.0,1396.8000000000002,"CLEC"
"01-05-2010",5,1655.0,1439.5,"CLEC"
"01-05-2010",6,1863.0,1578.1,"CLEC"
"01-05-2010",7,1858.0,1557.1000000000001,"CLEC"
"01-05-2010",8,1765.0,1514.0,"CLEC"
"01-05-2010",9,1717.0,1517.6,"CLEC"
"01-05-2010",10,1662.0,1494.8000000000002,"CLEC"
"01-05-2010",11,1678.0,1492.9,"CLEC"
"01-05-2010",12,1623.0,1470.1999999999998,"CLEC"
"01-05-2010",13,1541.0,1412.5,"CLEC"
"01-05-2010",14,1458.0,1340.0,"CLEC"
"01-05-2010",15,1424.0,1308.9,"CLEC"
"01-05-2010",16,1406.0,1281.1,"CLEC"
"01-05-2010",17,1466.0,1325.3,"CLEC"
"01-05-2010",18,1666.0,1453.6999999999998,"CLEC"
"01-05-2010",19,1733.0,1505.6999999999998,"CLEC"
"01-05-2010",20,1723.0,1499.0,"CLEC"
"01-05-2010",21,1665.0,1463.3999999999999,"CLEC"
"01-05-2010",22,1613.0,1440.827,"CLEC"
"01-05-2010",23,1506.0,1367.5,"CLEC"
"01-06-2010",0,1573.0,1380.729,"CLEC"
"01-06-2010",1,1697.0,1481.9,"CLEC"
"01-06-2010",2,1769.0,1517.1999999999998,"CLEC"
"01-06-2010",3,1675.0,1405.4,"CLEC"
"01-06-2010",4,1735.0,1460.9,"CLEC"
"01-06-2010",5,1903.0,1571.9,"CLEC"
"01-06-2010",6,1994.0,1647.9,"CLEC"
"01-06-2010",7,1999.0,1644.5,"CLEC"
"01-06-2010",8,1914.0,1603.6,"CLEC"
"01-06-2010",9,1739.0,1521.6,"CLEC"
"01-06-2010",10,1807.0,1549.0,"CLEC"
"01-06-2010",11,1779.0,1540.2,"CLEC"
"01-06-2010",12,1727.0,1515.0,"CLEC"
"01-06-2010",13,1738.0,1489.8000000000002,"CLEC"
"01-06-2010",14,1741.0,1486.6,"CLEC"
"01-06-2010",15,1777.0,1509.4,"CLEC"
"01-06-2010",16,1795.0,1531.6,"CLEC"
"01-06-2010",17,1831.0,1541.1,"CLEC"
"01-06-2010",18,1863.0,1561.6,"CLEC"
"01-06-2010",19,1819.0,1528.2,"CLEC"
"01-06-2010",20,1785.0,1515.1,"CLEC"
"01-06-2010",21,1673.0,1441.1,"CLEC"
"01-06-2010",22,1363.0,1178.022,"CLEC"
"01-06-2010",23,1244.0,1088.0,"CLEC"
"01-07-2010",0,1194.0,1063.0,"CLEC"
"01-07-2010",1,1202.0,1085.828,"CLEC"
"01-07-2010",2,1158.0,1041.5,"CLEC"
