"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,395.0,283.6,"EDE"
"01-01-2010",1,350.0,262.4,"EDE"
"01-01-2010",2,334.0,254.7,"EDE"
"01-01-2010",3,344.0,312.2,"EDE"
"01-01-2010",4,364.0,322.1,"EDE"
"01-01-2010",5,374.0,326.09999999999997,"EDE"
"01-01-2010",6,310.0,295.3,"EDE"
"01-01-2010",7,331.0,292.5,"EDE"
"01-01-2010",8,399.0,312.4,"EDE"
"01-01-2010",9,417.0,400.19999999999993,"EDE"
"01-01-2010",10,496.0,435.29999999999995,"EDE"
"01-01-2010",11,448.0,408.7,"EDE"
"01-01-2010",12,396.0,386.4,"EDE"
"01-01-2010",13,384.0,381.09999999999997,"EDE"
"01-01-2010",14,382.0,380.59999999999997,"EDE"
"01-01-2010",15,388.0,385.0,"EDE"
"01-01-2010",16,400.0,391.0,"EDE"
"01-01-2010",17,465.0,437.79999999999995,"EDE"
"01-01-2010",18,585.0,520.3000000000001,"EDE"
"01-01-2010",19,584.0,519.0,"EDE"
"01-01-2010",20,575.0,513.9,"EDE"
"01-01-2010",21,593.0,523.3,"EDE"
"01-01-2010",22,599.0,525.0999999999999,"EDE"
"01-01-2010",23,545.0,499.1,"EDE"
"01-02-2010",0,565.0,511.9,"EDE"
"01-02-2010",1,594.0,522.4,"EDE"
"01-02-2010",2,615.0,534.1,"EDE"
"01-02-2010",3,618.0,538.7,"EDE"
"01-02-2010",4,618.0,536.7,"EDE"
"01-02-2010",5,610.0,531.1,"EDE"
"01-02-2010",6,593.0,525.5,"EDE"
"01-02-2010",7,618.0,535.3,"EDE"
"01-02-2010",8,621.0,537.5,"EDE"
"01-02-2010",9,614.0,534.6,"EDE"
"01-02-2010",10,619.0,535.0,"EDE"
"01-02-2010",11,616.0,537.5,"EDE"
"01-02-2010",12,603.0,528.8000000000001,"EDE"
"01-02-2010",13,575.0,516.8,"EDE"
"01-02-2010",14,535.0,497.00000000000006,"EDE"
"01-02-2010",15,534.0,496.6,"EDE"
"01-02-2010",16,591.0,524.9,"EDE"
"01-02-2010",17,606.0,533.0,"EDE"
"01-02-2010",18,608.0,530.3,"EDE"
"01-02-2010",19,616.0,538.1,"EDE"
"01-02-2010",20,608.0,519.84,"EDE"
"01-02-2010",21,464.0,440.26,"EDE"
"01-02-2010",22,465.0,450.6,"EDE"
"01-02-2010",23,462.0,451.40000000000003,"EDE"
"01-03-2010",0,515.0,456.06500000000005,"EDE"
"01-03-2010",1,533.0,508.90000000000003,"EDE"
"01-03-2010",2,572.0,525.59,"EDE"
"01-03-2010",3,592.0,531.3,"EDE"
"01-03-2010",4,567.0,517.6999999999999,"EDE"
"01-03-2010",5,581.0,488.55400000000003,"EDE"
"01-03-2010",6,580.0,523.0,"EDE"
"01-03-2010",7,614.0,536.6,"EDE"
"01-03-2010",8,613.0,535.7,"EDE"
"01-03-2010",9,622.0,541.8,"EDE"
"01-03-2010",10,624.0,542.9,"EDE"
"01-03-2010",11,620.0,540.5,"EDE"
"01-03-2010",12,617.0,540.3,"EDE"
"01-03-2010",13,610.0,533.5,"EDE"
"01-03-2010",14,600.0,527.5,"EDE"
"01-03-2010",15,616.0,541.0,"EDE"
"01-03-2010",16,626.0,541.6020000000001,"EDE"
"01-03-2010",17,658.0,564.5699999999999,"EDE"
"01-03-2010",18,659.0,565.9,"EDE"
"01-03-2010",19,659.0,564.7,"EDE"
"01-03-2010",20,654.0,563.3,"EDE"
"01-03-2010",21,658.0,565.5,"EDE"
"01-03-2010",22,651.0,547.117,"EDE"
"01-03-2010",23,631.0,546.5,"EDE"
"01-04-2010",0,621.0,542.8,"EDE"
"01-04-2010",1,609.0,517.5,"EDE"
"01-04-2010",2,599.0,502.9,"EDE"
"01-04-2010",3,599.0,506.58,"EDE"
"01-04-2010",4,724.0,603.4,"EDE"
"01-04-2010",5,816.0,657.8000000000001,"EDE"
"01-04-2010",6,810.0,661.6,"EDE"
"01-04-2010",7,809.0,653.8,"EDE"
"01-04-2010",8,802.0,650.1,"EDE"
"01-04-2010",9,799.0,646.6,"EDE"
"01-04-2010",10,796.0,648.6,"EDE"
"01-04-2010",11,801.0,651.0999999999999,"EDE"
"01-04-2010",12,823.0,653.0740000000001,"EDE"
"01-04-2010",13,694.0,565.786,"EDE"
"01-04-2010",14,655.0,544.9579999999999,"EDE"
"01-04-2010",15,666.0,556.552,"EDE"
"01-04-2010",16,657.0,563.808,"EDE"
"01-04-2010",17,668.0,566.2500000000001,"EDE"
"01-04-2010",18,712.0,614.6999999999999,"EDE"
"01-04-2010",19,796.0,650.7,"EDE"
"01-04-2010",20,800.0,653.6999999999999,"EDE"
"01-04-2010",21,798.0,655.0,"EDE"
"01-04-2010",22,799.0,653.5000000000001,"EDE"
"01-04-2010",23,760.0,616.549,"EDE"
"01-05-2010",0,718.0,607.3000000000001,"EDE"
"01-05-2010",1,692.0,569.9,"EDE"
"01-05-2010",2,692.0,568.8,"EDE"
"01-05-2010",3,690.0,558.3000000000001,"EDE"
"01-05-2010",4,711.0,557.1,"EDE"
"01-05-2010",5,722.0,571.0,"EDE"
"01-05-2010",6,730.0,576.3,"EDE"
"01-05-2010",7,734.0,574.3,"EDE"
"01-05-2010",8,755.0,579.638,"EDE"
"01-05-2010",9,664.0,561.563,"EDE"
"01-05-2010",10,645.0,551.914,"EDE"
"01-05-2010",11,621.0,537.0,"EDE"
"01-05-2010",12,620.0,538.1,"EDE"
"01-05-2010",13,620.0,537.8,"EDE"
"01-05-2010",14,619.0,537.9,"EDE"
"01-05-2010",15,610.0,539.6379999999999,"EDE"
"01-05-2010",16,647.0,540.082,"EDE"
"01-05-2010",17,699.0,573.85,"EDE"
"01-05-2010",18,728.0,618.9,"EDE"
"01-05-2010",19,795.0,652.2,"EDE"
"01-05-2010",20,803.0,655.3,"EDE"
"01-05-2010",21,784.0,643.5,"EDE"
"01-05-2010",22,750.0,626.1,"EDE"
"01-05-2010",23,619.0,564.5,"EDE"
"01-06-2010",0,574.0,545.6,"EDE"
"01-06-2010",1,545.0,511.5,"EDE"
"01-06-2010",2,536.0,501.3,"EDE"
"01-06-2010",3,550.0,508.2,"EDE"
"01-06-2010",4,648.0,566.6999999999999,"EDE"
"01-06-2010",5,747.0,624.8,"EDE"
"01-06-2010",6,732.0,616.8,"EDE"
"01-06-2010",7,788.0,644.2,"EDE"
"01-06-2010",8,798.0,650.7,"EDE"
"01-06-2010",9,810.0,658.5,"EDE"
"01-06-2010",10,801.0,657.2,"EDE"
"01-06-2010",11,797.0,651.0,"EDE"
"01-06-2010",12,742.0,622.8,"EDE"
"01-06-2010",13,702.0,601.7,"EDE"
"01-06-2010",14,579.0,544.0,"EDE"
"01-06-2010",15,560.0,535.0,"EDE"
"01-06-2010",16,561.0,534.6,"EDE"
"01-06-2010",17,582.0,545.7,"EDE"
"01-06-2010",18,612.0,560.6,"EDE"
"01-06-2010",19,564.0,538.9,"EDE"
"01-06-2010",20,558.0,536.3000000000001,"EDE"
"01-06-2010",21,545.0,520.8,"EDE"
"01-06-2010",22,547.0,509.9,"EDE"
