"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,3335.0,2660.0500000000006,"FPC"
"01-01-2010",1,3059.0,2557.7999999999997,"FPC"
"01-01-2010",2,2782.0,2331.0000000000005,"FPC"
"01-01-2010",3,2705.0,2256.9,"FPC"
"01-01-2010",4,2698.0,2250.7000000000003,"FPC"
"01-01-2010",5,2821.0,2322.311,"FPC"
"01-01-2010",6,2915.0,2324.8,"FPC"
"01-01-2010",7,2940.0,2282.87,"FPC"
"01-01-2010",8,3277.0,2514.03,"FPC"
"01-01-2010",9,3811.0,2970.1999999999994,"FPC"
"01-01-2010",10,4300.0,3467.7000000000003,"FPC"
"01-01-2010",11,4464.0,3608.8590000000004,"FPC"
"01-01-2010",12,4564.0,3742.0750000000003,"FPC"
"01-01-2010",13,4452.0,3657.3,"FPC"
"01-01-2010",14,4335.0,3557.9,"FPC"
"01-01-2010",15,4295.0,3505.505,"FPC"
"01-01-2010",16,4399.0,3579.765000000001,"FPC"
"01-01-2010",17,4769.0,3738.6000000000004,"FPC"
"01-01-2010",18,5372.0,4171.3,"FPC"
"01-01-2010",19,5402.0,4260.8,"FPC"
"01-01-2010",20,5204.0,4112.2,"FPC"
"01-01-2010",21,5143.0,4051.5999999999995,"FPC"
"01-01-2010",22,4959.0,3917.578999999999,"FPC"
"01-01-2010",23,4584.0,3642.8000000000006,"FPC"
"01-02-2010",0,4362.0,3428.2999999999993,"FPC"
"01-02-2010",1,4294.0,3373.2,"FPC"
"01-02-2010",2,4384.0,3465.7,"FPC"
"01-02-2010",3,4561.0,3607.120000000001,"FPC"
"01-02-2010",4,4843.0,3921.2000000000007,"FPC"
"01-02-2010",5,5213.0,4208.572,"FPC"
"01-02-2010",6,5569.0,4282.9,"FPC"
"01-02-2010",7,6183.0,4697.41,"FPC"
"01-02-2010",8,6832.0,5015.330000000001,"FPC"
"01-02-2010",9,6832.0,4970.1,"FPC"
"01-02-2010",10,6551.0,4834.9,"FPC"
"01-02-2010",11,5938.0,4485.935,"FPC"
"01-02-2010",12,5358.0,4083.85,"FPC"
"01-02-2010",13,4774.0,3774.3,"FPC"
"01-02-2010",14,4654.0,3681.8490000000006,"FPC"
"01-02-2010",15,4583.0,3613.1000000000004,"FPC"
"01-02-2010",16,4767.0,3684.6499999999996,"FPC"
"01-02-2010",17,5301.0,4079.600000000001,"FPC"
"01-02-2010",18,6128.0,4872.099999999999,"FPC"
"01-02-2010",19,6303.0,4954.199999999999,"FPC"
"01-02-2010",20,6377.0,5045.299999999998,"FPC"
"01-02-2010",21,6415.0,5096.425,"FPC"
"01-02-2010",22,6238.0,5008.545000000001,"FPC"
"01-02-2010",23,5812.0,4776.299999999998,"FPC"
"01-03-2010",0,5744.0,4657.7,"FPC"
"01-03-2010",1,5790.0,4733.199999999999,"FPC"
"01-03-2010",2,5891.0,4748.399999999999,"FPC"
"01-03-2010",3,6121.0,5006.1,"FPC"
"01-03-2010",4,6303.0,5120.499999999999,"FPC"
"01-03-2010",5,6642.0,5276.492000000001,"FPC"
"01-03-2010",6,6931.0,5273.980999999998,"FPC"
"01-03-2010",7,7656.0,5698.449999999999,"FPC"
"01-03-2010",8,8267.0,5954.575999999999,"FPC"
"01-03-2010",9,8336.0,5987.400000000001,"FPC"
"01-03-2010",10,8131.0,5812.805000000001,"FPC"
"01-03-2010",11,7598.0,5469.522000000001,"FPC"
"01-03-2010",12,7325.0,5198.501,"FPC"
"01-03-2010",13,7177.0,4783.35,"FPC"
"01-03-2010",14,6971.0,5002.700000000001,"FPC"
"01-03-2010",15,6942.0,4950.499999999999,"FPC"
"01-03-2010",16,7197.0,5056.544,"FPC"
"01-03-2010",17,7773.0,5437.3499999999985,"FPC"
"01-03-2010",18,8288.0,5932.749999999999,"FPC"
"01-03-2010",19,8350.0,5974.300000000001,"FPC"
"01-03-2010",20,8284.0,5946.099999999999,"FPC"
"01-03-2010",21,7962.0,5785.699999999997,"FPC"
"01-03-2010",22,7455.0,5492.015999999999,"FPC"
"01-03-2010",23,6931.0,5221.724999999999,"FPC"
"01-04-2010",0,6895.0,5191.549999999999,"FPC"
"01-04-2010",1,6810.0,5106.7,"FPC"
"01-04-2010",2,6909.0,5178.2750000000015,"FPC"
"01-04-2010",3,7082.0,5319.350000000001,"FPC"
"01-04-2010",4,7252.0,5417.999999999999,"FPC"
"01-04-2010",5,7486.0,5552.063000000002,"FPC"
"01-04-2010",6,8557.0,6154.675000000001,"FPC"
"01-04-2010",7,9020.0,6472.970000000001,"FPC"
"01-04-2010",8,8822.0,6319.5999999999985,"FPC"
"01-04-2010",9,8231.0,5808.7,"FPC"
"01-04-2010",10,7589.0,5294.750000000001,"FPC"
"01-04-2010",11,7155.0,4967.256000000001,"FPC"
"01-04-2010",12,6613.0,4625.412999999999,"FPC"
"01-04-2010",13,6321.0,4532.600000000001,"FPC"
"01-04-2010",14,6057.0,4515.500000000001,"FPC"
"01-04-2010",15,5705.0,4423.1,"FPC"
"01-04-2010",16,6022.0,4640.052000000001,"FPC"
"01-04-2010",17,6977.0,5207.391,"FPC"
"01-04-2010",18,8104.0,5949.4000000000015,"FPC"
"01-04-2010",19,8345.0,6181.3,"FPC"
"01-04-2010",20,8432.0,6205.200000000001,"FPC"
"01-04-2010",21,8244.0,6107.9000000000015,"FPC"
"01-04-2010",22,7705.0,5686.168999999997,"FPC"
"01-04-2010",23,6973.0,5334.799999999998,"FPC"
"01-05-2010",0,6635.0,5152.5,"FPC"
"01-05-2010",1,6588.0,5121.599999999999,"FPC"
"01-05-2010",2,6457.0,5010.299999999998,"FPC"
"01-05-2010",3,6541.0,5090.575,"FPC"
"01-05-2010",4,6528.0,5088.000000000002,"FPC"
"01-05-2010",5,6957.0,5313.547,"FPC"
"01-05-2010",6,7988.0,5945.780000000001,"FPC"
"01-05-2010",7,8579.0,6387.967999999999,"FPC"
"01-05-2010",8,8522.0,6271.865,"FPC"
"01-05-2010",9,8078.0,5883.266,"FPC"
"01-05-2010",10,8155.0,5970.674999999999,"FPC"
"01-05-2010",11,7784.0,5615.065,"FPC"
"01-05-2010",12,7240.0,5298.004000000001,"FPC"
"01-05-2010",13,6782.0,5120.1,"FPC"
"01-05-2010",14,6246.0,4809.2,"FPC"
"01-05-2010",15,6236.0,4846.4000000000015,"FPC"
