"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,2903.0,1614.1540000000002,"FPL"
"01-01-2010",1,2691.0,1569.929,"FPL"
"01-01-2010",2,2627.0,1546.0290000000005,"FPL"
"01-01-2010",3,2521.0,1513.329,"FPL"
"01-01-2010",4,2502.0,1513.7539999999997,"FPL"
"01-01-2010",5,2505.0,1513.1290000000001,"FPL"
"01-01-2010",6,2576.0,1556.3239999999998,"FPL"
"01-01-2010",7,2747.0,1697.615,"FPL"
"01-01-2010",8,3148.0,1816.9289999999999,"FPL"
"01-01-2010",9,3584.0,1975.1599999999996,"FPL"
"01-01-2010",10,4108.0,2199.8889999999997,"FPL"
"01-01-2010",11,4714.0,2440.506,"FPL"
"01-01-2010",12,4959.0,2575.445,"FPL"
"01-01-2010",13,5015.0,2607.097,"FPL"
"01-01-2010",14,4793.0,2515.8449999999993,"FPL"
"01-01-2010",15,4384.0,2370.1449999999995,"FPL"
"01-01-2010",16,4163.0,2267.803,"FPL"
"01-01-2010",17,4388.0,2297.645,"FPL"
"01-01-2010",18,5104.0,2543.7450000000003,"FPL"
"01-01-2010",19,5137.0,2590.454,"FPL"
"01-01-2010",20,4941.0,2584.118,"FPL"
"01-01-2010",21,4345.0,2359.9629999999997,"FPL"
"01-01-2010",22,4024.0,2114.9590000000003,"FPL"
"01-01-2010",23,3232.0,1830.04,"FPL"
"01-02-2010",0,2899.0,1744.168,"FPL"
"01-02-2010",1,2864.0,1744.047,"FPL"
"01-02-2010",2,2835.0,1751.69,"FPL"
"01-02-2010",3,2957.0,1800.2900000000002,"FPL"
"01-02-2010",4,3053.0,1859.7200000000003,"FPL"
"01-02-2010",5,3481.0,2166.2840000000006,"FPL"
"01-02-2010",6,4003.0,2368.671,"FPL"
"01-02-2010",7,4726.0,2655.239,"FPL"
"01-02-2010",8,5576.0,2963.6089999999995,"FPL"
"01-02-2010",9,5976.0,3165.65,"FPL"
"01-02-2010",10,5611.0,3068.8399999999997,"FPL"
"01-02-2010",11,5291.0,2943.946,"FPL"
"01-02-2010",12,4786.0,2796.2750000000005,"FPL"
"01-02-2010",13,4446.0,2683.268,"FPL"
"01-02-2010",14,4196.0,2632.2060000000006,"FPL"
"01-02-2010",15,4302.0,2672.661,"FPL"
"01-02-2010",16,4495.0,2711.5539999999996,"FPL"
"01-02-2010",17,4905.0,2788.080000000001,"FPL"
"01-02-2010",18,6102.0,3254.1640000000007,"FPL"
"01-02-2010",19,6827.0,3577.4380000000006,"FPL"
"01-02-2010",20,6990.0,3664.0050000000006,"FPL"
"01-02-2010",21,7087.0,3741.128,"FPL"
"01-02-2010",22,6703.0,3624.7650000000003,"FPL"
"01-02-2010",23,5894.0,3210.4920000000006,"FPL"
"01-03-2010",0,4856.0,3022.792000000001,"FPL"
"01-03-2010",1,4385.0,2918.5699999999997,"FPL"
"01-03-2010",2,4332.0,3013.1090000000004,"FPL"
"01-03-2010",3,4410.0,3067.7129999999997,"FPL"
"01-03-2010",4,4636.0,3397.6429999999996,"FPL"
"01-03-2010",5,4944.0,3579.0170000000003,"FPL"
"01-03-2010",6,5648.0,3825.5250000000005,"FPL"
"01-03-2010",7,6458.0,4187.854,"FPL"
"01-03-2010",8,7028.0,4425.512,"FPL"
"01-03-2010",9,7204.0,4396.332000000001,"FPL"
"01-03-2010",10,7085.0,4391.564,"FPL"
"01-03-2010",11,6720.0,4369.398,"FPL"
"01-03-2010",12,6314.0,4216.967000000001,"FPL"
"01-03-2010",13,6031.0,4049.3279999999995,"FPL"
"01-03-2010",14,6044.0,3990.8880000000004,"FPL"
"01-03-2010",15,6168.0,4026.1880000000006,"FPL"
"01-03-2010",16,6559.0,4201.888000000001,"FPL"
"01-03-2010",17,7349.0,4574.015,"FPL"
"01-03-2010",18,8275.0,4985.113,"FPL"
"01-03-2010",19,8435.0,5091.711999999999,"FPL"
"01-03-2010",20,8293.0,5071.177000000002,"FPL"
"01-03-2010",21,7678.0,4769.436000000001,"FPL"
"01-03-2010",22,6869.0,4350.718,"FPL"
"01-03-2010",23,5790.0,3790.0710000000004,"FPL"
"01-04-2010",0,5401.0,4157.204,"FPL"
"01-04-2010",1,5488.0,4173.404000000001,"FPL"
"01-04-2010",2,5507.0,4181.804,"FPL"
"01-04-2010",3,5587.0,4266.320999999999,"FPL"
"01-04-2010",4,6236.0,4664.3640000000005,"FPL"
"01-04-2010",5,7425.0,4973.717999999998,"FPL"
"01-04-2010",6,8801.0,5434.783000000001,"FPL"
"01-04-2010",7,9822.0,5910.723,"FPL"
"01-04-2010",8,9608.0,5998.351000000001,"FPL"
"01-04-2010",9,8921.0,5698.3679999999995,"FPL"
"01-04-2010",10,8158.0,5320.104000000001,"FPL"
"01-04-2010",11,7517.0,5025.867999999999,"FPL"
"01-04-2010",12,6631.0,4680.246000000002,"FPL"
"01-04-2010",13,5953.0,4519.289000000001,"FPL"
"01-04-2010",14,5550.0,4363.329000000001,"FPL"
"01-04-2010",15,5387.0,4162.904,"FPL"
"01-04-2010",16,5757.0,4163.035,"FPL"
"01-04-2010",17,6903.0,4664.212,"FPL"
"01-04-2010",18,8650.0,5272.303999999999,"FPL"
"01-04-2010",19,8951.0,5353.3679999999995,"FPL"
"01-04-2010",20,8835.0,5181.321000000002,"FPL"
"01-04-2010",21,8345.0,4866.097,"FPL"
"01-04-2010",22,7624.0,4646.7339999999995,"FPL"
"01-04-2010",23,6874.0,4167.363,"FPL"
"01-05-2010",0,5904.0,3928.196000000001,"FPL"
"01-05-2010",1,5893.0,4122.997000000001,"FPL"
"01-05-2010",2,5811.0,4243.334000000001,"FPL"
"01-05-2010",3,5896.0,4645.864,"FPL"
"01-05-2010",4,6354.0,5057.0650000000005,"FPL"
"01-05-2010",5,7313.0,5400.553999999999,"FPL"
"01-05-2010",6,8541.0,5594.132000000001,"FPL"
"01-05-2010",7,9226.0,5799.032000000002,"FPL"
"01-05-2010",8,9078.0,5710.270999999998,"FPL"
"01-05-2010",9,8849.0,5619.827,"FPL"
"01-05-2010",10,8174.0,5377.1230000000005,"FPL"
"01-05-2010",11,7225.0,5111.871999999999,"FPL"
"01-05-2010",12,6806.0,5044.525999999999,"FPL"
"01-05-2010",13,6565.0,4996.34,"FPL"
"01-05-2010",14,6123.0,4858.819999999999,"FPL"
"01-05-2010",15,6174.0,4813.92,"FPL"
"01-05-2010",16,6674.0,4993.5779999999995,"FPL"
"01-05-2010",17,8174.0,5668.758,"FPL"
"01-05-2010",18,10155.0,6403.398,"FPL"
"01-05-2010",19,10633.0,6639.820000000001,"FPL"
"01-05-2010",20,10755.0,6670.12,"FPL"
"01-05-2010",21,10400.0,6504.195000000001,"FPL"
"01-05-2010",22,9901.0,6261.701000000001,"FPL"
"01-05-2010",23,9292.0,6030.239,"FPL"
"01-06-2010",0,8563.0,6018.7649999999985,"FPL"
"01-06-2010",1,8834.0,6148.635999999999,"FPL"
"01-06-2010",2,8899.0,6308.939000000001,"FPL"
"01-06-2010",3,9185.0,6469.383999999998,"FPL"
"01-06-2010",4,9553.0,6585.709999999999,"FPL"
"01-06-2010",5,10490.0,6985.021999999997,"FPL"
"01-06-2010",6,12905.0,7824.423999999997,"FPL"
"01-06-2010",7,13610.0,8144.861999999997,"FPL"
"01-06-2010",8,13103.0,7880.812999999999,"FPL"
"01-06-2010",9,12232.0,7398.780999999997,"FPL"
"01-06-2010",10,11218.0,6987.613000000001,"FPL"
"01-06-2010",11,9928.0,6525.543000000001,"FPL"
"01-06-2010",12,8407.0,5654.746999999999,"FPL"
"01-06-2010",13,7293.0,5319.2159999999985,"FPL"
"01-06-2010",14,6562.0,5271.414,"FPL"
"01-06-2010",15,6401.0,5167.6759999999995,"FPL"
"01-06-2010",16,6611.0,5091.179999999999,"FPL"
"01-06-2010",17,8416.0,6063.292,"FPL"
"01-06-2010",18,10789.0,7127.893999999999,"FPL"
"01-06-2010",19,11507.0,7451.057000000003,"FPL"
"01-06-2010",20,11685.0,7652.928999999999,"FPL"
"01-06-2010",21,10870.0,7281.521999999999,"FPL"
"01-06-2010",22,10152.0,6898.859000000001,"FPL"
"01-06-2010",23,9602.0,6555.672,"FPL"
"01-07-2010",0,9248.0,6035.116999999998,"FPL"
"01-07-2010",1,8780.0,5938.469,"FPL"
"01-07-2010",2,8893.0,5955.765,"FPL"
