"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,6538.0,4685.207,"ISNE"
"01-01-2010",1,6321.0,4515.223,"ISNE"
"01-01-2010",2,5680.0,4286.2519999999995,"ISNE"
"01-01-2010",3,5640.0,4291.079000000001,"ISNE"
"01-01-2010",4,5647.0,4307.34,"ISNE"
"01-01-2010",5,5201.0,4068.095,"ISNE"
"01-01-2010",6,5438.0,4177.827,"ISNE"
"01-01-2010",7,5503.0,4194.179,"ISNE"
"01-01-2010",8,5849.0,4213.174,"ISNE"
"01-01-2010",9,6197.0,4450.178999999999,"ISNE"
"01-01-2010",10,6794.0,4839.349,"ISNE"
"01-01-2010",11,7124.0,5044.679,"ISNE"
"01-01-2010",12,7114.0,5029.179000000001,"ISNE"
"01-01-2010",13,6930.0,4908.619000000001,"ISNE"
"01-01-2010",14,6883.0,4827.131,"ISNE"
"01-01-2010",15,6880.0,4849.686000000001,"ISNE"
"01-01-2010",16,7971.0,5353.512999999999,"ISNE"
"01-01-2010",17,8415.0,5561.478999999999,"ISNE"
"01-01-2010",18,8468.0,5574.979,"ISNE"
"01-01-2010",19,8291.0,5476.678999999999,"ISNE"
"01-01-2010",20,7895.0,5226.904,"ISNE"
"01-01-2010",21,7602.0,5064.349,"ISNE"
"01-01-2010",22,6927.0,4775.517000000001,"ISNE"
"01-01-2010",23,5406.0,3891.0610000000006,"ISNE"
"01-02-2010",0,4372.0,3389.3550000000005,"ISNE"
"01-02-2010",1,4327.0,3362.167,"ISNE"
"01-02-2010",2,4403.0,3403.567,"ISNE"
"01-02-2010",3,4464.0,3456.267,"ISNE"
"01-02-2010",4,4369.0,3404.86,"ISNE"
"01-02-2010",5,4301.0,3316.7209999999995,"ISNE"
"01-02-2010",6,4396.0,3361.406,"ISNE"
"01-02-2010",7,5111.0,3837.393,"ISNE"
"01-02-2010",8,6321.0,4509.017,"ISNE"
"01-02-2010",9,7394.0,4904.1669999999995,"ISNE"
"01-02-2010",10,7666.0,5012.967,"ISNE"
"01-02-2010",11,7762.0,5078.917000000001,"ISNE"
"01-02-2010",12,8024.0,5271.742,"ISNE"
"01-02-2010",13,7998.0,5322.867,"ISNE"
"01-02-2010",14,7710.0,5236.206,"ISNE"
"01-02-2010",15,8081.0,5446.527999999999,"ISNE"
"01-02-2010",16,8765.0,5745.0109999999995,"ISNE"
"01-02-2010",17,9147.0,6027.317,"ISNE"
"01-02-2010",18,9176.0,6095.667,"ISNE"
"01-02-2010",19,9067.0,6015.167,"ISNE"
"01-02-2010",20,8747.0,5822.637000000001,"ISNE"
"01-02-2010",21,8409.0,5608.76,"ISNE"
"01-02-2010",22,7730.0,5286.362,"ISNE"
"01-02-2010",23,6697.0,4662.659000000001,"ISNE"
"01-03-2010",0,6168.0,4415.177,"ISNE"
"01-03-2010",1,5922.0,4264.523000000001,"ISNE"
"01-03-2010",2,5677.0,4244.392,"ISNE"
"01-03-2010",3,5452.0,4121.562999999999,"ISNE"
"01-03-2010",4,5429.0,4101.03,"ISNE"
"01-03-2010",5,5709.0,4282.463,"ISNE"
"01-03-2010",6,5962.0,4446.998,"ISNE"
"01-03-2010",7,6468.0,4649.999000000001,"ISNE"
"01-03-2010",8,7329.0,5131.856000000001,"ISNE"
"01-03-2010",9,8059.0,5495.522999999998,"ISNE"
"01-03-2010",10,8528.0,5830.428,"ISNE"
"01-03-2010",11,8799.0,6009.244,"ISNE"
"01-03-2010",12,9124.0,6159.142000000001,"ISNE"
"01-03-2010",13,9069.0,6019.664000000002,"ISNE"
"01-03-2010",14,8890.0,5948.755,"ISNE"
"01-03-2010",15,9077.0,6085.922000000001,"ISNE"
"01-03-2010",16,9703.0,6424.997000000001,"ISNE"
"01-03-2010",17,10193.0,6810.5419999999995,"ISNE"
"01-03-2010",18,10171.0,6763.592,"ISNE"
"01-03-2010",19,10041.0,6696.039000000001,"ISNE"
"01-03-2010",20,9621.0,6469.4980000000005,"ISNE"
"01-03-2010",21,9056.0,6144.486,"ISNE"
"01-03-2010",22,7931.0,5461.790999999999,"ISNE"
"01-03-2010",23,6692.0,4701.762,"ISNE"
"01-04-2010",0,6347.0,4427.4310000000005,"ISNE"
"01-04-2010",1,6372.0,4540.379,"ISNE"
"01-04-2010",2,6127.0,4382.701999999999,"ISNE"
"01-04-2010",3,5826.0,4242.585,"ISNE"
"01-04-2010",4,6230.0,4539.38,"ISNE"
"01-04-2010",5,7170.0,5020.5,"ISNE"
"01-04-2010",6,7874.0,5569.723000000001,"ISNE"
"01-04-2010",7,8532.0,5915.172,"ISNE"
"01-04-2010",8,8599.0,5792.238000000001,"ISNE"
"01-04-2010",9,8810.0,5773.381,"ISNE"
"01-04-2010",10,8813.0,5784.621999999999,"ISNE"
"01-04-2010",11,8847.0,5766.527000000001,"ISNE"
"01-04-2010",12,8802.0,5730.961,"ISNE"
"01-04-2010",13,8575.0,5637.549000000001,"ISNE"
"01-04-2010",14,8600.0,5688.365000000001,"ISNE"
"01-04-2010",15,8869.0,5858.360999999998,"ISNE"
"01-04-2010",16,9486.0,6230.523,"ISNE"
"01-04-2010",17,10525.0,6894.412,"ISNE"
"01-04-2010",18,10627.0,6969.196,"ISNE"
"01-04-2010",19,10637.0,6976.355999999999,"ISNE"
"01-04-2010",20,10263.0,6676.233,"ISNE"
"01-04-2010",21,9297.0,6081.017999999999,"ISNE"
"01-04-2010",22,8265.0,5516.155,"ISNE"
"01-04-2010",23,6986.0,4940.302,"ISNE"
"01-05-2010",0,6554.0,4725.652,"ISNE"
"01-05-2010",1,6072.0,4537.646000000001,"ISNE"
