"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,1334.0,1632.9999999999998,"JEA"
"01-01-2010",1,1127.0,1354.7,"JEA"
"01-01-2010",2,1013.0,1261.3,"JEA"
"01-01-2010",3,1013.0,1266.1,"JEA"
"01-01-2010",4,1016.0,1270.3000000000004,"JEA"
"01-01-2010",5,1018.0,1274.4,"JEA"
"01-01-2010",6,1015.0,1269.6999999999998,"JEA"
"01-01-2010",7,1073.0,1322.0,"JEA"
"01-01-2010",8,1230.0,1488.0,"JEA"
"01-01-2010",9,1562.0,1919.0,"JEA"
"01-01-2010",10,1649.0,2057.0,"JEA"
"01-01-2010",11,1656.0,2055.3,"JEA"
"01-01-2010",12,1651.0,2048.5,"JEA"
"01-01-2010",13,1577.0,1964.0999999999997,"JEA"
"01-01-2010",14,1537.0,1918.4,"JEA"
"01-01-2010",15,1526.0,1905.6999999999998,"JEA"
"01-01-2010",16,1532.0,1913.452,"JEA"
"01-01-2010",17,1603.0,2001.7999999999997,"JEA"
"01-01-2010",18,1656.0,2079.5,"JEA"
"01-01-2010",19,1657.0,2080.2,"JEA"
"01-01-2010",20,1655.0,2080.5,"JEA"
"01-01-2010",21,1658.0,2088.0,"JEA"
"01-01-2010",22,1658.0,2076.824,"JEA"
"01-01-2010",23,1655.0,2069.7000000000003,"JEA"
"01-02-2010",0,1601.0,1970.5000000000002,"JEA"
"01-02-2010",1,1645.0,2055.8,"JEA"
"01-02-2010",2,1656.0,2132.6000000000004,"JEA"
"01-02-2010",3,1655.0,2155.1000000000004,"JEA"
"01-02-2010",4,1650.0,2145.7000000000003,"JEA"
"01-02-2010",5,1637.0,2049.1,"JEA"
"01-02-2010",6,1677.0,2101.2,"JEA"
"01-02-2010",7,1702.0,2100.8999999999996,"JEA"
"01-02-2010",8,1715.0,2115.7000000000003,"JEA"
"01-02-2010",9,1777.0,2155.4,"JEA"
"01-02-2010",10,1816.0,2179.6499999999996,"JEA"
"01-02-2010",11,1707.0,2097.7400000000002,"JEA"
"01-02-2010",12,1718.0,2085.8,"JEA"
"01-02-2010",13,1636.0,1969.3999999999999,"JEA"
"01-02-2010",14,1622.0,1959.4999999999998,"JEA"
"01-02-2010",15,1348.0,1595.3,"JEA"
"01-02-2010",16,1411.0,1620.1999999999998,"JEA"
"01-02-2010",17,1628.0,1839.1999999999998,"JEA"
"01-02-2010",18,1911.0,2144.7000000000003,"JEA"
"01-02-2010",19,2015.0,2249.2000000000003,"JEA"
"01-02-2010",20,1949.0,2208.3,"JEA"
"01-02-2010",21,1900.0,2174.1,"JEA"
"01-02-2010",22,1897.0,2170.8,"JEA"
"01-02-2010",23,1892.0,2205.5,"JEA"
"01-03-2010",0,1852.0,2176.0,"JEA"
"01-03-2010",1,1896.0,2209.6,"JEA"
"01-03-2010",2,1898.0,2224.7,"JEA"
"01-03-2010",3,1891.0,2219.1,"JEA"
"01-03-2010",4,1900.0,2219.3000000000006,"JEA"
"01-03-2010",5,1968.0,2266.7999999999997,"JEA"
"01-03-2010",6,1971.0,2273.8,"JEA"
"01-03-2010",7,1983.0,2273.2999999999997,"JEA"
"01-03-2010",8,2047.0,2315.5,"JEA"
"01-03-2010",9,2098.0,2344.4,"JEA"
"01-03-2010",10,1947.0,2151.0,"JEA"
"01-03-2010",11,1772.0,1993.3999999999999,"JEA"
"01-03-2010",12,1683.0,1975.9999999999998,"JEA"
"01-03-2010",13,1621.0,1937.4,"JEA"
"01-03-2010",14,1628.0,1858.1000000000001,"JEA"
"01-03-2010",15,1660.0,1926.5,"JEA"
"01-03-2010",16,1725.0,2066.7,"JEA"
"01-03-2010",17,1823.0,2156.0,"JEA"
"01-03-2010",18,1988.0,2316.5000000000005,"JEA"
"01-03-2010",19,1895.0,2232.6000000000004,"JEA"
"01-03-2010",20,1866.0,2216.1,"JEA"
"01-03-2010",21,1809.0,2186.3999999999996,"JEA"
"01-03-2010",22,1811.0,2185.3,"JEA"
"01-03-2010",23,1845.0,2218.7000000000003,"JEA"
"01-04-2010",0,1799.0,2163.8,"JEA"
"01-04-2010",1,1757.0,2106.6,"JEA"
"01-04-2010",2,1777.0,2156.6,"JEA"
"01-04-2010",3,1823.0,2195.1,"JEA"
"01-04-2010",4,1919.0,2248.5699999999997,"JEA"
"01-04-2010",5,1948.0,2278.1000000000004,"JEA"
"01-04-2010",6,1954.0,2302.9,"JEA"
"01-04-2010",7,1976.0,2303.6,"JEA"
"01-04-2010",8,1975.0,2308.0000000000005,"JEA"
"01-04-2010",9,1985.0,2271.7,"JEA"
"01-04-2010",10,1904.0,2251.2000000000003,"JEA"
"01-04-2010",11,1814.0,2141.576,"JEA"
"01-04-2010",12,1643.0,2021.7,"JEA"
"01-04-2010",13,1646.0,2006.6999999999998,"JEA"
"01-04-2010",14,1683.0,2038.3999999999999,"JEA"
"01-04-2010",15,1693.0,2025.0000000000002,"JEA"
"01-04-2010",16,1712.0,2092.2999999999997,"JEA"
"01-04-2010",17,1766.0,2131.2000000000003,"JEA"
"01-04-2010",18,2022.0,2382.6999999999994,"JEA"
"01-04-2010",19,2123.0,2426.1749999999997,"JEA"
"01-04-2010",20,2140.0,2440.4800000000005,"JEA"
"01-04-2010",21,2063.0,2416.4,"JEA"
"01-04-2010",22,1972.0,2340.0,"JEA"
"01-04-2010",23,1879.0,2259.8,"JEA"
"01-05-2010",0,1887.0,2261.6000000000004,"JEA"
"01-05-2010",1,1868.0,2230.6,"JEA"
"01-05-2010",2,1765.0,2158.1,"JEA"
"01-05-2010",3,1707.0,2104.2000000000003,"JEA"
"01-05-2010",4,1723.0,2117.4,"JEA"
"01-05-2010",5,1927.0,2262.23,"JEA"
"01-05-2010",6,2172.0,2467.2999999999997,"JEA"
"01-05-2010",7,2369.0,2636.5330000000004,"JEA"
"01-05-2010",8,2216.0,2456.065,"JEA"
"01-05-2010",9,2075.0,2378.8,"JEA"
"01-05-2010",10,2036.0,2308.986,"JEA"
"01-05-2010",11,1995.0,2346.0,"JEA"
"01-05-2010",12,1845.0,2214.3,"JEA"
"01-05-2010",13,1726.0,2060.3,"JEA"
"01-05-2010",14,1705.0,2038.2999999999997,"JEA"
"01-05-2010",15,1706.0,2027.9000000000003,"JEA"
"01-05-2010",16,1755.0,2070.2000000000003,"JEA"
"01-05-2010",17,1926.0,2224.8,"JEA"
"01-05-2010",18,2180.0,2444.6230000000005,"JEA"
"01-05-2010",19,2233.0,2459.125,"JEA"
"01-05-2010",20,2213.0,2478.4,"JEA"
"01-05-2010",21,2147.0,2422.2999999999997,"JEA"
"01-05-2010",22,2143.0,2429.0,"JEA"
"01-05-2010",23,2101.0,2343.1279999999997,"JEA"
"01-06-2010",0,1943.0,2240.2000000000003,"JEA"
"01-06-2010",1,1905.0,2184.7,"JEA"
"01-06-2010",2,1916.0,2216.7,"JEA"
"01-06-2010",3,1926.0,2274.3,"JEA"
"01-06-2010",4,2007.0,2307.475,"JEA"
"01-06-2010",5,2047.0,2327.3999999999996,"JEA"
"01-06-2010",6,2081.0,2384.5,"JEA"
"01-06-2010",7,2205.0,2473.7000000000003,"JEA"
"01-06-2010",8,2174.0,2424.1000000000004,"JEA"
"01-06-2010",9,2234.0,2393.469,"JEA"
"01-06-2010",10,1997.0,2306.3000000000006,"JEA"
"01-06-2010",11,1866.0,2215.1,"JEA"
"01-06-2010",12,1819.0,2168.1,"JEA"
"01-06-2010",13,1822.0,2266.806,"JEA"
"01-06-2010",14,1757.0,2206.1000000000004,"JEA"
"01-06-2010",15,1712.0,2178.3,"JEA"
"01-06-2010",16,1714.0,2192.4,"JEA"
"01-06-2010",17,1735.0,2201.715,"JEA"
"01-06-2010",18,2034.0,2436.566,"JEA"
"01-06-2010",19,2129.0,2566.7,"JEA"
"01-06-2010",20,2142.0,2598.0,"JEA"
"01-06-2010",21,2129.0,2579.9,"JEA"
"01-06-2010",22,1999.0,2472.9999999999995,"JEA"
"01-06-2010",23,2012.0,2446.8160000000003,"JEA"
"01-07-2010",0,1916.0,2384.6,"JEA"
"01-07-2010",1,1919.0,2367.1,"JEA"
"01-07-2010",2,1952.0,2408.9000000000005,"JEA"
"01-07-2010",3,1910.0,2426.3000000000006,"JEA"
"01-07-2010",4,1885.0,2380.484,"JEA"
"01-07-2010",5,2013.0,2519.0000000000005,"JEA"
"01-07-2010",6,2221.0,2586.8,"JEA"
"01-07-2010",7,2232.0,2600.3000000000006,"JEA"
"01-07-2010",8,2110.0,2525.4,"JEA"
"01-07-2010",9,1966.0,2415.9000000000005,"JEA"
"01-07-2010",10,1929.0,2321.89,"JEA"
"01-07-2010",11,1884.0,2316.6,"JEA"
"01-07-2010",12,1858.0,2272.6000000000004,"JEA"
"01-07-2010",13,1855.0,2268.1,"JEA"
"01-07-2010",14,1770.0,2146.7,"JEA"
"01-07-2010",15,1764.0,2079.4999999999995,"JEA"
"01-07-2010",16,1787.0,2120.4,"JEA"
"01-07-2010",17,1877.0,2263.2,"JEA"
"01-07-2010",18,2025.0,2393.3,"JEA"
"01-07-2010",19,2061.0,2436.9000000000005,"JEA"
"01-07-2010",20,2090.0,2461.3,"JEA"
"01-07-2010",21,2056.0,2439.4,"JEA"
"01-07-2010",22,1997.0,2406.2999999999997,"JEA"
"01-07-2010",23,1997.0,2408.4,"JEA"
"01-08-2010",0,1979.0,2379.1,"JEA"
"01-08-2010",1,1935.0,2325.7000000000003,"JEA"
"01-08-2010",2,1938.0,2337.9,"JEA"
"01-08-2010",3,1941.0,2337.9,"JEA"
"01-08-2010",4,1938.0,2326.9,"JEA"
"01-08-2010",5,1958.0,2326.8999999999996,"JEA"
"01-08-2010",6,1938.0,2337.4,"JEA"
"01-08-2010",7,1975.0,2393.0,"JEA"
"01-08-2010",8,1899.0,2315.6000000000004,"JEA"
