"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,368.0,435.0,"KACY"
"01-01-2010",1,319.0,375.6,"KACY"
"01-01-2010",2,317.0,378.70000000000005,"KACY"
"01-01-2010",3,319.0,382.2,"KACY"
"01-01-2010",4,318.0,382.20000000000005,"KACY"
"01-01-2010",5,321.0,383.7,"KACY"
"01-01-2010",6,323.0,385.70000000000005,"KACY"
"01-01-2010",7,320.0,381.4,"KACY"
"01-01-2010",8,317.0,378.9,"KACY"
"01-01-2010",9,318.0,379.6,"KACY"
"01-01-2010",10,322.0,381.1,"KACY"
"01-01-2010",11,322.0,384.29999999999995,"KACY"
"01-01-2010",12,324.0,383.5,"KACY"
"01-01-2010",13,320.0,379.70000000000005,"KACY"
"01-01-2010",14,317.0,378.4,"KACY"
"01-01-2010",15,316.0,374.7,"KACY"
"01-01-2010",16,317.0,376.5,"KACY"
"01-01-2010",17,274.0,314.0,"KACY"
"01-01-2010",18,305.0,365.29999999999995,"KACY"
"01-01-2010",19,311.0,369.4,"KACY"
"01-01-2010",20,310.0,369.0,"KACY"
"01-01-2010",21,365.0,437.40000000000003,"KACY"
"01-01-2010",22,381.0,453.90000000000003,"KACY"
"01-01-2010",23,387.0,459.7,"KACY"
"01-02-2010",0,392.0,464.70000000000005,"KACY"
"01-02-2010",1,382.0,453.20000000000005,"KACY"
"01-02-2010",2,359.0,418.3,"KACY"
"01-02-2010",3,373.0,441.0,"KACY"
"01-02-2010",4,382.0,451.4,"KACY"
"01-02-2010",5,388.0,464.3,"KACY"
"01-02-2010",6,390.0,465.9,"KACY"
"01-02-2010",7,389.0,468.2,"KACY"
"01-02-2010",8,391.0,469.0,"KACY"
"01-02-2010",9,393.0,475.4,"KACY"
"01-02-2010",10,394.0,472.3,"KACY"
"01-02-2010",11,394.0,469.9,"KACY"
"01-02-2010",12,394.0,469.4,"KACY"
"01-02-2010",13,393.0,467.3,"KACY"
"01-02-2010",14,393.0,467.8,"KACY"
"01-02-2010",15,393.0,464.6,"KACY"
"01-02-2010",16,393.0,464.2,"KACY"
"01-02-2010",17,394.0,465.79999999999995,"KACY"
"01-02-2010",18,393.0,466.4,"KACY"
"01-02-2010",19,392.0,467.0,"KACY"
"01-02-2010",20,393.0,469.4,"KACY"
"01-02-2010",21,392.0,472.4,"KACY"
"01-02-2010",22,393.0,472.3,"KACY"
"01-02-2010",23,394.0,469.9,"KACY"
"01-03-2010",0,388.0,460.5,"KACY"
"01-03-2010",1,376.0,446.6,"KACY"
"01-03-2010",2,391.0,466.40000000000003,"KACY"
"01-03-2010",3,392.0,465.79999999999995,"KACY"
"01-03-2010",4,393.0,469.2,"KACY"
"01-03-2010",5,392.0,468.70000000000005,"KACY"
"01-03-2010",6,391.0,465.1,"KACY"
"01-03-2010",7,390.0,466.90000000000003,"KACY"
"01-03-2010",8,390.0,466.0,"KACY"
"01-03-2010",9,393.0,470.7,"KACY"
"01-03-2010",10,391.0,467.9,"KACY"
"01-03-2010",11,391.0,465.59999999999997,"KACY"
"01-03-2010",12,390.0,464.3,"KACY"
"01-03-2010",13,390.0,465.4,"KACY"
"01-03-2010",14,392.0,419.0,"KACY"
"01-03-2010",15,394.0,403.0,"KACY"
"01-03-2010",16,392.0,382.8,"KACY"
"01-03-2010",17,389.0,334.59999999999997,"KACY"
"01-03-2010",18,389.0,341.09999999999997,"KACY"
"01-03-2010",19,386.0,345.0,"KACY"
"01-03-2010",20,385.0,371.1,"KACY"
"01-03-2010",21,387.0,410.90000000000003,"KACY"
"01-03-2010",22,386.0,453.4,"KACY"
"01-03-2010",23,387.0,460.70000000000005,"KACY"
"01-04-2010",0,387.0,457.9,"KACY"
"01-04-2010",1,388.0,457.4,"KACY"
"01-04-2010",2,388.0,462.79999999999995,"KACY"
"01-04-2010",3,388.0,463.5,"KACY"
"01-04-2010",4,388.0,463.6,"KACY"
"01-04-2010",5,387.0,463.3,"KACY"
"01-04-2010",6,386.0,466.2,"KACY"
"01-04-2010",7,395.0,477.1,"KACY"
"01-04-2010",8,394.0,477.8,"KACY"
"01-04-2010",9,396.0,479.4,"KACY"
"01-04-2010",10,396.0,476.2,"KACY"
"01-04-2010",11,394.0,476.5,"KACY"
"01-04-2010",12,392.0,475.4,"KACY"
"01-04-2010",13,392.0,470.7,"KACY"
"01-04-2010",14,392.0,471.1,"KACY"
"01-04-2010",15,389.0,468.2,"KACY"
"01-04-2010",16,391.0,467.5,"KACY"
"01-04-2010",17,394.0,470.90000000000003,"KACY"
"01-04-2010",18,400.0,470.4,"KACY"
"01-04-2010",19,384.0,458.2,"KACY"
"01-04-2010",20,386.0,458.7,"KACY"
"01-04-2010",21,386.0,460.70000000000005,"KACY"
"01-04-2010",22,385.0,457.6,"KACY"
"01-04-2010",23,386.0,455.4,"KACY"
"01-05-2010",0,386.0,455.3,"KACY"
"01-05-2010",1,375.0,440.2,"KACY"
"01-05-2010",2,371.0,436.0,"KACY"
"01-05-2010",3,374.0,437.79999999999995,"KACY"
"01-05-2010",4,382.0,448.8,"KACY"
"01-05-2010",5,384.0,451.5,"KACY"
"01-05-2010",6,386.0,463.2,"KACY"
"01-05-2010",7,403.0,470.4,"KACY"
