"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,2347.0,2514.0,"KCPL"
"01-01-2010",1,2346.0,2519.799,"KCPL"
"01-01-2010",2,2345.0,2509.599,"KCPL"
"01-01-2010",3,2343.0,2494.8,"KCPL"
"01-01-2010",4,2343.0,2516.099,"KCPL"
"01-01-2010",5,2340.0,2504.999,"KCPL"
"01-01-2010",6,2342.0,2501.6,"KCPL"
"01-01-2010",7,2344.0,2504.5,"KCPL"
"01-01-2010",8,2339.0,2507.501,"KCPL"
"01-01-2010",9,2341.0,2496.2999999999997,"KCPL"
"01-01-2010",10,2342.0,2500.299,"KCPL"
"01-01-2010",11,2343.0,2462.701,"KCPL"
"01-01-2010",12,2344.0,2456.9,"KCPL"
"01-01-2010",13,2335.0,2450.801,"KCPL"
"01-01-2010",14,2330.0,2454.6,"KCPL"
"01-01-2010",15,2329.0,2455.0,"KCPL"
"01-01-2010",16,2332.0,2457.599,"KCPL"
"01-01-2010",17,2295.0,2424.601,"KCPL"
"01-01-2010",18,2299.0,2432.7,"KCPL"
"01-01-2010",19,2344.0,2489.001,"KCPL"
"01-01-2010",20,2331.0,2474.8,"KCPL"
"01-01-2010",21,2326.0,2473.2,"KCPL"
"01-01-2010",22,2333.0,2478.1009999999997,"KCPL"
"01-01-2010",23,2335.0,2484.299,"KCPL"
"01-02-2010",0,2331.0,2469.7,"KCPL"
"01-02-2010",1,2288.0,2416.1009999999997,"KCPL"
"01-02-2010",2,2313.0,2451.6989999999996,"KCPL"
"01-02-2010",3,2320.0,2444.701,"KCPL"
"01-02-2010",4,2322.0,2456.599,"KCPL"
"01-02-2010",5,2324.0,2459.6,"KCPL"
"01-02-2010",6,2323.0,2452.8999999999996,"KCPL"
"01-02-2010",7,2331.0,2459.999,"KCPL"
"01-02-2010",8,2325.0,2462.3,"KCPL"
"01-02-2010",9,2321.0,2445.1000000000004,"KCPL"
"01-02-2010",10,2312.0,2436.8999999999996,"KCPL"
"01-02-2010",11,2312.0,2455.6,"KCPL"
"01-02-2010",12,2318.0,2465.099,"KCPL"
"01-02-2010",13,2349.0,2488.5,"KCPL"
"01-02-2010",14,2441.0,2552.0,"KCPL"
"01-02-2010",15,2450.0,2547.8,"KCPL"
"01-02-2010",16,2443.0,2533.6000000000004,"KCPL"
"01-02-2010",17,2511.0,2561.845,"KCPL"
"01-02-2010",18,2559.0,2617.3999999999996,"KCPL"
"01-02-2010",19,2562.0,2627.9,"KCPL"
"01-02-2010",20,2565.0,2620.8,"KCPL"
"01-02-2010",21,2575.0,2618.0,"KCPL"
"01-02-2010",22,2505.0,2557.644,"KCPL"
"01-02-2010",23,2465.0,2544.2,"KCPL"
"01-03-2010",0,2457.0,2536.0009999999997,"KCPL"
"01-03-2010",1,2455.0,2534.2999999999997,"KCPL"
"01-03-2010",2,2448.0,2532.3999999999996,"KCPL"
"01-03-2010",3,2446.0,2514.5999999999995,"KCPL"
"01-03-2010",4,2433.0,2527.0,"KCPL"
"01-03-2010",5,2453.0,2531.4,"KCPL"
"01-03-2010",6,2499.0,2558.3,"KCPL"
"01-03-2010",7,2496.0,2544.0,"KCPL"
"01-03-2010",8,2499.0,2559.0,"KCPL"
"01-03-2010",9,2503.0,2554.2,"KCPL"
"01-03-2010",10,2505.0,2556.8,"KCPL"
"01-03-2010",11,2517.0,2571.9,"KCPL"
"01-03-2010",12,2499.0,2548.2,"KCPL"
"01-03-2010",13,2497.0,2554.4000000000005,"KCPL"
"01-03-2010",14,2482.0,2534.2,"KCPL"
"01-03-2010",15,2488.0,2545.1000000000004,"KCPL"
"01-03-2010",16,2508.0,2571.5640000000003,"KCPL"
"01-03-2010",17,2594.0,2630.8,"KCPL"
"01-03-2010",18,2596.0,2625.999,"KCPL"
"01-03-2010",19,2586.0,2624.8,"KCPL"
"01-03-2010",20,2580.0,2615.799,"KCPL"
"01-03-2010",21,2499.0,2541.136,"KCPL"
"01-03-2010",22,2482.0,2554.1000000000004,"KCPL"
"01-03-2010",23,2440.0,2524.9010000000003,"KCPL"
"01-04-2010",0,2429.0,2525.201,"KCPL"
"01-04-2010",1,2401.0,2484.401,"KCPL"
"01-04-2010",2,2454.0,2512.299,"KCPL"
"01-04-2010",3,2483.0,2541.2999999999997,"KCPL"
"01-04-2010",4,2485.0,2539.435,"KCPL"
"01-04-2010",5,2541.0,2578.5,"KCPL"
"01-04-2010",6,2469.0,2455.575,"KCPL"
"01-04-2010",7,2357.0,2339.1,"KCPL"
"01-04-2010",8,2181.0,2214.5,"KCPL"
"01-04-2010",9,2142.0,2154.636,"KCPL"
"01-04-2010",10,2053.0,2067.3559999999998,"KCPL"
"01-04-2010",11,1896.0,1943.725,"KCPL"
"01-04-2010",12,1876.0,1936.5,"KCPL"
"01-04-2010",13,1883.0,1939.6,"KCPL"
"01-04-2010",14,1871.0,1929.1999999999998,"KCPL"
"01-04-2010",15,1873.0,1936.9,"KCPL"
"01-04-2010",16,1871.0,1958.5,"KCPL"
"01-04-2010",17,1987.0,1998.5240000000001,"KCPL"
"01-04-2010",18,2135.0,2133.5,"KCPL"
"01-04-2010",19,2114.0,2126.9,"KCPL"
"01-04-2010",20,2051.0,2059.31,"KCPL"
"01-04-2010",21,2011.0,2047.8010000000002,"KCPL"
"01-04-2010",22,1956.0,1970.2610000000002,"KCPL"
"01-04-2010",23,1850.0,1914.056,"KCPL"
"01-05-2010",0,1746.0,1832.9,"KCPL"
"01-05-2010",1,1738.0,1836.1999999999998,"KCPL"
"01-05-2010",2,1744.0,1842.9009999999998,"KCPL"
"01-05-2010",3,1745.0,1786.9,"KCPL"
"01-05-2010",4,1748.0,1788.6989999999998,"KCPL"
"01-05-2010",5,1768.0,1802.848,"KCPL"
"01-05-2010",6,2028.0,1969.5460000000003,"KCPL"
"01-05-2010",7,2134.0,2027.54,"KCPL"
"01-05-2010",8,2152.0,2051.0,"KCPL"
"01-05-2010",9,2063.0,1955.5549999999998,"KCPL"
"01-05-2010",10,1945.0,1880.6510000000003,"KCPL"
"01-05-2010",11,1873.0,1855.7000000000003,"KCPL"
"01-05-2010",12,1816.0,1821.216,"KCPL"
"01-05-2010",13,1791.0,1797.2,"KCPL"
"01-05-2010",14,1797.0,1806.3000000000002,"KCPL"
"01-05-2010",15,1797.0,1815.6999999999998,"KCPL"
"01-05-2010",16,1809.0,1832.807,"KCPL"
"01-05-2010",17,1875.0,1873.848,"KCPL"
"01-05-2010",18,1971.0,1917.4,"KCPL"
"01-05-2010",19,2060.0,1981.188,"KCPL"
"01-05-2010",20,2023.0,1963.499,"KCPL"
"01-05-2010",21,1988.0,1904.5439999999999,"KCPL"
"01-05-2010",22,1877.0,1866.8,"KCPL"
"01-05-2010",23,1790.0,1805.698,"KCPL"
"01-06-2010",0,1710.0,1766.301,"KCPL"
"01-06-2010",1,1727.0,1824.6,"KCPL"
"01-06-2010",2,1729.0,1845.5,"KCPL"
"01-06-2010",3,1745.0,1850.399,"KCPL"
"01-06-2010",4,1760.0,1875.7,"KCPL"
"01-06-2010",5,1786.0,1920.0990000000002,"KCPL"
"01-06-2010",6,1927.0,1967.8289999999997,"KCPL"
"01-06-2010",7,2017.0,2035.3000000000002,"KCPL"
"01-06-2010",8,1893.0,1915.483,"KCPL"
"01-06-2010",9,1823.0,1915.3000000000002,"KCPL"
"01-06-2010",10,1757.0,1877.8000000000002,"KCPL"
"01-06-2010",11,1751.0,1879.3,"KCPL"
"01-06-2010",12,1754.0,1894.699,"KCPL"
"01-06-2010",13,1782.0,1915.9,"KCPL"
"01-06-2010",14,1890.0,2050.099,"KCPL"
"01-06-2010",15,2027.0,2152.2000000000003,"KCPL"
"01-06-2010",16,2124.0,2227.099,"KCPL"
"01-06-2010",17,2220.0,2307.2,"KCPL"
"01-06-2010",18,2271.0,2351.0,"KCPL"
"01-06-2010",19,2345.0,2439.1000000000004,"KCPL"
"01-06-2010",20,2388.0,2473.5,"KCPL"
"01-06-2010",21,2396.0,2476.9,"KCPL"
"01-06-2010",22,2395.0,2479.0999999999995,"KCPL"
"01-06-2010",23,2400.0,2481.501,"KCPL"
"01-07-2010",0,2403.0,2489.6,"KCPL"
"01-07-2010",1,2400.0,2487.499,"KCPL"
"01-07-2010",2,2395.0,2488.1,"KCPL"
"01-07-2010",3,2397.0,2472.7,"KCPL"
"01-07-2010",4,2396.0,2484.9000000000005,"KCPL"
"01-07-2010",5,2395.0,2482.901,"KCPL"
"01-07-2010",6,2442.0,2517.5,"KCPL"
"01-07-2010",7,2460.0,2525.5,"KCPL"
"01-07-2010",8,2335.0,2449.3,"KCPL"
"01-07-2010",9,2262.0,2407.8999999999996,"KCPL"
"01-07-2010",10,2262.0,2399.1000000000004,"KCPL"
"01-07-2010",11,2264.0,2409.2,"KCPL"
"01-07-2010",12,2260.0,2414.3,"KCPL"
"01-07-2010",13,2260.0,2408.501,"KCPL"
"01-07-2010",14,2262.0,2414.0999999999995,"KCPL"
"01-07-2010",15,2261.0,2413.1,"KCPL"
"01-07-2010",16,2262.0,2421.25,"KCPL"
"01-07-2010",17,2386.0,2482.924,"KCPL"
"01-07-2010",18,2525.0,2601.7,"KCPL"
"01-07-2010",19,2522.0,2588.6000000000004,"KCPL"
"01-07-2010",20,2421.0,2494.66,"KCPL"
"01-07-2010",21,2366.0,2453.83,"KCPL"
"01-07-2010",22,2352.0,2447.9,"KCPL"
"01-07-2010",23,2372.0,2447.941,"KCPL"
"01-08-2010",0,2322.0,2414.59,"KCPL"
"01-08-2010",1,2346.0,2458.499,"KCPL"
"01-08-2010",2,2378.0,2452.501,"KCPL"
"01-08-2010",3,2371.0,2433.8999999999996,"KCPL"
"01-08-2010",4,2407.0,2477.696,"KCPL"
"01-08-2010",5,2386.0,2441.903,"KCPL"
"01-08-2010",6,2423.0,2449.501,"KCPL"
"01-08-2010",7,2414.0,2434.4,"KCPL"
"01-08-2010",8,2416.0,2432.499,"KCPL"
"01-08-2010",9,2415.0,2394.5789999999997,"KCPL"
"01-08-2010",10,2365.0,2378.259,"KCPL"
"01-08-2010",11,2407.0,2429.101,"KCPL"
"01-08-2010",12,2361.0,2380.838,"KCPL"
"01-08-2010",13,2443.0,2469.5080000000003,"KCPL"
"01-08-2010",14,2532.0,2561.501,"KCPL"
"01-08-2010",15,2638.0,2542.2,"KCPL"
"01-08-2010",16,2501.0,2501.499,"KCPL"
"01-08-2010",17,2527.0,2551.6009999999997,"KCPL"
"01-08-2010",18,2536.0,2549.7,"KCPL"
"01-08-2010",19,2591.0,2573.6000000000004,"KCPL"
"01-08-2010",20,2662.0,2605.5,"KCPL"
"01-08-2010",21,2655.0,2600.499,"KCPL"
"01-08-2010",22,2647.0,2585.799,"KCPL"
"01-08-2010",23,2455.0,2456.114,"KCPL"
"01-09-2010",0,2312.0,2373.375,"KCPL"
"01-09-2010",1,2302.0,2363.599,"KCPL"
