"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,278.0,144.0,"LDWP"
"01-01-2010",1,278.0,145.89999999999998,"LDWP"
"01-01-2010",2,259.0,138.7,"LDWP"
"01-01-2010",3,253.0,135.5,"LDWP"
"01-01-2010",4,253.0,135.8,"LDWP"
"01-01-2010",5,254.0,136.2,"LDWP"
"01-01-2010",6,256.0,136.3,"LDWP"
"01-01-2010",7,257.0,136.2,"LDWP"
"01-01-2010",8,257.0,136.9,"LDWP"
"01-01-2010",9,260.0,145.6,"LDWP"
"01-01-2010",10,262.0,145.2,"LDWP"
"01-01-2010",11,276.0,141.5,"LDWP"
"01-01-2010",12,274.0,141.5,"LDWP"
"01-01-2010",13,256.0,140.7,"LDWP"
"01-01-2010",14,260.0,143.3,"LDWP"
"01-01-2010",15,255.0,133.70000000000002,"LDWP"
"01-01-2010",16,281.0,141.5,"LDWP"
"01-01-2010",17,280.0,141.5,"LDWP"
"01-01-2010",18,279.0,142.89999999999998,"LDWP"
"01-01-2010",19,277.0,141.1,"LDWP"
"01-01-2010",20,274.0,142.89999999999998,"LDWP"
"01-01-2010",21,277.0,142.79999999999998,"LDWP"
"01-01-2010",22,255.0,135.10000000000002,"LDWP"
"01-01-2010",23,256.0,135.4,"LDWP"
"01-02-2010",0,254.0,134.3,"LDWP"
"01-02-2010",1,259.0,136.89999999999998,"LDWP"
"01-02-2010",2,255.0,135.0,"LDWP"
"01-02-2010",3,254.0,134.89999999999998,"LDWP"
"01-02-2010",4,255.0,134.6,"LDWP"
"01-02-2010",5,258.0,136.5,"LDWP"
"01-02-2010",6,256.0,134.9,"LDWP"
"01-02-2010",7,254.0,135.3,"LDWP"
"01-02-2010",8,260.0,137.4,"LDWP"
"01-02-2010",9,274.0,141.1,"LDWP"
"01-02-2010",10,278.0,143.7,"LDWP"
"01-02-2010",11,279.0,143.2,"LDWP"
"01-02-2010",12,279.0,141.8,"LDWP"
"01-02-2010",13,280.0,140.7,"LDWP"
"01-02-2010",14,282.0,143.1,"LDWP"
"01-02-2010",15,280.0,142.3,"LDWP"
"01-02-2010",16,280.0,142.5,"LDWP"
"01-02-2010",17,290.0,146.3,"LDWP"
"01-02-2010",18,302.0,152.9,"LDWP"
"01-02-2010",19,295.0,149.7,"LDWP"
"01-02-2010",20,291.0,147.7,"LDWP"
"01-02-2010",21,278.0,143.2,"LDWP"
"01-02-2010",22,280.0,145.0,"LDWP"
"01-02-2010",23,278.0,144.2,"LDWP"
"01-03-2010",0,257.0,135.7,"LDWP"
"01-03-2010",1,256.0,135.89999999999998,"LDWP"
"01-03-2010",2,257.0,137.6,"LDWP"
"01-03-2010",3,257.0,137.0,"LDWP"
"01-03-2010",4,259.0,137.1,"LDWP"
"01-03-2010",5,274.0,141.6,"LDWP"
"01-03-2010",6,254.0,136.0,"LDWP"
"01-03-2010",7,256.0,137.2,"LDWP"
"01-03-2010",8,277.0,143.9,"LDWP"
"01-03-2010",9,268.0,139.8,"LDWP"
"01-03-2010",10,268.0,139.7,"LDWP"
"01-03-2010",11,269.0,140.6,"LDWP"
"01-03-2010",12,258.0,137.5,"LDWP"
"01-03-2010",13,258.0,136.8,"LDWP"
"01-03-2010",14,259.0,136.5,"LDWP"
"01-03-2010",15,257.0,134.5,"LDWP"
"01-03-2010",16,267.0,138.6,"LDWP"
"01-03-2010",17,290.0,146.4,"LDWP"
"01-03-2010",18,294.0,148.8,"LDWP"
"01-03-2010",19,294.0,148.4,"LDWP"
"01-03-2010",20,296.0,150.10000000000002,"LDWP"
"01-03-2010",21,292.0,148.6,"LDWP"
"01-03-2010",22,286.0,144.4,"LDWP"
"01-03-2010",23,256.0,134.2,"LDWP"
"01-04-2010",0,257.0,135.0,"LDWP"
"01-04-2010",1,275.0,140.8,"LDWP"
"01-04-2010",2,274.0,141.8,"LDWP"
"01-04-2010",3,257.0,135.89999999999998,"LDWP"
"01-04-2010",4,274.0,141.2,"LDWP"
"01-04-2010",5,274.0,140.3,"LDWP"
"01-04-2010",6,281.0,142.8,"LDWP"
"01-04-2010",7,288.0,145.3,"LDWP"
"01-04-2010",8,290.0,146.7,"LDWP"
"01-04-2010",9,303.0,151.8,"LDWP"
"01-04-2010",10,266.0,138.3,"LDWP"
"01-04-2010",11,266.0,138.5,"LDWP"
"01-04-2010",12,267.0,138.5,"LDWP"
"01-04-2010",13,271.0,139.4,"LDWP"
"01-04-2010",14,300.0,150.0,"LDWP"
"01-04-2010",15,300.0,150.5,"LDWP"
"01-04-2010",16,299.0,148.60000000000002,"LDWP"
"01-04-2010",17,328.0,167.6,"LDWP"
"01-04-2010",18,384.0,197.9,"LDWP"
"01-04-2010",19,329.0,168.7,"LDWP"
"01-04-2010",20,300.0,151.5,"LDWP"
"01-04-2010",21,290.0,148.7,"LDWP"
"01-04-2010",22,255.0,136.1,"LDWP"
"01-04-2010",23,253.0,135.3,"LDWP"
"01-05-2010",0,257.0,137.3,"LDWP"
"01-05-2010",1,252.0,134.5,"LDWP"
"01-05-2010",2,253.0,134.4,"LDWP"
"01-05-2010",3,256.0,135.3,"LDWP"
"01-05-2010",4,275.0,142.2,"LDWP"
"01-05-2010",5,279.0,143.1,"LDWP"
"01-05-2010",6,281.0,143.6,"LDWP"
"01-05-2010",7,382.0,195.952,"LDWP"
"01-05-2010",8,388.0,198.10000000000002,"LDWP"
"01-05-2010",9,332.0,169.9,"LDWP"
"01-05-2010",10,345.0,177.89999999999998,"LDWP"
"01-05-2010",11,341.0,175.89999999999998,"LDWP"
"01-05-2010",12,355.0,182.8,"LDWP"
"01-05-2010",13,372.0,191.0,"LDWP"
"01-05-2010",14,374.0,193.0,"LDWP"
"01-05-2010",15,350.0,180.1,"LDWP"
"01-05-2010",16,330.0,170.60000000000002,"LDWP"
"01-05-2010",17,406.0,211.89999999999998,"LDWP"
"01-05-2010",18,322.0,164.083,"LDWP"
"01-05-2010",19,288.0,146.5,"LDWP"
"01-05-2010",20,281.0,144.2,"LDWP"
"01-05-2010",21,279.0,143.8,"LDWP"
"01-05-2010",22,276.0,142.6,"LDWP"
"01-05-2010",23,261.0,137.6,"LDWP"
"01-06-2010",0,253.0,133.8,"LDWP"
"01-06-2010",1,253.0,132.9,"LDWP"
"01-06-2010",2,251.0,133.2,"LDWP"
"01-06-2010",3,253.0,134.0,"LDWP"
"01-06-2010",4,256.0,133.9,"LDWP"
"01-06-2010",5,278.0,141.9,"LDWP"
"01-06-2010",6,282.0,143.8,"LDWP"
"01-06-2010",7,311.0,161.59,"LDWP"
"01-06-2010",8,325.0,168.4,"LDWP"
"01-06-2010",9,313.0,162.3,"LDWP"
"01-06-2010",10,331.0,172.2,"LDWP"
"01-06-2010",11,339.0,175.5,"LDWP"
"01-06-2010",12,353.0,181.7,"LDWP"
"01-06-2010",13,354.0,181.10000000000002,"LDWP"
"01-06-2010",14,358.0,183.6,"LDWP"
"01-06-2010",15,341.0,173.9,"LDWP"
