"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,58279.0,61940.36000000001,"MISO"
"01-01-2010",1,58076.0,61846.75999999999,"MISO"
"01-01-2010",2,57390.0,61165.699,"MISO"
"01-01-2010",3,57747.0,61450.299,"MISO"
"01-01-2010",4,58234.0,61716.60099999999,"MISO"
"01-01-2010",5,58197.0,61668.19599999999,"MISO"
"01-01-2010",6,59226.0,62693.497,"MISO"
"01-01-2010",7,59625.0,62931.301,"MISO"
"01-01-2010",8,60110.0,63447.99599999999,"MISO"
"01-01-2010",9,61152.0,64701.601,"MISO"
"01-01-2010",10,61701.0,65213.618,"MISO"
"01-01-2010",11,61847.0,65157.399,"MISO"
"01-01-2010",12,61767.0,65084.703,"MISO"
"01-01-2010",13,61454.0,64575.013999999996,"MISO"
"01-01-2010",14,61592.0,64828.512,"MISO"
"01-01-2010",15,61985.0,65148.299000000006,"MISO"
"01-01-2010",16,63291.0,66238.111,"MISO"
"01-01-2010",17,65574.0,67925.645,"MISO"
"01-01-2010",18,66611.0,68323.77499999998,"MISO"
"01-01-2010",19,67366.0,68852.377,"MISO"
"01-01-2010",20,66810.0,68195.31400000001,"MISO"
"01-01-2010",21,65962.0,68216.623,"MISO"
"01-01-2010",22,64591.0,67275.288,"MISO"
"01-01-2010",23,63863.0,66442.02,"MISO"
"01-02-2010",0,62378.0,65207.216,"MISO"
"01-02-2010",1,61246.0,63869.57099999999,"MISO"
"01-02-2010",2,60960.0,63754.852,"MISO"
"01-02-2010",3,61995.0,64551.48300000002,"MISO"
"01-02-2010",4,64006.0,66164.84599999999,"MISO"
"01-02-2010",5,65083.0,66989.18499999998,"MISO"
"01-02-2010",6,66387.0,67798.63399999998,"MISO"
"01-02-2010",7,67017.0,68334.20000000001,"MISO"
"01-02-2010",8,67808.0,68953.954,"MISO"
"01-02-2010",9,70459.0,70217.08099999999,"MISO"
"01-02-2010",10,70279.0,69972.945,"MISO"
"01-02-2010",11,69609.0,69387.265,"MISO"
"01-02-2010",12,69234.0,69431.976,"MISO"
"01-02-2010",13,67755.0,67998.93800000001,"MISO"
"01-02-2010",14,67461.0,67257.757,"MISO"
"01-02-2010",15,66382.0,66415.62000000001,"MISO"
"01-02-2010",16,68332.0,67301.09900000002,"MISO"
"01-02-2010",17,70968.0,68567.79999999999,"MISO"
"01-02-2010",18,73154.0,70691.51600000002,"MISO"
"01-02-2010",19,73731.0,70903.881,"MISO"
"01-02-2010",20,73368.0,70414.292,"MISO"
"01-02-2010",21,71473.0,69449.007,"MISO"
"01-02-2010",22,69389.0,69243.235,"MISO"
"01-02-2010",23,68548.0,68773.09100000001,"MISO"
"01-03-2010",0,66866.0,67009.90500000001,"MISO"
"01-03-2010",1,64289.0,64834.905999999995,"MISO"
"01-03-2010",2,63248.0,64222.56599999999,"MISO"
"01-03-2010",3,63514.0,64491.73,"MISO"
"01-03-2010",4,64877.0,65568.098,"MISO"
"01-03-2010",5,65609.0,66437.986,"MISO"
"01-03-2010",6,66859.0,67612.44599999998,"MISO"
"01-03-2010",7,67420.0,67935.43199999999,"MISO"
"01-03-2010",8,68880.0,69137.076,"MISO"
"01-03-2010",9,68785.0,69114.629,"MISO"
"01-03-2010",10,68508.0,68859.51400000001,"MISO"
"01-03-2010",11,68433.0,68604.124,"MISO"
"01-03-2010",12,67957.0,68174.753,"MISO"
"01-03-2010",13,68010.0,68386.639,"MISO"
"01-03-2010",14,67039.0,67691.434,"MISO"
"01-03-2010",15,67256.0,67455.538,"MISO"
"01-03-2010",16,68095.0,67799.324,"MISO"
"01-03-2010",17,71175.0,69331.929,"MISO"
"01-03-2010",18,72760.0,70295.799,"MISO"
"01-03-2010",19,72757.0,70259.958,"MISO"
"01-03-2010",20,71705.0,69531.378,"MISO"
"01-03-2010",21,69624.0,68653.77,"MISO"
"01-03-2010",22,67940.0,67973.69299999998,"MISO"
"01-03-2010",23,66089.0,67059.07299999997,"MISO"
"01-04-2010",0,64688.0,66064.35700000002,"MISO"
"01-04-2010",1,62858.0,64326.274000000005,"MISO"
"01-04-2010",2,62412.0,63943.43699999998,"MISO"
"01-04-2010",3,63749.0,65122.715,"MISO"
"01-04-2010",4,65047.0,65402.22,"MISO"
"01-04-2010",5,67922.0,67365.793,"MISO"
"01-04-2010",6,71581.0,69816.49500000001,"MISO"
"01-04-2010",7,74857.0,71525.876,"MISO"
"01-04-2010",8,75736.0,72153.157,"MISO"
"01-04-2010",9,75605.0,71937.323,"MISO"
"01-04-2010",10,75293.0,71723.70199999999,"MISO"
"01-04-2010",11,75401.0,71361.413,"MISO"
"01-04-2010",12,74881.0,71583.259,"MISO"
"01-04-2010",13,73743.0,71612.028,"MISO"
"01-04-2010",14,71908.0,71138.37299999999,"MISO"
"01-04-2010",15,71357.0,70784.91800000002,"MISO"
"01-04-2010",16,72569.0,71243.278,"MISO"
"01-04-2010",17,74911.0,72267.28799999999,"MISO"
"01-04-2010",18,76104.0,72576.25099999999,"MISO"
"01-04-2010",19,75962.0,72478.398,"MISO"
"01-04-2010",20,75470.0,71958.811,"MISO"
"01-04-2010",21,73920.0,71077.31000000001,"MISO"
"01-04-2010",22,71965.0,70450.896,"MISO"
"01-04-2010",23,69502.0,69305.77900000001,"MISO"
"01-05-2010",0,66921.0,67341.01200000002,"MISO"
"01-05-2010",1,65095.0,65589.602,"MISO"
"01-05-2010",2,63914.0,64507.901999999995,"MISO"
"01-05-2010",3,65368.0,65664.47300000001,"MISO"
"01-05-2010",4,66745.0,66844.742,"MISO"
"01-05-2010",5,69468.0,68957.456,"MISO"
"01-05-2010",6,72596.0,71192.43500000003,"MISO"
"01-05-2010",7,74924.0,72610.314,"MISO"
"01-05-2010",8,75936.0,72750.11499999999,"MISO"
"01-05-2010",9,76077.0,72599.06699999998,"MISO"
"01-05-2010",10,76732.0,72252.16500000001,"MISO"
"01-05-2010",11,75998.0,71425.955,"MISO"
"01-05-2010",12,74631.0,71203.746,"MISO"
"01-05-2010",13,73335.0,70966.96000000002,"MISO"
"01-05-2010",14,71515.0,69557.49799999999,"MISO"
"01-05-2010",15,71318.0,69399.78099999999,"MISO"
"01-05-2010",16,73697.0,70533.28300000001,"MISO"
"01-05-2010",17,77208.0,72321.50499999999,"MISO"
"01-05-2010",18,79165.0,73166.085,"MISO"
"01-05-2010",19,78249.0,72380.93199999999,"MISO"
"01-05-2010",20,76490.0,71390.44399999999,"MISO"
"01-05-2010",21,74004.0,70076.406,"MISO"
"01-05-2010",22,70642.0,68365.03199999999,"MISO"
"01-05-2010",23,67627.0,66672.26,"MISO"
"01-06-2010",0,65812.0,65122.53800000001,"MISO"
"01-06-2010",1,64211.0,63864.91499999999,"MISO"
"01-06-2010",2,63704.0,63312.815,"MISO"
"01-06-2010",3,63960.0,63182.887,"MISO"
"01-06-2010",4,65262.0,63777.94699999999,"MISO"
"01-06-2010",5,68320.0,65653.78199999998,"MISO"
"01-06-2010",6,73079.0,69089.008,"MISO"
"01-06-2010",7,76198.0,70817.342,"MISO"
"01-06-2010",8,76406.0,71051.31800000001,"MISO"
"01-06-2010",9,75081.0,70334.88199999998,"MISO"
"01-06-2010",10,74079.0,69862.77500000001,"MISO"
"01-06-2010",11,74465.0,69913.58799999999,"MISO"
"01-06-2010",12,73912.0,69355.673,"MISO"
"01-06-2010",13,73190.0,69237.857,"MISO"
"01-06-2010",14,71476.0,69196.7,"MISO"
"01-06-2010",15,71166.0,69163.817,"MISO"
"01-06-2010",16,72321.0,69667.84,"MISO"
"01-06-2010",17,74040.0,70161.115,"MISO"
"01-06-2010",18,74886.0,70350.526,"MISO"
"01-06-2010",19,74375.0,69664.692,"MISO"
"01-06-2010",20,72841.0,68698.744,"MISO"
"01-06-2010",21,70786.0,67597.489,"MISO"
"01-06-2010",22,68319.0,66288.481,"MISO"
"01-06-2010",23,64783.0,63901.70999999999,"MISO"
"01-07-2010",0,61257.0,61076.49999999999,"MISO"
"01-07-2010",1,59208.0,59244.62,"MISO"
"01-07-2010",2,57697.0,57913.0,"MISO"
"01-07-2010",3,57405.0,57475.28700000001,"MISO"
"01-07-2010",4,58195.0,58102.74699999999,"MISO"
"01-07-2010",5,60822.0,60371.198000000004,"MISO"
"01-07-2010",6,65208.0,63933.077999999994,"MISO"
"01-07-2010",7,67039.0,65092.89800000001,"MISO"
"01-07-2010",8,68765.0,66115.90000000001,"MISO"
"01-07-2010",9,69937.0,66965.6,"MISO"
"01-07-2010",10,70322.0,67511.56000000001,"MISO"
"01-07-2010",11,70131.0,67348.027,"MISO"
"01-07-2010",12,69816.0,67722.53600000002,"MISO"
"01-07-2010",13,69200.0,67734.56,"MISO"
"01-07-2010",14,68757.0,67830.299,"MISO"
"01-07-2010",15,68665.0,67365.493,"MISO"
"01-07-2010",16,69545.0,67863.75,"MISO"
"01-07-2010",17,72647.0,69335.358,"MISO"
"01-07-2010",18,74247.0,69998.17,"MISO"
"01-07-2010",19,73019.0,69248.06199999999,"MISO"
"01-07-2010",20,71652.0,68499.979,"MISO"
"01-07-2010",21,70412.0,67545.615,"MISO"
"01-07-2010",22,67837.0,66066.59899999999,"MISO"
"01-07-2010",23,65427.0,65008.75,"MISO"
"01-08-2010",0,63597.0,64050.607,"MISO"
"01-08-2010",1,62198.0,62915.572,"MISO"
"01-08-2010",2,61379.0,62475.39600000001,"MISO"
"01-08-2010",3,62186.0,62958.553,"MISO"
"01-08-2010",4,63613.0,63757.331999999995,"MISO"
"01-08-2010",5,66755.0,66447.671,"MISO"
"01-08-2010",6,70971.0,69156.22300000001,"MISO"
"01-08-2010",7,73774.0,70780.593,"MISO"
"01-08-2010",8,74816.0,71240.664,"MISO"
"01-08-2010",9,75242.0,71391.271,"MISO"
"01-08-2010",10,75526.0,71592.072,"MISO"
"01-08-2010",11,75359.0,71384.69800000002,"MISO"
"01-08-2010",12,74905.0,71588.586,"MISO"
"01-08-2010",13,73912.0,71111.762,"MISO"
"01-08-2010",14,73189.0,71027.15000000001,"MISO"
"01-08-2010",15,72802.0,70992.30800000002,"MISO"
"01-08-2010",16,73572.0,71421.13,"MISO"
"01-08-2010",17,75866.0,72432.973,"MISO"
"01-08-2010",18,77716.0,73306.439,"MISO"
"01-08-2010",19,76888.0,72630.72700000001,"MISO"
"01-08-2010",20,74618.0,71901.92300000001,"MISO"
"01-08-2010",21,72366.0,71028.97899999999,"MISO"
"01-08-2010",22,69545.0,69520.91399999999,"MISO"
"01-08-2010",23,66799.0,67332.55,"MISO"
"01-09-2010",0,63941.0,65065.756,"MISO"
"01-09-2010",1,62026.0,63739.581000000006,"MISO"
"01-09-2010",2,61111.0,63079.40399999999,"MISO"
"01-09-2010",3,61749.0,63701.08499999999,"MISO"
"01-09-2010",4,62558.0,64293.47600000002,"MISO"
"01-09-2010",5,62984.0,64632.30099999999,"MISO"
"01-09-2010",6,65539.0,66094.266,"MISO"
"01-09-2010",7,66958.0,66455.58200000001,"MISO"
"01-09-2010",8,68719.0,67438.54900000001,"MISO"
"01-09-2010",9,69109.0,67670.50200000001,"MISO"
"01-09-2010",10,69058.0,67858.71899999998,"MISO"
"01-09-2010",11,68640.0,67394.26499999998,"MISO"
"01-09-2010",12,67675.0,67425.534,"MISO"
"01-09-2010",13,66226.0,66248.741,"MISO"
"01-09-2010",14,65242.0,65666.39,"MISO"
"01-09-2010",15,65117.0,65313.46099999999,"MISO"
"01-09-2010",16,66170.0,66074.63299999999,"MISO"
"01-09-2010",17,68717.0,67525.69799999999,"MISO"
"01-09-2010",18,70127.0,68297.38299999999,"MISO"
"01-09-2010",19,70331.0,68330.13399999999,"MISO"
"01-09-2010",20,69979.0,68146.45999999999,"MISO"
"01-09-2010",21,68372.0,67094.635,"MISO"
"01-09-2010",22,66217.0,66216.579,"MISO"
"01-09-2010",23,64582.0,65527.2,"MISO"
"01-10-2010",0,61237.0,62830.299000000006,"MISO"
"01-10-2010",1,59940.0,61717.899,"MISO"
"01-10-2010",2,59286.0,61082.201,"MISO"
"01-10-2010",3,58845.0,60438.602000000006,"MISO"
"01-10-2010",4,58797.0,60066.36099999999,"MISO"
"01-10-2010",5,58684.0,59871.172999999995,"MISO"
"01-10-2010",6,59519.0,60189.363000000005,"MISO"
"01-10-2010",7,60247.0,60832.237,"MISO"
"01-10-2010",8,60794.0,61429.284,"MISO"
"01-10-2010",9,61019.0,61682.39600000001,"MISO"
"01-10-2010",10,60844.0,61583.37499999999,"MISO"
"01-10-2010",11,61514.0,62279.899,"MISO"
"01-10-2010",12,61219.0,61861.897,"MISO"
"01-10-2010",13,60610.0,61220.674000000006,"MISO"
"01-10-2010",14,60768.0,61262.97900000001,"MISO"
"01-10-2010",15,61074.0,61465.689,"MISO"
"01-10-2010",16,63002.0,63046.90599999999,"MISO"
"01-10-2010",17,66206.0,65434.37700000001,"MISO"
"01-10-2010",18,68577.0,67310.87600000002,"MISO"
"01-10-2010",19,69494.0,67427.47099999998,"MISO"
"01-10-2010",20,68832.0,67024.898,"MISO"
"01-10-2010",21,67424.0,65894.494,"MISO"
"01-10-2010",22,64729.0,64568.99600000001,"MISO"
"01-10-2010",23,62848.0,63131.261000000006,"MISO"
"01-11-2010",0,59387.0,60433.40099999998,"MISO"
"01-11-2010",1,58263.0,59733.72300000001,"MISO"
"01-11-2010",2,57650.0,59410.369,"MISO"
"01-11-2010",3,57835.0,59333.367,"MISO"
"01-11-2010",4,59180.0,60240.44299999999,"MISO"
"01-11-2010",5,61851.0,62332.9,"MISO"
"01-11-2010",6,66628.0,65828.36,"MISO"
"01-11-2010",7,71034.0,68613.33899999999,"MISO"
"01-11-2010",8,72559.0,69293.544,"MISO"
"01-11-2010",9,72994.0,69502.3,"MISO"
"01-11-2010",10,73418.0,69736.31,"MISO"
"01-11-2010",11,73785.0,70105.995,"MISO"
"01-11-2010",12,72868.0,69756.095,"MISO"
"01-11-2010",13,71459.0,69388.02600000001,"MISO"
"01-11-2010",14,70671.0,69229.933,"MISO"
"01-11-2010",15,70144.0,68721.83099999999,"MISO"
"01-11-2010",16,71181.0,68247.14199999999,"MISO"
"01-11-2010",17,72373.0,69159.102,"MISO"
"01-11-2010",18,73511.0,69575.07,"MISO"
"01-11-2010",19,73226.0,69348.00099999999,"MISO"
"01-11-2010",20,72549.0,69113.536,"MISO"
"01-11-2010",21,70491.0,67682.3,"MISO"
"01-11-2010",22,67631.0,66281.899,"MISO"
"01-11-2010",23,64128.0,64048.649999999994,"MISO"
"01-12-2010",0,61688.0,62397.51099999999,"MISO"
"01-12-2010",1,59317.0,60373.804,"MISO"
"01-12-2010",2,58505.0,59966.18000000001,"MISO"
"01-12-2010",3,59485.0,60555.621,"MISO"
"01-12-2010",4,60285.0,61105.125000000015,"MISO"
"01-12-2010",5,62827.0,63575.63099999999,"MISO"
"01-12-2010",6,66144.0,66239.911,"MISO"
"01-12-2010",7,68398.0,67848.997,"MISO"
"01-12-2010",8,69695.0,68436.31999999999,"MISO"
"01-12-2010",9,68923.0,67594.18699999999,"MISO"
"01-12-2010",10,68131.0,67019.99,"MISO"
"01-12-2010",11,67198.0,66300.403,"MISO"
"01-12-2010",12,65444.0,65239.999,"MISO"
"01-12-2010",13,63883.0,64385.509,"MISO"
"01-12-2010",14,63054.0,63792.500000000015,"MISO"
"01-12-2010",15,62918.0,63698.901,"MISO"
"01-12-2010",16,63429.0,63477.64400000001,"MISO"
"01-12-2010",17,65935.0,65116.163,"MISO"
"01-12-2010",18,67178.0,65572.17599999999,"MISO"
"01-12-2010",19,66563.0,65393.912000000004,"MISO"
"01-12-2010",20,65895.0,65183.693,"MISO"
"01-12-2010",21,64768.0,64212.126,"MISO"
"01-12-2010",22,62545.0,62458.30100000001,"MISO"
"01-12-2010",23,58906.0,59615.67199999999,"MISO"
"01-13-2010",0,56484.0,57883.0,"MISO"
"01-13-2010",1,54711.0,56231.099,"MISO"
"01-13-2010",2,53834.0,55461.186,"MISO"
"01-13-2010",3,53969.0,55461.52099999999,"MISO"
"01-13-2010",4,55587.0,56815.90800000001,"MISO"
"01-13-2010",5,58756.0,59661.845,"MISO"
"01-13-2010",6,63370.0,63718.245,"MISO"
"01-13-2010",7,66335.0,65785.777,"MISO"
"01-13-2010",8,65930.0,65920.56899999999,"MISO"
"01-13-2010",9,64567.0,65193.528000000006,"MISO"
"01-13-2010",10,63330.0,64178.232,"MISO"
"01-13-2010",11,62245.0,63128.848000000005,"MISO"
"01-13-2010",12,61125.0,62219.95599999999,"MISO"
"01-13-2010",13,60703.0,61852.20999999999,"MISO"
"01-13-2010",14,59930.0,61476.31,"MISO"
"01-13-2010",15,59506.0,60828.039000000004,"MISO"
"01-13-2010",16,59847.0,60963.572,"MISO"
"01-13-2010",17,61157.0,61776.242,"MISO"
"01-13-2010",18,62086.0,62270.94999999999,"MISO"
"01-13-2010",19,62221.0,62396.269,"MISO"
"01-13-2010",20,61928.0,62307.30099999999,"MISO"
"01-13-2010",21,60485.0,61366.01800000001,"MISO"
"01-13-2010",22,58753.0,60230.682000000015,"MISO"
"01-13-2010",23,56475.0,57791.548,"MISO"
"01-14-2010",0,54687.0,56108.78800000001,"MISO"
"01-14-2010",1,52431.0,53950.98400000001,"MISO"
"01-14-2010",2,51933.0,53587.59500000001,"MISO"
"01-14-2010",3,53229.0,54877.37100000001,"MISO"
"01-14-2010",4,54826.0,56173.021,"MISO"
"01-14-2010",5,57544.0,58686.507,"MISO"
"01-14-2010",6,61012.0,61812.20600000001,"MISO"
"01-14-2010",7,63680.0,63982.104,"MISO"
"01-14-2010",8,64388.0,64544.45699999999,"MISO"
"01-14-2010",9,63921.0,64322.221999999994,"MISO"
"01-14-2010",10,63342.0,64510.518999999986,"MISO"
"01-14-2010",11,62891.0,64437.161000000015,"MISO"
"01-14-2010",12,62452.0,64088.779,"MISO"
"01-14-2010",13,62355.0,64024.186,"MISO"
"01-14-2010",14,62141.0,63653.115000000005,"MISO"
"01-14-2010",15,61848.0,63379.68600000001,"MISO"
"01-14-2010",16,62632.0,63861.278000000006,"MISO"
"01-14-2010",17,64479.0,64872.27899999999,"MISO"
"01-14-2010",18,65044.0,64795.51999999999,"MISO"
"01-14-2010",19,64964.0,64709.71100000001,"MISO"
"01-14-2010",20,64565.0,64617.237,"MISO"
"01-14-2010",21,62431.0,63403.528000000006,"MISO"
"01-14-2010",22,59745.0,61402.104,"MISO"
"01-14-2010",23,57711.0,59504.633,"MISO"
"01-15-2010",0,55965.0,57818.87299999999,"MISO"
"01-15-2010",1,54641.0,56825.346999999994,"MISO"
"01-15-2010",2,53625.0,55811.85599999999,"MISO"
"01-15-2010",3,54166.0,56059.779,"MISO"
"01-15-2010",4,55271.0,56661.001000000004,"MISO"
"01-15-2010",5,57996.0,58892.50099999999,"MISO"
"01-15-2010",6,60971.0,61605.129,"MISO"
"01-15-2010",7,63434.0,63969.90099999999,"MISO"
"01-15-2010",8,63945.0,64682.308000000005,"MISO"
"01-15-2010",9,64190.0,64949.547999999995,"MISO"
"01-15-2010",10,64228.0,65175.827999999994,"MISO"
"01-15-2010",11,64136.0,65215.54,"MISO"
"01-15-2010",12,63227.0,64732.56399999999,"MISO"
"01-15-2010",13,62282.0,64093.60800000001,"MISO"
"01-15-2010",14,62254.0,64074.76000000001,"MISO"
"01-15-2010",15,62337.0,64123.382,"MISO"
"01-15-2010",16,62507.0,64370.522000000004,"MISO"
"01-15-2010",17,62823.0,64605.73,"MISO"
"01-15-2010",18,62862.0,64697.773,"MISO"
"01-15-2010",19,62170.0,64086.45,"MISO"
"01-15-2010",20,61457.0,63661.48299999999,"MISO"
"01-15-2010",21,60668.0,62732.45399999999,"MISO"
"01-15-2010",22,59463.0,61278.255000000005,"MISO"
"01-15-2010",23,57165.0,58651.265,"MISO"
"01-16-2010",0,54150.0,56354.645,"MISO"
"01-16-2010",1,52277.0,54563.39599999999,"MISO"
"01-16-2010",2,51341.0,53875.095,"MISO"
"01-16-2010",3,52356.0,54956.67499999999,"MISO"
"01-16-2010",4,52188.0,54554.547999999995,"MISO"
"01-16-2010",5,52936.0,55217.098999999995,"MISO"
"01-16-2010",6,54757.0,57033.600000000006,"MISO"
"01-16-2010",7,56501.0,58679.100000000006,"MISO"
"01-16-2010",8,57328.0,59413.594000000005,"MISO"
"01-16-2010",9,57834.0,59857.90899999999,"MISO"
"01-16-2010",10,58209.0,60372.100000000006,"MISO"
"01-16-2010",11,58242.0,60190.62299999999,"MISO"
"01-16-2010",12,57980.0,59770.799999999996,"MISO"
"01-16-2010",13,57450.0,59233.12500000001,"MISO"
"01-16-2010",14,56731.0,58566.20100000001,"MISO"
"01-16-2010",15,56486.0,58219.171,"MISO"
"01-16-2010",16,56788.0,58657.720000000016,"MISO"
"01-16-2010",17,58221.0,59994.808,"MISO"
"01-16-2010",18,59230.0,60863.740999999995,"MISO"
"01-16-2010",19,58939.0,60493.113,"MISO"
"01-16-2010",20,58218.0,59991.909,"MISO"
"01-16-2010",21,57471.0,59259.351,"MISO"
"01-16-2010",22,55296.0,57093.217,"MISO"
"01-16-2010",23,54505.0,56297.39800000001,"MISO"
"01-17-2010",0,53025.0,54624.437999999995,"MISO"
"01-17-2010",1,51736.0,53590.0,"MISO"
"01-17-2010",2,50772.0,52880.329000000005,"MISO"
"01-17-2010",3,50368.0,52263.12599999999,"MISO"
"01-17-2010",4,50849.0,52671.98700000001,"MISO"
"01-17-2010",5,51657.0,53400.699,"MISO"
"01-17-2010",6,53919.0,55590.274000000005,"MISO"
"01-17-2010",7,55618.0,57159.325000000004,"MISO"
"01-17-2010",8,56413.0,58029.415000000015,"MISO"
"01-17-2010",9,56962.0,58613.401,"MISO"
"01-17-2010",10,57553.0,59157.965,"MISO"
"01-17-2010",11,57794.0,59341.753000000004,"MISO"
"01-17-2010",12,58160.0,59608.401999999995,"MISO"
"01-17-2010",13,58269.0,59742.492,"MISO"
"01-17-2010",14,57961.0,59557.738000000005,"MISO"
"01-17-2010",15,57899.0,59518.795000000006,"MISO"
"01-17-2010",16,58400.0,60030.565,"MISO"
"01-17-2010",17,59617.0,61163.47,"MISO"
"01-17-2010",18,60103.0,61555.941000000006,"MISO"
"01-17-2010",19,60308.0,61715.09,"MISO"
"01-17-2010",20,60150.0,61491.068,"MISO"
"01-17-2010",21,59358.0,60809.19499999999,"MISO"
"01-17-2010",22,58142.0,59708.296999999984,"MISO"
"01-17-2010",23,55369.0,57113.341,"MISO"
"01-18-2010",0,53468.0,55198.598999999995,"MISO"
"01-18-2010",1,51484.0,53343.70199999999,"MISO"
"01-18-2010",2,50879.0,53020.299999999996,"MISO"
"01-18-2010",3,51922.0,53821.369999999995,"MISO"
"01-18-2010",4,52952.0,54791.989,"MISO"
"01-18-2010",5,55861.0,57249.632000000005,"MISO"
"01-18-2010",6,59097.0,60374.340000000004,"MISO"
"01-18-2010",7,62332.0,62857.908,"MISO"
"01-18-2010",8,63321.0,63974.975000000006,"MISO"
"01-18-2010",9,63351.0,63888.426000000014,"MISO"
"01-18-2010",10,63625.0,64122.766,"MISO"
"01-18-2010",11,63726.0,64294.770000000004,"MISO"
"01-18-2010",12,63748.0,64349.403000000006,"MISO"
"01-18-2010",13,62909.0,63800.104,"MISO"
"01-18-2010",14,62430.0,63469.588,"MISO"
"01-18-2010",15,63523.0,64026.007999999994,"MISO"
"01-18-2010",16,64423.0,64889.25700000001,"MISO"
"01-18-2010",17,66156.0,65995.68900000001,"MISO"
