"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,1742.0,1927.7,"MPCO"
"01-01-2010",1,1739.0,1926.9999999999998,"MPCO"
"01-01-2010",2,1730.0,1920.5,"MPCO"
"01-01-2010",3,1735.0,1889.7,"MPCO"
"01-01-2010",4,1740.0,1925.3999999999999,"MPCO"
"01-01-2010",5,1739.0,1917.8,"MPCO"
"01-01-2010",6,1737.0,1917.7,"MPCO"
"01-01-2010",7,1740.0,1896.1,"MPCO"
"01-01-2010",8,1737.0,1922.2,"MPCO"
"01-01-2010",9,1740.0,1920.3000000000002,"MPCO"
"01-01-2010",10,1739.0,1915.6,"MPCO"
"01-01-2010",11,1735.0,1874.1999999999998,"MPCO"
"01-01-2010",12,1725.0,1898.3999999999999,"MPCO"
"01-01-2010",13,1735.0,1907.8,"MPCO"
"01-01-2010",14,1739.0,1909.8000000000002,"MPCO"
"01-01-2010",15,1733.0,1868.6000000000001,"MPCO"
"01-01-2010",16,1740.0,1909.9,"MPCO"
"01-01-2010",17,1739.0,1906.0,"MPCO"
"01-01-2010",18,1737.0,1910.0000000000002,"MPCO"
"01-01-2010",19,1738.0,1873.1999999999998,"MPCO"
"01-01-2010",20,1736.0,1904.6,"MPCO"
"01-01-2010",21,1729.0,1895.0,"MPCO"
"01-01-2010",22,1731.0,1899.3999999999999,"MPCO"
"01-01-2010",23,1733.0,1869.9,"MPCO"
"01-02-2010",0,1733.0,1896.5,"MPCO"
"01-02-2010",1,1736.0,1898.3,"MPCO"
"01-02-2010",2,1739.0,1903.9,"MPCO"
"01-02-2010",3,1736.0,1877.0000000000002,"MPCO"
"01-02-2010",4,1731.0,1895.7,"MPCO"
"01-02-2010",5,1727.0,1889.6,"MPCO"
"01-02-2010",6,1730.0,1896.1,"MPCO"
"01-02-2010",7,1728.0,1866.8000000000002,"MPCO"
"01-02-2010",8,1728.0,1888.6,"MPCO"
"01-02-2010",9,1727.0,1892.0,"MPCO"
"01-02-2010",10,1724.0,1890.3000000000002,"MPCO"
"01-02-2010",11,1731.0,1866.6,"MPCO"
"01-02-2010",12,1732.0,1901.7000000000003,"MPCO"
"01-02-2010",13,1732.0,1902.7,"MPCO"
"01-02-2010",14,1717.0,1880.7549999999999,"MPCO"
