"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,1886.0,1917.9,"OPPD"
"01-01-2010",1,1881.0,1917.6,"OPPD"
"01-01-2010",2,1882.0,1917.8000000000002,"OPPD"
"01-01-2010",3,1880.0,1914.301,"OPPD"
"01-01-2010",4,1880.0,1918.801,"OPPD"
"01-01-2010",5,1879.0,1843.4990000000003,"OPPD"
"01-01-2010",6,1874.0,1927.2,"OPPD"
"01-01-2010",7,1878.0,1922.9,"OPPD"
"01-01-2010",8,1871.0,1915.9,"OPPD"
"01-01-2010",9,1885.0,1934.101,"OPPD"
"01-01-2010",10,1881.0,1928.4009999999998,"OPPD"
"01-01-2010",11,1875.0,1924.8999999999999,"OPPD"
"01-01-2010",12,1865.0,1911.599,"OPPD"
"01-01-2010",13,1829.0,1861.201,"OPPD"
"01-01-2010",14,1668.0,1696.099,"OPPD"
"01-01-2010",15,1556.0,1597.2,"OPPD"
"01-01-2010",16,1658.0,1714.1000000000001,"OPPD"
"01-01-2010",17,1810.0,1870.1000000000001,"OPPD"
"01-01-2010",18,1850.0,1899.2990000000002,"OPPD"
"01-01-2010",19,1798.0,1834.09,"OPPD"
"01-01-2010",20,1779.0,1838.399,"OPPD"
"01-01-2010",21,1771.0,1819.92,"OPPD"
"01-01-2010",22,1773.0,1819.292,"OPPD"
"01-01-2010",23,1768.0,1818.401,"OPPD"
"01-02-2010",0,1781.0,1825.4,"OPPD"
"01-02-2010",1,1753.0,1797.8000000000002,"OPPD"
"01-02-2010",2,1766.0,1816.3000000000002,"OPPD"
"01-02-2010",3,1766.0,1817.6999999999998,"OPPD"
"01-02-2010",4,1765.0,1812.0,"OPPD"
"01-02-2010",5,1765.0,1738.1,"OPPD"
"01-02-2010",6,1781.0,1847.101,"OPPD"
"01-02-2010",7,1787.0,1848.201,"OPPD"
"01-02-2010",8,1788.0,1834.5,"OPPD"
"01-02-2010",9,1787.0,1836.2,"OPPD"
"01-02-2010",10,1787.0,1846.0,"OPPD"
"01-02-2010",11,1782.0,1838.1,"OPPD"
"01-02-2010",12,1706.0,1743.1999999999998,"OPPD"
"01-02-2010",13,1683.0,1717.5,"OPPD"
"01-02-2010",14,1683.0,1712.1999999999998,"OPPD"
"01-02-2010",15,1706.0,1734.901,"OPPD"
"01-02-2010",16,1763.0,1797.1,"OPPD"
"01-02-2010",17,1801.0,1828.5,"OPPD"
"01-02-2010",18,1798.0,1836.501,"OPPD"
"01-02-2010",19,1787.0,1821.8000000000002,"OPPD"
"01-02-2010",20,1794.0,1827.2000000000003,"OPPD"
"01-02-2010",21,1790.0,1824.2,"OPPD"
"01-02-2010",22,1784.0,1821.399,"OPPD"
"01-02-2010",23,1781.0,1819.7000000000003,"OPPD"
"01-03-2010",0,1752.0,1783.199,"OPPD"
"01-03-2010",1,1710.0,1733.5990000000002,"OPPD"
"01-03-2010",2,1628.0,1642.2,"OPPD"
"01-03-2010",3,1498.0,1518.2,"OPPD"
"01-03-2010",4,1511.0,1525.9,"OPPD"
"01-03-2010",5,1592.0,1547.7,"OPPD"
"01-03-2010",6,1723.0,1784.9999999999998,"OPPD"
"01-03-2010",7,1796.0,1853.0,"OPPD"
"01-03-2010",8,1800.0,1843.301,"OPPD"
"01-03-2010",9,1796.0,1830.9989999999998,"OPPD"
"01-03-2010",10,1797.0,1846.201,"OPPD"
"01-03-2010",11,1805.0,1840.1999999999998,"OPPD"
"01-03-2010",12,1802.0,1832.5,"OPPD"
"01-03-2010",13,1801.0,1827.5,"OPPD"
"01-03-2010",14,1799.0,1828.999,"OPPD"
"01-03-2010",15,1802.0,1827.4,"OPPD"
"01-03-2010",16,1810.0,1832.8000000000002,"OPPD"
"01-03-2010",17,1808.0,1831.3999999999999,"OPPD"
"01-03-2010",18,1807.0,1837.4009999999998,"OPPD"
"01-03-2010",19,1791.0,1822.1,"OPPD"
"01-03-2010",20,1790.0,1822.7,"OPPD"
"01-03-2010",21,1785.0,1814.7000000000003,"OPPD"
"01-03-2010",22,1784.0,1815.599,"OPPD"
"01-03-2010",23,1785.0,1820.7,"OPPD"
"01-04-2010",0,1790.0,1823.1999999999998,"OPPD"
"01-04-2010",1,1804.0,1824.3,"OPPD"
"01-04-2010",2,1788.0,1820.799,"OPPD"
"01-04-2010",3,1790.0,1823.4990000000003,"OPPD"
"01-04-2010",4,1789.0,1814.9,"OPPD"
"01-04-2010",5,1796.0,1754.701,"OPPD"
"01-04-2010",6,1808.0,1855.3,"OPPD"
"01-04-2010",7,1808.0,1852.199,"OPPD"
"01-04-2010",8,1806.0,1872.5,"OPPD"
"01-04-2010",9,1804.0,1862.499,"OPPD"
"01-04-2010",10,1803.0,1852.5000000000002,"OPPD"
