"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,1858.0,1161.3,"PACW"
"01-01-2010",1,1857.0,1157.8,"PACW"
"01-01-2010",2,1836.0,1143.6,"PACW"
"01-01-2010",3,1798.0,1126.8,"PACW"
"01-01-2010",4,1820.0,1139.8,"PACW"
"01-01-2010",5,1827.0,1139.5000000000002,"PACW"
"01-01-2010",6,1760.0,1112.2,"PACW"
"01-01-2010",7,1760.0,1117.0,"PACW"
"01-01-2010",8,1750.0,1111.9,"PACW"
"01-01-2010",9,1772.0,1118.6999999999998,"PACW"
"01-01-2010",10,1760.0,1114.0,"PACW"
"01-01-2010",11,1782.0,1122.2,"PACW"
"01-01-2010",12,1764.0,1116.0,"PACW"
"01-01-2010",13,1778.0,1123.6000000000001,"PACW"
"01-01-2010",14,1740.0,1103.5,"PACW"
"01-01-2010",15,1743.0,1099.8,"PACW"
"01-01-2010",16,1754.0,1109.1,"PACW"
"01-01-2010",17,1776.0,1118.6000000000001,"PACW"
"01-01-2010",18,1784.0,1125.4,"PACW"
"01-01-2010",19,1786.0,1124.9,"PACW"
"01-01-2010",20,1759.0,1109.9,"PACW"
"01-01-2010",21,1673.0,1072.4,"PACW"
"01-01-2010",22,1710.0,1085.3,"PACW"
"01-01-2010",23,1571.0,997.0360000000001,"PACW"
"01-02-2010",0,1392.0,964.5,"PACW"
"01-02-2010",1,1391.0,963.75,"PACW"
"01-02-2010",2,1415.0,1004.5000000000001,"PACW"
"01-02-2010",3,1653.0,1072.2,"PACW"
"01-02-2010",4,1639.0,1061.4,"PACW"
"01-02-2010",5,1662.0,1068.3,"PACW"
"01-02-2010",6,1621.0,1046.9,"PACW"
"01-02-2010",7,1625.0,1053.3,"PACW"
"01-02-2010",8,1609.0,1043.1000000000001,"PACW"
"01-02-2010",9,1620.0,1031.2,"PACW"
"01-02-2010",10,1701.0,1080.8000000000002,"PACW"
"01-02-2010",11,1712.0,1080.3,"PACW"
"01-02-2010",12,1693.0,1066.6,"PACW"
"01-02-2010",13,1655.0,1048.3000000000002,"PACW"
"01-02-2010",14,1659.0,1050.9,"PACW"
"01-02-2010",15,1696.0,1069.0,"PACW"
"01-02-2010",16,1764.0,1096.0,"PACW"
"01-02-2010",17,1828.0,1117.7,"PACW"
"01-02-2010",18,1804.0,1107.1999999999998,"PACW"
"01-02-2010",19,1809.0,1107.5,"PACW"
"01-02-2010",20,1830.0,1121.3,"PACW"
"01-02-2010",21,1791.0,1106.5,"PACW"
"01-02-2010",22,1836.0,1124.3,"PACW"
"01-02-2010",23,1801.0,1108.7,"PACW"
"01-03-2010",0,1735.0,1085.7,"PACW"
"01-03-2010",1,1726.0,1086.4,"PACW"
"01-03-2010",2,1678.0,1069.3,"PACW"
"01-03-2010",3,1697.0,1077.1000000000001,"PACW"
